timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 01:06:15,66.50,0.00,6.12,0.10,0.10,0.00,0.30,0.00,0.00,26.88,19.60,3321.00,2071.80,0.00,0.00,0.00,85.60,11821.00,0.00,18763.00,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,171.20,1775620,0,2079224,53.94,6996,523132,3356928,87.08,1727956,256176,132292,1454092,39732,4656,7776,10916,0,0,0.00,0,0.00,0,561,1.74,1.27,1.13,0,3.60,0.00,171.20,47.56,0.00,0.22,0.22,0.08,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-24 01:06:20,70.53,0.00,4.27,0.71,0.00,0.00,0.20,0.00,0.00,24.29,19.00,2540.00,2128.60,0.00,0.00,0.00,12669.60,10560.20,0.00,3662.00,0.00,0.00,0.00,0.00,114.20,0.00,114.20,0.00,25339.20,1398520,0,2456324,63.72,7016,652024,4888512,126.81,1981712,373396,198264,1696120,43768,4968,8968,10916,0,0,0.00,0,0.00,5,622,1.76,1.28,1.13,0,114.20,0.00,25339.20,221.88,5.84,51.12,0.41,4.64,2.40,2.40,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-24 01:06:25,81.21,0.00,2.93,4.95,0.00,0.00,0.00,0.00,0.00,10.91,10.00,2441.40,2034.60,0.00,0.00,2.40,40078.40,7144.80,0.00,3675.40,0.00,0.00,0.00,0.00,314.40,0.60,313.80,4.80,80156.80,888100,0,2966744,76.96,7060,657652,4981072,129.22,2493580,369344,3656,2198224,44576,5312,10188,10916,0,0,0.00,0,0.00,4,650,1.86,1.31,1.14,0,314.40,4.80,80156.80,254.97,55.93,177.90,1.43,45.04,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-24 01:06:30,86.98,0.00,2.12,0.00,0.00,0.00,0.00,0.00,0.00,10.90,0.60,2277.60,1665.80,0.00,0.00,0.00,33.60,682.20,0.00,13253.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,67.20,496724,0,3358120,87.11,7100,658988,4981072,129.22,2884784,368996,5072,2587576,44616,5288,10968,10916,0,0,0.00,0,0.00,5,647,1.79,1.31,1.14,0,0.60,0.00,67.20,112.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 01:06:35,71.27,0.00,1.64,0.00,0.10,0.00,0.00,0.00,0.00,26.99,0.00,2830.40,2275.20,0.00,0.00,0.00,52.80,656.60,0.00,8995.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,105.60,187764,0,3667080,95.13,7192,665792,5147140,133.52,3191772,369476,12096,2888300,44792,5288,11560,10916,0,0,0.00,0,0.00,1,647,1.73,1.30,1.14,0,0.80,0.00,105.60,132.00,0.00,1.00,1.00,0.08,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 01:06:40,75.25,0.00,1.12,0.10,0.00,0.00,0.00,0.00,0.00,23.52,1.80,3157.20,2069.00,0.00,0.00,0.00,56.80,641.20,0.00,1962.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,113.60,159916,0,3694928,95.85,7232,671040,5161728,133.90,3214272,368596,17492,2910796,44924,5360,11592,10916,0,0,0.00,0,0.00,2,656,1.59,1.28,1.13,0,0.80,0.00,113.60,142.00,0.00,2.00,2.00,0.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 01:06:45,73.43,0.00,0.91,0.00,0.10,0.00,0.00,0.00,0.00,25.56,0.00,2556.00,1946.40,0.00,0.00,0.00,40.00,2677.00,0.00,3371.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,80.00,138092,0,3716752,96.42,7272,677180,5161728,133.90,3241344,369372,23660,2926156,45112,5352,11664,10916,0,0,0.00,0,0.00,2,655,1.54,1.28,1.13,0,0.60,0.00,80.00,133.33,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 01:06:50,70.95,0.00,1.11,0.51,0.00,0.00,0.00,0.00,0.00,27.43,2.20,3271.20,2200.20,0.00,0.00,25.60,284.00,1100.00,0.00,1933.00,0.00,0.00,0.00,0.00,24.80,6.40,18.40,51.20,568.00,100392,0,3754452,97.40,7416,683376,5150860,133.62,3279032,368820,28712,2957060,45472,5344,11724,10916,0,0,0.00,0,0.00,2,654,1.58,1.29,1.14,0,24.80,51.20,568.00,24.97,0.17,6.71,0.77,1.92,1.40,1.40,0.20,0.23,0.00,0.00,0.00,0.00
2017-09-24 01:06:55,72.35,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,26.12,0.60,3010.80,2018.00,0.00,0.00,0.00,136.00,373.60,0.00,634.00,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,272.00,85636,0,3769208,97.78,7440,688620,5150860,133.62,3293468,368800,33860,2966224,45704,5360,11744,10916,0,0,0.00,0,0.00,2,656,1.61,1.30,1.14,0,4.80,0.00,272.00,56.67,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 01:07:00,70.56,0.00,0.71,0.00,0.10,0.00,0.00,0.00,0.00,28.63,0.00,2491.00,1994.60,0.00,0.00,0.00,811.20,344.20,0.00,2739.60,1124.80,0.00,1124.80,100.00,8.20,0.00,8.20,0.00,1622.40,83080,0,3771764,97.84,4528,674348,5133028,133.16,3318624,346388,35420,2986108,45892,5360,11780,10916,0,0,0.00,0,0.00,2,656,1.56,1.30,1.14,0,8.20,0.00,1622.40,197.85,0.04,4.29,0.29,0.24,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 01:07:05,79.31,0.00,3.04,0.10,0.00,0.00,0.10,0.00,0.00,17.44,0.80,4854.80,3991.80,0.00,0.00,0.00,781.60,4678.00,0.00,12505.40,2551.80,2260.20,4804.00,99.83,8.60,0.00,8.60,0.00,1563.20,116952,0,3737892,96.97,3760,543764,5196840,134.81,3341188,291592,1004,3085256,43636,5384,11952,10916,0,0,0.00,0,0.00,0,659,2.16,1.42,1.18,0,8.60,0.00,1563.20,181.77,0.03,3.16,0.19,0.16,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
