timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 04:02:26,68.70,0.00,6.20,2.03,0.00,0.00,0.20,0.00,0.00,22.87,22.20,4396.60,3184.60,0.00,0.00,14882.40,74.40,12690.40,5.80,12577.60,0.00,0.00,0.00,0.00,230.20,226.60,3.60,29764.80,148.80,1872684,0,1982160,51.42,3008,377136,3459464,89.74,1627008,263472,131752,1510540,35600,4592,7956,10916,0,0,0.00,0,0.00,4,568,1.31,1.41,1.42,0,230.20,29764.80,148.80,129.95,0.26,1.14,0.59,13.68,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-24 04:02:31,78.95,0.00,4.35,0.40,0.10,0.00,0.10,0.00,0.00,16.09,15.20,2704.20,2203.00,0.00,0.00,24.00,12352.80,11098.80,0.60,3161.60,0.00,0.00,0.00,0.00,109.00,1.20,107.80,48.00,24705.60,1487752,0,2367092,61.41,3024,506056,4984172,129.30,1891624,378440,199324,1760984,39492,5016,9120,10916,0,0,0.00,0,0.00,4,615,1.44,1.43,1.43,0,109.00,48.00,24705.60,227.10,3.93,36.09,0.32,3.52,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-24 04:02:36,76.95,0.00,3.05,5.28,0.00,0.00,0.00,0.00,0.00,14.72,10.80,2469.80,2222.80,0.00,0.00,4.00,40280.00,6687.60,0.20,8123.40,0.00,0.00,0.00,0.00,316.00,0.60,315.40,8.00,80560.00,1002664,0,2852180,73.99,3040,511588,5082584,131.85,2355260,373536,3632,2238768,39992,5296,10344,10916,0,0,0.00,0,0.00,3,647,1.65,1.47,1.45,0,316.00,8.00,80560.00,254.96,56.31,178.19,1.44,45.36,1.80,1.80,0.19,0.20,0.00,0.00,0.00,0.00
2017-09-24 04:02:41,59.68,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.00,38.60,0.20,1830.00,1314.40,0.00,0.00,0.00,27.20,455.20,0.00,26736.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,54.40,403468,0,3451376,89.53,3048,511612,5124016,132.92,2977504,373496,3708,2836404,39980,5256,11472,10916,0,0,0.00,0,0.00,4,643,1.68,1.48,1.45,0,0.60,0.00,54.40,90.67,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 04:02:46,57.13,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,42.37,0.20,1837.20,1378.20,0.00,0.00,0.00,11.20,128.40,0.00,2217.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,22.40,301900,0,3552944,92.17,3056,511644,5135276,133.22,3078972,373492,3748,2937864,39992,5256,11564,10916,0,0,0.00,0,0.00,3,643,1.70,1.49,1.45,0,0.40,0.00,22.40,56.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 04:02:51,65.26,0.00,0.40,0.10,0.10,0.00,0.00,0.00,0.00,34.14,0.20,1784.20,1296.80,0.00,0.00,0.00,12.80,3416.40,0.00,1031.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,253780,0,3601064,93.42,3064,511672,5135276,133.22,3127124,373512,3792,2985960,39992,5264,11756,10916,0,0,0.00,0,0.00,2,644,1.65,1.48,1.45,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 04:02:56,63.43,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,36.36,0.20,1831.40,1322.20,0.00,0.00,0.00,11.20,156.60,0.00,2308.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,22.40,272932,0,3581912,92.92,3072,511696,5145664,133.49,3107980,373480,3824,2966740,40008,5264,11772,10916,0,0,0.00,0,0.00,4,644,1.59,1.48,1.45,0,0.40,0.00,22.40,56.00,0.00,6.00,6.00,0.24,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 04:03:01,63.66,0.00,0.40,0.10,0.00,0.00,0.00,0.00,0.00,35.83,1.60,1891.00,1280.00,0.00,0.00,0.00,130.40,624.00,0.00,844.00,0.00,0.00,0.00,0.00,15.20,0.00,15.20,0.00,260.80,255764,0,3599080,93.37,3096,511716,5153236,133.68,3124652,373120,3480,2982960,39992,5328,11816,10916,0,0,0.00,0,0.00,3,652,1.71,1.50,1.45,0,15.20,0.00,260.80,17.16,0.03,2.16,0.21,0.32,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 04:03:06,55.23,0.00,4.06,3.65,0.00,0.00,0.00,0.00,0.00,37.06,0.00,1816.60,2335.20,0.00,0.00,1.60,56836.00,88.80,0.00,8524.40,8275.00,0.00,8003.40,96.72,476.40,0.40,476.00,3.20,113672.00,81300,0,3773544,97.89,2084,683108,5153236,133.68,3302808,365152,50416,2982996,46572,5312,11820,10916,0,0,0.00,0,0.00,1,650,1.65,1.49,1.45,0,476.40,3.20,113672.00,238.61,17.67,37.10,0.38,18.08,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 04:03:11,55.48,0.00,1.42,0.81,0.00,0.00,0.00,0.00,0.00,42.29,0.00,1836.40,2550.60,0.00,0.00,4.00,17259.20,19306.80,0.00,4079.40,4045.60,0.00,4045.60,100.00,145.20,0.80,144.40,8.00,34518.40,82620,0,3772224,97.86,2092,679948,5153236,133.68,3324332,340836,42168,2983128,47636,5312,12624,10916,0,0,0.00,0,0.00,1,650,1.60,1.48,1.45,0,145.20,8.00,34518.40,237.79,4.60,31.70,0.32,4.64,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 04:03:16,63.66,0.00,1.92,0.10,0.10,0.00,0.00,0.00,0.00,34.21,0.00,2353.60,3984.00,0.00,0.00,15.20,8425.60,22107.40,0.20,4111.40,2251.80,619.40,2871.20,100.00,67.00,0.40,66.60,30.40,16851.20,94712,0,3760132,97.54,2096,622800,5144644,133.46,3422836,231664,420,3029608,46860,5312,11908,10916,0,0,0.00,0,0.00,2,650,1.87,1.54,1.47,0,67.00,30.40,16851.20,251.96,2.39,35.65,0.33,2.24,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 04:03:21,56.94,0.00,0.30,0.10,0.00,0.00,0.00,0.00,0.00,42.65,0.40,1995.40,1451.40,0.00,0.00,2.40,26.40,167.80,0.00,116.40,0.00,0.00,0.00,0.00,1.00,0.60,0.40,4.80,52.80,92220,0,3762624,97.61,2104,623760,5144644,133.46,3425104,231640,1456,3030940,46876,5320,11912,10916,0,0,0.00,0,0.00,1,651,1.80,1.53,1.47,0,1.00,4.80,52.80,57.60,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
