timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 14:24:22,75.56,0.00,5.05,0.10,0.00,0.00,0.40,0.00,0.00,18.89,18.40,3953.60,2052.80,0.00,0.00,0.00,51.20,12855.20,0.00,13532.20,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,102.40,1877232,0,1977612,51.30,24632,575976,3088520,80.12,1550900,333376,131660,1283772,37904,4480,7352,10916,0,0,0.00,0,0.00,0,542,1.42,0.71,0.31,0,2.80,0.00,102.40,36.57,0.00,0.29,0.29,0.08,1.20,1.20,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-23 14:24:27,62.32,0.00,4.04,12.02,0.10,0.00,0.10,0.00,0.00,21.41,12.80,2704.20,2172.00,0.00,0.00,0.80,7702.40,7590.60,0.00,3311.80,0.00,0.00,0.00,0.00,64.80,0.20,64.60,1.60,13454.40,1548032,0,2306812,59.84,24648,705124,3512740,91.13,1752468,455604,222520,1478296,42780,4696,8140,10916,0,0,0.00,0,0.00,1,573,1.39,0.71,0.32,14,64.80,1.60,13454.40,207.65,52.99,526.40,7.30,47.28,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-23 14:24:32,61.41,0.00,2.93,1.01,0.00,0.00,0.00,0.00,0.00,34.65,9.40,1961.40,1495.40,0.00,0.00,0.00,3299.20,8728.40,0.00,3853.00,0.00,0.00,0.00,0.00,41.20,0.00,41.20,0.00,8548.80,1330976,0,2523868,65.47,24652,705248,4799736,124.51,1973004,450124,206364,1693224,43164,5024,8968,10916,0,0,0.00,0,0.00,3,614,1.36,0.72,0.32,0,41.20,0.00,8548.80,207.50,44.14,1529.53,12.93,53.28,1.40,1.40,0.16,0.18,0.00,0.00,0.00,0.00
2017-09-23 14:24:37,57.68,0.00,2.14,26.04,0.00,0.00,0.10,0.00,0.00,14.04,9.60,2477.40,1802.20,0.00,0.00,0.80,11144.80,3251.20,0.00,10057.20,0.00,0.00,0.00,0.00,58.80,0.20,58.60,1.60,14950.40,794216,0,3060628,79.40,24672,710760,4872064,126.39,2498232,445972,156312,2223104,43628,5216,10104,10916,0,0,0.00,0,0.00,4,638,1.49,0.75,0.33,1,59.40,1.60,15104.00,254.30,142.18,1719.87,16.61,98.64,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-23 14:24:42,54.35,0.00,2.33,19.74,0.00,0.00,0.00,0.00,0.00,23.58,0.00,1851.00,1454.80,0.00,0.00,0.80,7834.40,263.60,0.00,16306.40,0.00,0.00,0.00,0.00,58.40,0.20,58.20,1.60,14816.00,313716,0,3541128,91.86,24684,710796,4872064,126.39,2991848,445988,117456,2702352,43600,5200,11104,10916,0,0,0.00,0,0.00,2,635,1.69,0.81,0.35,1,57.80,1.60,14662.40,253.70,109.52,2079.92,17.29,99.92,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 14:24:47,53.40,0.00,0.30,22.34,0.00,0.00,0.00,0.00,0.00,23.96,0.00,1820.20,1487.20,0.00,0.00,0.00,2876.80,48.20,0.00,35.00,0.00,0.00,0.00,0.00,47.20,0.00,47.20,0.00,12083.20,313444,0,3541400,91.87,24688,710816,4872064,126.39,2992296,445976,103092,2702776,43624,5184,11108,10916,0,0,0.00,0,0.00,2,634,1.71,0.83,0.36,3,47.20,0.00,12083.20,256.00,122.13,2684.41,21.19,100.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 14:24:52,53.56,0.00,0.10,29.07,0.10,0.00,0.00,0.00,0.00,17.17,0.00,1819.20,1402.20,0.00,0.00,2.40,9037.60,28.60,0.00,41.80,0.00,0.00,0.00,0.00,50.60,0.60,50.00,4.80,12718.40,313444,0,3541400,91.87,24704,710864,4872064,126.39,2992288,445992,58016,2702736,43644,5168,11108,10916,0,0,0.00,0,0.00,3,631,1.82,0.86,0.38,1,50.60,4.80,12718.40,251.45,127.56,2221.45,19.76,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 14:24:57,53.75,0.00,0.20,35.09,0.00,0.00,0.00,0.00,0.00,10.95,0.00,1827.60,1426.00,0.00,0.00,2.40,7332.80,49.00,0.00,136.20,0.00,0.00,0.00,0.00,56.00,0.60,55.40,4.80,14152.00,312536,0,3542308,91.89,24724,710888,4879740,126.59,2992736,446000,21512,2703120,43620,5152,11112,10916,0,0,0.00,0,0.00,4,630,1.99,0.92,0.40,2,56.00,4.80,14152.00,252.80,103.64,2070.31,17.87,100.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 14:25:02,54.07,0.00,0.30,32.22,0.00,0.00,0.00,0.00,0.00,13.41,0.60,1836.60,1375.20,0.00,0.00,1.60,3662.40,77.00,0.00,35.20,0.00,0.00,0.00,0.00,48.40,0.40,48.00,3.20,12206.40,305952,0,3548892,92.06,24740,710956,4879740,126.59,2999400,446036,3164,2709836,43572,5144,11116,10916,0,0,0.00,0,0.00,3,632,2.07,0.95,0.41,7,48.40,3.20,12206.40,252.26,96.56,2310.86,20.66,100.00,1.20,1.20,0.12,0.15,0.00,0.00,0.00,0.00
2017-09-23 14:25:07,53.35,0.00,0.20,7.81,0.10,0.00,0.00,0.00,0.00,38.54,0.20,1832.40,1448.40,0.00,0.00,0.00,46.40,177.20,0.00,91.60,0.00,0.00,0.00,0.00,25.40,0.00,25.40,0.00,2944.00,305736,0,3549108,92.07,24748,710980,4879740,126.59,2999404,446056,3276,2709728,43584,5136,11128,10916,0,0,0.00,0,0.00,4,628,1.99,0.95,0.41,0,25.40,0.00,2944.00,115.91,14.01,1036.69,7.69,19.52,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
