timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 19:15:46,77.67,0.00,4.73,0.70,0.10,0.00,0.30,0.00,0.00,16.50,18.40,3648.40,2150.80,0.00,0.00,3965.60,56.80,12600.40,0.60,12975.40,0.00,0.00,0.00,0.00,123.20,120.00,3.20,7931.20,113.60,2125828,0,1729016,44.85,3032,350204,3109392,80.66,1479904,159924,131448,1286768,34260,4496,7328,10916,0,0,0.00,0,0.00,1,544,1.95,1.43,1.65,0,123.20,7931.20,113.60,65.30,0.11,0.93,0.40,4.96,1.20,1.20,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-24 19:15:51,63.53,0.00,4.09,0.72,0.00,0.00,0.20,0.00,0.00,31.46,13.00,2642.00,2176.60,0.00,0.00,96.80,12392.00,7320.20,0.00,3260.20,0.00,0.00,0.00,0.00,125.80,14.00,111.80,193.60,24784.00,1802448,0,2052396,53.24,3048,479740,3517740,91.26,1671880,283952,199236,1475152,38356,4712,8060,10916,0,0,0.00,0,0.00,8,576,1.87,1.43,1.65,0,125.80,193.60,24784.00,198.55,4.42,35.16,0.34,4.24,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-24 19:15:56,61.76,0.00,2.43,5.27,0.00,0.00,0.00,0.00,0.00,30.53,9.40,1922.20,1627.60,0.00,0.00,2.40,37211.20,7613.80,0.00,2321.00,0.00,0.00,0.00,0.00,271.00,0.40,270.60,4.80,69264.00,1570664,0,2284180,59.25,3064,479888,4807256,124.71,1910048,277372,13512,1704468,39156,5048,9096,10916,0,0,0.00,0,0.00,5,617,1.96,1.45,1.66,2,271.20,4.80,69315.20,255.60,52.27,143.34,1.36,36.88,1.60,1.60,0.17,0.18,0.00,0.00,0.00,0.00
2017-09-24 19:16:01,75.05,0.00,2.83,1.92,0.00,0.00,0.00,0.00,0.00,20.20,10.20,2430.00,1657.80,0.00,0.00,0.00,3099.20,3475.40,0.00,8851.80,0.00,0.00,0.00,0.00,45.40,0.00,45.40,0.00,11356.80,1063136,0,2791708,72.42,3076,488940,4906224,127.27,2417512,275904,7360,2201552,39440,5272,10108,10916,0,0,0.00,0,0.00,4,644,1.88,1.44,1.65,0,45.20,0.00,11305.60,250.12,4.36,392.85,1.91,8.64,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-24 19:16:06,53.56,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,45.63,0.00,1715.40,1082.80,0.00,0.00,0.00,4.00,32.20,0.00,748.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,946160,0,2908684,75.46,3084,542952,4906224,127.27,2488156,320772,61292,2263108,40880,5256,10168,10916,0,0,0.00,0,0.00,3,643,1.81,1.44,1.65,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 19:16:11,52.28,0.00,0.81,0.10,0.10,0.00,0.00,0.00,0.00,46.71,0.00,1758.20,1164.00,0.00,0.00,0.00,4.00,27.80,0.00,42.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,888244,0,2966600,76.96,3092,599272,4906224,127.27,2497692,367732,117612,2263164,42336,5240,10252,10916,0,0,0.00,0,0.00,4,640,1.75,1.43,1.65,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 19:16:16,51.22,0.00,1.22,1.12,0.00,0.00,0.00,0.00,0.00,46.44,0.00,1753.20,1257.80,0.00,0.00,0.00,12264.00,31.00,0.00,40.80,0.00,0.00,0.00,0.00,117.60,0.00,117.60,0.00,24528.00,830032,0,3024812,78.47,3100,656084,4906224,127.27,2507140,415028,113356,2263088,43876,5216,10252,10916,0,0,0.00,0,0.00,2,638,2.25,1.54,1.68,0,117.60,0.00,24528.00,208.57,3.72,31.66,0.39,4.64,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 19:16:21,45.56,0.00,2.76,20.33,0.00,0.00,0.00,0.00,0.00,31.36,0.00,1769.80,1437.20,0.00,0.00,0.00,35670.40,11015.60,0.00,11317.20,0.00,0.00,0.00,0.00,257.00,0.00,257.00,0.00,64595.20,777704,0,3077140,79.83,3104,705596,4906224,127.27,2479812,492392,203228,2263456,45900,5208,10252,10916,0,0,0.00,0,0.00,0,637,2.39,1.58,1.69,2,257.00,0.00,64595.20,251.34,51.39,155.29,1.53,39.28,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 19:16:26,84.94,0.00,1.51,4.02,0.10,0.00,0.10,0.00,0.00,9.34,1.00,1951.80,1410.40,0.00,0.00,18.40,17588.00,4271.20,0.00,3133.40,0.00,0.00,0.00,0.00,174.60,3.20,171.40,36.80,41921.60,618032,0,3236812,83.97,3172,704920,5018092,130.18,2667608,464420,117292,2423872,45852,5216,10592,10916,0,0,0.00,0,0.00,2,639,2.52,1.62,1.70,0,174.60,36.80,41921.60,240.31,19.10,175.12,1.00,17.44,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 19:16:31,57.54,0.00,1.53,4.79,0.00,0.00,0.00,0.00,0.00,36.15,0.00,2125.40,1658.20,0.00,0.00,0.80,23424.00,674.60,0.00,2940.40,0.00,0.00,0.00,0.00,185.80,0.20,185.60,1.60,46848.00,494128,0,3360716,87.18,3192,737872,5025884,130.38,2771024,483924,33140,2513920,46608,5216,10788,10916,0,0,0.00,0,0.00,3,638,2.52,1.62,1.70,0,185.80,1.60,46848.00,252.15,21.97,118.24,0.99,18.48,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 19:16:36,55.74,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,42.74,0.00,1933.60,1349.60,0.00,0.00,0.00,20.00,53.40,0.00,7809.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,40.00,291232,0,3563612,92.45,3200,760972,5025884,130.38,2972492,484300,56268,2692668,47052,5200,11132,10916,0,0,0.00,0,0.00,3,635,2.40,1.61,1.70,0,0.40,0.00,40.00,100.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 19:16:41,64.44,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,34.85,0.00,1756.80,1284.80,0.00,0.00,0.00,10.40,361.00,0.00,5027.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,20.80,136364,0,3718480,96.46,3208,770748,5065944,131.42,3145784,464928,66048,2836780,47456,5184,11440,10916,0,0,0.00,0,0.00,4,634,2.28,1.60,1.70,0,0.40,0.00,20.80,52.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 19:16:46,54.07,0.00,0.91,1.52,0.00,0.00,0.00,0.00,0.00,43.50,0.00,2041.60,1534.40,0.00,0.00,0.00,13225.60,715.40,0.00,103.00,0.00,0.00,0.00,0.00,110.60,0.00,110.60,0.00,26451.20,90768,0,3764076,97.65,3216,803596,5065944,131.42,3182356,473752,33020,2849256,48248,5168,11452,10916,0,0,0.00,0,0.00,3,632,2.18,1.59,1.69,0,110.60,0.00,26451.20,239.16,5.15,46.58,0.38,4.24,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 19:16:51,54.43,0.00,0.71,0.20,0.00,0.00,0.00,0.00,0.00,44.65,0.00,1997.40,1305.40,0.00,0.00,0.00,6580.00,544.60,0.00,1574.60,1445.80,0.00,1433.00,99.11,51.80,0.00,51.80,0.00,13160.00,76944,0,3777900,98.00,1880,809128,5065944,131.42,3208612,462140,33092,2859760,48884,5144,11480,10916,0,0,0.00,0,0.00,3,629,2.17,1.60,1.69,0,51.80,0.00,13160.00,254.05,1.98,38.21,0.37,1.92,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 19:16:56,64.41,0.00,0.81,0.00,0.10,0.00,0.00,0.00,0.00,34.68,0.00,1661.60,1171.40,0.00,0.00,0.00,8.80,2200.00,0.00,2208.00,2118.80,0.00,2118.80,100.00,0.40,0.00,0.40,0.00,17.60,72464,0,3782380,98.12,1888,770024,5076320,131.69,3278680,396672,36376,2903716,48888,5136,11576,10916,0,0,0.00,0,0.00,3,628,2.07,1.59,1.69,0,0.40,0.00,17.60,44.00,0.00,2.00,2.00,0.08,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 19:17:01,55.43,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,43.86,0.00,2037.40,1544.80,0.00,0.00,0.00,9.60,410.80,0.00,3761.60,2032.40,414.00,2446.40,100.00,0.40,0.00,0.40,0.00,19.20,71460,0,3783384,98.15,1892,750700,5076320,131.69,3327608,348744,65988,2923760,48896,5120,11588,10916,0,0,0.00,0,0.00,2,626,1.99,1.58,1.69,0,0.40,0.00,19.20,48.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 19:17:06,52.94,0.00,0.91,1.62,0.00,0.00,0.00,0.00,0.00,44.52,0.60,2013.20,1396.40,0.00,0.00,131.20,13198.40,305.60,4.20,2713.80,2233.80,206.80,2440.40,99.99,122.60,13.60,109.00,262.40,26396.80,81376,0,3773468,97.89,2028,735276,5076320,131.69,3311720,355072,32960,2929488,48876,5120,11616,10916,0,0,0.00,0,0.00,3,626,1.91,1.57,1.68,0,122.60,262.40,26396.80,217.45,4.46,36.40,0.34,4.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 19:17:11,63.66,0.00,0.91,0.20,0.00,0.00,0.00,0.00,0.00,35.22,0.00,1828.20,1982.60,0.00,0.00,0.00,6585.60,782.80,0.00,2312.00,1111.80,411.60,1523.20,99.99,52.20,0.00,52.20,0.00,13171.20,89628,0,3765216,97.67,2032,722220,5076320,131.69,3302836,355144,17600,2933956,48528,5112,11652,10916,0,0,0.00,0,0.00,2,625,1.83,1.56,1.68,0,52.20,0.00,13171.20,252.32,1.93,37.01,0.37,1.92,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 19:17:16,58.22,0.00,0.81,0.10,0.10,0.00,0.00,0.00,0.00,40.77,0.00,1909.80,2083.00,0.00,0.00,22.40,12.00,651.80,0.00,1478.40,1105.60,0.00,1105.60,100.00,3.80,3.40,0.40,44.80,24.00,79256,0,3775588,97.94,2036,716640,5076320,131.69,3334216,335216,34180,2950708,48076,5112,11664,10916,0,0,0.00,0,0.00,5,625,1.77,1.55,1.68,0,3.80,44.80,24.00,18.11,0.00,0.42,0.42,0.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 19:17:21,51.73,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,47.15,0.00,1836.80,2237.40,0.00,0.00,0.00,9.60,19.40,0.00,2739.00,1982.40,0.00,1895.60,95.62,0.40,0.00,0.40,0.00,19.20,88224,0,3766620,97.71,2036,699772,5076320,131.69,3327508,333276,55020,2959124,47288,5112,11692,10916,0,0,0.00,0,0.00,3,625,1.87,1.57,1.68,0,0.40,0.00,19.20,48.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 19:17:26,52.69,0.00,0.91,1.22,0.00,0.00,0.00,0.00,0.00,45.18,0.00,1858.20,1467.20,0.00,0.00,576.80,14191.20,578.00,0.00,2054.00,2171.20,8.00,1821.80,83.60,147.60,30.40,117.20,1153.60,28382.40,90160,0,3764684,97.66,1892,687244,5140404,133.35,3321624,338116,5216,2970584,47044,5104,11716,10916,0,0,0.00,0,0.00,2,624,2.04,1.61,1.70,0,147.60,1153.60,28382.40,200.11,4.93,33.38,0.31,4.64,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 19:17:31,50.96,0.00,0.91,0.10,0.10,0.00,0.10,0.00,0.00,47.82,0.40,1816.80,1351.40,0.00,0.00,1673.60,4442.40,25.80,0.00,1096.00,1067.40,0.00,1067.20,99.98,121.60,86.40,35.20,3347.20,8884.80,80204,0,3774640,97.92,1888,696436,5140404,133.35,3319976,349084,5304,2970740,47036,5120,11716,10916,0,0,0.00,0,0.00,1,626,2.11,1.64,1.70,0,121.60,3347.20,8884.80,100.59,1.05,8.64,0.19,2.32,1.60,1.60,0.18,0.13,0.00,0.00,0.00,0.00
2017-09-24 19:17:36,50.76,0.00,1.11,0.10,0.00,0.00,0.00,0.00,0.00,48.02,0.00,1845.80,1491.40,0.00,0.00,2697.60,7.20,13.20,0.00,2201.20,2178.40,0.00,2177.60,99.96,141.20,140.80,0.40,5395.20,14.40,88360,0,3766484,97.71,1872,688720,5140404,133.35,3314704,346396,27436,2970752,47084,5120,11716,10916,0,0,0.00,0,0.00,2,626,2.03,1.63,1.70,0,141.20,5395.20,14.40,38.31,0.04,0.32,0.10,1.36,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
