timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 00:48:18,68.76,0.00,6.39,0.81,0.00,0.00,0.30,0.00,0.00,23.73,26.60,5238.40,3054.80,0.00,0.00,0.80,15829.60,12537.20,0.00,10593.20,0.00,0.00,0.00,0.00,133.80,0.20,133.60,1.60,30062.40,1115712,0,2739132,71.06,5420,809060,3498944,90.77,2096924,539136,181576,1821588,45996,5112,8572,10852,0,0,0.00,0,0.00,2,624,1.45,1.75,2.05,0,134.00,1.60,30113.60,224.74,4.23,27.95,0.46,6.16,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-20 00:48:23,75.38,0.00,2.32,0.00,0.00,0.00,0.00,0.00,0.00,22.30,12.20,1840.40,1505.80,0.00,0.00,0.00,5081.60,12151.60,0.00,4171.80,0.00,0.00,0.00,0.00,60.00,0.00,60.00,0.00,11760.00,832500,0,3022344,78.40,5436,809268,5018324,130.18,2389432,527664,157024,2102428,46356,5504,9920,10852,0,0,0.00,0,0.00,4,674,1.41,1.74,2.04,0,59.80,0.00,11708.80,195.80,1.84,38.94,0.80,4.80,2.80,2.80,0.33,0.22,0.00,0.00,0.00,0.00
2017-09-20 00:48:28,83.11,0.00,2.53,2.33,0.00,0.00,0.00,0.00,0.00,12.03,8.80,2373.20,1978.40,0.00,0.00,0.80,31884.00,6961.80,0.00,4764.80,0.00,0.00,0.00,0.00,250.00,0.20,249.80,1.60,63768.00,455236,0,3399608,88.19,5452,814784,5114984,132.69,2750512,523452,3384,2472160,47048,5704,10788,10852,0,0,0.00,0,0.00,2,697,1.38,1.73,2.04,0,250.00,1.60,63768.00,255.08,40.81,163.23,1.27,31.76,1.60,1.60,0.18,0.13,0.00,0.00,0.00,0.00
2017-09-20 00:48:33,57.58,0.00,4.95,1.31,0.10,0.00,0.00,0.00,0.00,36.06,0.20,1849.60,6289.40,0.00,0.00,0.00,28.00,8998.80,0.00,48154.20,8622.80,7837.00,16444.20,99.91,0.60,0.00,0.60,0.00,56.00,109480,0,3745364,97.16,2704,488680,5163068,133.94,3396008,245720,3468,3150408,42608,5672,12132,10852,0,0,0.00,0,0.00,4,695,1.51,1.75,2.04,0,0.60,0.00,56.00,93.33,0.05,85.33,42.67,2.56,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:48:38,57.91,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,41.28,0.60,1777.40,2317.80,0.00,0.00,0.00,12.80,2873.60,0.00,5811.60,0.00,2683.60,2683.60,100.00,0.40,0.00,0.40,0.00,25.60,96312,0,3758532,97.50,2712,435036,5163068,133.94,3438164,218940,3520,3219356,42328,5680,12280,10852,0,0,0.00,0,0.00,3,696,1.47,1.74,2.04,0,0.40,0.00,25.60,64.00,0.00,4.00,4.00,0.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:48:43,64.55,0.00,0.81,0.10,0.00,0.00,0.00,0.00,0.00,34.55,0.20,1738.80,1253.40,0.00,0.00,0.00,12.80,3949.00,0.00,3255.60,2589.60,205.40,2795.00,100.00,0.40,0.00,0.40,0.00,25.60,81428,0,3773416,97.89,2716,379168,5163068,133.94,3480648,191084,3568,3289880,41836,5688,12424,10852,0,0,0.00,0,0.00,3,697,1.43,1.73,2.03,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 00:48:48,66.33,0.00,0.81,1.01,0.00,0.00,0.00,0.00,0.00,31.85,1.80,1951.20,2405.20,0.00,0.00,32.00,12.00,3909.60,0.00,3941.80,1583.40,0.00,1464.40,92.48,4.60,4.20,0.40,64.00,24.00,63472,0,3791372,98.35,2708,350084,5172312,134.18,3522400,168568,3604,3338184,41044,5744,12588,10852,0,0,0.00,0,0.00,2,704,1.48,1.73,2.03,1,4.60,64.00,24.00,19.13,0.00,0.35,0.17,0.08,1.60,1.60,0.21,0.16,0.00,0.00,0.00,0.00
2017-09-20 00:48:53,57.03,0.00,0.20,10.11,0.10,0.00,0.00,0.00,0.00,32.56,0.00,1765.40,2370.40,0.00,0.00,8.80,108.80,509.20,0.00,2253.00,1958.00,49.60,1889.80,94.13,8.60,1.00,7.60,17.60,217.60,98736,0,3756108,97.44,2444,312632,5172312,134.18,3498172,157660,3372,3340788,40480,5744,12592,10852,0,0,0.00,0,0.00,4,704,1.44,1.72,2.03,0,8.60,17.60,217.60,27.35,0.01,0.84,0.19,0.16,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-20 00:48:58,52.19,0.00,4.48,1.22,0.00,0.00,0.00,0.00,0.00,42.12,0.00,1837.40,3640.00,0.00,0.00,8.80,57560.00,511.40,0.00,15113.80,13967.00,0.00,13952.40,99.90,532.80,2.20,530.60,17.60,115120.00,86956,0,3767888,97.74,364,329412,5172312,134.18,3504992,164656,22524,3340072,38740,5728,12592,10852,0,0,0.00,0,0.00,3,702,1.44,1.72,2.03,0,532.80,17.60,115120.00,216.10,9.01,16.92,0.33,17.36,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:49:03,16.06,0.00,0.75,36.72,0.21,0.00,0.00,0.00,0.00,46.25,0.00,6713.20,6542.20,0.00,0.00,13055.20,4968.00,9397.00,264.00,4339.40,4302.40,0.00,4301.40,99.98,3277.00,3231.60,45.40,26102.40,9936.00,79924,0,3774920,97.93,788,335352,5172312,134.18,3502232,174520,25244,3340656,38432,5728,12832,10852,0,0,0.00,0,0.00,0,702,1.48,1.72,2.03,1,3277.20,26104.00,9936.00,11.00,6.67,2.04,0.24,80.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
