timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 21:48:14,31.62,0.00,1.72,38.28,0.00,0.00,0.00,0.00,0.00,28.38,11.60,1202.80,1003.60,0.00,0.00,0.80,6608.00,7345.20,0.00,9933.60,0.00,0.00,0.00,0.00,51.40,0.20,51.20,1.60,12780.80,1792708,0,2062136,53.49,4596,555152,3287052,85.27,1638788,324256,58280,1403320,44172,4504,7440,10852,0,0,0.00,0,0.00,0,549,3.96,2.49,1.69,4,51.40,1.60,12780.80,248.68,102.94,1847.61,18.85,96.88,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
2017-09-22 21:48:19,28.28,0.00,1.21,69.70,0.00,0.00,0.00,0.00,0.00,0.81,5.80,1324.40,1031.60,0.00,0.00,0.80,7400.00,6345.80,0.00,4715.60,0.00,0.00,0.00,0.00,52.00,0.20,51.80,1.60,13185.60,1640540,0,2214304,57.44,4608,551664,3318512,86.09,1793120,322036,23968,1558884,44120,4712,7792,10852,0,0,0.00,0,0.00,0,575,3.88,2.50,1.70,3,52.00,1.60,13185.60,253.60,125.18,2131.03,19.23,100.00,1.20,1.60,0.12,0.11,0.00,0.00,0.00,0.00
2017-09-22 21:48:24,17.15,0.00,2.32,63.98,0.00,0.00,0.30,0.00,0.00,16.25,1.00,4961.00,1782.60,0.00,0.00,0.00,4224.00,1690.40,0.00,5299.40,0.00,0.00,0.00,0.00,43.00,0.00,43.00,0.00,10497.60,1460652,0,2394192,62.11,4620,680196,3326572,86.30,1852056,442480,131524,1609804,44176,4752,7896,10852,0,0,0.00,0,0.00,2,576,3.73,2.49,1.70,0,43.00,0.00,10497.60,244.13,63.37,1993.30,18.70,80.40,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-22 21:48:29,49.70,0.00,3.85,20.39,0.10,0.00,0.10,0.00,0.00,25.86,13.60,2451.80,2143.40,0.00,0.00,0.80,10968.80,7355.60,0.00,3858.60,0.00,0.00,0.00,0.00,80.40,0.00,80.40,0.00,17212.80,1172392,0,2682452,69.59,4632,809260,3674120,95.31,2015312,562268,206108,1763688,48268,4904,8588,10852,0,0,0.00,0,0.00,0,611,3.75,2.51,1.71,4,80.40,0.00,17212.80,214.09,105.68,838.85,9.47,76.16,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-22 21:48:34,25.30,0.00,1.11,54.25,0.10,0.00,0.00,0.00,0.00,19.23,6.20,1741.40,1146.00,0.00,0.00,12.80,3322.40,4397.20,0.20,524.20,0.00,0.00,0.00,0.00,52.20,0.80,51.40,27.20,11369.60,1078416,0,2776428,72.02,4644,809472,4852752,125.89,2110168,559912,190076,1856000,48592,5216,9196,10852,0,0,0.00,0,0.00,2,638,3.45,2.47,1.71,0,52.20,27.20,11369.60,218.33,66.81,2003.92,18.97,99.04,0.60,0.80,0.07,0.06,0.00,0.00,0.00,0.00
2017-09-22 21:48:39,53.85,0.00,1.93,28.09,0.00,0.00,0.00,0.00,0.00,16.13,8.40,2194.00,1537.00,0.00,0.00,4.00,9532.00,4388.20,0.00,3374.00,0.00,0.00,0.00,0.00,47.80,0.40,47.40,8.00,12134.40,807760,0,3047084,79.05,4652,812252,4891924,126.90,2382908,556700,145176,2122748,48844,5376,9844,10852,0,0,0.00,0,0.00,0,658,3.42,2.48,1.71,1,47.80,8.00,12134.40,254.03,144.09,2066.78,20.89,99.84,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-22 21:48:44,7.03,0.00,0.31,81.87,0.00,0.00,0.10,0.00,0.00,10.69,1.20,1837.40,1169.80,0.00,0.00,2.40,5656.00,655.20,0.20,96.40,0.00,0.00,0.00,0.00,44.60,0.20,44.40,4.80,11278.40,741584,0,3113260,80.76,4660,815028,4936324,128.06,2450520,555384,119828,2186248,48916,5392,9968,10852,0,0,0.00,0,0.00,2,660,3.54,2.52,1.73,1,44.60,4.80,11278.40,252.99,101.82,2687.46,22.42,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:48:49,54.45,0.00,1.82,14.88,0.00,0.00,0.00,0.00,0.00,28.85,0.00,1773.80,1295.20,0.00,0.00,1.60,5828.80,144.00,0.00,15527.00,0.00,0.00,0.00,0.00,45.20,0.20,45.00,1.60,11502.40,291392,0,3563452,92.44,4672,815064,4936324,128.06,2881592,555260,90800,2635560,48904,5376,10856,10852,0,0,0.00,0,0.00,2,658,3.58,2.55,1.74,2,45.20,1.60,11502.40,254.51,108.81,2831.20,22.12,100.00,1.40,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-22 21:48:54,53.04,0.00,2.23,44.64,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1790.60,2700.40,0.00,0.00,0.80,6860.80,943.40,0.00,20804.80,3278.80,4147.00,7415.40,99.86,54.80,0.40,54.40,3.20,13926.40,111700,0,3743144,97.10,3276,668188,4978312,129.14,3228856,406736,56516,2964128,47684,5368,11508,10852,0,0,0.00,0,0.00,1,657,3.53,2.55,1.75,2,54.80,3.20,13926.40,254.19,142.68,1953.66,18.25,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:48:59,51.57,0.00,0.20,34.92,0.00,0.00,0.00,0.00,0.00,13.30,0.40,1739.20,1237.20,0.00,0.00,0.00,7024.00,23.00,0.00,31.20,0.00,0.00,0.00,0.00,54.00,0.00,54.00,0.00,13740.80,111592,0,3743252,97.11,3284,668208,4978312,129.14,3228876,406752,21492,2964136,47680,5368,11508,10852,0,0,0.00,0,0.00,2,657,3.57,2.58,1.76,2,54.00,0.00,13740.80,254.46,108.46,2140.81,18.53,100.08,0.80,0.80,0.10,0.06,0.00,0.00,0.00,0.00
