timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 00:36:35,60.69,0.00,5.70,8.45,0.10,0.00,0.41,0.00,0.00,24.64,18.40,4141.60,2822.00,0.00,0.00,4576.00,66.40,11314.60,7.00,9277.60,0.00,0.00,0.00,0.00,526.80,523.00,3.80,9152.00,132.80,1557364,0,2297480,59.60,7256,396156,3480492,90.29,2021080,180196,105224,1804276,35452,5016,8488,10852,0,0,0.00,0,0.00,2,615,1.32,1.18,1.47,0,526.80,9152.00,132.80,17.62,0.32,0.61,0.44,23.36,1.20,1.20,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-23 00:36:40,59.73,0.00,4.89,0.82,0.00,0.00,0.20,0.00,0.00,34.35,14.20,3265.80,2486.80,0.00,0.00,28.80,15880.00,6907.80,0.60,3902.00,0.00,0.00,0.00,0.00,145.60,2.40,143.20,57.60,31760.00,1218560,0,2636284,68.39,7296,551740,3833568,99.45,2221764,318724,181992,1981496,40248,5288,9312,10852,0,0,0.00,0,0.00,0,647,1.22,1.16,1.46,0,145.60,57.60,31760.00,218.53,4.23,29.07,0.52,7.52,2.60,2.60,0.30,0.21,0.00,0.00,0.00,0.00
2017-09-23 00:36:45,79.74,0.00,3.23,3.23,0.10,0.00,0.00,0.00,0.00,13.71,15.60,2413.80,1938.80,0.00,0.00,19.20,36804.80,9466.00,0.20,3989.40,0.00,0.00,0.00,0.00,290.00,1.80,288.20,38.40,73609.60,817280,0,3037564,78.80,7336,557376,5100472,132.31,2625180,313996,3728,2374344,40844,5696,10488,10852,0,0,0.00,0,0.00,3,703,1.28,1.17,1.47,0,290.00,38.40,73609.60,253.96,51.82,178.69,1.37,39.60,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 00:36:50,88.59,0.00,2.42,0.00,0.00,0.00,0.00,0.00,0.00,8.99,0.60,2095.40,1461.40,0.00,0.00,0.00,33.60,3217.20,0.00,11012.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,67.20,323912,0,3530932,91.60,7344,557496,5123920,132.92,3116440,307064,3840,2866860,40948,5704,11420,10852,0,0,0.00,0,0.00,8,699,1.34,1.18,1.47,0,0.60,0.00,67.20,112.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 00:36:55,98.60,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.20,1963.00,1333.20,0.00,0.00,0.00,14.40,137.80,0.00,725.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,28.80,315588,0,3539256,91.81,7352,564620,5123920,132.92,3126772,312900,11052,2867864,41092,5704,11572,10852,0,0,0.00,0,0.00,3,698,1.39,1.20,1.47,0,0.40,0.00,28.80,72.00,0.00,2.00,2.00,0.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 00:37:00,74.80,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,24.19,0.20,1820.40,1289.20,0.00,0.00,0.00,0.00,601.20,0.00,2021.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286220,0,3568624,92.58,7352,572212,5123920,132.92,3147004,311276,18656,2888984,41344,5696,11628,10852,0,0,0.00,0,0.00,1,698,1.36,1.19,1.47,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 00:37:05,80.41,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,17.46,0.00,2193.00,1951.20,0.00,0.00,0.00,20.00,2365.00,0.00,11227.20,2768.40,0.00,2517.80,90.95,0.40,0.00,0.40,0.00,40.00,76028,0,3778816,98.03,6280,533560,5123920,132.92,3408792,270292,29416,3139272,40900,5688,12068,10852,0,0,0.00,0,0.00,3,697,1.65,1.26,1.49,0,0.40,0.00,40.00,100.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 00:37:10,84.69,0.00,2.42,0.50,0.00,0.00,0.00,0.00,0.00,12.39,1.80,2021.00,5005.00,0.00,0.00,17.60,7280.00,5887.60,0.00,14590.20,5016.00,2695.60,7708.00,99.95,85.60,3.40,82.20,35.20,14560.00,80776,0,3774068,97.90,3200,393532,5195096,134.77,3484860,189316,4272,3277376,40172,5760,12432,10852,0,0,0.00,0,0.00,4,706,1.68,1.27,1.49,0,85.60,35.20,14560.00,170.50,4.24,49.50,0.95,8.16,1.40,1.40,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-23 00:37:15,83.45,0.00,1.11,0.00,0.10,0.00,0.00,0.00,0.00,15.34,0.00,2079.80,2330.20,0.00,0.00,0.00,47.20,785.60,0.00,1316.20,590.60,0.00,590.60,100.00,0.60,0.00,0.60,0.00,94.40,78376,0,3776468,97.97,3244,394788,5209444,135.14,3497276,178944,17604,3278280,40056,5760,12432,10852,0,0,0.00,0,0.00,7,706,1.62,1.26,1.49,0,0.60,0.00,94.40,157.33,0.00,1.33,1.33,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 00:37:20,87.03,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,11.85,0.60,2458.60,1721.80,0.00,0.00,8.00,40.80,1214.00,0.00,1871.80,1155.00,0.00,1155.00,100.00,2.20,1.60,0.60,16.00,81.60,79356,0,3775488,97.94,3284,384456,5209444,135.14,3495604,180432,30440,3288300,39776,5768,12456,10852,0,0,0.00,0,0.00,3,707,1.65,1.28,1.49,0,2.20,16.00,81.60,44.36,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 00:37:25,82.84,0.00,1.12,0.30,0.00,0.00,0.00,0.00,0.00,15.74,0.20,2288.00,1729.80,0.00,0.00,15.20,7825.60,1579.20,0.20,2495.60,1153.80,0.00,1153.80,100.00,72.20,0.40,71.80,30.40,15651.20,84432,0,3770412,97.81,3316,374536,5209444,135.14,3487932,182696,4612,3292872,39464,5768,12476,10852,0,0,0.00,0,0.00,5,708,1.60,1.27,1.49,0,72.20,30.40,15651.20,217.20,2.35,32.49,0.30,2.16,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 00:37:30,87.36,0.00,0.91,0.00,0.00,0.00,0.10,0.00,0.00,11.63,0.20,1969.80,1376.20,0.00,0.00,2.40,39.20,683.80,0.20,1921.00,1178.20,0.00,1178.20,100.00,1.20,0.60,0.60,4.80,78.40,96120,0,3758724,97.51,3332,363696,5209444,135.14,3480048,179500,17512,3292520,38796,5768,12484,10852,0,0,0.00,0,0.00,2,707,1.63,1.28,1.49,0,1.20,4.80,78.40,69.33,0.00,3.33,1.33,0.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 00:37:35,83.74,0.00,0.71,0.00,0.10,0.00,0.00,0.00,0.00,15.45,0.00,2047.20,1447.80,0.00,0.00,0.00,25.60,693.60,0.00,701.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,51.20,82696,0,3772148,97.85,3352,377960,5199744,134.89,3493100,180680,31828,3292444,38788,5760,12484,10852,0,0,0.00,0,0.00,2,706,1.58,1.28,1.49,0,0.40,0.00,51.20,128.00,0.00,2.00,2.00,0.08,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-23 00:37:40,87.27,0.00,1.01,0.20,0.00,0.00,0.00,0.00,0.00,11.52,0.00,1853.00,2064.60,0.00,0.00,0.80,6976.00,911.80,0.00,1480.80,1153.00,0.00,709.00,61.49,66.60,0.20,66.40,1.60,13952.00,83456,0,3771388,97.84,3348,375340,5188660,134.60,3491252,181580,8716,3294152,38712,5736,12484,10852,0,0,0.00,0,0.00,3,703,1.62,1.29,1.49,0,66.60,1.60,13952.00,209.51,1.40,20.97,0.29,1.92,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 00:37:45,85.03,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,14.27,0.00,1880.40,1308.80,0.00,0.00,0.00,38.40,469.40,0.00,682.40,186.60,0.00,180.20,96.57,0.60,0.00,0.60,0.00,76.80,76688,0,3778156,98.01,3360,382172,5178380,134.33,3493152,185800,21804,3293624,38720,5728,12484,10852,0,0,0.00,0,0.00,5,701,1.57,1.29,1.49,0,0.60,0.00,76.80,128.00,0.00,1.33,1.33,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 00:37:50,87.50,0.00,1.21,0.20,0.00,0.00,0.00,0.00,0.00,11.09,0.00,2608.60,1685.80,0.00,0.00,0.00,6952.00,3086.80,0.00,4236.00,2105.80,0.00,2112.20,100.30,63.20,0.00,63.20,0.00,13904.00,84380,0,3770464,97.81,3340,355336,5178380,134.33,3497244,174360,120,3312948,38696,5720,12512,10852,0,0,0.00,0,0.00,2,701,1.60,1.30,1.49,0,63.20,0.00,13904.00,220.00,2.20,34.80,0.30,1.92,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 00:37:55,87.61,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,11.98,0.00,1823.00,1326.00,0.00,0.00,0.00,38.40,460.20,0.00,661.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,76.80,79640,0,3775204,97.93,3356,363944,5169424,134.10,3502120,174332,8932,3309152,38700,5720,12512,10852,0,0,0.00,0,0.00,3,701,1.63,1.31,1.50,0,0.60,0.00,76.80,128.00,0.00,1.33,1.33,0.08,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-23 00:38:00,82.78,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,16.21,0.00,2023.00,1529.40,0.00,0.00,0.00,22.40,1002.40,0.00,2074.00,1117.60,0.00,1117.60,100.00,0.40,0.00,0.40,0.00,44.80,84948,0,3769896,97.80,3352,358780,5159832,133.85,3494696,176856,26128,3309280,38632,5720,12512,10852,0,0,0.00,0,0.00,1,701,2.06,1.40,1.53,0,0.40,0.00,44.80,112.00,0.00,2.00,2.00,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 00:38:05,82.40,0.00,0.93,0.10,0.10,0.00,0.10,0.00,0.00,16.36,0.00,5488.00,2376.60,0.00,0.00,1.60,6979.20,1516.20,0.00,1548.60,0.00,0.00,0.00,0.00,66.20,0.40,65.80,3.20,13958.40,76924,0,3777920,98.00,3384,367412,5159832,133.85,3502816,176768,116,3308828,38632,5720,12532,10852,0,0,0.00,0,0.00,3,701,2.06,1.41,1.53,0,66.20,3.20,13958.40,210.90,2.25,33.97,0.34,2.24,1.40,1.40,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-23 00:38:10,87.65,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,11.65,0.00,1787.40,1349.80,0.00,0.00,0.00,35.20,456.20,0.00,1578.00,1112.00,0.00,1110.40,99.86,0.80,0.00,0.80,0.00,70.40,89936,0,3764908,97.67,3064,354140,5152176,133.65,3489720,176452,8900,3308860,38580,5720,12532,10852,0,0,0.00,0,0.00,3,701,2.05,1.42,1.53,0,0.80,0.00,70.40,88.00,0.00,1.00,1.00,0.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 00:38:15,87.34,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,12.06,0.00,1760.00,1283.40,0.00,0.00,0.00,22.40,458.60,0.00,462.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,44.80,81236,0,3773608,97.89,3072,362760,5152176,133.65,3498356,176380,17568,3308952,38592,5720,12532,10852,0,0,0.00,0,0.00,3,701,2.05,1.43,1.53,0,0.40,0.00,44.80,112.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 00:38:20,86.78,0.00,1.01,0.00,0.10,0.00,0.00,0.00,0.00,12.11,0.40,2537.00,2090.40,0.00,0.00,4.00,16.00,666.40,0.00,1582.00,1085.00,0.00,1076.40,99.21,1.40,1.00,0.40,8.00,32.00,91440,0,3763404,97.63,1820,351136,5152176,133.65,3496032,168960,26228,3312060,38572,5712,12536,10852,0,0,0.00,0,0.00,3,700,2.04,1.44,1.54,0,1.40,8.00,32.00,28.57,0.00,0.57,0.57,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 00:38:25,85.19,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,13.97,0.00,5964.60,2719.20,0.00,0.00,0.00,6976.80,1962.20,0.00,3014.80,1053.00,0.00,1052.40,99.94,65.60,0.00,65.60,0.00,13953.60,103356,0,3751488,97.32,860,339668,5152176,133.65,3482488,170276,112,3312236,38564,5712,12544,10852,0,0,0.00,0,0.00,3,700,2.04,1.45,1.54,0,65.60,0.00,13953.60,212.71,2.25,34.24,0.45,2.96,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 00:38:30,86.82,0.00,0.81,0.00,0.10,0.00,0.00,0.00,0.00,12.27,0.00,3210.40,1553.00,0.00,0.00,8.00,31.20,657.20,0.20,667.40,0.00,0.00,0.00,0.00,1.80,1.20,0.60,16.00,62.40,94592,0,3760252,97.55,880,348312,5152176,133.65,3491128,170304,8904,3312244,38564,5696,12544,10852,0,0,0.00,0,0.00,3,698,1.96,1.44,1.54,0,1.80,16.00,62.40,43.56,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-23 00:38:35,87.83,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,11.67,0.00,1770.60,1315.20,0.00,0.00,2.40,24.00,453.20,0.00,483.40,0.00,0.00,0.00,0.00,1.00,0.60,0.40,4.80,48.00,86408,0,3768436,97.76,900,356924,5152176,133.65,3495224,174416,17576,3311828,38564,5696,12544,10852,0,0,0.00,0,0.00,2,698,1.96,1.45,1.54,0,1.00,4.80,48.00,52.80,0.00,0.80,0.80,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 00:38:40,87.41,0.00,0.70,0.10,0.00,0.00,0.00,0.00,0.00,11.78,0.40,1888.00,1412.40,0.00,0.00,0.80,29.60,522.20,0.00,467.60,0.00,0.00,0.00,0.00,0.80,0.20,0.60,1.60,59.20,76556,0,3778288,98.01,912,365536,5152176,133.65,3509276,170288,26248,3313116,38664,5712,12544,10852,0,0,0.00,0,0.00,3,700,1.96,1.46,1.54,0,0.80,1.60,59.20,76.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 00:38:45,85.33,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,13.87,0.00,1800.40,1414.60,0.00,0.00,27.20,6985.60,463.40,0.20,1571.80,1105.80,0.00,1105.60,99.98,66.60,1.00,65.60,54.40,13971.20,89360,0,3765484,97.68,932,352172,5152176,133.65,3496096,170200,300,3313200,38952,5712,12544,10852,0,0,0.00,0,0.00,1,700,1.97,1.47,1.54,0,66.60,54.40,13971.20,210.59,1.65,24.79,0.29,1.92,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 00:38:50,86.95,0.00,0.80,0.00,0.00,0.00,0.10,0.00,0.00,12.15,2.20,2290.20,1561.00,0.00,0.00,671.20,29.60,2007.00,7.00,1800.20,1074.80,0.00,1074.80,100.00,68.40,67.80,0.60,1342.40,59.20,83328,0,3771516,97.84,1952,341656,5152176,133.65,3502548,169800,9012,3328744,39128,5712,12576,10852,0,0,0.00,0,0.00,2,700,1.89,1.46,1.54,0,68.40,1342.40,59.20,20.49,0.08,1.22,0.25,1.68,1.20,1.20,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-23 00:38:55,87.11,0.00,0.50,0.10,0.10,0.00,0.00,0.00,0.00,12.19,0.00,1873.85,1400.20,0.00,0.00,0.80,12.77,503.19,0.00,1086.83,541.72,0.00,541.72,100.00,0.60,0.20,0.40,1.60,25.55,85672,0,3769172,97.78,1968,339420,5152176,133.65,3501888,167644,17640,3328156,39336,5712,12576,10852,0,0,0.00,0,0.00,3,700,1.90,1.47,1.54,0,0.60,1.60,25.55,45.33,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-23 00:39:00,83.97,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,15.32,0.00,1872.40,1467.20,0.00,0.00,0.00,30.40,679.20,0.00,1764.20,1075.60,0.00,1073.40,99.80,0.60,0.00,0.60,0.00,60.80,93824,0,3761020,97.57,1896,331088,5152176,133.65,3494680,166744,30748,3328220,39556,5712,12576,10852,0,0,0.00,0,0.00,1,700,1.83,1.47,1.54,0,0.60,0.00,60.80,101.33,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 00:39:05,87.66,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,11.63,0.00,2603.00,1439.20,0.00,0.00,0.00,6923.20,296.20,0.00,296.00,0.00,0.00,0.00,0.00,66.40,0.00,66.40,0.00,13846.40,90032,0,3764812,97.66,1908,335396,5152176,133.65,3503348,162368,4588,3328268,39504,5712,12576,10852,0,0,0.00,0,0.00,3,700,1.84,1.47,1.54,0,66.40,0.00,13846.40,208.53,1.88,28.28,0.27,1.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 00:39:10,88.02,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,11.48,0.00,1750.20,1327.40,0.00,0.00,0.00,0.00,446.60,0.00,454.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81104,0,3773740,97.90,1912,343868,5152176,133.65,3511932,162172,13068,3328348,39616,5712,12576,10852,0,0,0.00,0,0.00,3,700,1.85,1.48,1.54,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-23 00:39:15,85.86,0.00,1.13,0.00,0.00,0.00,0.00,0.00,0.00,13.01,0.00,4689.60,2612.40,0.00,0.00,0.00,22.40,1732.20,0.00,3320.20,2032.80,0.00,2031.80,99.95,0.40,0.00,0.40,0.00,44.80,103996,0,3750848,97.30,1860,312064,5152176,133.65,3497928,153684,21884,3337536,39376,5704,12592,10852,0,0,0.00,0,0.00,5,699,1.86,1.49,1.55,0,0.40,0.00,44.80,112.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 00:39:20,82.19,0.00,0.93,0.93,0.10,0.00,0.10,0.00,0.00,15.73,0.40,5754.60,2474.20,0.00,0.00,28.80,6082.40,1691.20,0.20,1533.00,0.00,0.00,0.00,0.00,65.20,7.20,58.00,57.60,12164.80,84916,0,3769928,97.80,2008,328500,5152176,133.65,3514540,156620,8116,3340720,39320,5704,12592,10852,0,0,0.00,0,0.00,3,699,1.88,1.50,1.55,0,65.20,57.60,12164.80,187.46,1.70,26.16,0.26,1.68,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 00:39:25,82.87,0.00,1.04,0.00,0.10,0.00,0.00,0.00,0.00,15.99,0.00,5000.80,2578.00,0.00,0.00,0.80,34.40,2282.00,0.00,3899.20,1439.20,0.00,1429.20,99.31,0.80,0.20,0.60,1.60,68.80,106872,0,3747972,97.23,1996,309184,5152176,133.65,3493344,155492,17524,3337692,38992,5704,12620,10852,0,0,0.00,0,0.00,3,699,1.89,1.51,1.55,0,0.80,1.60,68.80,88.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
