timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 21:24:55,43.75,0.00,3.49,0.05,0.05,0.00,0.25,0.00,0.00,52.41,30.40,4927.80,4869.40,0.00,0.00,0.80,104.80,18984.20,0.00,16181.00,0.00,0.00,0.00,0.00,6.20,0.20,6.00,1.60,209.60,4876772,0,2782740,36.33,7696,977948,3846872,50.22,2016988,627060,518092,1658428,57100,5192,8524,17940,0,0,0.00,0,0.00,1,631,3.68,2.92,1.76,0,6.20,1.60,209.60,34.06,0.00,0.77,0.52,0.32,2.80,2.80,0.34,0.23,0.00,0.00,0.00,0.00
2017-09-22 21:25:00,44.77,0.00,2.03,25.18,0.05,0.00,0.00,0.00,0.00,27.97,21.60,2787.40,2861.60,0.00,0.00,0.00,25830.40,14862.60,0.00,5965.60,0.00,0.00,0.00,0.00,191.40,0.00,191.40,0.00,47176.00,4337164,0,3322348,43.38,7708,978160,9022548,117.80,2561116,619556,389520,2194808,58100,5808,10256,17940,0,0,0.00,0,0.00,2,714,3.71,2.94,1.77,1,191.40,0.00,47176.00,246.48,122.20,565.97,5.04,96.56,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-22 21:25:05,51.49,0.00,2.68,5.22,0.00,0.00,0.00,0.00,0.00,40.61,10.40,3061.40,2722.20,0.00,0.00,128.80,5177.60,3970.20,3.20,27755.60,0.00,0.00,0.00,0.00,73.40,20.40,53.00,257.60,8899.20,2902220,0,4757292,62.11,8000,989244,9156396,119.54,3976460,620496,374672,3614048,58704,6048,12928,17940,0,0,0.00,0,0.00,3,740,3.65,2.94,1.78,0,73.40,257.60,8899.20,124.75,25.96,405.13,5.72,42.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-22 21:25:10,50.30,0.00,1.91,3.52,0.05,0.00,0.00,0.00,0.00,44.21,0.00,2044.60,1591.40,0.00,0.00,0.00,3224.00,251.60,0.00,67984.60,0.00,0.00,0.00,0.00,48.20,0.00,48.20,0.00,10368.00,1942100,0,5717412,74.64,8004,989268,9156396,119.54,4901632,620508,358856,4571972,58688,6000,15048,17940,0,0,0.00,0,0.00,0,736,3.52,2.92,1.78,7,48.20,0.00,10368.00,215.10,13.85,448.73,3.68,17.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:25:15,50.38,0.00,1.91,22.82,0.00,0.00,0.00,0.00,0.00,24.89,0.00,2122.40,1843.20,0.00,0.00,0.80,19688.80,240.20,0.00,59340.00,0.00,0.00,0.00,0.00,132.40,0.20,132.20,1.60,33206.40,1153480,0,6506032,84.94,8024,989296,9156396,119.54,5698816,620528,260784,5358888,58852,5992,16684,17940,0,0,0.00,0,0.00,2,735,3.48,2.93,1.79,1,132.40,1.60,33206.40,250.82,127.42,878.73,7.55,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:25:20,43.95,0.00,0.40,27.22,0.00,0.00,0.00,0.00,0.00,28.43,0.00,2203.80,1854.40,0.00,0.00,0.80,13916.80,57.60,0.00,10825.20,0.00,0.00,0.00,0.00,110.20,0.20,110.00,1.60,28089.60,1044868,0,6614644,86.36,8036,989336,9156396,119.54,5844332,620512,191068,5467472,58772,5976,17112,17940,0,0,0.00,0,0.00,3,732,3.44,2.93,1.79,1,110.20,1.60,28089.60,254.91,127.33,1081.07,9.07,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-22 21:25:25,51.54,0.00,0.15,27.96,0.00,0.00,0.00,0.00,0.00,20.35,0.00,2170.40,1809.40,0.00,0.00,0.00,13964.80,16.00,0.00,29.40,0.00,0.00,0.00,0.00,109.20,0.00,109.20,0.00,27878.40,1044884,0,6614628,86.36,8044,989364,9156396,119.54,5844260,620536,121488,5467388,58760,5968,17112,17940,0,0,0.00,0,0.00,5,732,3.40,2.93,1.80,1,109.20,0.00,27878.40,255.30,120.88,1165.70,9.16,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-22 21:25:30,46.70,0.00,0.25,22.27,0.05,0.00,0.00,0.00,0.00,30.73,0.40,2224.35,1913.17,0.00,0.00,0.80,13882.63,160.08,0.00,260.88,0.00,0.00,0.00,0.00,110.78,0.20,110.58,1.60,28225.15,1043960,0,6615552,86.37,8056,989396,9156396,119.54,5845236,620524,51888,5468656,58756,5976,17112,17940,0,0,0.00,0,0.00,5,734,3.37,2.93,1.81,1,110.78,1.60,28225.15,254.80,126.88,1092.98,9.02,99.96,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:25:35,54.53,0.00,1.56,16.06,0.00,0.00,0.00,0.00,0.00,27.84,0.00,2095.60,1896.00,0.00,0.00,0.00,10302.40,1122.40,0.00,47633.80,0.00,0.00,0.00,0.00,110.40,0.00,110.40,0.00,28131.20,504312,0,7155200,93.42,8064,989424,9156396,119.54,6338340,620528,472,6008488,58820,5984,17740,17940,0,0,0.00,0,0.00,4,734,3.50,2.96,1.82,0,110.40,0.00,28131.20,254.81,102.75,1120.67,8.24,90.96,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:25:40,53.45,0.00,2.47,0.00,0.00,0.00,0.00,0.00,0.00,44.09,0.00,2194.00,13010.80,0.00,0.00,25.60,61.60,9390.40,0.20,52882.80,5016.20,9166.40,14170.80,99.92,3.00,0.20,2.80,51.20,123.20,156416,0,7503096,97.96,4768,709512,9232696,120.54,6993768,363720,348,6643016,55152,5976,19456,17940,0,0,0.00,0,0.00,2,733,3.38,2.95,1.83,0,3.00,51.20,123.20,58.13,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:25:45,52.57,0.00,0.10,0.00,0.05,0.00,0.00,0.00,0.00,47.28,0.40,2130.40,1692.60,0.00,0.00,0.00,60.00,29.20,0.00,28.40,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,120.00,156508,0,7503004,97.96,4776,709468,9232696,120.54,6993768,363576,184,6643148,55048,5984,19456,17940,0,0,0.00,0,0.00,3,734,3.27,2.93,1.83,0,5.60,0.00,120.00,21.43,0.00,0.43,0.14,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
