timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 23:03:02,40.31,0.00,2.01,0.00,0.15,0.00,0.00,0.00,0.00,57.52,51.60,2139.00,2482.60,0.00,0.00,1150.40,91.20,33363.20,0.00,26307.00,0.00,0.00,0.00,0.00,20.20,15.80,4.40,2300.80,182.40,1903644,0,5755868,75.15,28152,3903140,2810208,36.69,2056412,3457012,644,1584356,159228,4984,8800,17940,0,0,0.00,0,0.00,2,609,1.04,3.88,4.55,0,20.20,2300.80,182.40,122.93,0.05,2.26,0.32,0.64,3.40,3.40,0.40,0.28,0.00,0.00,0.00,0.00
2017-09-20 23:03:07,37.77,0.00,1.31,2.86,0.05,0.00,0.00,0.00,0.00,58.01,1.80,2112.80,2273.80,0.00,0.00,780.00,2556.00,2809.80,0.00,42374.40,0.00,0.00,0.00,0.00,244.40,10.00,234.40,1560.00,5112.00,2482940,0,5176572,67.58,30444,3172984,2933348,38.30,2169436,2767896,1744,1733940,156880,5056,9172,17940,0,0,0.00,0,0.00,1,618,1.04,3.83,4.53,0,244.40,1560.00,5112.00,27.30,0.22,0.89,0.67,16.32,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-20 23:03:12,34.21,0.00,1.52,0.56,0.15,0.00,0.05,0.00,0.00,63.51,25.40,3151.40,3302.60,0.00,0.00,1171.20,353.60,10122.00,0.00,5431.00,0.00,0.00,0.00,0.00,48.20,15.40,32.80,2342.40,707.20,2263116,0,5396396,70.45,30688,3209012,3242160,42.33,2354256,2801736,36172,1916332,156796,5320,10148,17940,0,0,0.00,0,0.00,1,653,0.95,3.77,4.51,0,48.20,2342.40,707.20,63.27,0.07,1.51,0.61,2.96,5.00,5.20,0.68,0.90,0.00,0.00,0.00,0.00
2017-09-20 23:03:17,43.47,0.00,1.86,0.05,0.05,0.00,0.00,0.00,0.00,54.57,34.80,2420.80,1992.60,0.00,0.00,564.80,64.00,14047.40,0.00,6288.60,0.00,0.00,0.00,0.00,11.60,9.80,1.80,1129.60,128.00,1864616,0,5794896,75.66,30720,3207528,4335908,56.61,2744356,2800228,37108,2310444,157988,6472,12104,17940,0,0,0.00,0,0.00,10,795,0.88,3.71,4.48,0,11.60,1129.60,128.00,108.41,0.04,3.03,0.14,0.16,2.80,2.60,0.30,0.21,0.00,0.00,0.00,0.00
2017-09-20 23:03:22,96.85,0.00,2.90,0.00,0.00,0.00,0.05,0.00,0.00,0.20,14.80,3174.00,1806.60,0.00,0.00,2813.60,60.80,19758.00,0.00,13247.00,0.00,0.00,0.00,0.00,26.20,25.40,0.80,5627.20,121.60,1426768,0,6232744,81.37,30728,3217216,4558028,59.51,3156360,2808756,38192,2736052,158640,6792,13244,17940,0,0,0.00,0,0.00,6,837,1.45,3.78,4.50,0,26.20,5627.20,121.60,219.42,0.10,3.63,0.27,0.72,2.60,2.60,0.27,0.21,0.00,0.00,0.00,0.00
2017-09-20 23:03:27,97.90,0.00,1.75,0.00,0.00,0.00,0.10,0.00,0.00,0.25,1.60,10392.60,2110.80,0.00,0.00,11926.40,36.00,8655.20,0.00,934.60,0.00,0.00,0.00,0.00,98.20,95.80,2.40,23852.80,72.00,968184,0,6691328,87.36,30740,3274328,4858952,63.44,3576896,2865544,38356,3137468,158936,6808,14224,17940,0,0,0.00,0,0.00,11,837,2.21,3.90,4.54,0,98.20,23852.80,72.00,243.63,0.29,3.00,0.31,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 23:03:32,98.60,0.00,1.30,0.00,0.00,0.00,0.05,0.00,0.00,0.05,0.00,16429.60,1803.80,0.00,0.00,6144.00,7666.40,1245.20,0.00,344.80,0.00,0.00,0.00,0.00,140.00,48.00,92.00,12288.00,15332.80,916896,0,6742616,88.03,30748,3299972,4769520,62.27,3601484,2891348,72,3162548,159064,6808,14288,17940,0,0,0.00,0,0.00,9,834,3.16,4.07,4.59,0,140.00,12288.00,15332.80,197.29,2.43,17.34,0.28,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 23:03:37,97.40,0.00,2.20,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,7661.80,2406.40,0.00,0.00,42598.40,52.80,250.40,0.00,440.40,0.00,0.00,0.00,0.00,333.60,332.80,0.80,85196.80,105.60,706608,0,6952904,90.77,30756,3507820,4769520,62.27,3604052,3099708,488,3165244,158912,6776,14288,17940,0,0,0.00,0,0.00,5,833,3.30,4.08,4.59,0,333.60,85196.80,105.60,255.70,1.00,3.01,0.31,10.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 23:03:42,97.55,0.00,2.10,0.00,0.05,0.00,0.20,0.00,0.00,0.10,6.80,5229.00,1973.40,0.00,0.00,18024.80,8.80,1831.20,0.00,697.60,0.00,0.00,0.00,0.00,159.20,158.40,0.80,36049.60,17.60,570984,0,7088528,92.55,30768,3635936,4946264,64.58,3654692,3185120,43732,3173032,158508,6776,14508,17940,0,0,0.00,0,0.00,5,842,3.52,4.11,4.60,0,159.20,36049.60,17.60,226.55,0.50,3.13,0.27,4.32,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
2017-09-20 23:03:47,94.43,0.00,3.91,0.00,0.00,0.00,0.00,0.00,0.00,1.65,30.60,3565.60,1915.80,0.00,0.00,0.00,68.80,26007.00,0.00,67017.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,137.60,1115108,0,6544404,85.44,30796,3686500,4468076,58.33,3114932,3179892,100732,2579476,158464,6664,12904,17940,0,0,0.00,0,0.00,11,821,4.28,4.26,4.64,0,1.00,0.00,137.60,137.60,0.00,2.40,0.80,0.08,2.80,2.80,0.30,0.23,0.00,0.00,0.00,0.00
