timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 22:35:38,32.77,0.00,3.31,1.53,0.05,0.00,0.10,0.00,0.00,62.24,29.80,4460.20,4118.00,0.00,0.00,0.00,5861.60,14420.80,0.00,18911.40,0.00,0.00,0.00,0.00,26.20,0.00,26.20,0.00,4184.00,4920500,0,2739012,35.76,4260,832416,3990456,52.10,2068660,536296,360024,1768204,52104,5136,8636,17940,0,0,0.00,0,0.00,1,646,2.36,2.22,2.25,1,26.20,0.00,4184.00,159.69,10.91,52.58,3.11,8.16,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-22 22:35:43,16.41,0.00,0.45,58.13,0.00,0.00,0.00,0.00,0.00,25.01,2.99,1601.00,1591.62,0.00,0.00,0.00,6647.50,3420.16,0.00,2696.01,0.00,0.00,0.00,0.00,53.69,0.00,53.69,0.00,13593.61,4852724,0,2806788,36.64,4272,832504,4052228,52.90,2143668,529552,327236,1836620,52428,5256,9004,17940,0,0,0.00,0,0.00,3,655,2.73,2.30,2.28,1,53.69,0.00,13593.61,253.17,111.05,1550.62,18.59,99.80,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-22 22:35:48,10.62,0.00,0.50,48.41,0.05,0.00,0.00,0.00,0.00,40.41,7.00,1801.40,1505.60,0.00,0.00,0.80,5639.20,5012.00,0.00,3630.40,0.00,0.00,0.00,0.00,48.60,0.20,48.40,1.60,12126.40,4722316,0,2937196,38.35,4284,832536,6677272,87.18,2275296,526780,299192,1965468,52436,5400,9440,17940,0,0,0.00,0,0.00,3,684,3.07,2.37,2.30,1,48.60,1.60,12126.40,249.55,106.40,2254.24,20.58,100.00,1.60,1.40,0.16,0.11,0.00,0.00,0.00,0.00
2017-09-22 22:35:53,17.18,0.00,0.71,55.42,0.00,0.00,0.00,0.00,0.00,26.70,11.20,2248.60,1776.00,0.00,0.00,0.00,5911.20,5327.40,0.00,1694.80,0.00,0.00,0.00,0.00,42.40,0.00,42.40,0.00,10516.80,4467416,0,3192096,41.67,4292,832660,9220060,120.37,2530472,525060,269832,2218588,52944,5728,10440,17940,0,0,0.00,0,0.00,6,722,3.14,2.40,2.31,1,42.40,0.00,10516.80,248.04,99.58,3004.89,23.58,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-22 22:35:58,29.36,0.00,1.47,19.32,0.05,0.00,0.00,0.00,0.00,49.80,12.20,3168.60,2934.80,0.00,0.00,0.00,2898.40,7376.20,0.00,5873.20,0.00,0.00,0.00,0.00,59.20,0.00,59.20,0.00,12468.80,3947748,0,3711764,48.46,4300,843124,9365868,122.28,3042352,525772,266008,2724376,53944,6120,11348,17940,0,0,0.00,0,0.00,4,759,3.29,2.44,2.33,0,59.20,0.00,12468.80,210.62,91.04,1625.81,15.27,90.40,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-22 22:36:03,56.04,0.00,2.88,0.05,0.00,0.00,0.00,0.00,0.00,41.02,0.00,2398.20,2163.40,0.00,0.00,0.00,36.00,918.20,0.00,66649.80,0.00,0.00,0.00,0.00,5.40,0.00,5.40,0.00,1182.40,2483756,0,5175756,67.57,4312,843492,9365868,122.28,4490680,524944,266276,4184224,54164,6184,14344,17940,0,0,0.00,0,0.00,3,757,3.19,2.44,2.33,0,5.40,0.00,1182.40,218.96,1.10,425.33,17.33,9.36,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 22:36:08,54.22,0.00,2.12,5.96,0.00,0.00,0.00,0.00,0.00,37.71,0.00,2221.60,1817.80,0.00,0.00,0.00,4877.60,214.80,0.00,61227.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,0.00,3603.20,1709836,0,5949676,77.68,4316,843528,9365868,122.28,5218960,524972,242120,4955388,54220,6152,15916,17940,0,0,0.00,0,0.00,2,752,3.09,2.43,2.32,2,16.00,0.00,3603.20,225.20,38.39,442.30,17.40,27.84,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-22 22:36:13,53.41,0.00,1.77,14.44,0.05,0.00,0.00,0.00,0.00,30.34,0.00,2210.80,1867.00,0.00,0.00,0.00,5374.40,195.00,0.00,45788.60,0.00,0.00,0.00,0.00,40.20,0.00,40.20,0.00,10147.20,1047308,0,6612204,86.33,4320,843556,9365868,122.28,5890960,524976,215456,5617212,54276,6128,17412,17940,0,0,0.00,0,0.00,2,752,3.09,2.44,2.33,1,40.20,0.00,10147.20,252.42,102.18,2171.90,24.88,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 22:36:18,52.13,0.00,0.10,22.17,0.00,0.00,0.00,0.00,0.00,25.61,0.00,2235.80,1867.00,0.00,0.00,1.60,2272.80,21.80,0.00,33.20,0.00,0.00,0.00,0.00,43.80,0.20,43.60,1.60,10529.60,1045256,0,6614256,86.35,4336,843580,9365868,122.28,5942200,524956,204072,5619280,54172,6120,17468,17940,0,0,0.00,0,0.00,3,751,3.32,2.50,2.35,2,43.80,1.60,10529.60,240.44,79.97,2781.59,22.83,100.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-22 22:36:23,51.67,0.00,0.20,21.96,0.00,0.00,0.00,0.00,0.00,26.16,0.00,2262.20,1829.20,0.00,0.00,0.80,8877.60,25.60,0.00,156.20,0.00,0.00,0.00,0.00,47.60,0.40,47.20,3.20,11356.80,1041244,0,6618268,86.41,4356,843624,9365868,122.28,5943848,525000,159920,5622972,54252,6112,17476,17940,0,0,0.00,0,0.00,2,750,3.29,2.51,2.35,1,47.60,3.20,11356.80,238.66,116.24,1473.13,21.01,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:36:28,39.83,0.00,0.10,43.17,0.05,0.00,0.00,0.00,0.00,16.85,0.20,2077.00,1578.40,0.00,0.00,0.00,3519.20,17.40,0.00,36.20,0.00,0.00,0.00,0.00,34.60,0.00,34.60,0.00,8836.80,1041368,0,6618144,86.40,4364,843648,9365868,122.28,5945824,525012,142348,5622836,54248,6104,17476,17940,0,0,0.00,0,0.00,2,749,3.51,2.56,2.37,2,34.60,0.00,8836.80,255.40,87.63,3456.07,28.90,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 22:36:33,51.49,0.00,0.10,25.39,0.00,0.00,0.00,0.00,0.00,23.01,0.00,2201.20,1684.80,0.00,0.00,2.40,5268.00,15.40,0.00,25.20,0.00,0.00,0.00,0.00,47.00,0.40,46.60,3.20,10046.40,1041152,0,6618360,86.41,4384,843680,9365868,122.28,5945848,525032,116316,5622820,54204,6104,17476,17940,0,0,0.00,0,0.00,2,749,3.55,2.59,2.38,2,47.00,3.20,10046.40,213.82,95.29,2221.33,21.28,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:36:38,51.72,0.00,0.05,36.59,0.05,0.00,0.00,0.00,0.00,11.59,0.00,2221.80,1845.40,0.00,0.00,0.00,6220.80,13.20,0.00,76.40,0.00,0.00,0.00,0.00,42.20,0.20,42.00,1.60,10619.20,1041804,0,6617708,86.40,4384,843724,9365868,122.28,5944960,525056,84972,5621908,54260,6056,17476,17940,0,0,0.00,0,0.00,3,743,3.59,2.61,2.39,2,42.20,1.60,10619.20,251.68,142.76,2008.74,23.70,100.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
