timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 16:07:57,36.04,0.00,1.71,0.80,0.05,0.00,0.05,0.00,0.00,61.35,25.80,1804.00,2035.20,0.00,0.00,167.20,128.80,19951.40,2.60,33445.60,0.00,0.00,0.00,0.00,27.20,15.00,12.20,334.40,257.60,1651492,0,6008020,78.44,5076,4244288,2688132,35.10,1989500,3752776,320,1492864,187972,4696,7928,17940,0,0,0.00,0,0.00,0,572,2.87,5.50,6.52,0,27.20,334.40,257.60,21.76,0.07,2.44,1.15,3.12,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-22 16:08:02,37.97,0.00,1.52,2.33,0.20,0.00,0.00,0.00,0.00,57.97,51.00,2980.60,3039.60,0.00,0.00,7659.20,148.80,21003.40,16.60,13367.20,0.00,0.00,0.00,0.00,190.20,183.80,6.40,15318.40,297.60,1395684,0,6263828,81.78,5320,4284004,3054104,39.87,2199872,3792536,2732,1703012,189120,4944,9140,17940,0,0,0.00,0,0.00,6,618,2.64,5.40,6.49,0,190.20,15318.40,297.60,82.10,1.72,9.04,0.66,12.48,5.00,5.00,0.58,0.42,0.00,0.00,0.00,0.00
2017-09-22 16:08:07,25.88,0.00,0.91,1.92,0.00,0.00,0.00,0.00,0.00,71.28,15.80,1981.40,2095.20,0.00,0.00,477.60,646.40,4227.20,0.00,5060.20,0.00,0.00,0.00,0.00,74.60,42.40,32.20,955.20,1292.80,1213020,0,6446492,84.16,5332,4286664,3402812,44.43,2380756,3794868,312,1883596,189560,5560,9888,17940,0,0,0.00,0,0.00,4,687,2.43,5.31,6.45,0,74.60,955.20,1292.80,30.13,0.51,6.83,0.91,6.80,3.20,3.20,0.34,0.24,0.00,0.00,0.00,0.00
2017-09-22 16:08:12,96.30,0.00,3.25,0.00,0.00,0.00,0.05,0.00,0.00,0.40,23.95,3168.06,2008.98,0.00,0.00,2.40,79.04,21977.64,0.00,19437.92,0.00,0.00,0.00,0.00,1.40,0.40,1.00,4.79,158.08,692632,0,6966880,90.96,5360,4287268,4329724,56.53,2894396,3795552,1116,2397204,191592,6280,12900,17940,0,0,0.00,0,0.00,11,776,2.88,5.36,6.46,0,1.40,4.79,158.08,116.57,0.03,18.86,9.71,1.36,4.19,4.19,0.56,0.85,0.00,0.00,0.00,0.00
2017-09-22 16:08:17,94.65,0.00,4.75,0.00,0.00,0.00,0.40,0.00,0.00,0.20,8.00,5984.20,4722.60,0.00,0.00,34772.00,25.60,22007.60,0.00,38648.80,6550.60,416.00,6651.40,95.48,536.20,535.60,0.60,69544.00,51.20,122184,0,7537328,98.40,5372,4345028,4695092,61.30,3420324,3836464,18088,2906880,192592,6488,13624,17940,0,0,0.00,0,0.00,8,796,3.21,5.39,6.46,0,536.20,69544.00,51.20,129.79,4.37,8.15,0.32,17.12,2.80,2.20,0.31,0.19,0.00,0.00,0.00,0.00
2017-09-22 16:08:22,92.90,0.00,6.75,0.00,0.05,0.00,0.15,0.00,0.00,0.15,3.20,3026.20,2612.80,0.00,0.00,13908.00,35679.20,736.80,0.00,37819.60,37756.80,0.00,37201.00,98.53,476.20,207.80,268.40,27049.60,63627.20,137064,0,7522448,98.21,5360,4325736,4722332,61.65,4085200,3158268,499820,2912628,192136,6536,13672,17940,0,0,0.00,0,0.00,6,803,3.35,5.38,6.45,1,476.20,27049.60,63627.20,190.42,42.96,41.95,0.74,35.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 16:08:27,75.80,0.00,7.28,7.68,0.05,0.00,0.00,0.00,0.00,9.19,31.20,3520.20,2927.40,0.00,0.00,1069.60,65980.00,15295.20,12.00,100867.20,17942.20,0.00,17942.20,100.00,591.20,41.40,549.80,2905.60,139691.20,1350440,0,6309072,82.37,5384,3836544,4269420,55.74,3233284,2799640,501240,2190912,191132,6176,11840,17940,0,0,0.00,0,0.00,12,758,3.40,5.36,6.44,0,591.20,2905.60,139691.20,241.20,88.44,188.48,1.07,63.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 16:08:32,91.44,0.00,5.41,3.00,0.00,0.00,0.05,0.00,0.00,0.10,14.40,3554.20,3401.80,0.00,0.00,1233.60,67355.20,19322.00,2.00,51070.40,0.00,0.00,0.00,0.00,530.80,23.80,507.00,2467.20,126825.60,650864,0,7008648,91.50,5412,3838152,4631088,60.46,3928192,2801328,165356,2886316,192284,6560,13576,17940,0,0,0.00,0,0.00,9,806,3.69,5.38,6.44,1,530.80,2467.20,126825.60,243.58,68.52,123.21,0.94,50.08,2.40,2.40,0.25,0.20,0.00,0.00,0.00,0.00
2017-09-22 16:08:37,94.40,0.00,4.60,0.40,0.00,0.00,0.50,0.00,0.00,0.10,0.20,6337.20,3752.80,0.00,0.00,767.20,32838.40,2935.20,0.00,2154.60,0.00,0.00,0.00,0.00,301.00,13.40,287.60,1534.40,73561.60,320152,0,7339360,95.82,5420,4125660,4746044,61.96,4258548,2800496,290012,2928052,191784,6544,13712,17940,0,0,0.00,0,0.00,4,803,3.88,5.39,6.44,0,301.00,1534.40,73561.60,249.49,56.49,198.02,1.74,52.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 16:08:42,87.73,0.00,8.12,1.35,0.00,0.00,0.00,0.00,0.00,2.81,7.60,2168.00,2138.20,0.00,0.00,1152.00,63732.00,494.80,0.00,39162.40,25059.80,0.00,24727.00,98.67,493.20,13.80,479.40,1537.60,119579.20,358704,0,7300808,95.32,5424,4092508,4746044,61.96,4714712,2306884,629688,2923828,191736,6592,13748,17940,0,0,0.00,0,0.00,6,804,4.05,5.40,6.44,1,493.20,1537.60,119579.20,245.57,100.62,173.32,1.32,65.28,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
