timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 00:46:47,26.88,0.00,2.16,5.29,0.10,0.00,0.05,0.00,0.00,65.52,20.00,5504.80,5030.20,0.00,0.00,16205.60,93.60,11625.80,11.60,10453.20,0.00,0.00,0.00,0.00,675.60,670.00,5.60,32411.20,187.20,5375688,0,2283824,29.82,7508,380596,3782760,49.39,1935092,229160,131632,1776512,40276,5256,8652,17940,0,0,0.00,0,0.00,0,643,1.85,2.00,2.26,0,675.60,32411.20,187.20,48.25,0.48,0.72,0.40,27.20,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-20 00:46:52,44.50,0.00,2.27,0.66,0.05,0.00,0.05,0.00,0.00,52.47,25.60,3280.60,3403.80,0.00,0.00,437.60,2780.80,15576.40,3.60,6033.60,0.00,0.00,0.00,0.00,52.80,16.20,36.60,875.20,5561.60,4834268,0,2825244,36.89,7556,512008,9245956,120.71,2349176,345084,247144,2179048,44788,5960,10636,17940,0,0,0.00,0,0.00,6,731,1.78,1.99,2.26,0,52.80,875.20,5561.60,121.91,1.36,25.77,1.11,5.84,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-20 00:46:57,58.15,0.00,5.40,6.21,0.05,0.00,0.00,0.00,0.00,30.19,18.00,3403.00,3361.00,0.00,0.00,95.20,28107.20,8032.20,0.20,111349.60,0.00,0.00,0.00,0.00,195.00,6.60,188.40,190.40,48022.40,2377072,0,5282440,68.97,7576,523200,9426648,123.07,4770136,342832,117848,4617012,46000,6392,15084,17940,0,0,0.00,0,0.00,2,784,1.80,1.99,2.26,1,195.00,190.40,48022.40,247.25,36.20,76.88,1.51,29.36,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-20 00:47:02,25.49,0.00,0.10,39.90,0.00,0.00,0.00,0.00,0.00,34.51,0.00,2192.80,1624.00,0.00,0.00,0.80,829.60,62.60,0.00,1595.00,0.00,0.00,0.00,0.00,26.60,0.20,26.40,1.60,6758.40,2346076,0,5313436,69.37,7584,523244,9426648,123.07,4825872,342844,113988,4648120,45824,6336,15684,17940,0,0,0.00,0,0.00,2,777,1.97,2.02,2.26,4,26.60,1.60,6758.40,254.14,117.05,3049.32,37.59,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:47:07,41.16,0.00,0.05,40.81,0.00,0.00,0.00,0.00,0.00,17.98,0.00,2263.00,1891.80,0.00,0.00,0.00,5692.00,62.60,0.00,35.80,0.00,0.00,0.00,0.00,30.60,0.00,30.60,0.00,7667.20,2345448,0,5314064,69.38,7596,523268,9426648,123.07,4832740,342764,85592,4648812,45776,6304,15728,17940,0,0,0.00,0,0.00,2,774,2.30,2.09,2.28,1,30.60,0.00,7667.20,250.56,71.20,2778.12,32.68,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 00:47:12,45.40,0.00,0.10,27.88,0.00,0.00,0.00,0.00,0.00,26.62,0.20,2306.00,1957.80,0.00,0.00,0.00,2516.00,57.60,0.00,990.40,0.00,0.00,0.00,0.00,29.80,0.00,29.80,0.00,7628.80,2299996,0,5359516,69.97,7600,523292,9426648,123.07,4881776,342740,73160,4693700,45844,6296,15820,17940,0,0,0.00,0,0.00,1,773,2.35,2.10,2.29,4,29.80,0.00,7628.80,256.00,127.75,3647.92,33.56,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 00:47:17,26.39,0.00,0.05,22.45,0.05,0.00,0.00,0.00,0.00,51.06,0.20,2251.20,1815.80,0.00,0.00,0.00,5658.40,302.60,0.00,143.60,0.00,0.00,0.00,0.00,32.80,0.00,32.80,0.00,8360.00,2296944,0,5362568,70.01,7604,523316,9426648,123.07,4885548,342460,44892,4697212,45768,6296,15820,17940,0,0,0.00,0,0.00,2,773,2.65,2.17,2.31,2,32.80,0.00,8360.00,254.88,97.85,3169.27,30.49,100.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-20 00:47:22,40.30,0.00,5.24,22.62,0.00,0.00,0.00,0.00,0.00,31.84,0.20,2289.60,2017.20,0.00,0.00,0.00,3374.40,1040.00,0.00,204188.80,0.00,0.00,0.00,0.00,30.60,0.00,30.60,0.00,7784.00,558592,0,7100920,92.71,7628,523344,9469140,123.63,6619904,341904,28104,6430848,45796,6304,19220,17940,0,0,0.00,0,0.00,1,774,2.83,2.21,2.32,3,30.60,0.00,7784.00,254.38,141.55,4141.78,32.68,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:47:27,35.94,0.00,0.50,53.78,0.05,0.00,0.00,0.00,0.00,9.73,0.00,2389.40,1985.00,0.00,0.00,0.00,2617.60,627.00,0.00,19089.20,0.00,0.00,0.00,0.00,29.20,0.00,29.20,0.00,7416.00,324856,0,7334656,95.76,7636,523364,9469140,123.63,6847600,341916,15284,6664748,45796,6304,19668,17940,0,0,0.00,0,0.00,3,774,3.09,2.28,2.34,3,29.20,0.00,7416.00,253.97,72.09,4087.73,34.25,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-20 00:47:32,52.45,0.00,0.10,14.72,0.00,0.00,0.00,0.00,0.00,32.73,0.00,2315.80,1981.40,0.00,0.00,0.00,3028.80,127.60,0.00,38.00,0.00,0.00,0.00,0.00,52.40,0.00,52.40,0.00,10011.20,312772,0,7346740,95.92,7640,523392,9511592,124.18,6865912,341932,244,6676836,45752,6296,19688,17940,0,0,0.00,0,0.00,3,773,3.32,2.34,2.36,0,52.40,0.00,10011.20,191.05,57.60,1550.24,17.39,91.12,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:47:37,51.57,0.00,0.10,0.05,0.00,0.00,0.00,0.00,0.00,48.28,0.00,2246.20,1937.80,0.00,0.00,0.00,17.60,41.20,0.00,872.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,35.20,311904,0,7347608,95.93,7648,523420,9511592,124.18,6865940,341952,316,6676872,45744,6288,19688,17940,0,0,0.00,0,0.00,2,772,3.21,2.33,2.36,0,0.40,0.00,35.20,88.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:47:42,51.39,0.00,0.10,0.00,0.05,0.00,0.05,0.00,0.00,48.41,0.00,2256.80,1812.20,0.00,0.00,0.00,3.20,46.20,0.00,31.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,311368,0,7348144,95.93,7656,523444,9511592,124.18,6866416,341972,348,6677352,45768,6280,19688,17940,0,0,0.00,0,0.00,3,770,3.12,2.33,2.36,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 00:47:47,51.19,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,48.76,0.00,2178.60,1664.40,0.00,0.00,0.00,4.80,29.80,0.00,644.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,310272,0,7349240,95.95,7664,523468,9511592,124.18,6866624,341992,376,6677540,45788,6256,19688,17940,0,0,0.00,0,0.00,2,768,3.03,2.32,2.36,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-20 00:47:52,51.34,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,48.51,0.00,2222.20,1667.40,0.00,0.00,0.00,4.00,29.00,0.00,90.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,8.00,311212,0,7348300,95.94,7672,523496,9511592,124.18,6865740,342016,400,6676624,45788,6216,19688,17940,0,0,0.00,0,0.00,3,763,2.95,2.32,2.35,0,0.60,0.00,8.00,13.33,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:47:57,51.44,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,48.46,0.40,2235.80,1762.20,0.00,0.00,0.00,84.80,41.80,0.00,39.00,0.00,0.00,0.00,0.00,6.60,0.00,6.60,0.00,169.60,311004,0,7348508,95.94,7680,523520,9511592,124.18,6865864,342036,124,6676748,45764,6200,19688,17940,0,0,0.00,0,0.00,2,761,2.87,2.31,2.35,0,6.60,0.00,169.60,25.70,0.00,0.12,0.12,0.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-20 00:48:02,51.19,0.00,0.05,0.20,0.05,0.00,0.00,0.00,0.00,48.51,0.00,2183.60,1677.80,0.00,0.00,0.00,12.00,22.60,0.00,52.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,24.00,311368,0,7348144,95.93,7688,523540,9511592,124.18,6865444,342052,212,6676320,45764,6192,19688,17940,0,0,0.00,0,0.00,2,760,2.80,2.31,2.35,0,0.40,0.00,24.00,60.00,0.01,22.00,22.00,0.88,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 00:48:07,51.75,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,48.10,0.00,2164.20,1555.20,0.00,0.00,0.00,4.80,25.20,0.00,25.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,311400,0,7348112,95.93,7696,523568,9511592,124.18,6865648,342072,256,6676472,45756,6184,19688,17940,0,0,0.00,0,0.00,3,759,2.74,2.30,2.35,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
