timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 22:46:48,38.94,0.00,3.32,0.26,0.10,0.00,0.15,0.00,0.00,57.23,30.00,4649.00,4119.60,0.00,0.00,0.00,67.20,18935.80,0.00,23990.00,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,134.40,5258204,0,2401308,31.35,24388,677484,3896076,50.87,1857312,414496,260508,1570220,48380,4840,8376,18004,0,0,0.00,0,0.00,2,615,1.72,1.67,1.76,0,3.60,0.00,134.40,37.33,0.01,3.33,2.00,0.72,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-23 22:46:53,56.28,0.00,2.28,0.00,0.00,0.00,0.00,0.00,0.00,41.45,22.40,2722.60,2700.40,0.00,0.00,0.00,41.60,17112.20,0.00,7506.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,83.20,4687788,0,2971724,38.80,24412,677828,9144156,119.38,2428672,404416,260892,2135076,49608,5528,10196,18004,0,0,0.00,0,0.00,4,698,1.74,1.67,1.77,0,0.80,0.00,83.20,104.00,0.00,1.00,1.00,0.08,2.80,2.80,0.33,0.29,0.00,0.00,0.00,0.00
2017-09-23 22:46:58,58.19,0.00,2.89,0.00,0.05,0.00,0.05,0.00,0.00,38.82,11.60,3237.40,2947.60,0.00,0.00,0.00,1057.60,6379.80,0.00,52361.60,0.00,0.00,0.00,0.00,10.60,0.00,10.60,0.00,2115.20,3004172,0,4655340,60.78,24420,688564,9347576,122.04,4084100,402956,266676,3802748,50480,5984,14628,18004,0,0,0.00,0,0.00,3,734,1.76,1.68,1.77,0,10.60,0.00,2115.20,199.55,0.06,5.66,0.45,0.48,2.80,2.60,0.39,0.52,0.00,0.00,0.00,0.00
2017-09-23 22:47:03,59.60,0.00,4.18,0.00,0.00,0.00,0.00,0.00,0.00,36.22,3.00,2677.20,2321.40,0.00,0.00,0.00,142.40,4450.20,0.00,129428.40,0.00,0.00,0.00,0.00,15.80,0.00,15.80,0.00,284.80,1566776,0,6092736,79.54,24428,688604,9376824,122.42,5541756,402804,266164,5237676,50628,6064,17072,18004,0,0,0.00,0,0.00,1,744,2.10,1.75,1.79,0,15.80,0.00,284.80,18.03,0.06,4.00,0.15,0.24,2.20,2.20,0.28,0.34,0.00,0.00,0.00,0.00
2017-09-23 22:47:08,55.48,0.00,0.35,0.10,0.00,0.00,0.00,0.00,0.00,44.07,0.00,2280.00,1980.60,0.00,0.00,0.00,16956.00,557.00,0.00,1229.20,0.00,0.00,0.00,0.00,135.20,0.00,135.20,0.00,33912.00,1578332,0,6081180,79.39,24440,688632,9376824,122.42,5535024,402684,181716,5224656,50580,6032,16880,18004,0,0,0.00,0,0.00,2,740,2.09,1.75,1.79,0,135.20,0.00,33912.00,250.83,8.18,60.50,0.48,6.48,2.80,2.40,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-23 22:47:13,61.44,0.00,2.94,0.25,0.05,0.00,0.00,0.00,0.00,35.32,0.80,3103.40,3366.00,0.00,0.00,0.00,36339.20,1872.20,0.00,76427.40,0.00,0.00,0.00,0.00,298.20,0.00,298.20,0.00,72678.40,660288,0,6999224,91.38,24444,691240,9540548,124.56,6452096,403136,2768,6140024,50756,6056,18712,18004,0,0,0.00,0,0.00,3,743,2.09,1.76,1.79,0,298.20,0.00,72678.40,243.72,25.76,86.40,0.68,20.24,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 22:47:18,56.62,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,42.92,0.40,3618.20,3045.20,0.00,0.00,0.00,92.00,320.40,0.00,886.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,184.00,590204,0,7069308,92.29,24452,723032,9577724,125.04,6508988,416436,35012,6178024,51568,6072,18788,18004,0,0,0.00,0,0.00,2,745,2.56,1.86,1.82,0,1.00,0.00,184.00,184.00,0.00,4.00,1.60,0.16,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 22:47:23,53.97,0.00,0.61,0.61,0.05,0.00,0.00,0.00,0.00,44.76,0.00,2815.80,2541.00,0.00,0.00,0.00,10796.00,735.60,0.00,3578.40,0.00,0.00,0.00,0.00,98.60,0.00,98.60,0.00,21592.00,474608,0,7184904,93.80,24460,824784,9545104,124.62,6578360,458496,83376,6187700,54404,6072,18804,18004,0,0,0.00,0,0.00,3,745,2.51,1.86,1.83,0,98.60,0.00,21592.00,218.99,4.87,49.44,0.44,4.32,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-23 22:47:28,55.31,0.00,0.71,0.91,0.00,0.00,0.00,0.00,0.00,43.07,0.20,2781.40,2253.80,0.00,0.00,0.00,16676.80,2151.80,0.00,8344.40,0.00,0.00,0.00,0.00,131.20,0.00,131.20,0.00,33353.60,576436,0,7083076,92.47,24468,688904,9545104,124.62,6533092,402068,420,6223900,51156,6080,18872,18004,0,0,0.00,0,0.00,2,746,2.47,1.87,1.83,0,131.20,0.00,33353.60,254.22,7.36,56.09,0.45,5.92,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 22:47:33,51.31,0.00,0.15,0.05,0.00,0.00,0.00,0.00,0.00,48.49,0.40,2263.80,1816.80,0.00,0.00,0.00,39.20,27.40,0.00,1029.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,78.40,595276,0,7064236,92.23,24476,688932,9545104,124.62,6516488,402088,536,6205172,51116,6080,18872,18004,0,0,0.00,0,0.00,2,746,2.43,1.87,1.83,0,0.60,0.00,78.40,130.67,0.00,5.33,2.67,0.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
