timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 08:24:57,34.56,0.00,1.71,0.15,0.00,0.00,0.00,0.00,0.00,63.59,27.40,1829.60,2063.40,0.00,0.00,0.00,1653.60,21237.20,0.00,22620.80,0.00,0.00,0.00,0.00,15.20,0.00,15.20,0.00,3307.20,4344008,0,3315504,43.29,32868,1718676,2715064,35.45,1747316,1383576,560,1379268,104740,4608,7752,18004,0,0,0.00,0,0.00,0,563,3.07,3.74,3.66,0,15.20,0.00,3307.20,217.58,0.21,13.95,0.53,0.80,3.40,3.40,0.26,0.61,0.00,0.00,0.00,0.00
2017-09-24 08:25:02,30.84,0.00,4.83,0.15,0.00,0.00,0.00,0.00,0.00,64.19,48.20,2621.80,2362.80,0.00,0.00,0.00,114.40,29508.60,0.00,24135.60,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,228.80,3910824,0,3748688,48.94,32876,1910260,2900116,37.86,1961688,1569396,191784,1588668,133936,4696,9688,18004,0,0,0.00,0,0.00,3,574,2.90,3.70,3.65,0,12.00,0.00,228.80,19.07,0.10,8.33,0.27,0.32,6.00,6.00,0.67,0.77,0.00,0.00,0.00,0.00
2017-09-24 08:25:07,24.69,0.00,1.84,1.33,0.05,0.00,0.10,0.00,0.00,71.98,69.40,4907.00,4777.40,0.00,0.00,0.00,3136.80,8472.40,0.00,7481.80,0.00,0.00,0.00,0.00,66.00,0.00,66.00,0.00,6273.60,3685092,0,3974420,51.89,32928,2014320,3136028,40.94,2083728,1667660,311104,1708396,135324,4784,9964,18004,0,0,0.00,0,0.00,1,604,2.99,3.70,3.65,0,66.00,0.00,6273.60,95.05,0.62,9.42,0.95,6.24,4.80,4.80,0.42,0.90,0.00,0.00,0.00,0.00
2017-09-24 08:25:12,29.98,0.00,0.96,0.00,0.05,0.00,0.00,0.00,0.00,69.01,14.60,1726.00,1810.00,0.00,0.00,0.00,63.20,6685.40,0.00,6599.80,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,126.40,3473624,0,4185888,54.65,32936,2014652,3462504,45.21,2297572,1667844,311596,1918048,135652,5456,10792,18004,0,0,0.00,0,0.00,4,667,2.91,3.67,3.64,0,2.00,0.00,126.40,63.20,0.00,0.80,0.40,0.08,3.20,3.20,0.35,0.32,0.00,0.00,0.00,0.00
2017-09-24 08:25:17,95.09,0.00,3.25,0.00,0.00,0.00,0.00,0.00,0.00,1.65,24.40,3266.20,2015.40,0.00,0.00,0.00,54.40,24235.00,0.00,9150.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,108.80,2908140,0,4751372,62.03,32964,2015100,4889336,63.83,2858024,1668092,312152,2478036,137368,6184,13436,18004,0,0,0.00,0,0.00,5,761,3.80,3.85,3.70,0,0.80,0.00,108.80,136.00,0.00,3.00,1.00,0.08,2.40,2.40,0.26,0.20,0.00,0.00,0.00,0.00
2017-09-24 08:25:22,86.17,0.00,5.13,0.05,0.00,0.00,0.05,0.00,0.00,8.60,42.20,4836.40,2637.00,0.00,0.00,0.00,8326.40,24693.40,0.00,98264.20,0.00,0.00,0.00,0.00,100.60,0.00,100.60,0.00,16652.80,3075256,0,4584256,59.85,33000,2015784,4586364,59.88,2688768,1668116,274040,2310204,137640,6112,12952,18004,0,0,0.00,0,0.00,8,754,4.05,3.90,3.71,0,100.60,0.00,16652.80,165.53,3.38,33.43,0.37,3.68,4.80,4.80,0.51,0.50,0.00,0.00,0.00,0.00
2017-09-24 08:25:27,78.26,0.00,5.57,0.05,0.05,0.00,0.10,0.00,0.00,15.96,39.80,4262.60,2898.00,0.00,0.00,0.00,54437.60,16963.80,0.00,74522.20,0.00,0.00,0.00,0.00,472.60,0.00,472.60,0.00,108875.20,3248492,0,4411020,57.59,33032,2016280,4468884,58.34,2518080,1668048,3148,2136852,136860,5800,12528,18004,0,0,0.00,0,0.00,10,746,4.37,3.97,3.74,0,472.60,0.00,108875.20,230.37,49.62,104.87,0.87,40.88,1.80,1.80,0.19,0.19,0.00,0.00,0.00,0.00
2017-09-24 08:25:32,95.89,0.00,3.86,0.00,0.00,0.00,0.05,0.00,0.00,0.20,15.20,4360.40,1891.40,0.00,0.00,0.00,1442.40,17474.40,0.00,9734.40,0.00,0.00,0.00,0.00,11.80,0.00,11.80,0.00,2884.80,1891560,0,5767952,75.30,33064,2016952,6929544,90.47,3868112,1668652,10816,3488840,138384,6368,14984,18004,0,0,0.00,0,0.00,7,796,5.06,4.12,3.79,0,11.80,0.00,2884.80,244.47,0.18,15.12,0.54,0.64,4.00,4.00,0.43,0.33,0.00,0.00,0.00,0.00
2017-09-24 08:25:37,80.46,0.00,2.52,0.00,0.00,0.00,0.00,0.00,0.00,17.02,33.00,3291.80,2283.00,0.00,0.00,0.00,72.00,23134.60,0.00,85939.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,144.00,2990260,0,4669252,60.96,33096,2017128,4659464,60.83,2775412,1668180,11032,2393368,137512,6192,13228,18004,0,0,0.00,0,0.00,11,762,5.54,4.23,3.82,0,1.60,0.00,144.00,90.00,0.00,0.50,0.50,0.08,3.00,3.00,0.29,0.34,0.00,0.00,0.00,0.00
2017-09-24 08:25:42,91.63,0.00,4.96,0.00,0.00,0.00,0.00,0.00,0.00,3.41,39.80,4346.80,2618.40,0.00,0.00,0.00,60.00,23263.20,0.00,79507.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,120.00,3122428,0,4537084,59.23,33128,2017756,4610452,60.19,2644472,1668220,11652,2261824,137232,6096,12792,18004,0,0,0.00,0,0.00,12,751,5.49,4.24,3.83,0,1.60,0.00,120.00,75.00,0.01,6.00,3.00,0.48,2.80,2.80,0.30,0.27,0.00,0.00,0.00,0.00
