timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 02:52:41,36.67,0.00,3.22,0.26,0.05,0.00,0.20,0.00,0.00,59.60,30.40,4133.60,4037.00,0.00,0.00,357.60,104.80,14930.00,6.80,13438.60,0.00,0.00,0.00,0.00,20.00,12.20,7.80,715.20,209.60,5267268,0,2392244,31.23,5044,630284,3758664,49.07,1894076,372132,260420,1631044,46556,5040,8712,18004,0,0,0.00,0,0.00,4,615,1.87,1.97,1.95,0,20.00,715.20,209.60,46.24,0.03,1.40,0.52,1.04,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-24 02:52:46,57.57,0.00,2.37,0.00,0.05,0.00,0.00,0.00,0.00,40.01,22.80,2767.60,2718.80,0.00,0.00,16.00,52.00,17433.00,0.20,7888.40,0.00,0.00,0.00,0.00,1.20,0.20,1.00,32.00,104.00,4675780,0,2983732,38.95,5064,630632,9002064,117.53,2491932,360604,260812,2219084,48004,5720,10800,18004,0,0,0.00,0,0.00,1,702,2.04,2.00,1.96,0,1.20,32.00,104.00,113.33,0.00,0.67,0.67,0.08,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-24 02:52:51,53.90,0.00,2.63,0.00,0.00,0.00,0.00,0.00,0.00,43.47,9.80,3069.40,2905.80,0.00,0.00,2.40,1022.40,3343.60,0.20,42974.00,0.00,0.00,0.00,0.00,8.80,0.20,8.60,4.80,2044.80,3075228,0,4584284,59.85,5072,641364,9133292,119.24,4053816,361460,266644,3803660,48504,5952,13852,18004,0,0,0.00,0,0.00,2,730,2.03,2.00,1.96,0,8.80,4.80,2044.80,232.91,0.07,8.36,0.45,0.40,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 02:52:56,52.75,0.00,1.77,0.00,0.00,0.00,0.00,0.00,0.00,45.49,0.00,2183.00,1815.60,0.00,0.00,0.00,0.00,206.00,0.00,59092.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2378048,0,5281464,68.95,5072,641392,9133292,119.24,4748924,361468,266672,4498756,48540,5912,15248,18004,0,0,0.00,0,0.00,3,725,2.03,2.00,1.96,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:53:01,52.96,0.00,1.57,1.31,0.05,0.00,0.00,0.00,0.00,44.11,0.40,2303.60,1984.00,0.00,0.00,0.00,20250.40,391.80,0.00,41107.40,0.00,0.00,0.00,0.00,162.60,0.00,162.60,0.00,40500.80,1700868,0,5958644,77.79,5080,641416,9133292,119.24,5444928,361472,165552,5174280,48548,5896,16612,18004,0,0,0.00,0,0.00,2,723,2.03,2.00,1.96,0,162.60,0.00,40500.80,249.08,9.95,61.21,0.48,7.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:53:06,51.69,0.00,0.66,2.68,0.00,0.00,0.00,0.00,0.00,44.97,0.00,2308.20,2133.00,0.00,0.00,0.00,33104.80,78.20,0.00,11571.80,0.00,0.00,0.00,0.00,275.40,0.00,275.40,0.00,66209.60,1413504,0,6246008,81.55,5100,641444,9133292,119.24,5741868,361472,160,5460932,48572,5880,17252,18004,0,0,0.00,0,0.00,4,721,2.03,2.00,1.96,0,275.40,0.00,66209.60,240.41,20.18,73.26,0.59,16.32,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 02:53:11,51.97,0.00,0.10,0.15,0.05,0.00,0.00,0.00,0.00,47.73,0.20,2383.00,1934.00,0.00,0.00,144.00,33.60,104.20,0.00,117.20,0.00,0.00,0.00,0.00,14.80,14.00,0.80,288.00,67.20,1411108,0,6248404,81.58,5112,642188,9133292,119.24,5744244,361928,368,5463012,48552,5880,17260,18004,0,0,0.00,0,0.00,2,721,2.02,2.00,1.96,0,14.80,288.00,67.20,24.00,0.01,0.76,0.54,0.80,2.80,2.60,0.28,0.38,0.00,0.00,0.00,0.00
2017-09-24 02:53:16,51.44,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,48.46,0.00,2183.40,1782.60,0.00,0.00,0.00,5.60,14.80,0.00,28.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,1411084,0,6248428,81.58,5120,642212,9133292,119.24,5748328,361944,400,5462948,48572,5872,17260,18004,0,0,0.00,0,0.00,3,720,2.02,2.00,1.96,0,0.40,0.00,11.20,28.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:53:21,51.16,0.00,0.10,0.05,0.00,0.00,0.00,0.00,0.00,48.69,0.00,2236.00,1757.60,0.00,0.00,0.00,3.20,17.80,0.00,30.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,1408928,0,6250584,81.61,5128,642236,9133292,119.24,5750428,361952,424,5465016,48556,5872,17264,18004,0,0,0.00,0,0.00,2,720,2.02,2.00,1.96,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.60,1.60,0.15,0.18,0.00,0.00,0.00,0.00
2017-09-24 02:53:26,51.34,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,48.56,0.00,2207.60,1730.40,0.00,0.00,0.00,3.20,14.80,0.00,36.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,1408960,0,6250552,81.61,5136,642260,9133292,119.24,5750224,361964,448,5464800,48556,5856,17264,18004,0,0,0.00,0,0.00,3,718,2.02,2.00,1.96,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
