timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 02:15:13,37.54,0.00,3.66,0.20,0.05,0.00,0.15,0.00,0.00,58.39,31.00,4085.40,4140.80,0.00,0.00,279.20,83.20,15857.60,4.20,19172.40,0.00,0.00,0.00,0.00,10.80,7.20,3.60,558.40,166.40,5255212,0,2404300,31.39,4448,645224,3768856,49.20,1912288,363316,260460,1625856,47460,5064,8824,18004,0,0,0.00,0,0.00,3,620,2.17,2.07,2.06,0,10.80,558.40,166.40,67.11,0.01,0.74,0.59,0.64,3.40,3.20,0.58,0.57,0.00,0.00,0.00,0.00
2017-09-24 02:15:18,58.49,0.00,2.38,0.00,0.05,0.00,0.00,0.00,0.00,39.08,24.00,2946.40,2858.20,0.00,0.00,0.00,100.00,17445.40,0.00,7955.60,0.00,0.00,0.00,0.00,11.20,0.00,11.20,0.00,200.00,4654208,0,3005304,39.24,4464,645448,9008996,117.62,2518012,352096,260460,2222316,48308,5696,10800,18004,0,0,0.00,0,0.00,4,710,2.32,2.10,2.07,0,11.20,0.00,200.00,17.86,0.03,2.57,0.14,0.16,2.80,3.20,0.38,0.58,0.00,0.00,0.00,0.00
2017-09-24 02:15:23,54.43,0.00,3.09,0.61,0.05,0.00,0.00,0.00,0.00,41.82,8.80,3000.40,3016.60,0.00,0.00,0.00,20399.20,4353.40,0.00,49514.00,0.00,0.00,0.00,0.00,164.60,0.00,164.60,0.00,40798.40,3061668,0,4597844,60.03,4468,656176,9137996,119.30,4080744,352696,169432,3799436,49236,5976,14012,18004,0,0,0.00,0,0.00,2,733,2.29,2.10,2.07,0,164.60,0.00,40798.40,247.86,10.84,65.84,1.20,19.68,3.00,3.00,0.32,0.30,0.00,0.00,0.00,0.00
2017-09-24 02:15:28,53.19,0.00,2.23,2.33,0.00,0.00,0.00,0.00,0.00,42.26,0.00,2185.40,1984.60,0.00,0.00,0.80,32784.00,233.40,0.00,63576.80,0.00,0.00,0.00,0.00,271.80,0.20,271.60,1.60,65568.00,2244836,0,5414676,70.69,4488,656204,9137996,119.30,4899480,352724,5920,4614056,49288,5928,15632,18004,0,0,0.00,0,0.00,4,727,2.27,2.10,2.07,0,271.80,1.60,65568.00,241.24,19.06,70.11,0.58,15.84,1.00,1.20,0.12,0.10,0.00,0.00,0.00,0.00
2017-09-24 02:15:33,52.83,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,45.95,0.00,2258.20,1728.40,0.00,0.00,0.00,24.00,230.80,0.00,43396.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,48.00,1607388,0,6052124,79.01,4496,656224,9137996,119.30,5548700,352576,6064,5250796,49288,5896,16720,18004,0,0,0.00,0,0.00,3,723,2.25,2.10,2.06,0,0.40,0.00,48.00,120.00,0.00,2.00,2.00,0.08,2.00,1.60,0.20,0.13,0.00,0.00,0.00,0.00
2017-09-24 02:15:38,52.09,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,47.45,0.00,2254.20,1783.00,0.00,0.00,0.00,5.60,102.20,0.00,14821.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,1407980,0,6251532,81.62,4504,656248,9137996,119.30,5747700,352560,6112,5449784,49344,5872,17296,18004,0,0,0.00,0,0.00,3,720,2.23,2.10,2.06,0,0.40,0.00,11.20,28.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 02:15:43,51.69,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,48.25,0.00,2194.20,1605.40,0.00,0.00,0.00,4.80,18.00,0.00,130.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,1405924,0,6253588,81.64,4512,656276,9137996,119.30,5758016,352576,6140,5451872,49352,5872,17300,18004,0,0,0.00,0,0.00,2,720,2.21,2.10,2.06,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 02:15:48,51.47,0.00,0.10,0.00,0.05,0.00,0.00,0.00,0.00,48.38,0.00,2228.00,1756.20,0.00,0.00,0.00,3.20,18.20,0.00,29.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,1405948,0,6253564,81.64,4520,656296,9137996,119.30,5760084,352576,6164,5451912,49328,5872,17300,18004,0,0,0.00,0,0.00,2,720,2.19,2.09,2.06,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 02:15:53,51.42,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,48.53,0.00,2223.40,1691.40,0.00,0.00,0.00,72.80,20.60,0.00,212.80,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,145.60,1405280,0,6254232,81.65,4520,656320,9137996,119.30,5760596,352612,5904,5452380,49320,5864,17304,18004,0,0,0.00,0,0.00,2,719,2.18,2.09,2.06,0,3.20,0.00,145.60,45.50,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 02:15:58,51.29,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0.00,48.61,0.00,2177.20,1703.60,0.00,0.00,0.00,1149.60,19.80,0.00,35.20,0.00,0.00,0.00,0.00,10.60,0.00,10.60,0.00,2299.20,1405288,0,6254224,81.65,4528,656348,9137996,119.30,5760472,352612,296,5452264,49328,5848,17304,18004,0,0,0.00,0,0.00,2,717,2.16,2.09,2.06,0,10.60,0.00,2299.20,216.91,0.10,9.21,0.30,0.32,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
