timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 03:47:04,34.28,0.00,2.38,0.05,0.00,0.00,0.05,0.00,0.00,63.24,20.20,3016.20,2741.20,0.00,0.00,0.00,148.00,13268.60,0.00,13367.00,0.00,0.00,0.00,0.00,16.20,0.00,16.20,0.00,296.00,5828144,0,1831368,23.91,7328,391136,3413948,44.57,1555164,157784,131672,1314560,39424,4696,7644,18004,0,0,0.00,0,0.00,1,574,1.26,1.54,1.77,0,16.20,0.00,296.00,18.27,0.05,3.26,0.35,0.56,1.80,1.80,0.21,0.21,0.00,0.00,0.00,0.00
2017-09-24 03:47:09,45.52,0.00,2.49,0.05,0.05,0.00,0.10,0.00,0.00,51.78,22.80,3356.40,3619.40,0.00,0.00,0.00,65.60,14110.80,0.00,6135.20,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,131.20,5301420,0,2358092,30.79,7348,520068,6511364,85.01,1955576,274896,260524,1705184,43640,5328,9220,18004,0,0,0.00,0,0.00,3,654,1.24,1.53,1.77,0,2.40,0.00,131.20,54.67,0.00,0.67,0.33,0.08,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-24 03:47:14,58.87,0.00,3.04,0.00,0.05,0.00,0.05,0.00,0.00,37.99,22.80,3587.40,3318.40,0.00,0.00,0.00,1006.40,13144.00,0.00,7897.00,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,2012.80,3933740,0,3725772,48.64,7352,530904,9230264,120.51,3293408,270468,266488,3056340,45020,5928,12284,18004,0,0,0.00,0,0.00,4,727,1.22,1.52,1.77,0,9.60,0.00,2012.80,209.67,0.08,8.25,0.33,0.32,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-24 03:47:19,53.57,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,45.77,0.00,2322.80,1893.60,0.00,0.00,0.00,65.60,133.80,0.00,6226.60,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,131.20,3521612,0,4137900,54.02,7360,530928,9230264,120.51,3734244,270484,266536,3466476,45112,5880,13324,18004,0,0,0.00,0,0.00,2,721,1.52,1.58,1.78,0,1.40,0.00,131.20,93.71,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 03:47:24,46.95,0.00,0.10,0.05,0.05,0.00,0.00,0.00,0.00,52.85,0.20,2281.00,1776.60,0.00,0.00,0.00,28.00,109.40,0.00,758.60,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,56.00,3498156,0,4161356,54.33,7368,530956,9238452,120.61,3758372,270340,266512,3490404,45064,5864,13376,18004,0,0,0.00,0,0.00,1,719,1.56,1.58,1.78,0,1.60,0.00,56.00,35.00,0.01,4.00,1.00,0.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 03:47:29,50.10,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,49.75,0.20,2165.00,1644.00,0.00,0.00,0.00,20.00,89.00,0.00,49.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,40.00,3493324,0,4166188,54.39,7376,530984,9238452,120.61,3763764,270316,266572,3495804,45064,5864,13392,18004,0,0,0.00,0,0.00,2,719,1.60,1.59,1.79,0,0.40,0.00,40.00,100.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 03:47:34,51.22,0.00,0.10,1.37,0.00,0.00,0.00,0.00,0.00,47.32,0.00,2067.00,1691.60,0.00,0.00,0.00,21023.20,29.60,0.00,60.80,0.00,0.00,0.00,0.00,165.20,0.00,165.20,0.00,42046.40,3491216,0,4168296,54.42,7376,531008,9238452,120.61,3765540,270332,161508,3497548,45036,5856,13396,18004,0,0,0.00,0,0.00,2,718,1.63,1.60,1.79,0,165.20,0.00,42046.40,254.52,10.69,64.73,0.49,8.16,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 03:47:39,51.27,0.00,0.25,2.43,0.05,0.00,0.00,0.00,0.00,46.00,0.00,2094.20,1740.40,0.00,0.00,0.00,32303.20,44.40,0.00,39.60,0.00,0.00,0.00,0.00,269.20,0.00,269.20,0.00,64606.40,3490784,0,4168728,54.43,7392,531036,9238452,120.61,3766044,270352,132,3498028,44968,5848,13396,18004,0,0,0.00,0,0.00,2,717,1.66,1.60,1.79,0,269.20,0.00,64606.40,239.99,18.75,69.66,0.57,15.36,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 03:47:44,64.82,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,34.57,0.80,2386.80,1755.60,0.00,0.00,0.00,321.60,4095.40,0.00,3467.60,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,643.20,3399988,0,4259524,55.61,7472,531048,9246336,120.72,3856200,270396,420,3588120,44996,5840,13596,18004,0,0,0.00,0,0.00,5,717,1.69,1.61,1.79,0,8.20,0.00,643.20,78.44,0.03,3.90,1.46,1.20,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 03:47:49,51.36,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,48.54,0.00,2084.80,1434.20,0.00,0.00,0.00,8.00,102.00,0.00,879.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,16.00,3401448,0,4258064,55.59,7480,531112,9246336,120.72,3853436,270436,452,3585324,45032,5840,13620,18004,0,0,0.00,0,0.00,3,716,1.71,1.62,1.79,0,0.40,0.00,16.00,40.00,0.00,0.00,0.00,0.00,1.40,1.60,0.17,0.19,0.00,0.00,0.00,0.00
