timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 21:26:27,30.76,0.00,2.88,5.35,0.10,0.00,0.21,0.00,0.00,60.70,24.40,5093.20,4833.40,0.00,0.00,13113.60,89.60,12164.40,10.40,12797.20,0.00,0.00,0.00,0.00,596.60,592.80,3.80,26227.20,179.20,5519536,0,2139976,27.94,4712,465276,3693272,48.22,1721776,295288,199608,1547300,43012,4848,8216,18004,0,0,0.00,0,0.00,1,599,2.33,2.05,1.98,0,596.60,26227.20,179.20,44.26,0.46,0.77,0.51,30.16,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-23 21:26:32,31.10,0.00,1.77,0.51,0.05,0.00,0.05,0.00,0.00,66.51,16.20,2551.80,2535.00,0.00,0.00,857.60,50.40,12694.20,9.00,5896.40,0.00,0.00,0.00,0.00,41.40,40.60,0.80,1715.20,100.80,5168168,0,2491344,32.53,4752,531228,6645600,86.76,2015240,346016,261340,1827268,45336,5336,9388,18004,0,0,0.00,0,0.00,1,658,2.30,2.05,1.98,0,41.40,1715.20,100.80,43.86,0.04,0.93,0.62,2.56,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-23 21:26:37,58.87,0.00,2.48,0.00,0.05,0.00,0.00,0.00,0.00,38.60,23.20,3705.60,3474.40,0.00,0.00,36.00,1019.20,12429.80,0.20,7303.00,0.00,0.00,0.00,0.00,10.60,2.00,8.60,72.00,2038.40,4185668,0,3473844,45.35,4764,542232,9372104,122.36,2997832,341944,267248,2795036,46572,5960,11736,18004,0,0,0.00,0,0.00,10,735,2.28,2.05,1.98,0,10.60,72.00,2038.40,199.09,0.05,5.06,0.53,0.56,2.20,2.20,0.24,0.23,0.00,0.00,0.00,0.00
2017-09-23 21:26:42,87.97,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,9.37,0.80,3000.80,2599.20,0.00,0.00,0.00,111.20,4948.20,0.00,32830.20,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,222.40,3007664,0,4651848,60.73,4800,544780,9410148,122.86,4173492,342204,269560,3966152,46692,5984,14384,18004,0,0,0.00,0,0.00,2,734,2.81,2.17,2.02,0,2.60,0.00,222.40,85.54,0.01,3.08,0.31,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 21:26:47,65.44,0.00,2.07,1.01,0.05,0.00,0.05,0.00,0.00,31.38,0.00,3518.60,3462.40,0.00,0.00,0.00,19604.00,962.00,0.00,38664.40,0.00,0.00,0.00,0.00,168.20,0.00,168.20,0.00,39208.00,2205012,0,5454500,71.21,4816,554972,9410148,122.86,4969164,347528,181932,4757128,47144,5968,15908,18004,0,0,0.00,0,0.00,4,732,3.39,2.30,2.06,0,168.20,0.00,39208.00,233.10,9.41,55.95,0.46,7.68,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 21:26:52,62.32,0.00,1.43,2.14,0.00,0.00,0.00,0.00,0.00,34.12,2.40,4464.87,3971.26,0.00,0.00,0.80,32772.85,1302.00,0.00,10586.83,0.00,0.00,0.00,0.00,242.12,0.20,241.92,1.60,58238.72,1860160,0,5799352,75.71,4900,568936,9418616,122.97,5305908,354916,32788,5086564,47328,6056,16616,18004,0,0,0.00,0,0.00,7,743,3.28,2.29,2.06,1,242.32,1.60,58289.82,240.56,17.30,66.59,0.50,12.22,1.60,1.60,0.16,0.19,0.00,0.00,0.00,0.00
2017-09-23 21:26:57,60.86,0.00,0.96,0.56,0.10,0.00,0.00,0.00,0.00,37.52,0.40,3451.40,3204.40,0.00,0.00,0.80,2982.40,1924.20,0.00,8048.00,0.00,0.00,0.00,0.00,52.40,0.20,52.20,1.60,13286.40,1478216,0,6181296,80.70,4912,581884,9418616,122.97,5626824,360144,31584,5453512,47792,6048,17076,18004,0,0,0.00,0,0.00,2,744,3.18,2.29,2.06,0,52.20,1.60,13235.20,253.58,6.89,154.31,1.30,6.80,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 21:27:02,62.86,0.00,1.32,0.10,0.00,0.00,0.00,0.00,0.00,35.71,0.00,4274.40,3523.80,0.00,0.00,0.80,69.60,1669.20,0.00,14446.00,0.00,0.00,0.00,0.00,1.00,0.20,0.80,1.60,139.20,975928,0,6683584,87.26,4924,595876,9418616,122.97,6164044,367212,45664,5940868,48104,6064,18276,18004,0,0,0.00,0,0.00,2,744,3.00,2.26,2.05,0,1.00,1.60,139.20,140.80,0.01,7.20,2.40,0.24,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 21:27:07,60.58,0.00,1.38,0.00,0.05,0.00,0.00,0.00,0.00,37.99,0.00,3631.60,3270.60,0.00,0.00,0.00,76.80,1726.40,0.00,19455.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,153.60,505768,0,7153744,93.40,4936,610460,9418616,122.97,6633652,375460,60320,6395260,48400,6064,19132,18004,0,0,0.00,0,0.00,6,743,3.16,2.31,2.07,0,1.00,0.00,153.60,153.60,0.00,0.00,0.00,0.00,2.20,2.20,0.24,0.23,0.00,0.00,0.00,0.00
2017-09-23 21:27:12,59.72,0.00,1.02,0.86,0.00,0.00,0.05,0.00,0.00,38.35,0.00,3967.60,3457.00,0.00,0.00,0.00,7849.60,1388.80,0.00,11197.40,0.00,0.00,0.00,0.00,84.40,0.00,84.40,0.00,15699.20,133988,0,7525524,98.25,4944,623396,9467380,123.60,6968184,381236,34348,6753176,48784,6056,19796,18004,0,0,0.00,0,0.00,5,742,3.07,2.30,2.07,0,84.40,0.00,15699.20,186.01,3.77,44.66,0.42,3.52,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 21:27:17,61.44,0.00,2.33,0.00,0.10,0.00,0.05,0.00,0.00,36.07,0.00,4010.80,13411.00,0.00,0.00,0.80,5897.60,9403.20,0.00,24445.00,7229.60,7168.40,13947.20,96.87,52.60,0.20,52.40,1.60,11795.20,160240,0,7499272,97.91,3132,359360,9508676,124.14,7177868,180244,18772,6995568,47816,6048,20368,18004,0,0,0.00,0,0.00,6,742,2.98,2.30,2.07,0,52.60,1.60,11795.20,224.27,1.89,35.89,0.37,1.92,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 21:27:22,61.63,0.00,0.71,0.05,0.00,0.00,0.05,0.00,0.00,37.55,0.00,4062.00,3383.20,0.00,0.00,15.20,72.00,1880.00,0.00,1685.60,0.00,0.00,0.00,0.00,3.20,2.40,0.80,30.40,144.00,136652,0,7522860,98.22,3140,373196,9508676,124.14,7197100,185984,32776,7006564,47708,6048,20388,18004,0,0,0.00,0,0.00,2,742,2.90,2.29,2.07,0,3.20,30.40,144.00,54.50,0.00,1.25,0.75,0.24,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
