timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 23:14:24,34.01,0.00,2.90,0.10,0.05,0.00,0.10,0.00,0.00,62.84,30.60,4873.40,4857.80,0.00,0.00,0.80,75.20,16156.20,0.00,13411.40,0.00,0.00,0.00,0.00,3.80,0.20,3.60,1.60,150.40,4293844,0,3365668,43.94,9492,1565604,3788548,49.46,2385580,821284,260264,1631868,78172,5264,8504,17940,0,0,0.00,0,0.00,2,662,1.76,2.07,2.18,0,3.80,1.60,150.40,40.00,0.01,2.74,1.47,0.56,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-19 23:14:29,55.03,0.00,2.06,0.00,0.05,0.00,0.00,0.00,0.00,42.86,21.60,2722.20,2616.20,0.00,0.00,0.00,40.80,15946.60,0.00,7706.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,81.60,3737688,0,3921824,51.20,9504,1565996,9007084,117.59,2931640,810800,260776,2183452,78744,5896,10144,17940,0,0,0.00,0,0.00,6,743,1.86,2.09,2.18,0,1.00,0.00,81.60,81.60,0.03,27.20,14.40,1.44,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-19 23:14:34,57.95,0.00,2.84,0.00,0.00,0.00,0.00,0.00,0.00,39.21,11.60,3145.60,2850.20,0.00,0.00,0.00,990.40,4944.80,0.00,46240.40,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,1980.80,2116680,0,5542832,72.37,9504,1576720,9160836,119.60,4523012,810500,266556,3788256,79584,6320,13812,17940,0,0,0.00,0,0.00,4,776,1.87,2.09,2.18,0,8.00,0.00,1980.80,247.60,0.03,4.30,0.40,0.32,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:14:39,60.27,0.00,4.15,0.10,0.05,0.00,0.00,0.00,0.00,35.43,3.20,2861.80,2833.80,0.00,0.00,0.00,12160.00,5082.40,0.00,150822.60,0.00,0.00,0.00,0.00,114.40,0.00,114.40,0.00,24267.20,707796,0,6951716,90.76,9512,1576756,9189644,119.98,5969916,810340,206160,5193968,79732,6400,16600,17940,0,0,0.00,0,0.00,3,786,2.12,2.13,2.19,0,114.40,0.00,24267.20,212.13,5.83,50.15,0.50,5.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:14:44,52.04,0.00,2.97,0.65,0.00,0.00,0.05,0.00,0.00,44.29,0.40,2342.00,5076.00,0.00,0.00,0.00,5792.00,9859.00,0.00,51125.80,1954.60,2286.00,4234.20,99.85,18.40,0.00,18.40,0.00,4520.00,137132,0,7522380,98.21,9348,1490948,9233136,120.54,6598520,750432,177808,5848948,79104,6384,17496,17940,0,0,0.00,0,0.00,8,786,2.11,2.13,2.19,1,18.40,0.00,4520.00,245.65,2.50,42.43,2.48,4.56,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:14:49,60.52,0.00,2.23,4.71,0.05,0.00,0.00,0.00,0.00,32.49,0.80,3925.20,15835.80,0.00,0.00,2.40,35500.00,13239.20,0.00,17485.20,9205.40,4536.20,13747.80,100.05,306.20,0.60,305.60,4.80,78116.80,153748,0,7505764,97.99,8588,1217232,9351072,122.08,6723144,611872,3388,6109132,76184,6408,18488,17940,0,0,0.00,0,0.00,3,789,2.11,2.13,2.19,0,306.20,4.80,78116.80,255.13,76.72,256.45,2.07,63.44,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:14:54,54.90,0.00,1.32,0.20,0.00,0.00,0.05,0.00,0.00,43.52,0.00,3129.40,7889.80,0.00,0.00,0.00,99.20,3028.80,0.00,9741.60,3846.00,1269.00,5115.00,100.00,1.00,0.00,1.00,0.00,198.40,124476,0,7535036,98.37,8556,1184812,9386612,122.55,6779156,590196,75392,6176340,75992,6424,18560,17940,0,0,0.00,0,0.00,2,789,2.10,2.13,2.19,0,1.00,0.00,198.40,198.40,0.03,27.20,9.60,0.96,2.20,2.20,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-19 23:14:59,52.73,0.00,0.91,1.57,0.00,0.00,0.00,0.00,0.00,44.79,0.00,2495.80,4392.20,0.00,0.00,31.20,6980.00,298.60,0.00,10094.80,5954.60,1047.40,6899.80,98.54,70.20,2.00,68.20,62.40,13960.00,175536,0,7483976,97.71,5752,1120496,9387884,122.57,6777944,541996,112028,6193800,74660,6424,18656,17940,0,0,0.00,0,0.00,2,789,2.09,2.13,2.19,0,70.20,62.40,13960.00,199.75,19.85,282.72,2.64,18.56,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:15:04,55.39,0.00,0.60,2.42,0.05,0.00,0.00,0.00,0.00,41.53,1.20,2987.60,2261.60,0.00,0.00,29.60,12088.80,2337.60,0.80,8690.80,0.00,0.00,0.00,0.00,97.20,1.60,95.60,59.20,24177.60,278732,0,7380780,96.36,5768,975260,9387884,122.57,6730688,481440,488,6231108,74312,6456,18740,17940,0,0,0.00,0,0.00,3,793,2.08,2.12,2.19,0,97.20,59.20,24177.60,249.35,24.74,254.53,1.92,18.64,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:15:09,51.41,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,48.54,0.00,2177.00,1767.60,0.00,0.00,0.00,49.60,16.40,0.00,1650.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,99.20,310144,0,7349368,95.95,5776,975288,9387884,122.57,6699412,481456,604,6199828,74280,6448,18740,17940,0,0,0.00,0,0.00,4,792,2.08,2.12,2.19,0,0.60,0.00,99.20,165.33,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
