timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 23:03:52,0.70,0.00,0.25,28.36,0.00,0.00,0.00,0.00,0.00,70.68,7.60,884.00,611.20,0.00,0.00,0.00,4921.60,3542.20,0.00,8414.60,0.00,0.00,0.00,0.00,47.20,0.00,47.20,0.00,12083.20,5790032,0,1869480,24.41,6952,668232,2239484,29.24,1429712,307432,91112,1061804,53208,4560,6628,17940,0,0,0.00,0,0.00,0,556,3.79,3.01,2.67,4,47.20,0.00,12083.20,256.00,141.08,2490.44,21.19,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-19 23:03:57,20.68,0.00,1.31,43.89,0.00,0.00,0.00,0.00,0.00,34.12,10.80,1346.00,1332.00,0.00,0.00,0.00,7297.60,6879.60,0.00,3496.60,0.00,0.00,0.00,0.00,44.60,0.00,44.60,0.00,11329.60,5484012,0,2175500,28.40,6956,661988,3441048,44.93,1721948,302560,57328,1374124,53164,4936,7560,17940,0,0,0.00,0,0.00,0,604,3.65,3.00,2.67,2,44.60,0.00,11329.60,254.03,112.85,2442.15,22.42,100.00,1.20,1.20,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-19 23:04:02,0.60,0.00,0.10,44.68,0.00,0.00,0.00,0.00,0.00,54.62,0.40,1035.00,681.20,0.00,0.00,1.60,10867.20,60.00,0.00,363.20,0.00,0.00,0.00,0.00,93.40,0.40,93.00,3.20,23601.60,5489584,0,2169928,28.33,6976,662028,3441048,44.93,1734692,302576,3036,1368324,53164,4952,7660,17940,0,0,0.00,0,0.00,0,605,3.44,2.96,2.66,1,93.40,3.20,23601.60,252.73,113.00,1375.04,10.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-19 23:04:07,10.25,0.00,2.22,23.18,0.05,0.00,0.15,0.00,0.00,64.14,11.40,4136.20,3305.80,0.00,0.00,0.00,32.80,3562.80,0.00,6337.80,0.00,0.00,0.00,0.00,26.40,0.00,26.40,0.00,6187.20,5135740,0,2523772,32.95,6984,919500,3689508,48.17,1837656,550400,260436,1461188,56652,4960,7820,17940,0,0,0.00,0,0.00,2,629,3.24,2.93,2.65,0,26.40,0.00,6187.20,234.36,40.16,2920.85,23.27,61.44,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:04:12,56.15,0.00,2.13,0.05,0.05,0.00,0.00,0.00,0.00,41.62,23.00,2725.60,2666.20,0.00,0.00,0.00,60.80,17330.40,0.00,7449.40,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,121.60,4545044,0,3114468,40.66,6996,919848,8947248,116.81,2435128,538976,260792,2047556,57376,5712,9880,17940,0,0,0.00,0,0.00,6,715,3.78,3.05,2.69,0,2.20,0.00,121.60,55.27,0.00,2.18,0.73,0.16,3.60,3.40,0.38,0.27,0.00,0.00,0.00,0.00
2017-09-19 23:04:17,72.50,0.00,2.63,0.25,0.00,0.00,0.00,0.00,0.00,24.62,11.80,3438.80,3109.40,0.00,0.00,0.00,1114.40,3899.80,0.00,12138.40,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,2228.80,2675040,0,4984472,65.08,7004,930572,9089264,118.67,4292080,538796,266128,3899424,58268,6144,13632,17940,0,0,0.00,0,0.00,3,752,3.80,3.06,2.70,0,20.00,0.00,2228.80,111.44,4.21,210.56,10.16,20.32,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:04:22,10.90,0.00,1.70,71.80,0.00,0.00,0.00,0.00,0.00,15.60,0.00,2606.00,1766.20,0.00,0.00,0.00,10384.80,111.60,0.00,2204.40,0.00,0.00,0.00,0.00,58.20,0.00,58.20,0.00,13192.00,2062160,0,5597352,73.08,7012,1263764,9089264,118.67,4612428,829760,547892,4172416,66824,6088,14580,17940,0,0,0.00,0,0.00,0,747,4.06,3.13,2.72,5,58.20,0.00,13192.00,226.67,88.70,1420.88,14.31,83.28,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:04:27,0.20,0.00,0.10,69.38,0.05,0.00,0.00,0.00,0.00,30.27,0.00,2301.00,1422.60,0.00,0.00,0.00,3363.20,39.40,0.00,443.40,0.00,0.00,0.00,0.00,34.40,0.00,34.40,0.00,8806.40,2016680,0,5642832,73.67,7016,1306224,9089264,118.67,4618300,867288,573772,4172864,68196,6072,14580,17940,0,0,0.00,0,0.00,0,745,4.21,3.18,2.74,5,34.40,0.00,8806.40,256.00,138.55,2299.53,29.07,100.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-19 23:04:32,0.30,0.00,0.10,77.18,0.05,0.00,0.00,0.00,0.00,22.37,0.00,2216.80,1380.40,0.00,0.00,0.00,5752.00,27.60,0.00,88.40,0.00,0.00,0.00,0.00,44.60,0.00,44.60,0.00,11336.00,1996864,0,5662648,73.93,7024,1326160,9089264,118.67,4619848,884756,565044,4171880,68764,6056,14580,17940,0,0,0.00,0,0.00,0,743,4.44,3.24,2.76,7,44.60,0.00,11336.00,254.17,99.85,2801.33,22.42,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:04:37,0.10,0.00,0.00,99.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023.80,1231.60,0.00,0.00,0.00,2528.00,13.00,0.00,29.20,0.00,0.00,0.00,0.00,40.60,0.00,40.60,0.00,10224.00,1978912,0,5680600,74.16,7028,1344300,9089264,118.67,4622172,900716,570540,4171712,69404,6048,14580,17940,0,0,0.00,0,0.00,0,742,5.20,3.42,2.82,9,40.60,0.00,10224.00,251.82,79.28,2297.38,24.63,100.00,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
