timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 15:36:24,35.76,0.00,1.71,0.45,0.10,0.00,0.05,0.00,0.00,61.93,25.80,1811.20,2053.80,0.00,0.00,508.00,64.80,20608.80,6.60,23198.00,0.00,0.00,0.00,0.00,32.00,30.00,2.00,1016.00,129.60,4971748,0,2687764,35.09,15240,1027876,2760752,36.04,1823292,693996,280,1474292,92884,4648,7580,17940,0,0,0.00,0,0.00,0,563,1.33,3.34,2.83,0,32.00,1016.00,129.60,35.80,0.04,1.23,0.83,2.64,1.20,1.20,0.12,0.09,0.00,0.00,0.00,0.00
2017-09-20 15:36:29,27.59,0.00,1.71,4.02,0.70,0.00,0.00,0.00,0.00,65.98,30.00,2245.40,2294.60,0.00,0.00,7164.80,12.80,20011.60,29.80,15813.00,0.00,0.00,0.00,0.00,350.60,350.20,0.40,14329.60,25.60,4771696,0,2887816,37.70,15472,1063540,3051792,39.84,2005604,705464,332,1636224,92904,4872,8676,17940,0,0,0.00,0,0.00,1,595,1.30,3.30,2.82,0,350.60,14329.60,25.60,40.94,0.25,0.70,0.54,18.96,3.00,3.00,0.36,0.25,0.00,0.00,0.00,0.00
2017-09-20 15:36:34,9.90,0.00,3.12,12.87,0.05,0.00,0.00,0.00,0.00,74.06,0.20,1299.80,1169.40,0.00,0.00,12544.00,13147.20,204.20,0.00,78.40,0.00,0.00,0.00,0.00,257.20,181.40,75.80,25088.00,18768.00,4510916,0,3148596,41.11,15480,1322364,3059496,39.94,2297448,679148,131060,1638872,92904,4880,8720,17940,0,0,0.00,0,0.00,0,596,1.28,3.26,2.81,1,257.20,25088.00,18768.00,170.51,68.89,95.99,2.40,61.76,0.40,0.20,0.02,0.01,0.00,0.00,0.00,0.00
2017-09-20 15:36:39,0.05,0.00,0.00,73.37,0.00,0.00,0.00,0.00,0.00,26.58,0.00,782.60,476.20,0.00,0.00,0.00,4032.80,10.00,0.00,30.20,0.00,0.00,0.00,0.00,30.80,0.00,30.80,0.00,7809.60,4510988,0,3148524,41.11,15488,1322388,3059496,39.94,2297344,679228,110944,1638756,92840,4872,8720,17940,0,0,0.00,0,0.00,0,595,1.50,3.27,2.82,1,30.80,0.00,7809.60,253.56,81.68,3933.14,32.47,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 15:36:50,0.05,0.00,0.05,51.42,0.00,0.00,0.00,0.00,0.00,48.49,0.00,793.05,484.24,0.00,0.00,0.37,2697.31,5.38,0.00,13.44,0.00,0.00,0.00,0.00,31.79,0.09,31.70,0.74,8071.18,4510888,0,3148624,41.11,15504,1322424,3059496,39.94,2297284,679264,81844,1638624,92840,4856,8720,17940,0,0,0.00,0,0.00,0,593,1.64,3.25,2.82,3,31.79,0.74,8071.18,253.92,100.40,2772.80,31.44,99.94,0.37,0.37,0.03,0.02,0.00,0.00,0.00,0.00
2017-09-20 15:36:55,0.00,0.00,0.05,54.11,0.00,0.00,0.00,0.00,0.00,45.84,0.00,776.20,471.00,0.00,0.00,0.00,4959.20,8.00,0.00,16.60,0.00,0.00,0.00,0.00,30.80,0.00,30.80,0.00,7552.00,4510872,0,3148640,41.11,15512,1322452,3059496,39.94,2297284,679276,57136,1638624,92856,4856,8720,17940,0,0,0.00,0,0.00,0,593,1.91,3.28,2.83,3,30.80,0.00,7552.00,245.19,99.84,2549.64,32.47,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 15:37:00,0.00,0.00,0.00,51.91,0.00,0.00,0.00,0.00,0.00,48.09,0.40,810.40,517.80,0.00,0.00,0.00,4964.80,20.00,0.00,24.00,0.00,0.00,0.00,0.00,38.80,0.00,38.80,0.00,8179.20,4510952,0,3148560,41.11,15520,1322472,3059496,39.94,2297356,679308,32352,1638696,92768,4864,8720,17940,0,0,0.00,0,0.00,0,594,2.08,3.29,2.83,3,38.80,0.00,8179.20,210.80,101.21,2537.05,25.77,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 15:37:05,0.05,0.00,0.00,69.19,0.00,0.00,0.00,0.00,0.00,30.76,0.00,939.00,475.40,0.00,0.00,0.00,4928.00,9.00,0.00,16.20,0.00,0.00,0.00,0.00,32.20,0.00,32.20,0.00,8020.80,4510952,0,3148560,41.11,15528,1322496,3059496,39.94,2297392,679328,7856,1638700,92764,4864,8720,17940,0,0,0.00,0,0.00,0,594,2.23,3.30,2.84,5,32.20,0.00,8020.80,249.09,84.01,3508.70,31.08,100.08,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-20 15:37:15,4.84,0.00,1.76,63.88,0.15,0.00,0.10,0.00,0.00,29.27,2.99,3101.30,2662.77,0.00,0.00,25.55,1795.21,346.21,0.10,5209.88,0.00,0.00,0.00,0.00,36.43,5.49,30.94,50.30,6747.31,3795880,0,3863632,50.44,15668,1913008,3139928,40.99,2727700,963436,580500,1762496,92880,4960,8960,17940,0,0,0.00,0,0.00,0,606,2.49,3.32,2.85,1,36.43,50.30,6747.31,186.61,60.15,1885.95,23.31,84.91,0.70,0.70,0.08,0.05,0.00,0.00,0.00,0.00
2017-09-20 15:37:20,11.75,0.00,0.80,27.11,0.05,0.00,0.05,0.00,0.00,60.24,8.20,1239.20,1132.20,0.00,0.00,7.20,4296.00,5633.00,0.40,11875.80,0.00,0.00,0.00,0.00,43.00,1.00,42.00,16.00,10224.00,3892832,0,3766680,49.18,15680,1717248,3438260,44.89,2633168,959988,367832,1860180,93156,4960,9628,17940,0,0,0.00,0,0.00,3,623,2.45,3.30,2.85,0,43.00,16.00,10224.00,238.14,63.06,1679.42,17.45,75.04,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
