timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-26 15:16:32,17.39,0.00,0.83,0.03,0.03,0.00,0.00,0.00,0.00,81.73,28.40,1845.80,1987.40,0.00,0.00,0.00,43.20,18145.60,0.00,25109.00,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,86.40,28610784,0,2272936,7.36,47808,388024,4402636,14.26,1784780,214832,340,1563732,70980,5136,7984,56956,0,0,0.00,0,0.00,1,630,1.90,2.29,1.85,0,2.20,0.00,86.40,39.27,0.00,0.00,0.00,0.00,1.00,1.00,0.09,0.07,0.00,0.00,0.00,0.00
2017-09-26 15:16:37,13.91,0.00,2.19,0.00,0.03,0.00,0.00,0.00,0.00,83.87,49.80,2941.20,2289.60,0.00,0.00,0.00,28.00,27238.60,0.00,29646.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,56.00,28405592,0,2478128,8.02,47816,503324,4458208,14.44,1832940,325848,115648,1630612,90024,5232,9740,56956,0,0,0.00,0,0.00,1,640,1.83,2.27,1.84,0,1.00,0.00,56.00,56.00,0.00,0.80,0.80,0.08,5.60,5.60,0.55,0.45,0.00,0.00,0.00,0.00
2017-09-26 15:16:42,14.91,0.00,1.50,0.36,0.03,0.00,0.03,0.00,0.00,83.19,57.00,5578.00,6265.20,0.00,0.00,0.00,3184.00,6928.80,0.00,7651.00,0.00,0.00,0.00,0.00,68.00,0.00,68.00,0.00,6368.00,28161220,0,2722500,8.82,47864,631480,4458208,14.44,1961424,449584,259016,1732416,106356,5312,9580,56924,0,0,0.00,0,0.00,0,644,2.00,2.29,1.86,0,68.00,0.00,6368.00,93.65,0.49,7.16,0.58,3.92,2.60,2.60,0.27,0.21,0.00,0.00,0.00,0.00
2017-09-26 15:16:47,18.47,0.00,0.88,0.08,0.03,0.00,0.03,0.00,0.00,80.52,29.20,2568.20,3104.00,0.00,0.00,0.00,3048.00,12013.00,0.00,10438.20,0.00,0.00,0.00,0.00,48.20,0.00,48.20,0.00,6096.00,27835948,0,3047772,9.87,47876,683840,5285576,17.11,2232688,498728,296912,2001876,108528,6000,10648,56924,0,0,0.00,0,0.00,1,736,2.08,2.31,1.86,0,48.20,0.00,6096.00,126.47,1.04,21.51,0.22,1.04,3.00,3.00,0.32,0.24,0.00,0.00,0.00,0.00
2017-09-26 15:16:52,70.24,0.00,2.98,0.00,0.00,0.00,0.03,0.00,0.00,26.75,48.20,3728.80,3094.60,0.00,0.00,0.00,81.60,37585.60,0.00,12172.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,163.20,26720476,0,4163244,13.48,47896,684888,11921172,38.60,3334792,499324,298200,3105644,112768,7512,15864,56924,0,0,0.00,0,0.00,17,925,3.20,2.53,1.94,0,1.00,0.00,163.20,163.20,0.00,0.80,0.80,0.08,5.20,5.20,0.48,0.43,0.00,0.00,0.00,0.00
2017-09-26 15:16:57,61.71,0.00,2.61,0.05,0.03,0.00,0.03,0.00,0.00,35.57,88.20,5195.40,3891.20,0.00,0.00,0.00,159.20,32569.80,0.00,106381.40,0.00,0.00,0.00,0.00,7.80,0.00,7.80,0.00,318.40,27828256,0,3055464,9.89,47944,685144,5290612,17.13,2236712,499456,298448,2003048,110496,7136,10716,56924,0,0,0.00,0,0.00,1,737,3.74,2.66,1.98,0,7.80,0.00,318.40,40.82,0.01,0.92,0.72,0.56,1.00,1.00,0.09,0.07,0.00,0.00,0.00,0.00
2017-09-26 15:17:02,13.28,0.00,1.71,0.05,0.00,0.00,0.00,0.00,0.00,84.96,21.80,2126.00,2161.60,0.00,0.00,0.80,1772.00,14095.80,0.00,45761.40,0.00,0.00,0.00,0.00,16.00,0.20,15.80,1.60,3544.00,28264276,0,2619444,8.48,47988,441216,5192668,16.81,2075300,263928,62604,1850156,74732,5520,8980,56924,0,0,0.00,0,0.00,0,676,3.68,2.66,1.99,0,16.00,1.60,3544.00,221.60,0.20,12.30,0.45,0.72,2.40,2.40,0.26,0.20,0.00,0.00,0.00,0.00
2017-09-26 15:17:07,15.67,0.00,2.56,0.05,0.03,0.00,0.00,0.00,0.00,81.69,50.60,2782.20,2538.80,0.00,0.00,0.00,654.40,28054.20,0.00,46585.20,0.00,0.00,0.00,0.00,6.40,0.00,6.40,0.00,1308.80,28326972,0,2556748,8.28,48008,541320,4434320,14.36,1882152,363068,163492,1662356,98572,5232,9236,56924,0,0,0.00,0,0.00,1,640,3.55,2.65,1.99,0,6.40,0.00,1308.80,204.50,0.04,6.88,0.37,0.24,5.60,5.40,0.55,0.44,0.00,0.00,0.00,0.00
2017-09-26 15:17:12,15.24,0.00,1.58,0.41,0.03,0.00,0.05,0.00,0.00,82.70,71.20,6093.20,6651.20,0.00,0.00,0.00,2620.80,9713.20,0.00,7050.20,0.00,0.00,0.00,0.00,63.60,0.00,63.60,0.00,5241.60,28070496,0,2813224,9.11,48048,684952,5051232,16.36,1997832,499320,312772,1764552,109980,5288,10064,56924,0,0,0.00,0,0.00,1,675,3.26,2.61,1.98,0,63.60,0.00,5241.60,82.42,0.43,6.69,0.75,4.80,2.60,2.60,0.23,0.19,0.00,0.00,0.00,0.00
2017-09-26 15:17:17,17.34,0.00,0.60,0.03,0.00,0.00,0.03,0.00,0.00,82.00,14.60,1852.80,1937.40,0.00,0.00,0.00,215.20,5942.60,0.00,7540.40,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,430.40,27834000,0,3049720,9.87,48060,685036,5264720,17.05,2230980,499228,312264,2001320,109708,6000,10636,56924,0,0,0.00,0,0.00,0,738,3.16,2.60,1.98,0,3.80,0.00,430.40,113.26,0.01,1.68,1.05,0.40,2.60,2.60,0.27,0.21,0.00,0.00,0.00,0.00
