timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-26 20:21:58,17.29,0.00,0.88,0.03,0.05,0.00,0.00,0.00,0.00,81.75,28.00,1942.80,2039.00,0.00,0.00,0.00,103.20,19321.40,0.00,27148.20,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,206.40,22347344,0,8536376,27.64,18840,6614080,4395856,14.23,2186540,5896684,368,1472700,225664,4888,8072,57020,0,0,0.00,0,0.00,1,621,2.87,1.32,0.58,0,7.00,0.00,206.40,29.49,0.00,0.23,0.11,0.08,3.20,3.20,0.21,0.62,0.00,0.00,0.00,0.00
2017-09-26 20:22:03,16.12,0.00,0.88,0.00,0.03,0.00,0.00,0.00,0.00,82.97,34.20,1973.40,2056.40,0.00,0.00,1.60,37.60,19877.00,0.00,20312.00,0.00,0.00,0.00,0.00,1.40,0.40,1.00,3.20,75.20,22250496,0,8633224,27.95,18856,6614120,4565772,14.78,2297444,5896680,448,1571188,225648,5368,9504,57020,0,0,0.00,0,0.00,2,656,2.80,1.33,0.59,0,1.40,3.20,75.20,56.00,0.00,0.57,0.57,0.08,12.60,12.80,0.81,3.04,0.00,0.00,0.00,0.00
2017-09-26 20:22:08,10.90,0.00,3.53,1.61,0.03,0.00,0.05,0.00,0.00,83.88,6.00,7316.00,7497.20,0.00,0.00,0.00,39259.20,759.20,0.00,11723.00,0.00,0.00,0.00,0.00,309.60,0.00,309.60,0.00,78518.40,21598356,0,9285364,30.07,18872,7134144,4653548,15.07,2632032,6208652,324356,1687780,239992,5384,9756,57020,0,0,0.00,0,0.00,1,668,2.66,1.33,0.59,0,309.60,0.00,78518.40,253.61,18.67,60.32,0.48,14.72,2.80,2.80,0.18,0.55,0.00,0.00,0.00,0.00
2017-09-26 20:22:13,15.36,0.00,1.46,0.00,0.03,0.00,0.03,0.00,0.00,83.13,13.80,2178.40,2235.00,0.00,0.00,0.00,56.80,11599.40,0.00,16112.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,113.60,21224052,0,9659668,31.28,18892,7204788,5588252,18.09,3038376,6173788,395164,1988644,242844,5776,10924,57020,0,0,0.00,0,0.00,0,712,2.68,1.35,0.61,0,1.00,0.00,113.60,113.60,0.00,0.00,0.00,0.00,6.80,6.80,0.45,1.46,0.00,0.00,0.00,0.00
2017-09-26 20:22:18,37.13,0.00,1.61,0.03,0.03,0.00,0.00,0.00,0.00,61.21,43.60,2895.00,3555.60,0.00,0.00,0.00,37.60,26438.60,0.00,15466.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,75.20,20152276,0,10731444,34.75,18912,7205104,9460508,30.63,4099996,6172664,395468,3050368,245160,6888,14272,57020,0,0,0.00,0,0.00,1,862,2.71,1.38,0.62,0,0.60,0.00,75.20,125.33,0.00,0.00,0.00,0.00,5.00,5.00,0.46,0.63,0.00,0.00,0.00,0.00
2017-09-26 20:22:23,25.49,0.00,4.30,6.02,0.03,0.00,0.15,0.00,0.00,64.01,11.20,17478.80,6068.20,0.00,0.00,16570.40,60371.20,16355.20,0.20,23162.60,0.00,0.00,0.00,0.00,582.40,139.20,443.20,33140.80,113089.60,19161504,0,11722216,37.96,18924,7728816,9676616,31.33,4684768,6519800,535452,3499892,259152,7064,15744,57020,0,0,0.00,0,0.00,0,871,2.57,1.38,0.62,4,582.40,33140.80,113089.60,251.08,39.79,64.27,0.67,38.88,8.40,8.20,0.52,1.69,0.00,0.00,0.00,0.00
2017-09-26 20:22:28,71.37,0.00,5.04,1.60,0.05,0.00,0.51,0.00,0.00,21.42,15.00,9699.80,8445.40,0.00,0.00,0.00,10517.60,8250.00,0.00,18374.00,0.00,0.00,0.00,0.00,125.00,0.00,125.00,0.00,28688.00,17089528,0,13794192,44.66,18932,8043508,12441204,40.28,6660188,6642820,800192,5244012,266960,7552,19264,57020,0,0,0.00,0,0.00,11,930,2.85,1.45,0.65,0,125.00,0.00,28688.00,229.50,14.56,135.40,1.19,14.88,11.00,11.00,0.61,3.43,0.00,0.00,0.00,0.00
2017-09-26 20:22:33,86.89,0.00,10.71,0.03,0.00,0.00,0.63,0.00,0.00,1.76,1.40,8107.60,5140.20,0.00,0.00,0.00,136.00,30096.60,0.00,35279.00,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,272.00,14445700,0,16438020,53.23,18940,9077124,15160748,49.09,8352268,7566588,1839268,6825096,296052,7552,21672,57020,0,0,0.00,0,0.00,12,929,3.42,1.59,0.70,0,2.20,0.00,272.00,123.64,0.00,0.00,0.00,0.00,3.80,3.80,0.25,0.91,0.00,0.00,0.00,0.00
2017-09-26 20:22:38,84.54,0.00,12.86,0.90,0.03,0.00,0.48,0.00,0.00,1.20,2.60,6045.80,4645.00,0.00,0.00,1638.40,88268.80,58716.00,0.00,60610.20,0.00,0.00,0.00,0.00,706.20,12.80,693.40,3276.80,168702.40,11938216,0,18945504,61.34,18948,10040488,16310068,52.81,9827468,8567064,2359440,8339044,322352,7544,24800,57020,0,0,0.00,0,0.00,14,929,4.43,1.83,0.78,2,706.40,3276.80,168753.60,243.53,67.54,92.47,0.72,50.56,7.40,7.40,0.45,1.86,0.00,0.00,0.00,0.00
2017-09-26 20:22:43,82.20,0.00,13.42,2.85,0.00,0.00,0.68,0.00,0.00,0.85,2.80,5498.00,4498.60,0.00,0.00,0.00,120673.60,57134.40,0.00,59484.40,0.00,0.00,0.00,0.00,954.80,0.00,954.80,0.00,242216.00,9322260,0,21561460,69.81,18956,11107756,17044660,55.19,11326692,9650964,2828212,9854900,352680,7544,27660,57020,0,0,0.00,0,0.00,16,930,5.43,2.09,0.87,2,954.60,0.00,242164.80,253.68,139.98,146.63,1.05,100.00,6.80,6.80,0.40,1.88,0.00,0.00,0.00,0.00
