timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 01:53:18,7.72,0.00,0.55,24.68,0.03,0.00,0.00,0.00,0.00,67.03,18.60,1390.00,1300.00,0.00,0.00,0.00,7396.00,10900.60,0.00,12441.80,0.00,0.00,0.00,0.00,58.00,0.00,58.00,0.00,14536.00,23001020,0,7882700,25.52,28612,6112392,4248100,13.76,1866200,5593288,661704,1318484,219052,4936,7496,56892,0,0,0.00,0,0.00,2,605,2.03,4.42,4.88,1,58.00,0.00,14536.00,250.62,118.30,1992.47,17.24,100.00,0.80,0.80,0.09,0.07,0.00,0.00,0.00,0.00
2017-09-22 01:53:23,5.10,0.00,0.25,21.64,0.03,0.00,0.00,0.00,0.00,72.99,0.80,1033.80,884.60,0.00,0.00,0.00,2791.20,1900.20,0.00,2213.60,0.00,0.00,0.00,0.00,45.20,0.00,45.20,0.00,11571.20,22862932,0,8020788,25.97,28616,6107448,4279680,13.86,2007996,5588636,647616,1460692,218880,4984,7804,56892,0,0,0.00,0,0.00,0,609,2.03,4.38,4.87,3,45.20,0.00,11571.20,256.00,116.29,2393.81,22.12,100.00,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-22 01:53:28,0.13,0.00,0.13,24.15,0.03,0.00,0.00,0.00,0.00,75.58,0.60,912.80,634.00,0.00,0.00,0.00,7403.20,32.60,0.00,16600.40,0.00,0.00,0.00,0.00,50.60,0.00,50.60,0.00,12854.40,23192216,0,7691504,24.90,28624,5971220,3686112,11.94,1806224,5461344,586352,1267212,218488,4856,7108,56892,0,0,0.00,0,0.00,0,589,2.11,4.35,4.86,4,50.60,0.00,12854.40,254.04,125.29,2166.67,19.76,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 01:53:33,6.56,0.00,0.73,35.09,0.03,0.00,0.00,0.00,0.00,57.60,8.40,1215.40,1140.60,0.00,0.00,0.80,8281.60,5106.80,0.00,46383.60,0.00,0.00,0.00,0.00,65.20,0.20,65.00,1.60,15241.60,23871308,0,7012412,22.71,28640,5305836,3701068,11.98,1761532,4840152,369156,1267536,204392,4888,7184,56892,0,0,0.00,0,0.00,0,591,2.42,4.38,4.86,4,65.20,1.60,15241.60,233.79,96.64,1485.28,15.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 01:53:38,8.63,0.00,1.38,22.60,0.05,0.00,0.00,0.00,0.00,67.34,25.60,1532.80,1476.40,0.00,0.00,0.00,8284.00,14620.40,0.00,89434.40,0.00,0.00,0.00,0.00,58.20,0.00,58.20,0.00,14796.80,25351864,0,5531856,17.91,28652,3653800,4321716,13.99,1873012,3289624,107908,1480276,161228,5024,8484,56892,0,0,0.00,0,0.00,0,617,2.54,4.38,4.86,4,58.20,0.00,14796.80,254.24,128.84,1957.54,17.18,100.00,3.20,3.20,0.33,0.27,0.00,0.00,0.00,0.00
2017-09-22 01:53:43,0.23,0.00,0.25,44.88,0.00,0.00,0.00,0.00,0.00,54.64,0.00,939.00,668.20,0.00,0.00,0.00,9048.00,36.20,0.00,20877.40,0.00,0.00,0.00,0.00,83.00,0.00,83.00,0.00,21075.20,25766956,0,5116764,16.57,28664,3253524,4321716,13.99,1841280,2918216,22324,1476352,149888,5048,8524,56892,0,0,0.00,0,0.00,0,617,2.82,4.40,4.87,4,83.00,0.00,21075.20,253.92,120.49,1933.91,12.05,100.00,0.40,0.40,0.04,0.03,0.00,0.00,0.00,0.00
2017-09-22 01:53:48,0.60,0.00,0.15,34.93,0.00,0.00,0.00,0.00,0.00,64.32,0.60,983.20,722.80,0.00,0.00,0.00,4173.60,96.40,0.00,15698.60,0.00,0.00,0.00,0.00,47.60,0.00,47.60,0.00,11764.80,26029288,0,4854432,15.72,28676,2986212,4321716,13.99,1823444,2669148,1592,1493920,138168,5064,8532,56892,0,0,0.00,0,0.00,0,619,3.08,4.43,4.87,3,47.80,0.00,11816.00,247.20,78.52,1835.75,20.92,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 01:53:53,19.44,0.00,0.80,0.53,0.10,0.00,0.00,0.00,0.00,79.12,31.80,2392.00,2821.00,0.00,0.00,0.00,22.40,9988.00,0.00,13619.00,0.00,0.00,0.00,0.00,6.60,0.00,6.60,0.00,384.00,25820436,0,5063284,16.39,28688,2845576,5078596,16.44,2181744,2538996,2588,1851008,131068,5752,9716,56892,0,0,0.00,0,0.00,2,712,2.91,4.37,4.85,0,6.40,0.00,332.80,52.00,0.09,591.25,6.88,4.40,4.00,4.00,0.43,0.33,0.00,0.00,0.00,0.00
2017-09-22 01:53:58,58.77,0.00,2.46,0.00,0.00,0.00,0.03,0.00,0.00,38.75,51.40,3942.60,3330.60,0.00,0.00,0.00,68.80,35035.80,0.00,15763.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,137.60,24961524,0,5922196,19.18,28732,2841428,7602216,24.62,3024724,2534788,3656,2702248,135248,7440,14396,56892,0,0,0.00,0,0.00,18,915,2.68,4.30,4.82,0,1.60,0.00,137.60,86.00,0.00,0.00,0.00,0.00,0.20,0.20,0.02,0.02,0.00,0.00,0.00,0.00
2017-09-22 01:54:03,96.35,0.00,3.23,0.03,0.00,0.00,0.03,0.00,0.00,0.38,27.20,6128.40,3474.00,0.00,0.00,10447.20,220.80,16700.40,0.00,8264.40,0.00,0.00,0.00,0.00,102.60,83.60,19.00,20894.40,441.60,23752216,0,7131504,23.09,28744,2889352,7742772,25.07,4194988,2582944,4068,3859976,136368,8096,17312,56892,0,0,0.00,0,0.00,20,999,4.70,4.69,4.95,0,102.60,20894.40,441.60,207.95,0.91,8.83,0.64,6.56,5.20,5.20,0.46,0.42,0.00,0.00,0.00,0.00
