timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 21:57:36,18.05,0.00,1.13,0.03,0.05,0.00,0.00,0.00,0.00,80.75,58.80,2229.20,2343.80,0.00,0.00,37.60,125.60,33364.00,1.20,32197.20,0.00,0.00,0.00,0.00,10.60,2.40,8.20,75.20,251.20,18145476,0,12738244,41.25,114580,10244048,4378616,14.18,6440220,5719908,224,1803600,367048,5504,9444,56892,0,0,0.00,0,0.00,2,663,2.17,7.71,7.17,0,10.60,75.20,251.20,30.79,0.00,0.45,0.38,0.40,3.80,3.80,0.40,0.32,0.00,0.00,0.00,0.00
2017-09-20 21:57:41,20.86,0.00,0.78,0.70,0.05,0.00,0.00,0.00,0.00,77.60,1.80,1889.20,2138.80,0.00,0.00,0.00,1930.40,5517.00,0.00,44804.60,0.00,0.00,0.00,0.00,173.40,0.00,173.40,0.00,3860.80,18762568,0,12121152,39.25,116092,9509416,4411804,14.29,6534260,5025744,1460,1934608,353432,5488,9592,56892,0,0,0.00,0,0.00,1,672,2.16,7.62,7.15,0,173.40,0.00,3860.80,22.27,0.15,0.85,0.72,12.40,0.60,0.40,0.02,0.02,0.00,0.00,0.00,0.00
2017-09-20 21:57:46,15.97,0.00,0.58,0.63,0.08,0.00,0.00,0.00,0.00,82.75,24.60,3310.00,3616.60,0.00,0.00,0.00,1030.40,6593.00,0.00,6315.60,0.00,0.00,0.00,0.00,98.80,0.00,98.80,0.00,2060.80,18628948,0,12254772,39.68,116784,9540048,5014740,16.24,6638652,5054576,35712,2036284,353828,5616,9380,56892,0,0,0.00,0,0.00,2,708,2.06,7.51,7.11,0,98.80,0.00,2060.80,20.86,0.08,0.81,0.73,7.20,1.80,1.80,0.17,0.14,0.00,0.00,0.00,0.00
2017-09-20 21:57:51,18.61,0.00,0.63,0.00,0.05,0.00,0.00,0.00,0.00,80.71,14.60,2039.00,2331.20,0.00,0.00,0.00,64.00,5482.60,0.00,6715.60,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,128.00,18390740,0,12492980,40.45,116796,9535328,5245736,16.99,6881380,5049700,36592,2279136,353812,6280,10832,56892,0,0,0.00,0,0.00,0,772,1.98,7.40,7.08,0,1.80,0.00,128.00,71.11,0.00,1.33,0.89,0.16,3.00,3.00,0.32,0.25,0.00,0.00,0.00,0.00
2017-09-20 21:57:56,77.44,0.00,2.99,0.00,0.00,0.00,0.03,0.00,0.00,19.55,55.00,5015.40,3176.80,0.00,0.00,0.00,91.20,41935.80,0.00,17119.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,182.40,17444636,0,13439084,43.52,116844,9531328,7660844,24.81,7819424,5045516,37892,3216816,357360,7952,15828,56892,0,0,0.00,0,0.00,14,979,2.86,7.49,7.11,0,1.00,0.00,182.40,182.40,0.00,0.00,0.00,0.00,4.80,4.80,0.45,0.40,0.00,0.00,0.00,0.00
2017-09-20 21:58:01,96.44,0.00,3.08,0.00,0.03,0.00,0.00,0.00,0.00,0.45,27.00,7463.40,3335.40,0.00,0.00,2867.20,26.40,16851.40,0.00,8764.80,0.00,0.00,0.00,0.00,23.00,22.40,0.60,5734.40,52.80,16358004,0,14525716,47.03,116848,9542560,7799308,25.25,8893840,5055536,39920,4290180,358516,8568,18384,56892,0,0,0.00,0,0.00,34,1057,4.39,7.73,7.19,0,23.00,5734.40,52.80,251.62,0.16,6.92,0.56,1.28,0.40,0.20,0.02,0.01,0.00,0.00,0.00,0.00
2017-09-20 21:58:06,98.25,0.00,1.45,0.00,0.00,0.00,0.05,0.00,0.00,0.25,0.40,26836.40,3848.40,0.00,0.00,4096.00,8036.80,1332.40,0.00,3344.40,0.00,0.00,0.00,0.00,131.60,32.00,99.60,8192.00,16073.60,16146684,0,14737036,47.72,116856,9557956,8116048,26.28,9085836,5071300,548,4482440,359356,8568,18788,56892,0,0,0.00,0,0.00,61,1057,5.80,7.97,7.27,0,131.60,8192.00,16073.60,184.39,3.21,24.33,0.30,4.00,0.40,0.40,0.04,0.03,0.00,0.00,0.00,0.00
2017-09-20 21:58:11,99.00,0.00,0.92,0.00,0.00,0.00,0.05,0.00,0.00,0.02,0.00,43120.20,3016.00,0.00,0.00,1638.40,8.80,198.40,0.00,730.20,0.00,0.00,0.00,0.00,13.20,12.80,0.40,3276.80,17.60,16113968,0,14769752,47.82,116856,9561060,7969324,25.80,9113164,5074704,600,4510072,359416,8504,18848,56892,0,0,0.00,0,0.00,50,1049,8.70,8.53,7.46,0,13.20,3276.80,17.60,249.58,0.06,4.55,0.42,0.56,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-20 21:58:16,99.12,0.00,0.80,0.00,0.00,0.00,0.05,0.00,0.00,0.03,0.00,39247.80,3027.80,0.00,0.00,1638.40,8.80,201.20,0.00,575.20,0.00,0.00,0.00,0.00,13.20,12.80,0.40,3276.80,17.60,16082736,0,14800984,47.92,116856,9564168,7905928,25.60,9141872,5078140,672,4539048,359488,8496,18924,56892,0,0,0.00,0,0.00,24,1048,11.29,9.07,7.64,0,13.20,3276.80,17.60,249.58,0.06,4.30,0.48,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 21:58:21,96.90,0.00,2.15,0.00,0.03,0.00,0.33,0.00,0.00,0.60,0.20,16788.20,4162.40,0.00,0.00,18022.40,8.80,439.80,0.00,784.00,0.00,0.00,0.00,0.00,141.20,140.80,0.40,36044.80,17.60,16000164,0,14883556,48.19,116864,9649456,7890492,25.55,9142100,5163104,712,4539676,359124,8504,18924,56892,0,0,0.00,0,0.00,9,1049,11.03,9.05,7.64,0,141.20,36044.80,17.60,255.40,0.76,5.37,0.49,6.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
