timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 03:52:05,17.27,0.00,1.36,0.00,0.00,0.00,0.00,0.00,0.00,81.38,55.60,2222.00,2280.40,0.00,0.00,0.00,88.00,33003.80,0.00,32801.60,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,176.00,24358560,0,6525160,21.13,163088,4424692,4341272,14.06,2644136,3443880,472,1512892,215892,5344,9364,56956,0,0,0.00,0,0.00,3,647,3.87,6.48,5.97,0,2.80,0.00,176.00,62.86,0.00,0.57,0.57,0.16,5.80,5.60,0.48,0.71,0.00,0.00,0.00,0.00
2017-09-24 03:52:10,21.94,0.00,0.70,0.73,0.03,0.00,0.00,0.00,0.00,76.61,2.00,2049.40,2193.00,0.00,0.00,0.00,1961.60,7065.60,0.00,12319.60,0.00,0.00,0.00,0.00,175.80,0.00,175.80,0.00,3923.20,24214372,0,6669348,21.60,163772,4402600,4353664,14.10,2824128,3422060,1596,1679856,215648,5240,9376,56956,0,0,0.00,0,0.00,1,641,3.72,6.41,5.95,0,175.80,0.00,3923.20,22.32,0.14,0.80,0.74,13.04,0.80,0.80,0.04,0.22,0.00,0.00,0.00,0.00
2017-09-24 03:52:15,17.37,0.00,0.51,0.48,0.03,0.00,0.00,0.00,0.00,81.62,6.00,3235.80,3507.20,0.00,0.00,0.00,1008.00,3528.80,0.00,4986.60,0.00,0.00,0.00,0.00,96.80,0.00,96.80,0.00,2016.00,24133968,0,6749752,21.86,164036,4415672,4415652,14.30,2893792,3433600,18592,1748044,215648,5280,9512,56956,0,0,0.00,0,0.00,0,647,3.66,6.35,5.93,0,96.80,0.00,2016.00,20.83,0.08,0.84,0.75,7.28,7.20,7.40,0.47,1.12,0.00,0.00,0.00,0.00
2017-09-24 03:52:20,18.42,0.00,0.65,0.00,0.03,0.00,0.00,0.00,0.00,80.90,32.80,2358.80,2742.00,0.00,0.00,0.00,112.80,9796.40,0.00,9550.80,0.00,0.00,0.00,0.00,11.40,0.00,11.40,0.00,225.60,23851568,0,7032152,22.77,164040,4429184,5205780,16.86,3162332,3444944,36064,2014180,216004,5952,10576,56956,0,0,0.00,0,0.00,1,736,3.45,6.26,5.90,0,11.40,0.00,225.60,19.79,0.01,0.98,0.21,0.24,3.20,3.00,0.33,0.25,0.00,0.00,0.00,0.00
2017-09-24 03:52:25,71.11,0.00,2.81,0.00,0.00,0.00,0.00,0.00,0.00,26.08,54.40,4824.00,3123.60,0.00,0.00,0.00,92.00,38845.00,0.00,13685.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,184.00,22944596,0,7939124,25.71,164084,4425396,7609840,24.64,4062160,3440856,37604,2913496,219584,7616,15472,56956,0,0,0.00,0,0.00,12,942,3.49,6.22,5.89,0,1.00,0.00,184.00,184.00,0.00,3.20,0.80,0.08,4.20,4.20,0.36,0.41,0.00,0.00,0.00,0.00
2017-09-24 03:52:30,95.72,0.00,3.83,0.00,0.00,0.00,0.08,0.00,0.00,0.38,26.00,7547.20,3304.40,0.00,0.00,2867.20,48.00,19318.80,0.00,8869.40,0.00,0.00,0.00,0.00,24.40,22.40,2.00,5734.40,96.00,21900200,0,8983520,29.09,164088,4436512,7749284,25.09,5096000,3450332,39484,3945936,220560,8264,17624,56956,0,0,0.00,0,0.00,15,1020,4.33,6.35,5.94,0,24.40,5734.40,96.00,238.95,0.14,5.61,0.33,0.80,1.20,1.20,0.11,0.10,0.00,0.00,0.00,0.00
2017-09-24 03:52:35,97.25,0.00,2.63,0.00,0.00,0.00,0.08,0.00,0.00,0.05,1.40,10660.40,3324.60,0.00,0.00,7782.40,7953.60,1620.80,0.00,3744.80,0.00,0.00,0.00,0.00,150.20,58.40,91.80,14950.40,15907.20,21725784,0,9157936,29.65,164088,4470588,7780000,25.19,5231876,3483580,552,4081240,221480,8264,18356,56956,0,0,0.00,0,0.00,14,1019,5.83,6.63,6.03,0,150.60,15052.80,15907.20,205.58,3.41,22.56,0.31,4.64,0.20,0.20,0.01,0.08,0.00,0.00,0.00,0.00
2017-09-24 03:52:40,94.88,0.00,4.75,0.00,0.00,0.00,0.25,0.00,0.00,0.12,0.40,13061.80,3504.40,0.00,0.00,21504.00,8.00,457.20,0.00,923.40,0.00,0.00,0.00,0.00,170.80,170.40,0.40,43622.40,16.00,21620088,0,9263632,30.00,164088,4573020,7780000,25.19,5237104,3586236,604,4086780,221328,8224,18372,56956,0,0,0.00,0,0.00,15,1012,6.16,6.68,6.05,0,170.40,43520.00,16.00,255.49,0.76,4.53,0.45,7.60,0.40,0.40,0.02,0.11,0.00,0.00,0.00,0.00
2017-09-24 03:52:45,94.98,0.00,4.77,0.00,0.00,0.00,0.22,0.00,0.00,0.02,0.00,11274.20,2921.00,0.00,0.00,15254.40,6.40,197.00,0.00,475.00,0.00,0.00,0.00,0.00,120.60,120.20,0.40,30150.40,12.80,21548884,0,9334836,30.23,164092,4645068,7780000,25.19,5236284,3658528,640,4086304,221212,8208,18372,56956,0,0,0.00,0,0.00,12,1012,6.87,6.82,6.10,0,121.00,30252.80,12.80,250.13,0.44,3.60,0.36,4.32,0.80,0.80,0.06,0.15,0.00,0.00,0.00,0.00
2017-09-24 03:52:50,95.15,0.00,4.65,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,11535.20,2976.60,0.00,0.00,14745.60,7.20,169.60,0.00,588.80,0.00,0.00,0.00,0.00,117.00,116.60,0.40,29849.60,14.40,21480628,0,9403092,30.45,164096,4714016,7780000,25.19,5234212,3727712,1116,4084144,220984,8208,18372,56956,0,0,0.00,0,0.00,17,1012,8.16,7.09,6.19,0,116.60,29747.20,14.40,255.25,0.44,3.83,0.37,4.32,0.80,0.80,0.04,0.20,0.00,0.00,0.00,0.00
