timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 21:53:49,19.65,0.00,1.78,0.03,0.05,0.00,0.00,0.00,0.00,78.49,21.60,5105.40,5135.40,0.00,0.00,0.00,137.60,13315.60,0.00,14236.80,0.00,0.00,0.00,0.00,16.60,0.00,16.60,0.00,275.20,28580964,0,2302756,7.46,12556,465160,5063608,16.40,1844612,172496,131620,1545776,75796,5144,8420,56956,0,0,0.00,0,0.00,0,629,1.54,2.99,3.61,0,16.60,0.00,275.20,16.58,0.03,1.73,0.29,0.48,1.80,1.80,0.18,0.21,0.00,0.00,0.00,0.00
2017-09-23 21:53:54,19.47,0.00,1.24,0.00,0.00,0.00,0.08,0.00,0.00,79.22,14.40,3220.80,3645.40,0.00,0.00,0.00,66.40,9998.00,0.00,8112.60,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,132.80,28194024,0,2689696,8.71,12572,594136,5700804,18.46,2112536,293472,260452,1801472,76584,5440,9168,56956,0,0,0.00,0,0.00,1,672,1.50,2.95,3.60,0,2.00,0.00,132.80,66.40,0.00,0.80,0.40,0.08,2.20,2.20,0.22,0.17,0.00,0.00,0.00,0.00
2017-09-23 21:53:59,36.03,0.00,1.77,0.00,0.03,0.00,0.00,0.00,0.00,62.17,36.00,3703.20,4085.60,0.00,0.00,0.00,47.20,25058.40,0.00,10885.00,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,94.40,27360936,0,3522784,11.41,12592,594468,26828900,86.87,2947632,287228,260876,2628136,78212,6568,12348,56956,0,0,0.00,0,0.00,4,808,1.70,2.97,3.60,0,1.80,0.00,94.40,52.44,0.00,0.44,0.44,0.08,2.00,2.00,0.21,0.16,0.00,0.00,0.00,0.00
2017-09-23 21:54:04,22.23,0.00,1.16,0.00,0.05,0.00,0.00,0.00,0.00,76.56,21.60,4042.60,3892.80,0.00,0.00,21.60,1536.80,11626.60,0.00,8750.20,0.00,0.00,0.00,0.00,12.60,5.40,7.20,43.20,1553.60,26758912,0,4124808,13.36,12680,604044,33967768,109.99,3538804,294180,263652,3216888,79196,7104,14176,56956,0,0,0.00,0,0.00,5,881,1.64,2.94,3.59,0,12.60,43.20,1553.60,126.73,0.11,3.94,0.32,0.40,2.40,2.40,0.25,0.26,0.00,0.00,0.00,0.00
2017-09-23 21:54:09,55.38,0.00,4.31,0.00,0.00,0.00,0.03,0.00,0.00,40.29,5.20,4152.40,4116.00,0.00,0.00,0.00,532.00,4814.40,0.00,8886.60,0.00,0.00,0.00,0.00,11.80,0.00,11.80,0.00,2584.00,20480472,0,10403248,33.69,12680,615756,34152448,110.58,9809104,290232,272208,9471040,79340,7256,26556,56956,0,0,0.00,0,0.00,5,896,1.83,2.95,3.59,0,11.80,0.00,2584.00,218.98,0.11,14.64,0.41,0.48,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-23 21:54:14,51.94,0.00,0.15,0.03,0.00,0.00,0.00,0.00,0.00,47.88,0.00,2938.60,2503.00,0.00,0.00,0.00,46.40,59.20,0.00,48.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,92.80,20479640,0,10404080,33.69,12688,615784,34152448,110.58,9810228,290240,272324,9472192,79356,7256,26560,56956,0,0,0.00,0,0.00,4,889,2.17,3.01,3.60,0,0.60,0.00,92.80,154.67,0.00,2.67,1.33,0.08,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 21:54:19,51.05,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,48.88,0.00,2899.60,2533.80,0.00,0.00,0.00,44.00,33.20,0.00,40.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,88.00,20479624,0,10404096,33.69,12696,615812,34152448,110.58,9810060,290260,272168,9471968,79396,7200,26560,56956,0,0,0.00,0,0.00,4,886,2.31,3.02,3.60,0,1.00,0.00,88.00,88.00,0.00,0.80,0.80,0.08,1.60,1.60,0.16,0.19,0.00,0.00,0.00,0.00
2017-09-23 21:54:24,51.99,0.00,0.38,0.63,0.03,0.00,0.00,0.00,0.00,46.97,3.40,3671.00,3372.20,0.00,0.00,0.00,26338.40,374.80,0.00,2463.40,0.00,0.00,0.00,0.00,217.80,0.00,217.80,0.00,52676.80,20391640,0,10492080,33.97,12704,615836,34152448,110.58,9898060,290280,140540,9560112,79372,7192,26560,56956,0,0,0.00,0,0.00,2,902,2.37,3.02,3.60,0,217.80,0.00,52676.80,241.86,9.84,45.20,0.36,7.76,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-23 21:54:29,28.70,0.00,0.33,0.78,0.03,0.00,0.00,0.00,0.00,70.17,0.80,3242.00,3006.80,0.00,0.00,0.00,26098.40,4967.20,0.00,2740.80,0.00,0.00,0.00,0.00,217.60,0.00,217.60,0.00,52196.80,20335256,0,10548464,34.16,12788,615892,34214000,110.78,9955136,290280,11864,9617004,79492,7336,26872,56956,0,0,0.00,0,0.00,3,904,2.34,3.00,3.59,0,217.60,0.00,52196.80,239.88,9.91,45.56,0.36,7.76,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-23 21:54:34,16.90,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,82.78,0.00,3156.00,2409.00,0.00,0.00,0.00,58.40,2632.80,0.00,7078.20,0.00,0.00,0.00,0.00,7.20,0.00,7.20,0.00,116.80,20287820,0,10595900,34.31,12796,615932,34295236,111.05,9969064,290292,11720,9661608,79484,7336,26908,56956,0,0,0.00,0,0.00,0,903,2.15,2.95,3.57,0,7.20,0.00,116.80,16.22,0.01,2.00,0.33,0.24,1.40,1.40,0.14,0.18,0.00,0.00,0.00,0.00
