timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 17:02:26,19.17,0.00,1.80,0.05,0.03,0.00,0.03,0.00,0.00,78.93,22.20,4978.80,5147.20,0.00,0.00,0.00,161.60,14305.20,0.00,17934.80,0.00,0.00,0.00,0.00,19.60,0.00,19.60,0.00,323.20,28482764,0,2400956,7.77,27004,428696,5091212,16.49,1975032,161580,131516,1680948,61228,5160,8592,56956,0,0,0.00,0,0.00,1,631,1.44,3.16,5.06,0,19.60,0.00,323.20,16.49,0.05,2.41,0.24,0.48,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-23 17:02:31,22.27,0.00,1.41,0.00,0.03,0.00,0.10,0.00,0.00,76.19,23.40,3480.80,4012.80,0.00,0.00,0.00,58.40,16019.80,0.00,11384.00,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,116.80,28026440,0,2857280,9.25,27016,557540,12889144,41.73,2310204,278908,260464,2004624,62804,5616,9740,56956,0,0,0.00,0,0.00,3,716,1.56,3.15,5.04,0,1.80,0.00,116.80,64.89,0.00,0.44,0.44,0.08,2.40,2.40,0.25,0.26,0.00,0.00,0.00,0.00
2017-09-23 17:02:36,34.97,0.00,1.64,0.46,0.03,0.00,0.00,0.00,0.00,62.91,33.40,3902.60,4393.20,0.00,0.00,0.00,19467.20,19631.40,0.00,8215.40,0.00,0.00,0.00,0.00,156.20,0.00,156.20,0.00,38934.40,27119040,0,3764680,12.19,27024,557868,27041172,87.56,3198264,276232,163924,2904248,64584,6632,12920,56956,0,0,0.00,0,0.00,3,828,1.68,3.15,5.03,0,156.20,0.00,38934.40,249.26,6.88,44.05,0.34,5.36,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-23 17:02:42,32.96,0.00,1.64,0.91,0.03,0.00,0.03,0.00,0.00,64.43,22.60,4716.80,4801.20,0.00,0.00,0.00,34806.40,14322.20,0.00,7694.40,0.00,0.00,0.00,0.00,288.20,0.00,288.20,0.00,69612.80,25992388,0,4891332,15.84,27036,579120,34406888,111.41,4321856,282436,11596,4006852,65972,7312,15372,56956,0,0,0.00,0,0.00,11,911,1.94,3.18,5.03,0,288.20,0.00,69612.80,241.54,15.17,52.65,0.63,18.24,2.00,2.00,0.20,0.16,0.00,0.00,0.00,0.00
2017-09-23 17:02:47,83.99,0.00,3.61,0.00,0.05,0.00,0.00,0.00,0.00,12.35,0.80,5177.40,5031.40,0.00,0.00,0.00,85.60,5752.20,0.00,19562.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,171.20,21950876,0,8932844,28.92,27040,580844,34612596,112.07,8277140,282760,14084,8038148,66056,7392,22876,56956,0,0,0.00,0,0.00,4,910,2.83,3.34,5.08,0,1.00,0.00,171.20,171.20,0.00,3.20,0.80,0.08,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-23 17:02:52,56.65,0.00,3.17,0.05,0.03,0.00,0.05,0.00,0.00,40.06,3.60,7760.60,7277.80,0.00,0.00,0.00,221.60,1807.00,0.00,65458.40,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,443.20,19143680,0,11740040,38.01,27048,592732,34612596,112.07,11124068,290596,26752,10826488,66176,7496,28780,56956,0,0,0.00,0,0.00,4,923,3.00,3.37,5.08,0,2.00,0.00,443.20,221.60,0.01,5.20,0.80,0.16,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-23 17:02:57,50.53,0.00,2.03,0.03,0.05,0.00,0.10,0.00,0.00,47.26,0.00,8842.00,8098.80,0.00,0.00,0.00,204.00,2427.20,0.00,43566.20,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,408.00,18652176,0,12231544,39.61,27056,610992,34612596,112.07,11564380,303860,44888,11298596,66304,7480,29928,56956,0,0,0.00,0,0.00,2,921,3.00,3.37,5.06,0,1.80,0.00,408.00,226.67,0.01,3.56,0.44,0.08,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-23 17:03:02,50.49,0.00,1.98,0.00,0.05,0.00,0.05,0.00,0.00,47.43,0.00,8821.40,7960.60,0.00,0.00,0.00,194.40,2521.00,0.00,45897.60,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,388.80,18185568,0,12698152,41.12,27064,626792,34612596,112.07,12086792,314700,60888,11748384,66400,7472,31040,56956,0,0,0.00,0,0.00,4,920,2.92,3.34,5.05,0,1.80,0.00,388.80,216.00,0.01,3.11,0.44,0.08,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-23 17:03:07,55.45,0.00,1.73,0.08,0.05,0.00,0.08,0.00,0.00,42.62,0.80,8236.20,6950.60,0.00,0.00,0.00,639.20,5078.40,0.00,23055.40,0.00,0.00,0.00,0.00,11.60,0.00,11.60,0.00,1278.40,17426840,0,13456880,43.57,27136,643660,34612596,112.07,12830344,326488,77736,12488756,66448,7488,32340,56956,0,0,0.00,0,0.00,4,922,3.57,3.47,5.08,0,11.60,0.00,1278.40,110.21,0.01,0.62,0.41,0.48,2.40,2.40,0.24,0.19,0.00,0.00,0.00,0.00
2017-09-23 17:03:12,57.53,0.00,1.18,0.00,0.05,0.00,0.08,0.00,0.00,41.17,1.20,8408.80,7807.00,0.00,0.00,0.00,488.00,5205.60,0.00,9668.40,0.00,0.00,0.00,0.00,10.60,0.00,10.60,0.00,976.00,17206004,0,13677716,44.29,27168,649412,34612596,112.07,13050140,329712,82176,12703568,66668,7512,32976,56956,0,0,0.00,0,0.00,5,927,4.08,3.58,5.11,0,10.60,0.00,976.00,92.08,1.83,172.75,10.04,10.64,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
