timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 14:28:03,16.96,0.00,1.82,0.05,0.08,0.00,0.05,0.00,0.00,81.05,25.80,5758.00,5846.60,0.00,0.00,0.00,116.80,12564.20,0.00,17301.40,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,233.60,28009624,0,2874096,9.31,26696,809104,5166848,16.73,2066460,535864,230352,1776832,56980,5296,8940,56956,0,0,0.00,0,0.00,2,657,3.38,1.52,0.63,0,4.20,0.00,233.60,55.62,0.04,9.71,6.48,2.72,2.00,2.00,0.20,0.23,0.00,0.00,0.00,0.00
2017-09-23 14:28:08,19.05,0.00,1.01,0.03,0.00,0.00,0.00,0.00,0.00,79.91,17.40,2471.80,2493.60,0.00,0.00,0.00,56.00,12918.20,0.00,4861.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,112.00,27607356,0,3276364,10.61,26708,839692,13045940,42.24,2453816,554996,260988,2144772,58956,5848,10320,56956,0,0,0.00,0,0.00,3,723,3.35,1.54,0.64,0,1.60,0.00,112.00,70.00,0.00,0.00,0.00,0.00,2.40,2.40,0.24,0.19,0.00,0.00,0.00,0.00
2017-09-23 14:28:13,38.27,0.00,1.72,0.23,0.03,0.00,0.00,0.00,0.00,59.76,39.20,4101.00,4352.20,0.00,0.00,0.00,39.20,22146.40,0.00,8459.80,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,78.40,26622784,0,4260936,13.80,26716,840060,34191964,110.71,3431876,552308,261380,3121412,61040,6952,13720,56956,0,0,0.00,0,0.00,1,861,3.32,1.57,0.65,0,2.00,0.00,78.40,39.20,0.04,19.20,12.00,2.40,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-23 14:28:18,41.21,0.00,6.37,0.00,0.03,0.00,0.03,0.00,0.00,52.37,13.20,4718.60,4318.60,0.00,0.00,0.00,2034.40,8292.00,0.00,58839.60,0.00,0.00,0.00,0.00,16.80,0.00,16.80,0.00,4068.80,19735252,0,11148468,36.10,26724,861216,34465644,111.60,10256348,558168,272716,9971688,62928,7336,26236,56956,0,0,0.00,0,0.00,5,903,3.45,1.62,0.68,0,16.80,0.00,4068.80,242.19,0.69,41.10,3.00,5.04,1.60,1.60,0.16,0.19,0.00,0.00,0.00,0.00
2017-09-23 14:28:23,57.71,0.00,5.81,0.00,0.03,0.00,0.00,0.00,0.00,36.46,0.40,3695.80,3305.20,0.00,0.00,0.00,172.80,1192.20,0.00,355052.80,0.00,0.00,0.00,0.00,15.00,0.00,15.00,0.00,345.60,17079072,0,13804648,44.70,26724,861248,34465644,111.60,12845144,558176,271888,12621668,62944,7296,31768,56956,0,0,0.00,0,0.00,12,898,3.50,1.66,0.69,0,15.00,0.00,345.60,23.04,0.04,2.88,0.11,0.16,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-23 14:28:28,56.04,0.00,5.21,0.00,0.00,0.00,0.00,0.00,0.00,38.75,0.20,4181.60,3214.00,0.00,0.00,0.00,20.80,1005.60,0.00,307696.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,41.60,14462200,0,16421520,53.17,26732,861272,34481208,111.65,15460712,558188,271872,15233480,62944,7264,37160,56956,0,0,0.00,0,0.00,3,895,3.54,1.70,0.71,0,2.00,0.00,41.60,20.80,0.00,0.40,0.40,0.08,1.60,1.60,0.16,0.12,0.00,0.00,0.00,0.00
2017-09-23 14:28:33,55.31,0.00,4.87,0.20,0.00,0.00,0.03,0.00,0.00,39.59,4.40,4895.60,4689.00,0.00,0.00,0.00,60.80,6931.60,0.00,309152.80,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,121.60,12420520,0,18463200,59.78,26744,861364,34547628,111.86,17604496,554876,271812,17271356,63140,7432,41796,56956,0,0,0.00,0,0.00,4,915,3.41,1.71,0.72,0,2.00,0.00,121.60,60.80,0.02,7.60,7.60,1.52,1.60,1.60,0.16,0.19,0.00,0.00,0.00,0.00
2017-09-23 14:28:38,48.01,0.00,0.61,6.86,0.08,0.00,0.03,0.00,0.00,44.42,0.00,5897.00,5688.20,0.00,0.00,0.00,33291.20,119.80,0.00,2449.20,0.00,0.00,0.00,0.00,236.40,0.00,236.40,0.00,59611.20,12401004,0,18482716,59.85,26808,861528,34547628,111.86,17620188,554896,106904,17288968,63320,7432,41844,56956,0,0,0.00,0,0.00,4,915,3.54,1.76,0.74,1,236.40,0.00,59611.20,252.16,122.94,240.65,3.67,86.80,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-23 14:28:43,56.34,0.00,4.86,13.22,0.00,0.00,0.03,0.00,0.00,25.55,0.20,5417.80,4275.80,0.00,0.00,0.00,5388.80,808.80,0.00,244410.00,0.00,0.00,0.00,0.00,38.60,0.00,38.60,0.00,9809.60,10032136,0,20851584,67.52,26824,861640,34547628,111.86,19943636,554792,80244,19652980,63380,7440,46472,56956,0,0,0.00,0,0.00,4,916,3.98,1.88,0.79,2,38.60,0.00,9809.60,254.13,92.78,3581.93,25.91,100.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-23 14:28:48,56.81,0.00,0.15,9.97,0.03,0.00,0.00,0.00,0.00,33.04,0.00,4415.60,3386.00,0.00,0.00,0.80,4807.20,124.80,0.00,29.80,0.00,0.00,0.00,0.00,39.40,0.20,39.20,1.60,9616.00,10030360,0,20853360,67.52,26828,861692,34547628,111.86,19988504,554792,56344,19654844,63360,7440,46476,56956,0,0,0.00,0,0.00,13,916,4.14,1.95,0.81,2,39.40,1.60,9616.00,244.10,143.62,3053.40,25.38,100.00,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
