timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 00:46:45,18.12,0.00,1.96,0.03,0.05,0.00,0.05,0.00,0.00,79.79,32.60,5505.80,5550.40,0.00,0.00,0.00,73.60,15396.40,0.00,15522.00,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,147.20,27829188,0,3054532,9.89,35552,817680,5841908,18.92,2345676,419280,260528,1911876,84260,5368,9660,56956,0,0,0.00,0,0.00,2,681,2.52,3.08,4.57,0,4.80,0.00,147.20,30.67,0.00,1.00,0.67,0.32,1.80,1.80,0.18,0.14,0.00,0.00,0.00,0.00
2017-09-24 00:46:50,15.85,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,83.34,11.20,2216.00,2298.40,0.00,0.00,0.00,50.40,12731.40,0.00,7364.60,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,100.80,27501272,0,3382448,10.95,35564,817796,12904692,41.78,2676064,409288,260672,2236072,84588,5912,10568,56956,0,0,0.00,0,0.00,2,726,2.56,3.08,4.56,0,1.60,0.00,100.80,63.00,0.00,1.00,0.50,0.08,2.80,2.80,0.29,0.29,0.00,0.00,0.00,0.00
2017-09-24 00:46:55,41.04,0.00,1.64,0.00,0.03,0.00,0.03,0.00,0.00,57.27,38.80,4381.20,4602.60,0.00,0.00,0.00,46.40,25487.00,0.00,10203.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,92.80,26459784,0,4423936,14.32,35576,818120,34074452,110.33,3714872,406828,261060,3272384,86636,6992,14076,56956,0,0,0.00,0,0.00,2,862,2.91,3.14,4.58,0,1.60,0.00,92.80,58.00,0.00,0.00,0.00,0.00,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-24 00:47:00,51.66,0.00,3.65,0.00,0.03,0.00,0.00,0.00,0.00,44.67,13.60,4909.80,5075.40,0.00,0.00,0.00,2040.80,6928.00,0.00,26170.80,0.00,0.00,0.00,0.00,17.20,0.00,17.20,0.00,4081.60,22227572,0,8656148,28.03,35584,841316,34313852,111.11,7929728,413952,274412,7471576,87624,7360,21520,56956,0,0,0.00,0,0.00,6,906,3.00,3.16,4.57,0,17.20,0.00,4081.60,237.30,0.24,13.77,0.47,0.80,1.60,1.60,0.16,0.13,0.00,0.00,0.00,0.00
2017-09-24 00:47:05,51.45,0.00,2.34,0.03,0.03,0.00,0.00,0.00,0.00,46.16,0.00,3226.75,3097.60,0.00,0.00,0.00,37.52,340.52,0.00,23657.88,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,75.05,19876088,0,11007632,35.64,35588,1010284,34313852,111.11,10105396,555584,443492,9650000,87640,7328,26680,56956,0,0,0.00,0,0.00,5,902,3.08,3.17,4.57,0,0.60,0.00,75.05,125.33,0.00,0.00,0.00,0.00,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 00:47:10,49.26,0.00,2.32,0.00,0.00,0.00,0.05,0.00,0.00,48.37,1.40,3651.80,3517.40,0.00,0.00,0.00,42.40,15910.40,0.00,16751.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,84.80,19239968,0,11643752,37.70,35596,1069192,34633300,112.14,10672716,600088,502432,10221328,88260,7336,27956,56956,0,0,0.00,0,0.00,3,902,3.07,3.17,4.56,0,0.80,0.00,84.80,106.00,0.00,0.00,0.00,0.00,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-24 00:47:15,47.36,0.00,1.99,0.00,0.03,0.00,0.00,0.00,0.00,50.63,0.00,3167.80,2881.00,0.00,0.00,0.00,197.60,963.00,0.00,134125.00,0.00,0.00,0.00,0.00,14.00,0.00,14.00,0.00,395.20,18281100,0,12602620,40.81,35604,1069212,34633300,112.14,11686360,599788,501528,11181480,88256,7320,29940,56956,0,0,0.00,0,0.00,3,901,3.71,3.30,4.60,0,14.00,0.00,395.20,28.23,0.03,2.29,0.11,0.16,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-24 00:47:20,47.11,0.00,2.45,1.21,0.03,0.00,0.00,0.00,0.00,49.20,0.20,3392.40,3400.80,0.00,0.00,0.00,51996.80,3456.40,0.00,96263.40,0.00,0.00,0.00,0.00,410.40,0.00,410.40,0.00,103993.60,17572612,0,13311108,43.10,35612,1069244,34627960,112.12,12391496,599808,241660,11886476,88532,7320,31124,56956,0,0,0.00,0,0.00,13,902,3.65,3.29,4.59,0,410.40,0.00,103993.60,253.40,33.62,81.83,0.61,25.12,1.60,1.60,0.16,0.19,0.00,0.00,0.00,0.00
2017-09-24 00:47:25,59.63,0.00,1.89,0.00,0.00,0.00,0.00,0.00,0.00,38.48,0.00,2972.40,2847.60,0.00,0.00,0.00,104.80,588.80,0.00,71748.40,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,209.60,17056036,0,13827684,44.77,35620,1069276,34627960,112.12,12940712,556448,241604,12400624,88524,7328,31716,56956,0,0,0.00,0,0.00,18,902,3.68,3.30,4.58,0,8.20,0.00,209.60,25.56,0.01,0.68,0.10,0.08,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-24 00:47:30,66.42,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,31.97,0.00,3171.40,2934.40,0.00,0.00,0.00,85.60,624.80,0.00,71470.20,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,171.20,16321420,0,14562300,47.15,35628,1069304,34627960,112.12,13681036,556404,241308,13136720,88532,7328,32988,56956,0,0,0.00,0,0.00,5,902,3.71,3.32,4.58,0,4.40,0.00,171.20,38.91,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
