timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 00:41:05,17.14,0.00,1.95,0.00,0.00,0.00,0.05,0.00,0.00,80.86,25.80,4868.00,4900.60,0.00,0.00,0.00,92.80,12344.00,0.00,14679.40,0.00,0.00,0.00,0.00,5.20,0.00,5.20,0.00,185.60,28009560,0,2874160,9.31,34828,930008,4996456,16.18,2079720,505796,246024,1620800,84476,5424,8652,56956,0,0,0.00,0,0.00,3,661,2.96,4.53,5.53,0,5.20,0.00,185.60,35.69,0.00,0.15,0.15,0.08,2.00,1.80,0.19,0.14,0.00,0.00,0.00,0.00
2017-09-24 00:41:10,19.08,0.00,0.96,0.03,0.03,0.00,0.00,0.00,0.00,79.91,18.00,2408.60,2537.40,0.00,0.00,0.00,48.80,13245.00,0.00,5123.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,97.60,27613604,0,3270116,10.59,34840,944772,12881772,41.71,2469564,509084,260828,1998956,84736,5928,10084,56956,0,0,0.00,0,0.00,2,729,2.96,4.50,5.51,0,1.20,0.00,97.60,81.33,0.00,0.00,0.00,0.00,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-24 00:41:15,36.02,0.00,1.92,0.00,0.05,0.00,0.00,0.00,0.00,62.01,38.60,4065.80,4336.80,0.00,0.00,0.00,31.20,23536.00,0.00,9947.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,62.40,26634612,0,4249108,13.76,34848,945104,34038960,110.22,3441008,506460,261200,2969668,86676,7024,13504,56956,0,0,0.00,0,0.00,3,864,3.05,4.50,5.50,0,0.60,0.00,62.40,104.00,0.00,2.67,1.33,0.08,2.60,2.80,0.28,0.29,0.00,0.00,0.00,0.00
2017-09-24 00:41:20,47.54,0.00,2.53,0.00,0.00,0.00,0.00,0.00,0.00,49.92,13.80,4932.00,4912.40,0.00,0.00,0.00,2126.40,7600.40,0.00,18297.40,0.00,0.00,0.00,0.00,27.80,0.00,27.80,0.00,4252.80,24112944,0,6770776,21.92,34856,968884,34292496,111.04,5950816,513972,274744,5464008,87472,7384,17628,56956,0,0,0.00,0,0.00,4,909,2.96,4.45,5.49,0,27.80,0.00,4252.80,152.98,0.25,8.92,0.23,0.64,1.60,1.40,0.16,0.11,0.00,0.00,0.00,0.00
2017-09-24 00:41:25,54.14,0.00,3.11,0.00,0.03,0.00,0.00,0.00,0.00,42.73,1.40,3605.60,3640.60,0.00,0.00,0.00,45.60,9689.00,0.00,7962.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,91.20,20963008,0,9920712,32.12,34864,1081240,34611904,112.07,8948608,618520,387232,8494012,87472,7408,24292,56956,0,0,0.00,0,0.00,3,912,3.04,4.45,5.48,0,1.00,0.00,91.20,91.20,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 00:41:30,46.81,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,51.10,0.00,3376.40,3178.00,0.00,0.00,0.00,32.80,1293.20,0.00,101532.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,65.60,19413780,0,11469940,37.14,34868,1081268,34611904,112.07,10523344,605328,387296,10041256,87468,7360,27688,56956,0,0,0.00,0,0.00,4,906,3.04,4.42,5.46,0,0.60,0.00,65.60,109.33,0.00,0.00,0.00,0.00,1.00,1.20,0.11,0.16,0.00,0.00,0.00,0.00
2017-09-24 00:41:35,56.73,0.00,2.67,0.00,0.03,0.00,0.00,0.00,0.00,40.57,0.20,3405.00,3255.20,0.00,0.00,0.00,79.20,5976.40,0.00,100154.60,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,158.40,18475072,0,12408648,40.18,34868,1081300,34565424,111.92,11481828,584476,387020,10976820,87804,7360,29028,56956,0,0,0.00,0,0.00,8,906,3.76,4.55,5.50,0,3.60,0.00,158.40,44.00,0.00,0.00,0.00,0.00,1.60,1.40,0.16,0.11,0.00,0.00,0.00,0.00
2017-09-24 00:41:40,64.40,0.00,1.56,1.66,0.00,0.00,0.00,0.00,0.00,32.38,0.40,3174.80,3512.20,0.00,0.00,0.00,52020.80,1290.20,0.00,61298.00,0.00,0.00,0.00,0.00,409.80,0.00,409.80,0.00,104041.60,17947572,0,12936148,41.89,34884,1118104,34565424,111.92,11993056,615652,164000,11466864,87748,7368,30248,56956,0,0,0.00,0,0.00,11,907,3.86,4.56,5.50,0,409.80,0.00,104041.60,253.88,33.77,82.40,0.61,25.12,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 00:41:45,32.04,0.00,1.11,0.00,0.03,0.00,0.03,0.00,0.00,66.80,0.00,3286.40,2611.80,0.00,0.00,0.00,107.20,4759.60,0.00,49280.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,214.40,17673616,0,13210104,42.77,34888,1162904,34565424,111.92,12223236,661048,208644,11692704,87768,7368,30980,56956,0,0,0.00,0,0.00,1,907,4.43,4.66,5.53,0,8.00,0.00,214.40,26.80,0.01,1.80,0.20,0.16,1.60,1.60,0.16,0.12,0.00,0.00,0.00,0.00
2017-09-24 00:41:50,49.57,0.00,0.96,0.00,0.00,0.00,0.03,0.00,0.00,49.44,0.00,3337.00,3127.80,0.00,0.00,0.00,118.40,3635.20,0.00,7903.00,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,236.80,17649456,0,13234264,42.85,34896,1162940,34550316,111.87,12278096,637720,208400,11718080,87384,7360,31020,56956,0,0,0.00,0,0.00,8,906,4.56,4.68,5.53,0,4.40,0.00,236.80,53.82,0.00,0.00,0.00,0.00,2.80,2.80,0.29,0.29,0.00,0.00,0.00,0.00
