timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 07:20:50,17.10,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,81.95,28.00,1789.20,1910.40,0.00,0.00,0.00,41.60,18030.20,0.00,25366.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,83.20,22010348,0,8873372,28.73,61964,6889516,4439656,14.38,2394280,5976856,356,1419720,297264,5144,8224,56956,0,0,0.00,0,0.00,2,621,3.51,4.51,5.96,0,1.40,0.00,83.20,59.43,0.00,0.00,0.00,0.00,3.40,3.40,0.22,0.64,0.00,0.00,0.00,0.00
2017-09-24 07:20:55,16.17,0.00,1.03,0.00,0.03,0.00,0.00,0.00,0.00,82.78,34.20,1961.20,2071.00,0.00,0.00,0.00,48.00,20385.40,0.00,21748.20,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,96.00,21865276,0,9018444,29.20,61972,6889568,4691372,15.19,2524300,5976852,488,1564140,297084,5376,9292,56956,0,0,0.00,0,0.00,1,658,3.31,4.46,5.93,0,1.80,0.00,96.00,53.33,0.00,0.00,0.00,0.00,11.40,11.20,0.74,2.90,0.00,0.00,0.00,0.00
2017-09-24 07:21:00,12.05,0.00,3.80,1.58,0.05,0.00,0.03,0.00,0.00,82.50,6.00,6816.20,6838.20,0.00,0.00,0.00,39336.80,850.20,0.00,15105.00,0.00,0.00,0.00,0.00,320.20,0.00,320.20,0.00,78673.60,21272284,0,9611436,31.12,61988,7352636,4765112,15.43,2865496,6231292,267200,1683240,307108,5408,9460,56956,0,0,0.00,0,0.00,1,670,3.20,4.41,5.91,0,320.20,0.00,78673.60,245.70,18.68,58.34,0.47,15.12,2.40,2.40,0.17,0.52,0.00,0.00,0.00,0.00
2017-09-24 07:21:05,17.57,0.00,1.81,0.00,0.00,0.00,0.05,0.00,0.00,80.56,19.00,2686.40,2743.60,0.00,0.00,0.00,60.80,11175.40,0.00,14536.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,121.60,20806172,0,10077548,32.63,62008,7480268,6457576,20.91,3304048,6253960,395052,2017700,311292,5960,11044,56956,0,0,0.00,0,0.00,3,737,2.95,4.34,5.88,0,1.00,0.00,121.60,121.60,0.00,3.20,0.80,0.08,7.00,7.00,0.47,2.15,0.00,0.00,0.00,0.00
2017-09-24 07:21:10,35.64,0.00,1.66,0.03,0.03,0.00,0.00,0.00,0.00,62.65,31.80,2518.20,3245.20,0.00,0.00,0.00,40.00,23545.60,0.00,16862.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,80.00,19791696,0,11092024,35.92,62028,7480556,8732940,28.28,4313824,6252836,395412,3024008,313072,6864,13888,56956,0,0,0.00,0,0.00,5,835,2.87,4.30,5.86,0,0.60,0.00,80.00,133.33,0.00,5.33,2.67,0.16,3.80,3.80,0.36,0.42,0.00,0.00,0.00,0.00
2017-09-24 07:21:15,26.58,0.00,4.41,2.51,0.05,0.00,0.10,0.00,0.00,66.35,17.40,16959.80,5793.80,0.00,0.00,0.00,48898.40,18322.40,0.00,22422.60,0.00,0.00,0.00,0.00,355.20,0.00,355.20,0.00,90792.00,18937300,0,11946420,38.68,62040,7920512,9795848,31.72,4930464,6472768,592216,3421088,324272,7048,15524,56956,0,0,0.00,0,0.00,1,869,2.72,4.25,5.83,3,355.20,0.00,90792.00,255.61,28.26,73.44,0.56,19.76,7.60,7.80,0.53,1.80,0.00,0.00,0.00,0.00
2017-09-24 07:21:20,59.28,0.00,4.41,3.56,0.08,0.00,0.54,0.00,0.00,32.13,15.80,9938.60,9030.00,0.00,0.00,0.00,21836.00,8271.00,0.00,15996.00,0.00,0.00,0.00,0.00,199.80,0.00,199.80,0.00,50676.80,17347488,0,13536232,43.83,62048,8184336,11531784,37.34,6382340,6601712,748260,4739908,332664,7568,18212,56956,0,0,0.00,0,0.00,11,932,2.90,4.26,5.83,0,199.80,0.00,50676.80,253.64,27.64,149.20,1.05,20.88,10.40,10.40,0.58,2.73,0.00,0.00,0.00,0.00
2017-09-24 07:21:25,86.78,0.00,11.11,0.03,0.00,0.00,0.75,0.00,0.00,1.33,1.60,11280.80,7298.40,0.00,0.00,0.00,156.00,28927.00,0.00,33113.60,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,312.00,15511080,0,15372640,49.78,62064,9079352,12887192,41.73,7377112,7416012,1648776,5653824,357216,7568,20028,56956,0,0,0.00,0,0.00,17,932,4.03,4.47,5.89,0,3.20,0.00,312.00,97.50,0.00,0.00,0.00,0.00,4.20,4.20,0.27,0.99,0.00,0.00,0.00,0.00
2017-09-24 07:21:30,84.17,0.00,14.18,0.30,0.00,0.00,0.70,0.00,0.00,0.65,2.60,5959.20,4119.40,0.00,0.00,1843.20,63556.80,58028.80,0.00,59188.20,0.00,0.00,0.00,0.00,501.20,14.40,486.80,3686.40,120460.80,13194752,0,17688968,57.28,62188,10038364,14863276,48.13,8663568,8418028,2286768,6983428,384296,7560,22604,56956,0,0,0.00,0,0.00,15,931,4.83,4.63,5.93,1,501.20,3686.40,120460.80,247.70,37.14,67.86,0.55,27.36,7.80,7.80,0.48,1.92,0.00,0.00,0.00,0.00
2017-09-24 07:21:35,83.07,0.00,14.40,1.23,0.00,0.00,0.63,0.00,0.00,0.68,2.40,5593.80,4518.40,0.00,0.00,0.00,120992.80,56535.40,0.00,58037.80,0.00,0.00,0.00,0.00,979.20,0.00,979.20,0.00,241931.20,10790556,0,20093164,65.06,62308,11099772,15608592,50.54,9950860,9492832,2749772,8288508,414792,7536,25088,56956,0,0,0.00,0,0.00,18,930,5.81,4.84,5.99,1,979.20,0.00,241931.20,247.07,140.84,144.73,1.02,100.00,6.00,6.00,0.36,1.66,0.00,0.00,0.00,0.00
