timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-21 04:17:57,16.94,0.00,1.13,0.00,0.05,0.00,0.00,0.00,0.00,81.88,54.40,2147.40,2218.20,0.00,0.00,0.00,59.20,29924.60,0.00,29819.80,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,118.40,22114940,0,8768780,28.39,83484,6511888,4259460,13.79,3398284,4907928,344,1718616,244216,5440,8972,56892,0,0,0.00,0,0.00,3,669,4.88,6.58,5.76,0,2.40,0.00,118.40,49.33,0.00,0.67,0.67,0.16,3.40,3.40,0.36,0.28,0.00,0.00,0.00,0.00
2017-09-21 04:18:02,22.79,0.00,0.53,0.58,0.08,0.00,0.00,0.00,0.00,76.04,1.60,1774.80,1934.80,0.00,0.00,0.00,1669.60,6360.80,0.00,7572.00,0.00,0.00,0.00,0.00,149.80,0.00,149.80,0.00,3339.20,21977836,0,8905884,28.84,84488,6494320,4257404,13.79,3560284,4891416,1060,1873004,244004,5520,9408,56892,0,0,0.00,0,0.00,1,676,4.57,6.48,5.73,0,149.80,0.00,3339.20,22.29,0.11,0.72,0.62,9.36,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-21 04:18:07,15.64,0.00,0.35,0.53,0.08,0.00,0.00,0.00,0.00,83.40,2.60,2195.80,2217.80,0.00,0.00,0.00,1287.20,1750.80,0.00,4982.40,0.00,0.00,0.00,0.00,120.20,0.00,120.20,0.00,2574.40,21915100,0,8968620,29.04,85192,6495996,4303696,13.94,3625252,4892172,1256,1936440,243972,5552,9520,56892,0,0,0.00,0,0.00,2,681,4.37,6.41,5.71,0,120.20,0.00,2574.40,21.42,0.10,0.80,0.75,8.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 04:18:12,17.45,0.00,0.83,0.03,0.00,0.00,0.03,0.00,0.00,81.67,25.60,2842.00,3129.80,0.00,0.00,0.00,71.20,10327.80,0.00,6708.40,0.00,0.00,0.00,0.00,5.20,0.00,5.20,0.00,142.40,21617404,0,9266316,30.00,85204,6530960,5073324,16.43,3888752,4924768,36384,2197512,244088,5904,10524,56892,0,0,0.00,0,0.00,1,725,4.02,6.30,5.68,0,5.20,0.00,142.40,27.38,0.00,0.77,0.77,0.40,4.60,4.60,0.47,0.37,0.00,0.00,0.00,0.00
2017-09-21 04:18:17,46.23,0.00,1.74,0.00,0.03,0.00,0.00,0.00,0.00,52.01,59.80,3722.40,3584.20,0.00,0.00,0.00,101.60,26952.80,0.00,9592.20,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,203.20,21015916,0,9867804,31.95,85248,6532296,7515688,24.34,4480904,4925580,37960,2788944,247060,7872,14588,56892,0,0,0.00,0,0.00,18,970,3.70,6.20,5.65,0,1.80,0.00,203.20,112.89,0.00,0.89,0.44,0.08,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-21 04:18:22,96.65,0.00,3.20,0.00,0.03,0.00,0.00,0.00,0.00,0.13,16.00,6761.80,3137.60,0.00,0.00,0.00,7657.60,28275.40,0.00,16704.40,0.00,0.00,0.00,0.00,101.00,0.00,101.00,0.00,15315.20,20428300,0,10455420,33.85,85256,6534080,7673660,24.85,5063764,4927284,2056,3371896,247776,8224,16404,56892,0,0,0.00,0,0.00,17,1022,5.80,6.59,5.78,0,101.00,0.00,15315.20,151.64,2.86,28.29,0.25,2.56,4.80,4.80,0.45,0.40,0.00,0.00,0.00,0.00
2017-09-21 04:18:27,96.92,0.00,2.85,0.00,0.00,0.00,0.03,0.00,0.00,0.20,17.40,9208.00,3302.20,0.00,0.00,0.00,16.80,6397.60,0.00,4080.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,33.60,19469444,0,11414276,36.96,85264,6534308,7751296,25.10,6017700,4924452,2692,4322756,249924,8584,18392,56892,0,0,0.00,0,0.00,22,1059,7.26,6.88,5.88,0,0.40,0.00,33.60,84.00,0.00,2.00,2.00,0.08,0.20,0.20,0.02,0.03,0.00,0.00,0.00,0.00
2017-09-21 04:18:32,94.90,0.00,4.58,0.00,0.00,0.00,0.25,0.00,0.00,0.28,0.00,12919.20,3832.40,0.00,0.00,0.00,8.80,628.20,0.00,1267.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,19462120,0,11421600,36.98,85272,6530396,7751296,25.10,6030260,4920508,2756,4335564,250452,8584,18432,56892,0,0,0.00,0,0.00,13,1059,9.16,7.28,6.01,0,0.40,0.00,17.60,44.00,0.00,2.00,2.00,0.08,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-21 04:18:37,94.79,0.00,4.63,0.00,0.03,0.00,0.30,0.00,0.00,0.25,0.00,13421.20,4043.40,0.00,0.00,0.00,8.00,183.20,0.00,718.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,16.00,19467484,0,11416236,36.97,85280,6525456,7751296,25.10,6029016,4915704,2796,4334528,250088,8520,18456,56892,0,0,0.00,0,0.00,11,1051,9.07,7.30,6.03,0,0.40,0.00,16.00,40.00,0.00,0.00,0.00,0.00,0.40,0.20,0.02,0.01,0.00,0.00,0.00,0.00
2017-09-21 04:18:42,94.85,0.00,4.90,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,13533.60,3431.80,0.00,0.00,0.00,8.00,183.20,0.00,730.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,16.00,19471032,0,11412688,36.95,85288,6520228,7751296,25.10,6031040,4910900,2832,4336508,249440,8520,18460,56892,0,0,0.00,0,0.00,8,1051,9.78,7.47,6.09,0,0.40,0.00,16.00,40.00,0.00,2.00,2.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
