timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 16:41:40,71.72,0.00,3.11,0.10,0.20,0.00,0.00,0.00,0.00,24.87,22.20,1422.20,1284.00,0.00,0.00,2.40,32.00,15215.20,0.00,17111.80,0.00,0.00,0.00,0.00,1.60,0.60,1.00,4.80,64.00,4435844,0,3223656,42.09,25304,1795620,2386488,31.16,1760588,1324788,272,1264496,72804,4464,7108,16884,0,0,0.00,0,0.00,1,537,0.64,1.54,1.92,0,1.60,4.80,64.00,43.00,0.00,1.50,1.00,0.16,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-20 16:41:45,72.35,0.00,3.13,0.00,0.00,0.00,0.00,0.00,0.00,24.52,9.00,1167.20,1117.60,0.00,0.00,4.00,21.60,9082.40,0.00,9546.20,0.00,0.00,0.00,0.00,1.00,0.40,0.60,8.00,43.20,4338140,0,3321360,43.36,25312,1795660,2434996,31.79,1857780,1324824,308,1361732,72792,4472,7452,16884,0,0,0.00,0,0.00,1,546,0.75,1.54,1.92,0,1.00,8.00,43.20,51.20,0.00,0.00,0.00,0.00,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-20 16:41:50,52.31,0.00,13.15,0.00,0.40,0.00,0.00,0.00,0.00,34.14,40.00,1823.00,1408.40,0.00,0.00,0.00,914.40,22194.00,0.00,12422.00,0.00,0.00,0.00,0.00,9.40,0.00,9.40,0.00,1828.80,3913540,0,3745960,48.91,25336,1987292,2597240,33.91,2062260,1503940,196276,1553692,111584,4536,9104,16884,0,0,0.00,0,0.00,3,554,0.77,1.53,1.91,0,9.40,0.00,1828.80,194.55,0.07,7.23,0.43,0.40,5.20,5.20,0.54,0.43,0.00,0.00,0.00,0.00
2017-09-20 16:41:55,63.23,0.00,4.55,2.63,0.61,0.00,0.00,0.00,0.00,28.99,55.60,4623.00,2609.40,0.00,0.00,525.60,2287.20,5371.40,0.20,5088.40,0.00,0.00,0.00,0.00,104.20,45.00,59.20,1051.20,4574.40,3790296,0,3869204,50.52,25508,2042312,2737388,35.74,2133108,1555448,259288,1620816,112072,4608,9296,16884,0,0,0.00,0,0.00,1,560,0.71,1.51,1.90,0,104.20,1051.20,4574.40,53.99,0.39,3.73,0.58,6.08,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-20 16:42:00,76.24,0.00,3.74,0.61,0.10,0.00,0.00,0.00,0.00,19.31,18.20,1862.60,1789.20,0.00,0.00,472.00,55.20,9706.00,2.40,4493.00,0.00,0.00,0.00,0.00,34.80,33.60,1.20,944.00,110.40,3535332,0,4124168,53.84,25608,2096660,3104544,40.53,2335616,1605960,311416,1819224,112692,4896,10080,16884,0,0,0.00,0,0.00,4,601,0.97,1.55,1.91,0,34.80,944.00,110.40,30.30,0.02,0.64,0.46,1.60,3.60,3.60,0.38,0.29,0.00,0.00,0.00,0.00
2017-09-20 16:42:05,42.03,0.00,1.93,0.61,0.10,0.00,0.00,0.00,0.00,55.33,25.20,2264.80,1811.00,0.00,0.00,161.60,3031.20,3529.20,0.00,1858.80,0.00,0.00,0.00,0.00,65.60,19.40,46.20,323.20,6062.40,3458180,0,4201320,54.85,25676,2098304,3304556,43.14,2409868,1606628,297268,1892836,113052,5400,10424,16884,0,0,0.00,0,0.00,0,652,0.89,1.52,1.90,0,65.60,323.20,6062.40,97.34,1.16,17.62,0.44,2.88,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-20 16:42:10,44.46,0.00,7.26,0.10,0.91,0.00,0.00,0.00,0.00,47.28,16.80,1559.80,1300.40,0.00,0.00,3.20,1740.00,9073.00,0.00,35677.80,0.00,0.00,0.00,0.00,16.20,0.40,15.80,6.40,3480.00,3979648,0,3679852,48.04,25716,1906856,3092764,40.38,2115648,1420696,113912,1603736,74460,4944,9612,16884,0,0,0.00,0,0.00,1,598,1.06,1.55,1.91,0,16.20,6.40,3480.00,215.21,0.26,16.10,0.54,0.88,1.40,1.40,0.13,0.11,0.00,0.00,0.00,0.00
2017-09-20 16:42:15,76.81,0.00,3.51,0.00,0.10,0.00,0.00,0.00,0.00,19.58,10.20,1276.80,1111.40,0.00,0.00,0.80,40.00,9212.40,0.00,29128.80,0.00,0.00,0.00,0.00,1.20,0.20,1.00,1.60,80.00,4303380,0,3356120,43.82,25728,1802624,2562292,33.45,1893428,1322712,9680,1387872,73724,4576,7656,16884,0,0,0.00,0,0.00,3,561,1.14,1.56,1.91,0,1.20,1.60,80.00,68.00,0.00,1.33,1.33,0.16,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-20 16:42:20,52.77,0.00,12.21,0.00,0.40,0.00,0.10,0.00,0.00,34.51,39.40,1893.80,1472.60,0.00,0.00,5.60,2992.80,22556.20,0.00,13223.00,0.00,0.00,0.00,0.00,26.20,0.80,25.40,11.20,5985.60,3881392,0,3778108,49.33,27672,1994192,2720204,35.51,2087636,1508948,207732,1574856,112148,4624,9188,16884,0,0,0.00,0,0.00,3,565,1.12,1.55,1.90,0,26.20,11.20,5985.60,228.89,0.82,31.18,0.67,1.76,5.20,5.20,0.54,0.43,0.00,0.00,0.00,0.00
2017-09-20 16:42:25,62.56,0.00,5.55,1.11,0.61,0.00,0.20,0.00,0.00,29.97,55.60,4330.20,2774.80,0.00,0.00,7.20,206.40,4785.40,0.00,4984.40,0.00,0.00,0.00,0.00,45.00,1.80,43.20,14.40,412.80,3785064,0,3874436,50.58,27688,2046896,2720204,35.51,2135168,1558376,260328,1619112,112492,4720,9324,16884,0,0,0.00,0,0.00,0,570,1.20,1.55,1.90,0,45.00,14.40,412.80,9.49,0.04,0.85,0.85,3.84,1.80,1.80,0.18,0.15,0.00,0.00,0.00,0.00
