timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 05:45:17,73.42,0.00,2.85,5.30,0.20,0.00,0.00,0.00,0.00,18.23,16.40,1691.60,1558.00,0.00,0.00,4792.80,17.60,14982.60,23.20,12145.20,0.00,0.00,0.00,0.00,258.00,256.00,2.00,9585.60,35.20,4035024,0,3624476,47.32,10036,1995344,2519036,32.89,2067444,1379816,220,1441676,112200,4552,7840,16884,0,0,0.00,0,0.00,3,556,0.75,1.98,2.32,0,258.00,9585.60,35.20,37.29,0.22,0.85,0.58,14.96,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-22 05:45:22,58.80,0.00,3.76,4.68,0.31,0.00,0.00,0.00,0.00,32.45,31.00,1788.60,1598.20,0.00,0.00,5555.20,64.80,19754.80,30.60,18521.80,0.00,0.00,0.00,0.00,240.00,234.40,5.60,11110.40,129.60,4052204,0,3607296,47.10,10544,2018028,2515812,32.85,2033356,1395304,196,1400456,112376,4624,8560,16884,0,0,0.00,0,0.00,0,560,0.93,2.00,2.33,1,240.00,11110.40,129.60,46.83,0.24,1.02,0.46,11.12,2.80,2.80,0.27,0.22,0.00,0.00,0.00,0.00
2017-09-22 05:45:27,60.14,0.00,6.63,4.82,1.91,0.00,0.00,0.00,0.00,26.51,6.60,1507.40,1326.00,0.00,0.00,4031.20,19.20,5950.00,0.00,92027.20,0.00,0.00,0.00,0.00,244.20,243.80,0.40,8062.40,38.40,5633516,0,2025984,26.45,10552,307524,2801392,36.57,1825936,68504,352,1576468,64256,4808,8972,16884,0,0,0.00,0,0.00,3,589,0.93,1.98,2.32,0,244.20,8062.40,38.40,33.17,0.28,1.13,0.61,14.88,0.40,0.40,0.04,0.03,0.00,0.00,0.00,0.00
2017-09-22 05:45:32,29.43,0.00,8.76,16.09,0.20,0.00,0.00,0.00,0.00,45.52,0.20,1545.80,1640.20,0.00,0.00,30832.80,29948.00,323.40,0.00,579.40,0.00,0.00,0.00,0.00,632.40,427.80,204.60,60846.40,52164.80,5267840,0,2391660,31.22,10568,652800,2801392,36.57,2048604,211744,47328,1597016,64264,4832,9048,16884,0,0,0.00,0,0.00,0,590,0.94,1.97,2.31,1,632.40,60846.40,52164.80,178.70,35.59,52.04,0.98,61.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 05:45:37,40.98,0.00,13.05,9.79,0.71,0.00,1.02,0.00,0.00,34.45,12.60,6638.00,3908.60,0.00,0.00,856.80,18737.60,4245.00,0.80,17860.20,0.00,0.00,0.00,0.00,204.00,16.00,188.00,2532.80,45206.40,4683952,0,2975548,38.85,10584,1047480,3206328,41.86,2347668,494332,348536,1783940,66340,4912,9580,16884,0,0,0.00,0,0.00,4,616,1.34,2.03,2.33,0,204.00,2532.80,45206.40,234.02,23.94,130.50,1.06,21.68,0.80,0.80,0.08,0.06,0.00,0.00,0.00,0.00
2017-09-22 05:45:42,78.49,0.00,4.02,2.01,1.21,0.00,0.00,0.00,0.00,14.27,8.80,1456.40,1430.40,0.00,0.00,531.20,22673.60,9124.00,1.80,4493.80,0.00,0.00,0.00,0.00,165.40,11.20,154.20,1062.40,38952.00,4411616,0,3247884,42.40,10616,1045216,3832520,50.04,2625860,486548,235892,2056592,66728,5136,10752,16884,0,0,0.00,0,0.00,1,651,1.40,2.03,2.33,1,165.40,1062.40,38952.00,241.93,23.83,108.21,1.05,17.36,2.20,2.20,0.22,0.17,0.00,0.00,0.00,0.00
2017-09-22 05:45:47,74.62,0.00,6.24,8.76,1.21,0.00,0.00,0.00,0.00,9.16,4.40,4911.40,2488.20,0.00,0.00,18220.80,42248.80,9549.60,0.00,8924.20,0.00,0.00,0.00,0.00,512.40,144.80,367.60,36409.60,90892.80,3978100,0,3681400,48.06,10636,1206500,4010912,52.37,2928076,615568,100376,2326508,67396,5400,11280,16884,0,0,0.00,0,0.00,3,661,1.44,2.03,2.33,0,512.60,36441.60,90892.80,248.41,71.78,151.60,1.27,65.12,2.60,2.60,0.28,0.21,0.00,0.00,0.00,0.00
2017-09-22 05:45:52,69.83,0.00,6.46,5.45,0.20,0.00,0.30,0.00,0.00,17.76,2.40,3429.40,2453.20,0.00,0.00,31852.80,17683.20,992.40,0.20,2559.80,0.00,0.00,0.00,0.00,393.00,254.20,138.80,62969.60,35366.40,3378404,0,4281096,55.89,10652,1519116,4377712,57.15,3284204,856224,170660,2610672,68488,5448,11848,16884,0,0,0.00,0,0.00,2,667,1.65,2.06,2.34,0,393.20,63040.00,35366.40,250.27,19.61,49.84,0.67,26.48,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 05:45:57,84.60,0.00,14.00,0.00,0.40,0.00,0.70,0.00,0.00,0.30,3.40,4648.20,3152.40,0.00,0.00,80633.60,32.00,12165.80,0.00,12992.20,0.00,0.00,0.00,0.00,667.40,666.80,0.60,162035.20,64.00,2610956,0,5048544,65.91,10668,2094124,4539152,59.26,3459532,1443216,347788,2797888,73152,5464,12236,16884,0,0,0.00,0,0.00,5,671,1.84,2.10,2.35,0,667.00,161932.80,64.00,242.87,3.65,5.49,0.45,30.24,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-22 05:46:02,83.42,0.00,9.99,3.60,0.40,0.00,1.00,0.00,0.00,1.60,1.20,4010.40,2944.80,0.00,0.00,79264.00,18195.20,6444.00,0.00,7576.00,0.00,0.00,0.00,0.00,767.60,636.00,131.60,155660.80,28198.40,1953624,0,5705876,74.49,10680,2661320,4630024,60.45,3559004,1996492,432924,2883660,77704,5480,12504,16884,0,0,0.00,0,0.00,0,671,1.85,2.10,2.34,3,767.60,155660.80,28198.40,239.52,27.70,30.76,0.63,48.24,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
