timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 23:48:52,75.65,0.00,6.54,0.00,0.00,0.00,0.60,0.00,0.00,17.20,18.60,3759.80,2540.20,0.00,0.00,0.00,49.60,12412.40,0.00,17216.80,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,99.20,3453436,0,4206064,54.91,19460,2393380,3475488,45.37,2531668,1508304,119672,1627532,99240,4984,8060,16884,0,0,0.00,0,0.00,4,609,1.31,1.10,1.28,0,1.80,0.00,99.20,55.11,0.00,0.00,0.00,0.00,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-19 23:48:57,64.40,0.00,5.78,1.01,0.00,0.00,0.20,0.00,0.00,28.60,13.80,2730.60,2107.80,0.00,0.00,0.00,65.60,6909.00,0.00,2925.80,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,131.20,3149492,0,4510008,58.88,19472,2534308,3910832,51.06,2700884,1639016,260588,1786132,102448,5176,8840,16884,0,0,0.00,0,0.00,1,640,1.37,1.12,1.29,0,2.60,0.00,131.20,50.46,0.02,7.08,3.69,0.96,2.20,2.20,0.23,0.18,0.00,0.00,0.00,0.00
2017-09-19 23:49:02,72.18,0.00,3.12,0.00,0.10,0.00,0.00,0.00,0.00,24.60,14.00,2143.60,1626.00,0.00,0.00,0.00,2770.40,7640.60,0.00,3125.40,0.00,0.00,0.00,0.00,37.60,0.00,37.60,0.00,5540.80,2800844,0,4858656,63.43,19484,2534432,7293692,95.22,3051084,1634804,247040,2131972,103224,5600,9948,16884,0,0,0.00,0,0.00,2,688,1.42,1.13,1.29,0,37.60,0.00,5540.80,147.36,0.82,21.74,0.81,3.04,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-19 23:49:07,67.14,0.00,3.34,11.12,0.00,0.00,0.00,0.00,0.00,18.40,2.20,2096.40,1693.20,0.00,0.00,0.00,24305.60,2184.40,0.00,9568.80,0.00,0.00,0.00,0.00,162.60,0.00,162.60,0.00,41443.20,1910080,0,5749420,75.06,19504,2539940,7357432,96.06,3916532,1632692,131540,3014360,103620,5640,11644,16884,0,0,0.00,0,0.00,3,691,1.46,1.15,1.30,1,162.60,0.00,41443.20,254.88,71.88,354.36,3.72,60.48,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-19 23:49:12,52.12,0.00,4.65,41.31,0.00,0.00,0.00,0.00,0.00,1.92,0.00,1672.00,1160.40,0.00,0.00,0.00,8957.60,220.00,0.00,51131.20,0.00,0.00,0.00,0.00,71.80,0.00,71.80,0.00,18324.80,880056,0,6779444,88.51,19512,2539964,7357432,96.06,4966980,1632712,86928,4042268,103600,5608,13624,16884,0,0,0.00,0,0.00,2,687,1.59,1.18,1.31,1,71.80,0.00,18324.80,255.22,96.96,1317.63,13.93,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:49:17,69.96,0.00,2.42,27.52,0.00,0.00,0.00,0.00,0.00,0.10,2.40,1975.00,1200.40,0.00,0.00,0.00,5844.80,3027.80,0.00,20329.20,0.00,0.00,0.00,0.00,40.40,0.00,40.40,0.00,10256.00,414116,0,7245384,94.59,19520,2539992,7388428,96.46,5434620,1632604,57816,4507712,103600,5624,14648,16884,0,0,0.00,0,0.00,1,698,1.78,1.22,1.32,1,40.40,0.00,10256.00,253.86,102.23,2878.18,24.75,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:49:22,30.06,0.00,0.51,64.07,0.00,0.00,0.00,0.00,0.00,5.36,0.00,1775.80,1197.00,0.00,0.00,0.00,2455.20,87.20,0.00,1688.80,0.00,0.00,0.00,0.00,44.80,0.00,44.80,0.00,11468.80,393000,0,7266500,94.87,19524,2540020,7388428,96.46,5454568,1632556,45656,4527536,103584,5688,14740,16884,0,0,0.00,0,0.00,0,697,1.96,1.27,1.33,4,44.80,0.00,11468.80,256.00,121.57,2369.79,22.32,100.00,2.00,2.00,0.20,0.15,0.00,0.00,0.00,0.00
2017-09-19 23:49:27,52.07,0.00,4.54,42.28,0.10,0.00,0.00,0.00,0.00,1.01,0.00,1706.00,8010.00,0.00,0.00,0.80,6554.40,5050.20,0.00,30972.20,0.00,5945.60,5945.60,100.00,40.20,0.00,40.20,0.00,10286.40,148180,0,7511320,98.07,19420,2421256,7388428,96.46,5821108,1513552,12924,4894012,101568,5688,15520,16884,0,0,0.00,0,0.00,2,697,2.04,1.30,1.34,2,40.20,0.00,10286.40,255.88,120.10,2159.62,24.88,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:49:32,36.27,0.00,4.36,51.57,0.00,0.00,0.00,0.00,0.00,7.80,0.00,1798.00,2217.80,0.00,0.00,0.00,6309.60,104.40,0.00,19671.40,19214.40,0.00,19214.40,100.00,55.00,0.20,54.80,1.60,10956.80,169028,0,7490472,97.79,18540,2402640,7437184,97.10,5959100,1357464,346268,4895848,99648,5688,15528,16884,0,0,0.00,0,0.00,1,697,2.12,1.33,1.35,1,55.00,1.60,10956.80,199.24,69.10,1950.94,14.59,80.24,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:49:37,18.72,0.00,1.62,67.21,0.00,0.00,0.00,0.00,0.00,12.45,0.00,1721.00,1178.80,0.00,0.00,0.00,2899.20,20.40,0.00,4356.40,4226.60,0.00,4226.60,100.00,41.60,0.00,41.60,0.00,10649.60,141532,0,7517968,98.15,17848,2431688,7437184,97.10,6002392,1342516,444952,4895380,100200,5672,15528,16884,0,0,0.00,0,0.00,0,695,2.43,1.40,1.38,8,41.60,0.00,10649.60,256.00,113.31,2299.31,24.04,100.00,0.60,0.60,0.06,0.05,0.00,0.00,0.00,0.00
