timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 23:18:43,76.23,0.00,6.42,0.00,0.10,0.00,0.50,0.00,0.00,16.75,18.40,4175.00,2483.00,0.00,0.00,0.00,43.20,11416.80,0.00,15890.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,86.40,3724908,0,3934592,51.37,22756,2262808,3475868,45.38,2195760,1581684,120548,1491980,91056,4872,7644,16884,0,0,0.00,0,0.00,3,595,2.23,2.04,1.69,0,1.80,0.00,86.40,48.00,0.00,0.89,0.89,0.16,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-19 23:18:48,71.43,0.00,4.69,0.00,0.00,0.00,0.51,0.00,0.00,23.37,14.40,2942.80,2451.00,0.00,0.00,0.00,65.60,7211.20,0.00,2401.20,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,131.20,3402408,0,4257092,55.58,22768,2402776,3948780,51.55,2384940,1710084,260512,1669476,95076,5112,8416,16884,0,0,0.00,0,0.00,1,628,2.13,2.02,1.69,0,2.60,0.00,131.20,50.46,0.00,0.31,0.31,0.08,2.40,2.40,0.25,0.19,0.00,0.00,0.00,0.00
2017-09-19 23:18:53,77.78,0.00,2.63,0.30,0.00,0.00,0.00,0.00,0.00,19.29,13.60,2190.80,1549.60,0.00,0.00,0.00,19.20,7455.40,0.00,2302.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,38.40,3062976,0,4596524,60.01,22776,2402904,7317844,95.54,2724396,1706576,260656,2005248,95816,5520,9576,16884,0,0,0.00,0,0.00,3,676,2.04,2.01,1.68,0,0.40,0.00,38.40,96.00,0.01,24.00,24.00,0.96,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:18:58,66.53,0.00,3.35,0.00,0.10,0.00,0.00,0.00,0.00,30.02,2.00,2043.00,1442.80,0.00,0.00,0.00,537.60,1192.80,0.00,15545.40,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,1075.20,2055552,0,5603948,73.16,22784,2408408,7377412,96.32,3705244,1704956,263668,3005632,96000,5528,11560,16884,0,0,0.00,0,0.00,2,677,2.20,2.04,1.70,0,6.00,0.00,1075.20,179.20,0.03,4.93,0.40,0.24,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:19:03,82.90,0.00,1.01,0.10,0.00,0.00,0.00,0.00,0.00,16.00,2.40,2066.00,1440.40,0.00,0.00,0.00,88.80,4174.00,0.00,2104.40,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,177.60,1978896,0,5680604,74.16,22796,2408448,7393016,96.52,3808224,1704488,263504,3081492,96084,5608,11732,16884,0,0,0.00,0,0.00,2,687,2.74,2.16,1.73,0,9.00,0.00,177.60,19.73,0.02,1.78,0.09,0.08,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:19:08,61.09,0.00,1.62,0.00,0.00,0.00,0.10,0.00,0.00,37.18,0.00,1958.80,1249.20,0.00,0.00,0.00,56.00,240.60,0.00,19353.80,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,112.00,1603792,0,6055708,79.06,22804,2408768,7393016,96.52,4183236,1704008,263764,3455664,96096,5600,12492,16884,0,0,0.00,0,0.00,2,686,2.60,2.14,1.73,0,2.80,0.00,112.00,40.00,0.00,0.57,0.29,0.08,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:19:13,55.78,0.00,0.41,3.75,0.00,0.00,0.00,0.00,0.00,40.06,0.00,1819.60,1252.40,0.00,0.00,0.00,10600.80,61.80,0.00,43.00,0.00,0.00,0.00,0.00,57.40,0.00,57.40,0.00,14452.80,1601808,0,6057692,79.09,22812,2409412,7393016,96.52,4184612,1703912,211676,3456352,96396,5592,12496,16884,0,0,0.00,0,0.00,1,685,2.47,2.12,1.73,1,57.40,0.00,14452.80,251.79,10.67,49.60,1.37,7.84,2.00,2.00,0.20,0.15,0.00,0.00,0.00,0.00
2017-09-19 23:19:18,15.94,0.00,0.30,78.58,0.00,0.00,0.00,0.00,0.00,5.18,0.00,1821.20,1180.80,0.00,0.00,0.00,6404.00,15.00,0.00,27.80,0.00,0.00,0.00,0.00,50.20,0.00,50.20,0.00,12760.00,1600324,0,6059176,79.11,22820,2410600,7393016,96.52,4185672,1704008,180996,3456276,96448,5584,12496,16884,0,0,0.00,0,0.00,1,684,2.60,2.15,1.74,1,50.20,0.00,12760.00,254.18,109.56,1821.07,19.92,100.00,0.40,0.40,0.04,0.03,0.00,0.00,0.00,0.00
2017-09-19 23:19:23,44.56,0.00,0.31,53.71,0.00,0.00,0.00,0.00,0.00,1.42,0.00,1821.60,1230.40,0.00,0.00,0.00,7540.80,23.00,0.00,49.00,0.00,0.00,0.00,0.00,58.80,0.00,58.80,0.00,13896.00,1598280,0,6061220,79.13,22832,2412868,7393016,96.52,4187628,1704040,145744,3456012,96508,5584,12496,16884,0,0,0.00,0,0.00,1,684,2.55,2.15,1.74,2,58.80,0.00,13896.00,236.33,116.38,1845.66,17.01,100.00,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:19:28,55.39,0.00,0.61,35.57,0.10,0.00,0.00,0.00,0.00,8.33,0.00,1849.20,1341.40,0.00,0.00,0.00,4990.40,34.20,0.00,448.00,0.00,0.00,0.00,0.00,45.80,0.00,45.80,0.00,11515.20,1585680,0,6073820,79.30,22840,2417268,7393016,96.52,4200580,1704036,125368,3464516,96640,5576,12512,16884,0,0,0.00,0,0.00,1,683,2.58,2.16,1.75,4,45.80,0.00,11515.20,251.42,144.60,2740.42,21.83,100.00,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
