timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 04:25:44,76.81,0.00,5.44,0.10,0.00,0.00,0.30,0.00,0.00,17.34,18.40,2630.00,1799.80,0.00,0.00,0.00,39.20,11499.40,0.00,10704.80,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,78.40,5181492,0,2478008,32.35,56348,788076,3481864,45.46,1968956,389468,105400,1516396,51312,4640,7840,16948,0,0,0.00,0,0.00,2,566,1.36,1.12,1.13,0,1.80,0.00,78.40,43.56,0.00,2.67,1.78,0.32,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-24 04:25:49,71.07,0.00,5.48,0.00,0.00,0.00,0.30,0.00,0.00,23.15,13.60,2881.80,2295.00,0.00,0.00,0.00,87.20,7090.20,0.00,3734.60,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,174.40,4887356,0,2772144,36.19,56360,943284,3847704,50.23,2116140,533720,260584,1650216,55040,4872,8544,16948,0,0,0.00,0,0.00,3,595,1.49,1.16,1.14,0,4.00,0.00,174.40,43.60,0.00,1.00,0.80,0.32,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-24 04:25:54,76.03,0.00,3.02,0.00,0.00,0.00,0.00,0.00,0.00,20.95,13.80,2197.20,1663.40,0.00,0.00,0.00,9653.60,9548.80,0.00,4000.00,0.00,0.00,0.00,0.00,88.20,0.00,88.20,0.00,19307.20,4513372,0,3146128,41.07,56372,943412,7325360,95.64,2491340,529404,212760,2020964,55736,5272,9740,16948,0,0,0.00,0,0.00,1,645,1.61,1.19,1.15,0,88.20,0.00,19307.20,218.90,4.81,54.50,0.63,5.52,2.40,2.40,0.23,0.25,0.00,0.00,0.00,0.00
2017-09-24 04:25:59,63.85,0.00,2.24,11.51,0.00,0.00,0.00,0.00,0.00,22.40,2.20,2147.40,1943.40,0.00,0.00,0.00,43030.40,3400.80,0.00,4253.60,0.00,0.00,0.00,0.00,344.80,0.00,344.80,0.00,86060.80,4174332,0,3485168,45.50,56384,948916,7399308,96.60,2810960,522292,3468,2352544,56192,5296,10408,16948,0,0,0.00,0,0.00,4,648,1.72,1.22,1.16,0,344.80,0.00,86060.80,249.60,57.97,168.13,1.30,44.72,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 04:26:04,51.11,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,47.98,0.00,1694.40,995.40,0.00,0.00,0.00,9.60,49.80,0.00,39.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,3807136,0,3852364,50.30,56392,948944,7399308,96.60,3185556,522312,3508,2718920,56148,5272,11132,16948,0,0,0.00,0,0.00,1,645,1.66,1.21,1.16,0,0.40,0.00,19.20,48.00,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 04:26:09,55.61,0.00,1.62,0.00,0.10,0.00,0.00,0.00,0.00,42.67,0.40,1860.20,1230.80,0.00,0.00,0.00,14.40,391.60,0.00,12843.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,28.80,3452880,0,4206620,54.92,56400,948968,7399308,96.60,3548296,522204,3552,3073384,56144,5272,11752,16948,0,0,0.00,0,0.00,1,646,1.61,1.21,1.15,0,0.40,0.00,28.80,72.00,0.00,0.00,0.00,0.00,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 04:26:14,65.83,0.00,2.32,0.00,0.00,0.00,0.00,0.00,0.00,31.85,2.60,2136.60,1508.80,0.00,0.00,0.00,27.20,2266.40,0.00,16375.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,54.40,3144804,0,4514696,58.94,56408,949000,7415224,96.81,3840800,521660,3600,3379584,56116,5360,12452,16948,0,0,0.00,0,0.00,2,657,1.56,1.21,1.15,0,0.60,0.00,54.40,90.67,0.00,2.67,1.33,0.08,1.60,1.60,0.16,0.12,0.00,0.00,0.00,0.00
2017-09-24 04:26:19,52.13,0.00,0.20,0.00,0.00,0.00,0.10,0.00,0.00,47.57,0.00,1693.00,1054.20,0.00,0.00,0.00,4.80,12.00,0.00,966.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,3146896,0,4512604,58.92,56416,949032,7415224,96.81,3861000,521680,3712,3377264,56132,5368,12452,16948,0,0,0.00,0,0.00,2,656,1.52,1.20,1.15,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 04:26:24,52.53,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.27,0.00,1729.40,1129.00,0.00,0.00,0.00,96.80,16.20,0.00,28.40,0.00,0.00,0.00,0.00,12.80,0.00,12.80,0.00,193.60,3147128,0,4512372,58.91,56424,949048,7415224,96.81,3860972,521704,3288,3377232,56140,5360,12452,16948,0,0,0.00,0,0.00,1,655,1.47,1.20,1.15,0,12.80,0.00,193.60,15.12,0.04,3.00,0.12,0.16,1.60,1.60,0.16,0.19,0.00,0.00,0.00,0.00
2017-09-24 04:26:29,52.13,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,47.57,0.00,1694.80,1042.00,0.00,0.00,0.00,657.60,14.40,0.00,439.00,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,1315.20,3147160,0,4512340,58.91,56424,949080,7415224,96.81,3860788,521720,148,3377004,56148,5336,12452,16948,0,0,0.00,0,0.00,1,653,1.44,1.20,1.15,0,8.20,0.00,1315.20,160.39,0.06,6.73,0.39,0.32,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 04:26:34,52.28,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,46.92,0.00,1692.20,1008.60,0.00,0.00,0.00,15.20,33.20,0.00,3817.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,30.40,3009712,0,4649788,60.71,56428,949104,7415224,96.81,3979588,521736,236,3514224,56132,5336,12632,16948,0,0,0.00,0,0.00,2,653,1.40,1.19,1.15,0,0.40,0.00,30.40,76.00,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
