timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 03:40:15,79.54,0.00,5.12,0.10,0.10,0.00,0.20,0.00,0.00,14.94,18.56,2295.21,1676.45,0.00,0.00,0.00,36.73,12581.44,0.00,16838.12,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,73.45,5331752,0,2327748,30.39,53184,618188,3597224,46.96,1950000,263972,77356,1542780,47232,4632,7932,16948,0,0,0.00,0,0.00,3,565,1.31,1.25,1.37,0,1.60,0.00,73.45,46.00,0.00,1.00,1.00,0.16,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-24 03:40:20,71.04,0.00,6.05,0.00,0.00,0.00,0.30,0.00,0.00,22.60,11.00,3160.40,2065.80,0.00,0.00,0.00,67.20,6627.20,0.00,5040.20,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,134.40,4995372,0,2664128,34.78,53196,801344,3981796,51.99,2108560,436720,260520,1690900,50992,4760,8676,16948,0,0,0.00,0,0.00,1,581,1.28,1.24,1.37,0,2.60,0.00,134.40,51.69,0.00,0.62,0.62,0.16,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-24 03:40:25,78.97,0.00,3.94,0.00,0.00,0.00,0.00,0.00,0.00,17.09,16.20,2239.20,1609.20,0.00,0.00,0.00,24.00,8109.80,0.00,2726.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,48.00,4640840,0,3018660,39.41,53196,801472,7396920,96.57,2466664,431496,260668,2043592,51608,5184,9720,16948,0,0,0.00,0,0.00,2,642,1.26,1.24,1.36,0,0.40,0.00,48.00,120.00,0.00,0.00,0.00,0.00,1.80,1.80,0.18,0.21,0.00,0.00,0.00,0.00
2017-09-24 03:40:30,69.64,0.00,2.44,0.00,0.10,0.00,0.00,0.00,0.00,27.82,2.60,2146.40,1577.00,0.00,0.00,0.00,537.60,3359.00,0.00,2153.20,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,1075.20,4197940,0,3461560,45.19,53204,806976,7477444,97.62,2904052,422856,263668,2479016,52044,5280,10636,16948,0,0,0.00,0,0.00,3,646,1.24,1.24,1.36,0,5.60,0.00,1075.20,192.00,0.02,3.57,0.29,0.16,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 03:40:35,65.75,0.00,2.24,0.00,0.00,0.00,0.00,0.00,0.00,32.01,2.40,2110.20,1458.40,0.00,0.00,0.00,30.40,1047.00,0.00,11189.40,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,60.80,3618228,0,4041272,52.76,53212,807016,7492920,97.83,3495760,422216,263764,3057848,51984,5360,11864,16948,0,0,0.00,0,0.00,2,656,1.22,1.23,1.36,0,1.20,0.00,60.80,50.67,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 03:40:40,53.04,0.00,0.81,0.10,0.00,0.00,0.00,0.00,0.00,46.05,0.00,1691.40,1062.60,0.00,0.00,0.00,98.40,39.40,0.00,3633.20,0.00,0.00,0.00,0.00,12.60,0.00,12.60,0.00,196.80,3517048,0,4142452,54.08,53216,807040,7492920,97.83,3596176,422216,263340,3158184,51972,5352,12080,16948,0,0,0.00,0,0.00,1,654,1.28,1.24,1.36,0,12.60,0.00,196.80,15.62,0.04,3.30,0.13,0.16,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 03:40:45,53.03,0.00,0.20,0.00,0.00,0.00,0.10,0.00,0.00,46.67,0.00,1727.60,1091.00,0.00,0.00,0.00,541.60,13.20,0.00,22.00,0.00,0.00,0.00,0.00,5.40,0.00,5.40,0.00,1083.20,3517048,0,4142452,54.08,53216,807064,7492920,97.83,3596156,422216,260668,3158092,51980,5344,12080,16948,0,0,0.00,0,0.00,1,654,1.74,1.34,1.39,0,5.40,0.00,1083.20,200.59,0.04,6.96,0.59,0.32,2.40,2.40,0.22,0.18,0.00,0.00,0.00,0.00
2017-09-24 03:40:50,53.70,0.00,0.20,5.07,0.00,0.00,0.00,0.00,0.00,41.03,0.00,1741.40,1247.80,0.00,0.00,0.00,17564.80,28.80,0.00,96.80,0.00,0.00,0.00,0.00,114.60,0.00,114.60,0.00,29254.40,3515992,0,4143508,54.10,53224,807088,7492920,97.83,3594972,422236,173000,3158944,52000,5336,12080,16948,0,0,0.00,0,0.00,2,653,1.68,1.33,1.39,1,114.60,0.00,29254.40,255.27,16.17,101.23,0.99,11.36,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 03:40:55,52.44,0.00,0.61,17.78,0.00,0.00,0.00,0.00,0.00,29.17,0.00,1729.80,1373.60,0.00,0.00,0.00,33967.20,35.60,0.00,4133.80,0.00,0.00,0.00,0.00,296.60,0.00,296.60,0.00,73809.60,3380568,0,4278932,55.86,53236,807112,7492920,97.83,3732156,422252,3248,3294064,51992,5328,12344,16948,0,0,0.00,0,0.00,1,652,1.63,1.33,1.39,0,296.60,0.00,73809.60,248.85,57.14,208.03,1.47,43.52,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 03:41:00,51.82,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,47.88,0.00,1751.40,1098.40,0.00,0.00,0.00,621.60,11.20,0.00,23.80,0.00,0.00,0.00,0.00,5.80,0.00,5.80,0.00,1243.20,3380592,0,4278908,55.86,53240,807132,7492920,97.83,3732108,422260,320,3293996,51976,5320,12344,16948,0,0,0.00,0,0.00,1,651,1.58,1.32,1.39,0,5.80,0.00,1243.20,214.34,0.03,4.83,0.55,0.32,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 03:41:05,51.68,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,48.22,0.00,1706.80,1063.40,0.00,0.00,0.00,25.60,15.60,0.00,25.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,51.20,3380708,0,4278792,55.86,53248,807160,7492920,97.83,3732136,422280,360,3294008,51992,5320,12344,16948,0,0,0.00,0,0.00,1,650,1.53,1.32,1.39,0,1.80,0.00,51.20,28.44,0.00,0.00,0.00,0.00,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
