timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 09:54:59,78.89,0.00,3.52,0.10,0.00,0.00,0.00,0.00,0.00,17.49,18.40,2146.40,1472.20,0.00,0.00,0.00,53.60,12423.40,0.00,8177.20,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,107.20,5251440,0,2408060,31.44,174944,805660,3260120,42.56,1969764,264368,31756,1253688,107580,4496,7272,16948,0,0,0.00,0,0.00,4,548,1.67,1.23,1.17,0,3.00,0.00,107.20,35.73,0.00,0.27,0.27,0.08,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-24 09:55:04,66.36,0.00,7.72,0.10,0.00,0.00,0.51,0.00,0.00,25.30,12.40,4079.00,2344.20,0.00,0.00,0.00,70.40,5568.60,0.00,6741.20,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,140.80,4835056,0,2824444,36.88,174948,1034432,3858072,50.37,2162284,485236,260580,1440260,108160,4712,7948,16948,0,0,0.00,0,0.00,2,575,1.62,1.23,1.17,0,3.00,0.00,140.80,46.93,0.00,0.53,0.53,0.16,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 09:55:09,82.26,0.00,3.12,1.92,0.10,0.00,0.00,0.00,0.00,12.60,10.40,1838.00,1484.40,0.00,0.00,0.00,9664.80,8796.20,0.00,3370.40,0.00,0.00,0.00,0.00,86.20,0.00,86.20,0.00,19329.60,4628680,0,3030820,39.57,174960,1034548,7355264,96.03,2378396,475224,212784,1644116,108612,5064,8780,16948,0,0,0.00,0,0.00,3,619,1.57,1.22,1.17,0,86.20,0.00,19329.60,224.24,3.72,43.13,0.63,5.44,2.80,2.80,0.26,0.28,0.00,0.00,0.00,0.00
2017-09-24 09:55:14,77.72,0.00,3.26,4.58,0.00,0.00,0.00,0.00,0.00,14.45,9.80,2333.80,1874.40,0.00,0.00,0.00,29134.40,5242.00,0.00,3119.40,0.00,0.00,0.00,0.00,207.00,0.00,207.00,0.00,51049.60,4085436,0,3574064,46.66,174976,1040056,7472556,97.56,2921268,471192,72944,2179476,109236,5272,9932,16948,0,0,0.00,0,0.00,3,645,1.60,1.24,1.18,1,207.00,0.00,51049.60,246.62,34.62,151.81,1.17,24.16,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-24 09:55:19,55.02,0.00,2.63,4.96,0.00,0.00,0.00,0.00,0.00,37.39,0.00,1742.00,1229.20,0.00,0.00,0.00,13915.20,139.60,0.00,13653.20,0.00,0.00,0.00,0.00,137.40,0.00,137.40,0.00,35049.60,3267552,0,4391948,57.34,174984,1040084,7472556,97.56,3714868,471124,3608,2993452,109184,5232,11532,16948,0,0,0.00,0,0.00,4,640,1.55,1.23,1.18,0,137.40,0.00,35049.60,255.09,26.45,215.83,1.50,20.64,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 09:55:24,53.40,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,44.77,0.00,1667.40,1037.20,0.00,0.00,0.00,3.20,73.20,0.00,12132.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,2937204,0,4722296,61.65,174992,1040104,7472556,97.56,4052812,471140,3628,3325256,109192,5224,12272,16948,0,0,0.00,0,0.00,2,639,1.59,1.25,1.18,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 09:55:29,52.89,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,46.00,0.00,1703.40,1179.40,0.00,0.00,0.00,0.00,71.80,0.00,10387.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2592512,0,5066988,66.15,174992,1040128,7472556,97.56,4400996,471152,3664,3669332,109208,5216,12944,16948,0,0,0.00,0,0.00,2,638,1.62,1.26,1.18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-24 09:55:34,53.60,0.00,1.22,0.00,0.00,0.00,0.00,0.00,0.00,45.18,0.00,1750.80,1217.00,0.00,0.00,0.00,5.60,86.20,0.00,7630.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,2272280,0,5387220,70.33,174996,1040152,7472556,97.56,4710528,471152,3692,3989068,109208,5184,13576,16948,0,0,0.00,0,0.00,2,634,1.57,1.25,1.18,0,0.40,0.00,11.20,28.00,0.00,2.00,2.00,0.08,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 09:55:39,84.52,0.00,1.41,0.20,0.10,0.00,0.00,0.00,0.00,13.77,0.80,1982.40,1231.40,0.00,0.00,0.00,294.40,5731.00,0.00,7943.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,588.80,2094084,0,5565416,72.66,175024,1040180,7487784,97.76,4911924,471132,3768,4167872,109208,5208,13956,16948,0,0,0.00,0,0.00,6,637,2.01,1.35,1.21,0,8.00,0.00,588.80,73.60,0.01,1.60,0.80,0.64,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 09:55:44,53.50,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,46.30,0.00,1772.80,1261.20,0.00,0.00,0.00,146.40,28.00,0.00,435.20,0.00,0.00,0.00,0.00,14.40,0.00,14.40,0.00,292.80,2100828,0,5558672,72.57,175024,1040236,7487784,97.76,4904072,471144,3140,4159976,109188,5184,13964,16948,0,0,0.00,0,0.00,3,634,1.93,1.34,1.21,0,14.40,0.00,292.80,20.33,0.03,1.94,0.11,0.16,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-24 09:55:49,52.43,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,47.26,0.00,1764.40,1266.20,0.00,0.00,0.00,623.20,20.00,0.00,29.80,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,1246.40,2100952,0,5558548,72.57,175028,1040260,7487784,97.76,4904048,471156,276,4159920,109204,5168,13964,16948,0,0,0.00,0,0.00,2,632,1.85,1.34,1.21,0,6.00,0.00,1246.40,207.73,0.03,5.33,0.53,0.32,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 09:55:54,52.18,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.62,0.00,1730.20,1132.80,0.00,0.00,0.00,11.20,17.40,0.00,27.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,22.40,2100968,0,5558532,72.57,175028,1040284,7487784,97.76,4904088,471160,312,4159948,109196,5160,13964,16948,0,0,0.00,0,0.00,3,631,1.78,1.33,1.21,0,0.40,0.00,22.40,56.00,0.00,0.00,0.00,0.00,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 09:55:59,52.39,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,47.51,0.00,1741.60,1108.80,0.00,0.00,0.00,3.20,16.00,0.00,127.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,2097964,0,5561536,72.61,175028,1040312,7487784,97.76,4906132,471172,356,4161964,109204,5152,13968,16948,0,0,0.00,0,0.00,4,630,1.72,1.33,1.21,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-24 09:56:04,52.63,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,47.06,0.00,1737.60,1127.80,0.00,0.00,0.00,5.60,17.20,0.00,31.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,2098160,0,5561340,72.61,175032,1040332,7487784,97.76,4906100,471180,376,4161916,109204,5136,13968,16948,0,0,0.00,0,0.00,2,628,1.66,1.32,1.21,0,0.40,0.00,11.20,28.00,0.00,2.00,2.00,0.08,1.60,1.60,0.16,0.12,0.00,0.00,0.00,0.00
2017-09-24 09:56:09,53.24,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,46.56,0.00,1695.40,1055.60,0.00,0.00,0.00,3.20,16.00,0.00,104.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,2097756,0,5561744,72.61,175040,1040356,7487784,97.76,4906616,471200,400,4162424,109196,5112,13968,16948,0,0,0.00,0,0.00,2,625,1.61,1.32,1.21,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
2017-09-24 09:56:14,51.98,0.00,0.20,0.00,0.00,0.00,0.10,0.00,0.00,47.72,0.00,1681.00,1136.60,0.00,0.00,0.00,32.80,18.00,0.00,24.80,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,65.60,2097856,0,5561644,72.61,175048,1040380,7487784,97.76,4906576,471220,380,4162368,109196,5104,13968,16948,0,0,0.00,0,0.00,2,624,1.64,1.33,1.21,0,2.60,0.00,65.60,25.23,0.00,0.31,0.31,0.08,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-24 09:56:19,51.92,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.00,47.78,0.00,1695.00,1179.20,0.00,0.00,0.00,66.40,39.40,0.00,19.40,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,132.80,2091440,0,5568060,72.69,175052,1040408,7487784,97.76,4913284,471240,120,4169064,109196,5104,13980,16948,0,0,0.00,0,0.00,2,624,1.59,1.32,1.21,0,4.20,0.00,132.80,31.62,0.00,0.00,0.00,0.00,0.80,0.80,0.09,0.06,0.00,0.00,0.00,0.00
2017-09-24 09:56:24,52.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.56,0.00,1667.60,1040.20,0.00,0.00,0.00,7.20,15.20,0.00,23.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,2083180,0,5576320,72.80,175052,1040432,7487784,97.76,4919472,471244,188,4177280,109196,5104,13996,16948,0,0,0.00,0,0.00,4,624,1.54,1.32,1.21,0,0.40,0.00,14.40,36.00,0.00,0.00,0.00,0.00,1.20,1.20,0.12,0.16,0.00,0.00,0.00,0.00
