timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-25 06:51:25,71.08,0.00,2.51,0.00,0.00,0.00,0.00,0.00,0.00,26.41,23.60,1510.00,1324.80,0.00,0.00,0.00,46.40,14708.00,0.00,16054.40,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,92.80,2621528,0,5037972,65.77,122368,3475200,2594572,33.87,1673052,3131956,408,1207464,167840,4296,7140,16948,0,0,0.00,0,0.00,1,518,2.75,3.05,3.13,0,1.40,0.00,92.80,66.29,0.00,0.00,0.00,0.00,7.80,6.80,0.66,1.42,0.00,0.00,0.00,0.00
2017-09-25 06:51:30,74.75,0.00,4.12,0.00,0.00,0.00,0.00,0.00,0.00,21.13,27.00,1367.20,1254.80,0.00,0.00,0.00,48.00,19753.00,0.00,15059.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,96.00,2513908,0,5145592,67.18,122376,3476176,2676952,34.95,1777840,3132888,1392,1312188,167972,4336,8232,16948,0,0,0.00,0,0.00,2,529,2.53,3.00,3.12,0,0.80,0.00,96.00,120.00,0.00,0.00,0.00,0.00,7.60,7.40,0.79,0.66,0.00,0.00,0.00,0.00
2017-09-25 06:51:35,75.25,0.00,3.35,0.10,0.00,0.00,0.20,0.00,0.00,21.10,27.40,2434.20,1834.00,0.00,0.00,0.00,19.20,8445.40,0.00,4607.80,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,38.40,2367272,0,5292228,69.09,122380,3477188,2977720,38.88,1920068,3133660,2536,1454184,170016,4680,8752,16948,0,0,0.00,0,0.00,2,570,2.49,2.98,3.11,0,4.60,0.00,38.40,8.35,0.00,0.87,0.87,0.40,6.40,6.20,0.47,0.82,0.00,0.00,0.00,0.00
2017-09-25 06:51:40,71.14,0.00,2.42,0.00,0.00,0.00,0.00,0.00,0.00,26.44,14.60,1713.20,1550.60,0.00,0.00,0.00,50.40,4899.00,0.00,2608.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,100.80,2188172,0,5471328,71.43,122392,3477368,3304652,43.14,2097208,3133784,2856,1631332,170472,5184,9568,16948,0,0,0.00,0,0.00,0,635,2.53,2.98,3.11,0,1.80,0.00,100.80,56.00,0.00,0.44,0.44,0.08,8.20,8.00,0.81,1.33,0.00,0.00,0.00,0.00
2017-09-25 06:51:45,79.54,0.00,3.01,0.10,0.00,0.00,0.00,0.00,0.00,17.35,12.80,1744.40,1136.60,0.00,0.00,0.00,123.20,9373.80,0.00,3183.80,0.00,0.00,0.00,0.00,14.80,0.00,14.80,0.00,246.40,1987200,0,5672300,74.06,122412,3477608,3749868,48.96,2295568,3133928,2532,1829576,171496,5456,10672,16948,0,0,0.00,0,0.00,5,672,2.72,3.02,3.12,0,14.80,0.00,246.40,16.65,0.06,3.84,0.11,0.16,9.20,7.40,0.70,0.59,0.00,0.00,0.00,0.00
2017-09-25 06:51:50,96.00,0.00,3.60,0.00,0.00,0.00,0.30,0.00,0.00,0.10,5.00,2915.20,1419.60,0.00,0.00,0.00,32.80,2887.60,0.00,2073.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,65.60,1675400,0,5984100,78.13,122420,3477864,3903952,50.97,2603800,3134168,2980,2139776,172136,5584,11124,16948,0,0,0.00,0,0.00,7,683,2.83,3.03,3.12,0,0.60,0.00,65.60,109.33,0.00,2.67,1.33,0.08,4.20,2.80,0.27,0.26,0.00,0.00,0.00,0.00
2017-09-25 06:51:55,94.40,0.00,5.40,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.40,2274.85,1433.73,0.00,0.00,0.00,9605.59,165.07,0.00,446.91,0.00,0.00,0.00,0.00,98.60,0.00,98.60,0.00,19211.18,1499120,0,6160380,80.43,122432,3622304,3960076,51.70,2778992,3133436,99484,2167696,176024,5552,11192,16948,0,0,0.00,0,0.00,3,680,2.92,3.05,3.13,0,98.60,0.00,19211.18,194.83,4.56,46.26,0.54,5.35,2.59,1.80,0.18,0.27,0.00,0.00,0.00,0.00
2017-09-25 06:52:00,89.90,0.00,10.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1335.60,1060.00,0.00,0.00,0.00,19909.60,67.00,0.00,371.80,0.00,0.00,0.00,0.00,149.20,0.00,149.20,0.00,38027.20,1172704,0,6486796,84.69,122444,3940724,3960076,51.70,3101380,3128612,323932,2166856,184784,5584,11200,16948,0,0,0.00,0,0.00,4,684,2.85,3.03,3.12,0,149.20,0.00,38027.20,254.87,21.79,123.57,1.10,16.48,2.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-25 06:52:05,77.83,0.00,6.02,0.00,0.00,0.00,0.00,0.00,0.00,16.15,17.00,1979.40,1065.80,0.00,0.00,0.00,23.20,9444.20,0.00,43691.00,0.00,0.00,0.00,0.00,7.80,0.00,7.80,0.00,1838.40,1736432,0,5923068,77.33,122460,3740196,3716568,48.52,2549120,3123644,273328,1810196,179436,5456,10344,16948,0,0,0.00,0,0.00,4,668,2.78,3.02,3.12,0,7.80,0.00,1838.40,235.69,0.20,455.18,1.44,1.12,2.00,1.20,0.12,0.15,0.00,0.00,0.00,0.00
2017-09-25 06:52:10,96.59,0.00,3.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2052.40,1142.00,0.00,0.00,0.00,44.00,3902.80,0.00,3462.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,88.00,1415084,0,6244416,81.53,122472,3735340,3907096,51.01,2872848,3119144,273688,2134220,179664,5632,11124,16948,0,0,0.00,0,0.00,4,690,2.80,3.01,3.12,0,0.80,0.00,88.00,110.00,0.00,3.00,1.00,0.08,3.80,2.80,0.27,0.31,0.00,0.00,0.00,0.00
