timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 17:49:06,75.80,0.00,3.11,0.50,0.10,0.00,0.00,0.00,0.00,20.48,17.40,1366.60,1304.40,0.00,0.00,447.20,164.00,13857.80,7.40,11313.20,0.00,0.00,0.00,0.00,36.20,22.20,14.00,894.40,328.00,674652,0,6984848,91.19,6932,5107688,2814328,36.74,2365540,4365760,180,1616680,188356,4512,8080,16884,0,0,0.00,0,0.00,0,550,2.29,2.85,3.43,0,36.20,894.40,328.00,33.77,0.05,1.50,0.35,1.28,1.00,1.00,0.09,0.07,0.00,0.00,0.00,0.00
2017-09-22 17:49:11,70.87,0.00,3.02,0.81,0.10,0.00,0.00,0.00,0.00,25.20,29.40,1428.00,1275.60,0.00,0.00,1237.60,34.40,17172.20,18.20,17801.80,0.00,0.00,0.00,0.00,43.80,42.60,1.20,2475.20,68.80,715156,0,6944344,90.66,6968,5086056,2810960,36.70,2316664,4372820,1296,1596380,187996,4544,8696,16884,0,0,0.00,0,0.00,2,554,2.35,2.85,3.43,0,43.80,2475.20,68.80,58.08,0.04,0.88,0.71,3.12,2.60,2.60,0.27,0.22,0.00,0.00,0.00,0.00
2017-09-22 17:49:16,78.19,0.00,3.72,0.20,0.30,0.00,0.00,0.00,0.00,17.59,26.60,2275.60,1778.60,0.00,0.00,9660.80,156.80,6805.00,0.80,2774.00,0.00,0.00,0.00,0.00,169.00,162.80,6.20,19321.60,313.60,505784,0,7153716,93.40,7000,5135380,3153704,41.17,2475004,4422020,2932,1754672,189476,4864,9388,16884,0,0,0.00,0,0.00,4,593,3.12,3.00,3.47,0,169.00,19321.60,313.60,116.18,2.87,17.00,0.24,4.08,2.80,2.80,0.27,0.22,0.00,0.00,0.00,0.00
2017-09-22 17:49:21,79.23,0.00,2.42,0.91,0.00,0.00,0.10,0.00,0.00,17.34,13.00,1636.00,1460.80,0.00,0.00,532.00,53.60,4495.20,1.80,2138.40,0.00,0.00,0.00,0.00,42.60,41.00,1.60,1064.00,107.20,323812,0,7335688,95.77,7012,5138120,3481848,45.46,2653440,4424572,3176,1932888,189796,5360,9916,16884,0,0,0.00,0,0.00,4,657,2.95,2.97,3.46,0,42.60,1064.00,107.20,27.49,0.02,0.56,0.53,2.24,3.20,3.20,0.34,0.26,0.00,0.00,0.00,0.00
2017-09-22 17:49:26,68.68,0.00,2.82,0.10,0.10,0.00,0.00,0.00,0.00,28.30,10.60,1777.20,1183.40,0.00,0.00,30.40,51.20,9339.60,0.00,3426.20,0.00,0.00,0.00,0.00,5.20,4.40,0.80,60.80,102.40,136236,0,7523264,98.22,7032,5138624,3889208,50.78,2838296,4424984,3608,2117724,190584,5600,10952,16884,0,0,0.00,0,0.00,5,685,2.71,2.92,3.44,0,5.20,60.80,102.40,31.38,0.01,1.08,0.62,0.32,0.20,0.20,0.02,0.02,0.00,0.00,0.00,0.00
2017-09-22 17:49:31,94.59,0.00,5.31,0.00,0.00,0.00,0.00,0.00,0.00,0.10,6.00,1957.60,1782.00,0.00,0.00,1929.60,43.20,9757.20,0.20,22766.60,12826.20,5414.40,17784.20,97.50,37.40,35.00,2.40,3859.20,86.40,154888,0,7504612,97.98,7036,4791988,4089156,53.39,3163152,4079156,3840,2443352,190988,5768,11732,16884,0,0,0.00,0,0.00,7,707,2.98,2.97,3.46,0,37.40,3859.20,86.40,105.50,0.31,8.26,0.28,1.04,1.20,1.20,0.11,0.10,0.00,0.00,0.00,0.00
2017-09-22 17:49:36,93.71,0.00,6.09,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,3121.00,1455.60,0.00,0.00,33179.20,59.20,725.80,0.00,13867.20,13483.20,0.00,13337.80,98.92,506.40,504.80,1.60,66358.40,118.40,132832,0,7526668,98.27,7056,4808828,4089156,53.39,3286440,3978320,121492,2448856,191200,5752,11756,16884,0,0,0.00,0,0.00,7,705,3.30,3.04,3.48,0,506.40,66358.40,118.40,131.27,2.53,5.00,0.27,13.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 17:49:41,93.49,0.00,6.41,0.00,0.00,0.00,0.10,0.00,0.00,0.00,1.60,2079.40,1268.80,0.00,0.00,13799.20,205.60,541.80,0.00,15374.40,12581.40,851.20,13431.00,99.99,230.20,211.80,18.40,27598.40,411.20,125100,0,7534400,98.37,7056,4796700,4145896,54.13,3495796,3774888,313124,2467056,191108,5760,11804,16884,0,0,0.00,0,0.00,5,707,3.19,3.02,3.47,0,230.20,27598.40,411.20,121.68,1.30,5.66,0.26,6.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 17:49:46,73.67,0.00,11.61,4.70,0.00,0.00,0.10,0.00,0.00,9.91,15.60,2002.60,1259.40,0.00,0.00,767.20,18624.00,5823.20,0.00,51234.80,10131.20,0.00,10131.20,100.00,183.40,13.20,170.20,1534.40,37248.00,794668,0,6864832,89.63,7064,4555032,3864640,50.46,3029076,3571136,273356,2040236,190768,5632,10724,16884,0,0,0.00,0,0.00,4,690,3.10,3.00,3.46,0,183.40,1534.40,37248.00,211.46,18.73,102.15,0.89,16.40,0.40,0.40,0.04,0.03,0.00,0.00,0.00,0.00
2017-09-22 17:49:51,96.70,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.10,2.80,1610.60,1367.40,0.00,0.00,1151.20,42758.40,6193.00,0.00,4283.80,0.00,0.00,0.00,0.00,334.80,19.80,315.00,2302.40,78246.40,681372,0,6978128,91.10,7076,4555692,3952256,51.60,3141556,3572084,60072,2150892,190952,5712,11144,16884,0,0,0.00,0,0.00,7,700,3.33,3.05,3.47,1,335.00,2302.40,78297.60,240.60,57.94,163.49,1.22,40.72,1.40,1.40,0.12,0.11,0.00,0.00,0.00,0.00
