timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-21 04:10:22,35.59,0.00,1.86,0.00,0.10,0.00,0.00,0.00,0.00,62.45,27.40,1633.60,1852.40,0.00,0.00,0.00,79.20,17191.40,0.00,21103.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,158.40,7489528,0,7911380,51.37,48860,6040076,3036108,19.71,3731620,3832044,272,1479060,230140,5032,7708,30220,0,0,0.00,0,0.00,3,616,3.48,3.78,3.55,0,2.00,0.00,158.40,79.20,0.00,0.40,0.40,0.08,0.80,0.80,0.08,0.07,0.00,0.00,0.00,0.00
2017-09-21 04:10:27,36.45,0.00,1.80,0.05,0.80,0.00,0.05,0.00,0.00,60.85,28.60,1622.40,1823.20,0.00,0.00,0.00,56.80,19526.00,0.00,15998.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,113.60,7352744,0,8048164,52.26,48872,6040112,3199964,20.78,3871032,3832072,480,1614184,230096,5280,8856,30220,0,0,0.00,0,0.00,1,648,3.36,3.75,3.54,0,1.60,0.00,113.60,71.00,0.00,1.00,0.50,0.08,3.00,3.00,0.31,0.25,0.00,0.00,0.00,0.00
2017-09-21 04:10:32,19.62,0.00,4.63,4.12,0.10,0.00,0.00,0.00,0.00,71.53,0.60,1338.60,1460.60,0.00,0.00,0.00,25420.80,1186.00,0.00,2887.20,0.00,0.00,0.00,0.00,168.00,0.00,168.00,0.00,42854.40,7124852,0,8276056,53.74,48880,6216532,3316740,21.54,4118108,3813432,70052,1666280,229804,5304,9096,30220,0,0,0.00,0,0.00,0,649,3.17,3.70,3.53,1,168.00,0.00,42854.40,255.09,24.72,141.40,1.06,17.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 04:10:37,30.16,0.00,6.75,4.35,0.36,0.00,0.26,0.00,0.00,58.13,12.80,6207.20,6055.20,0.00,0.00,0.00,13865.60,7833.60,0.00,23888.60,0.00,0.00,0.00,0.00,142.00,0.00,142.00,0.00,35718.40,6457548,0,8943360,58.07,48892,6611048,3938032,25.57,4496364,4094028,395060,1932508,235092,5480,9968,30220,0,0,0.00,0,0.00,1,671,2.91,3.64,3.51,0,142.00,0.00,35718.40,251.54,14.33,107.70,0.80,11.36,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-21 04:10:42,34.82,0.00,1.51,0.00,0.30,0.00,0.00,0.00,0.00,63.37,15.00,1602.60,1700.40,0.00,0.00,0.00,61.60,9512.40,0.00,4008.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,123.20,6132380,0,9268528,60.18,48920,6611176,5144172,33.40,4825176,4090368,395408,2255448,235408,5800,11004,30220,0,0,0.00,0,0.00,3,735,2.68,3.58,3.49,0,1.00,0.00,123.20,123.20,0.00,0.80,0.80,0.08,2.20,2.20,0.22,0.17,0.00,0.00,0.00,0.00
2017-09-21 04:10:47,55.92,0.00,2.11,1.05,0.25,0.00,0.05,0.00,0.00,40.62,9.20,2048.40,2282.60,0.00,0.00,0.00,1016.80,13263.00,0.00,10595.00,0.00,0.00,0.00,0.00,81.60,0.00,81.60,0.00,2033.60,5637904,0,9763004,63.39,49596,6612416,5532848,35.93,5316432,4090836,395128,2745536,235940,6112,12576,30220,0,0,0.00,0,0.00,2,750,2.55,3.54,3.48,0,81.60,0.00,2033.60,24.92,0.13,1.55,0.88,7.20,3.40,3.40,0.36,0.28,0.00,0.00,0.00,0.00
2017-09-21 04:10:52,38.81,0.00,0.95,2.81,0.60,0.00,0.00,0.00,0.00,56.83,2.20,2413.20,2779.00,0.00,0.00,0.00,2174.40,4591.60,0.00,4890.20,0.00,0.00,0.00,0.00,207.80,0.00,207.80,0.00,4348.80,5554520,0,9846388,63.93,51572,6615192,5564304,36.13,5397120,4093884,395660,2824436,236244,6152,12664,30220,0,0,0.00,0,0.00,2,755,2.58,3.53,3.47,0,207.80,0.00,4348.80,20.93,0.18,0.85,0.72,14.88,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-21 04:10:57,57.95,0.00,1.00,0.20,2.80,0.00,0.00,0.00,0.00,38.05,0.80,1460.20,1688.40,0.00,0.00,0.00,143.20,4002.00,0.00,3098.60,0.00,0.00,0.00,0.00,14.00,0.00,14.00,0.00,286.40,5498488,0,9902420,64.30,51716,6615324,5579800,36.23,5449652,4094004,395656,2878752,236168,6144,12852,30220,0,0,0.00,0,0.00,2,754,2.70,3.54,3.48,0,14.00,0.00,286.40,20.46,0.01,0.97,0.80,1.12,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-21 04:11:02,67.30,0.00,6.48,2.19,0.56,0.00,0.05,0.00,0.00,23.42,5.20,10712.60,4559.60,0.00,0.00,8391.20,35364.80,6324.60,0.00,11194.60,0.00,0.00,0.00,0.00,350.60,72.00,278.60,16782.40,70729.60,4517920,0,10882988,70.66,51748,7010900,6467684,42.00,6206144,4310464,572932,3454452,244268,6320,13788,30220,0,0,0.00,0,0.00,5,776,2.64,3.51,3.47,0,350.60,16782.40,70729.60,249.61,14.86,42.40,0.52,18.16,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
2017-09-21 04:11:07,92.13,0.00,6.92,0.00,0.15,0.00,0.05,0.00,0.00,0.75,1.20,1744.60,2043.60,0.00,0.00,0.00,39610.40,4196.20,0.00,9721.40,0.00,0.00,0.00,0.00,310.20,0.00,310.20,0.00,79220.80,1353792,0,14047116,91.21,51768,7127388,9016760,58.55,9253280,4418636,491956,6493732,247208,6368,19992,30220,0,0,0.00,0,0.00,5,782,2.83,3.54,3.48,0,310.20,0.00,79220.80,255.39,18.99,61.20,0.48,14.88,1.00,1.00,0.10,0.08,0.00,0.00,0.00,0.00
