timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 14:39:05,35.18,0.00,1.76,1.06,0.05,0.00,0.05,0.00,0.00,61.91,25.40,1805.60,2021.20,0.00,0.00,1910.40,45.60,17047.60,5.60,20898.60,0.00,0.00,0.00,0.00,104.80,103.40,1.40,3820.80,91.20,8158236,0,7242672,47.03,12944,5637868,2853484,18.53,1435640,5370196,320,1159244,320528,4600,7260,30284,0,0,0.00,0,0.00,1,564,2.91,4.79,4.86,0,104.80,3820.80,91.20,37.33,0.18,1.69,0.43,4.48,3.00,3.00,0.20,0.50,0.00,0.00,0.00,0.00
2017-09-24 14:39:10,36.23,0.00,8.37,3.25,0.05,0.00,0.00,0.00,0.00,52.11,44.00,2592.00,2908.00,0.00,0.00,4587.20,208.80,21364.20,18.20,307716.60,0.00,0.00,0.00,0.00,296.20,290.00,6.20,9174.40,417.60,13834060,0,1566848,10.17,16156,99836,3285560,21.33,1349392,52284,3044,1286316,49284,4688,8368,30284,0,0,0.00,0,0.00,1,596,2.92,4.76,4.85,0,296.20,9174.40,417.60,32.38,0.62,2.09,0.56,16.64,6.80,6.80,0.57,0.94,0.00,0.00,0.00,0.00
2017-09-24 14:39:15,38.81,0.00,1.31,1.57,0.00,0.00,0.00,0.00,0.00,58.31,14.60,2050.80,2229.00,0.00,0.00,2254.40,55.20,5893.40,1.80,5131.40,0.00,0.00,0.00,0.00,128.60,126.80,1.80,4508.80,110.40,13612444,0,1788464,11.61,16180,105984,3588172,23.30,1569836,53980,3388,1501280,49212,5008,9292,30284,0,0,0.00,0,0.00,1,660,2.85,4.71,4.84,0,128.60,4508.80,110.40,35.92,0.15,1.19,0.68,8.72,3.20,3.40,0.32,0.33,0.00,0.00,0.00,0.00
2017-09-24 14:39:20,68.14,0.00,2.71,0.10,0.00,0.00,0.00,0.00,0.00,29.05,22.40,2773.40,2035.80,0.00,0.00,1303.20,844.80,18604.20,0.00,8169.60,0.00,0.00,0.00,0.00,46.00,15.00,31.00,2606.40,1689.60,13129892,0,2271016,14.75,16232,108204,4736464,30.75,2046432,54664,448,1976848,51468,6024,11536,30284,0,0,0.00,0,0.00,4,740,2.70,4.65,4.81,0,46.00,2606.40,1689.60,93.39,0.19,4.10,0.24,1.12,3.80,3.60,0.31,0.39,0.00,0.00,0.00,0.00
2017-09-24 14:39:25,97.05,0.00,2.65,0.00,0.00,0.00,0.05,0.00,0.00,0.25,12.40,3900.00,2387.60,0.00,0.00,28694.40,20.80,5532.80,0.20,3235.60,0.00,0.00,0.00,0.00,236.80,236.40,0.40,57388.80,41.60,12483728,0,2917180,18.94,16252,246812,4797044,31.15,2550728,192780,1084,2480688,52556,6344,12976,30284,0,0,0.00,0,0.00,13,778,3.20,4.72,4.84,0,236.80,57388.80,41.60,242.53,1.29,5.45,0.44,10.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-24 14:39:30,84.70,0.00,14.10,0.35,0.00,0.00,0.35,0.00,0.00,0.50,4.00,5384.60,3451.80,0.00,0.00,79928.80,16.80,569.20,0.00,8061.00,0.00,0.00,0.00,0.00,641.40,641.00,0.40,159857.60,33.60,11281520,0,4119388,26.75,16268,1422152,4797044,31.15,3341572,587756,781616,2491108,69340,6384,13016,30284,0,0,0.00,0,0.00,8,785,3.67,4.79,4.86,0,641.40,159857.60,33.60,249.28,11.89,18.54,0.71,45.44,0.00,0.40,0.00,0.13,0.00,0.00,0.00,0.00
2017-09-24 14:39:35,87.21,0.00,5.27,0.00,0.00,0.00,0.05,0.00,0.00,7.48,33.40,3409.40,2297.40,0.00,0.00,821.60,60.80,20979.40,0.00,77022.00,0.00,0.00,0.00,0.00,8.40,7.00,1.40,1643.20,121.60,12037952,0,3362956,21.84,16332,1157168,4739032,30.77,2594436,586436,517832,2007460,62112,6120,11728,30284,0,0,0.00,0,0.00,4,754,3.85,4.81,4.87,0,8.40,1643.20,121.60,210.10,0.07,8.10,0.76,0.64,3.20,2.80,0.26,0.31,0.00,0.00,0.00,0.00
2017-09-24 14:39:40,96.15,0.00,3.70,0.00,0.00,0.00,0.15,0.00,0.00,0.00,12.00,5009.20,2873.60,0.00,0.00,54669.60,21.60,5934.20,0.00,3724.20,0.00,0.00,0.00,0.00,450.60,450.00,0.60,109339.20,43.20,11280864,0,4120044,26.75,16348,1427308,4785508,31.07,3081928,854492,519320,2493036,63136,6424,13012,30284,0,0,0.00,0,0.00,9,789,4.27,4.88,4.89,0,450.60,109339.20,43.20,242.75,2.88,6.39,0.39,17.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-24 14:39:45,83.12,0.00,15.32,0.00,0.00,0.00,0.35,0.00,0.00,1.20,17.20,4801.40,3485.60,0.00,0.00,51073.60,12483.20,5453.80,0.00,40148.80,0.00,0.00,0.00,0.00,535.20,422.80,112.40,102147.20,24966.40,10747844,0,4653064,30.21,16368,2376468,4736164,30.75,3346616,1104532,1156040,2060780,80348,6424,11588,30284,0,0,0.00,0,0.00,8,769,4.64,4.95,4.91,0,535.20,102147.20,24966.40,237.51,6.20,11.59,0.41,21.68,0.60,0.80,0.05,0.17,0.00,0.00,0.00,0.00
2017-09-24 14:39:50,93.89,0.00,5.21,0.05,0.00,0.00,0.00,0.00,0.00,0.85,19.20,2952.00,2393.80,0.00,0.00,2.40,66849.60,21284.00,0.00,50469.00,0.00,0.00,0.00,0.00,496.80,0.60,496.20,4.80,126427.20,10978388,0,4422520,28.72,16412,2188312,4726520,30.69,3127172,1099040,639232,2021512,75840,6144,11876,30284,0,0,0.00,0,0.00,6,758,4.99,5.02,4.93,2,497.00,4.80,126478.40,254.49,46.51,88.15,0.69,34.40,3.80,3.60,0.31,0.36,0.00,0.00,0.00,0.00
2017-09-24 14:39:55,92.24,0.00,5.01,1.75,0.00,0.00,0.20,0.00,0.00,0.80,11.00,4305.20,3508.40,0.00,0.00,65760.00,76004.00,4736.20,0.00,2629.80,0.00,0.00,0.00,0.00,1124.00,500.40,623.60,126860.80,159280.00,10112400,0,5288508,34.34,16440,2580304,4787944,31.09,3666968,1422548,327832,2493320,78120,6424,13036,30284,0,0,0.00,0,0.00,6,788,5.31,5.08,4.95,3,1124.00,126912.00,159228.80,254.57,146.52,132.09,0.89,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
