timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 22:34:40,36.53,0.00,2.93,0.20,0.05,0.00,0.20,0.00,0.00,60.08,20.00,3714.20,3708.60,0.00,0.00,0.00,4974.40,11003.20,0.00,12486.80,0.00,0.00,0.00,0.00,51.80,0.00,51.80,0.00,9948.80,12574528,0,2826380,18.35,26352,1099256,3945592,25.62,1917564,737628,107152,1529592,59160,4904,7912,30220,0,0,0.00,0,0.00,0,600,2.22,2.11,1.16,0,51.80,0.00,9948.80,192.06,1.83,35.27,0.39,2.00,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-19 22:34:45,35.70,0.00,2.08,1.62,0.05,0.00,0.10,0.00,0.00,60.46,17.00,2841.20,2973.00,0.00,0.00,0.00,6608.80,11031.60,0.00,6493.20,0.00,0.00,0.00,0.00,22.60,0.00,22.60,0.00,5640.00,12242252,0,3158656,20.51,26364,1228108,4529212,29.41,2126444,854932,203712,1726952,63216,5288,8776,30220,0,0,0.00,0,0.00,3,652,2.13,2.09,1.16,1,22.60,0.00,5640.00,249.56,12.92,182.41,4.25,9.60,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-19 22:34:50,60.07,0.00,2.28,9.16,0.00,0.00,0.00,0.00,0.00,28.49,23.20,3045.20,3056.40,0.00,0.00,0.00,14890.40,14701.40,0.00,5584.40,0.00,0.00,0.00,0.00,146.40,0.00,146.40,0.00,37358.40,11598144,0,3802764,24.69,26372,1228560,16129444,104.73,2770440,852212,129708,2367988,64476,5920,10844,30220,0,0,0.00,0,0.00,3,729,2.44,2.16,1.19,0,146.40,0.00,37358.40,255.18,88.69,665.84,4.87,71.36,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-19 22:34:55,55.10,0.00,10.92,0.00,0.05,0.00,0.00,0.00,0.00,33.93,3.00,2701.40,2476.00,0.00,0.00,0.00,1022.40,2152.40,0.00,204732.60,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,2044.80,5702208,0,9698700,62.97,26380,1239064,16254008,105.54,8640548,853288,135332,8240676,64996,5992,22416,30220,0,0,0.00,0,0.00,4,734,2.40,2.15,1.19,0,8.60,0.00,2044.80,237.77,1.43,166.60,5.86,5.04,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:35:00,51.08,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,48.72,0.40,2196.80,1745.20,0.00,0.00,0.00,4.80,249.20,0.00,191.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,5700092,0,9700816,62.99,26388,1239080,16254008,105.54,8653676,853296,135356,8241576,64976,5968,22476,30220,0,0,0.00,0,0.00,1,734,2.37,2.15,1.20,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:35:05,32.02,0.00,4.85,0.00,0.00,0.00,0.00,0.00,0.00,63.13,0.60,2188.00,1770.60,0.00,0.00,0.00,19.20,863.20,0.00,195844.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,38.40,4288080,0,11112828,72.16,26396,1239108,16294444,105.80,10063792,853236,135396,9651696,65056,5960,25240,30220,0,0,0.00,0,0.00,1,732,2.50,2.18,1.21,0,0.40,0.00,38.40,96.00,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:35:10,60.76,0.00,3.78,0.15,0.05,0.00,0.00,0.00,0.00,35.26,0.00,2223.20,1956.60,0.00,0.00,0.00,17.60,665.00,0.00,127758.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,35.20,2863956,0,12536952,81.40,26404,1239136,16333472,106.06,11483432,853128,135440,11073152,65084,5968,28012,30220,0,0,0.00,0,0.00,2,732,2.46,2.18,1.22,0,0.40,0.00,35.20,88.00,0.00,12.00,12.00,0.48,1.60,1.60,0.16,0.12,0.00,0.00,0.00,0.00
2017-09-19 22:35:15,61.09,0.00,0.25,7.61,0.00,0.00,0.00,0.00,0.00,31.05,0.00,2204.80,1901.00,0.00,0.00,0.00,10416.00,392.80,0.00,212.00,0.00,0.00,0.00,0.00,67.60,0.00,67.60,0.00,15558.40,2858548,0,12542360,81.44,26404,1239176,16333472,106.06,11489752,852940,83320,11077208,65060,5968,28016,30220,0,0,0.00,0,0.00,2,732,2.50,2.19,1.23,1,67.60,0.00,15558.40,230.15,55.79,376.67,5.74,38.80,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:35:20,53.76,0.00,0.20,13.07,0.00,0.00,0.00,0.00,0.00,32.96,0.00,2231.20,1985.00,0.00,0.00,0.00,15536.00,40.60,0.00,32.00,0.00,0.00,0.00,0.00,155.20,0.00,155.20,0.00,36345.60,2857968,0,12542940,81.44,26412,1239196,16333472,106.06,11490248,852956,5992,11077660,64980,5968,28016,30220,0,0,0.00,0,0.00,2,732,2.46,2.19,1.23,0,155.20,0.00,36345.60,234.19,87.03,756.20,4.33,67.20,1.60,1.60,0.16,0.13,0.00,0.00,0.00,0.00
2017-09-19 22:35:25,52.40,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,47.45,0.00,2191.40,1704.00,0.00,0.00,0.00,1160.80,16.00,0.00,438.40,0.00,0.00,0.00,0.00,10.20,0.00,10.20,0.00,2321.60,2856860,0,12544048,81.45,26420,1239224,16333472,106.06,11490280,852964,328,11077640,64940,5960,28016,30220,0,0,0.00,0,0.00,2,731,2.43,2.19,1.23,0,10.20,0.00,2321.60,227.61,0.43,42.59,1.80,1.84,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
