timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 22:11:41,36.91,0.00,4.35,0.20,0.05,0.00,0.35,0.00,0.00,58.13,29.80,4851.00,4676.80,0.00,0.00,357.60,73.60,14043.40,6.80,19107.20,0.00,0.00,0.00,0.00,14.80,11.20,3.60,715.20,147.20,9410456,0,5990452,38.90,20112,4190412,4242588,27.55,2684036,3038360,260504,1511944,155392,5376,8300,30220,0,0,0.00,0,0.00,1,665,2.20,2.66,3.06,0,14.80,715.20,147.20,58.27,0.06,3.78,3.46,5.12,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-22 22:11:46,41.38,0.00,1.57,0.00,0.00,0.00,0.00,0.00,0.00,57.05,11.00,2003.20,2125.80,0.00,0.00,16.80,37.60,10950.20,0.20,5106.80,0.00,0.00,0.00,0.00,1.20,0.40,0.80,33.60,75.20,9121324,0,6279584,40.77,20124,4190612,10147384,65.89,2981500,3026936,260672,1797764,155596,5760,9304,30220,0,0,0.00,0,0.00,4,709,2.10,2.64,3.05,0,1.20,33.60,75.20,90.67,0.00,0.00,0.00,0.00,2.20,2.20,0.30,0.26,0.00,0.00,0.00,0.00
2017-09-22 22:11:51,48.83,0.00,2.44,1.78,0.05,0.00,0.00,0.00,0.00,46.90,20.40,3199.40,3051.20,0.00,0.00,2.40,1013.60,11311.20,0.20,6231.80,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,507.20,8520872,0,6880036,44.67,20132,4200800,16017240,104.00,3576920,3026584,265924,2384920,156864,6296,11176,30220,0,0,0.00,0,0.00,0,775,2.01,2.61,3.04,2,2.20,0.00,507.20,230.55,0.96,84.00,21.82,4.80,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-22 22:11:56,76.73,0.00,3.78,1.36,0.00,0.00,0.05,0.00,0.00,18.09,2.40,2944.40,2651.80,0.00,0.00,0.00,35.20,7762.00,0.00,8295.40,0.00,0.00,0.00,0.00,7.00,0.20,6.80,4.80,1590.40,6646020,0,8754888,56.85,20140,4201488,16146232,104.84,5437924,3018696,266684,4255512,156604,6344,14704,30220,0,0,0.00,0,0.00,6,778,1.93,2.58,3.03,0,7.00,4.80,1590.40,227.89,0.88,235.77,4.23,2.96,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
2017-09-22 22:12:01,97.70,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,2668.60,2141.80,0.00,0.00,0.00,48.80,1359.20,0.00,5958.60,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,97.60,5779416,0,9621492,62.47,20148,4210524,16146232,104.84,6304208,3026240,275796,5112120,156660,6336,16588,30220,0,0,0.00,0,0.00,5,778,2.26,2.64,3.04,0,2.40,0.00,97.60,40.67,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:12:06,73.36,0.00,1.01,0.20,0.05,0.00,0.00,0.00,0.00,25.38,0.80,2430.20,2153.20,0.00,0.00,0.00,142.40,2038.40,0.00,3346.80,0.00,0.00,0.00,0.00,14.20,0.00,14.20,0.00,284.80,5655332,0,9745576,63.28,20156,4222248,16232672,105.40,6434296,3031208,287128,5223156,156716,6360,16784,30220,0,0,0.00,0,0.00,3,781,2.48,2.68,3.05,0,14.20,0.00,284.80,20.06,0.06,4.00,0.68,0.96,1.40,1.40,0.12,0.10,0.00,0.00,0.00,0.00
2017-09-22 22:12:11,73.36,0.00,1.57,0.00,0.00,0.00,0.05,0.00,0.00,25.03,0.00,3038.60,2589.80,0.00,0.00,0.00,135.20,3697.20,0.00,13919.20,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,270.40,5440164,0,9960744,64.68,20164,4242792,16232672,105.40,6634576,3045288,307648,5416324,157060,6352,17212,30220,0,0,0.00,0,0.00,7,780,2.76,2.73,3.07,0,3.60,0.00,270.40,75.11,0.00,0.22,0.22,0.08,1.60,1.60,0.16,0.13,0.00,0.00,0.00,0.00
2017-09-22 22:12:16,79.56,0.00,2.02,7.17,0.00,0.00,0.00,0.00,0.00,11.26,2.80,3073.80,2695.20,0.00,0.00,0.00,16038.40,2202.40,0.00,15710.20,0.00,0.00,0.00,0.00,102.60,0.00,102.60,0.00,26083.20,4808304,0,10592604,68.78,20164,4270248,16248580,105.50,7228180,3063732,255020,6017944,158236,6464,18404,30220,0,0,0.00,0,0.00,2,794,2.78,2.74,3.07,1,102.80,0.00,26134.40,254.23,112.14,707.15,7.59,78.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:12:21,57.19,0.00,1.01,27.20,0.05,0.00,0.00,0.00,0.00,14.54,0.40,3579.20,2845.00,0.00,0.00,0.80,8818.40,1623.40,0.00,4267.20,0.00,0.00,0.00,0.00,74.80,0.00,74.80,0.00,18321.60,4622056,0,10778852,69.99,20176,4297648,16248580,105.50,7389380,3084196,238936,6174208,158836,6480,18664,30220,0,0,0.00,0,0.00,7,796,2.96,2.77,3.08,1,74.60,0.00,18270.40,244.91,118.04,1676.26,13.40,100.00,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-22 22:12:26,47.58,0.00,0.91,44.65,0.00,0.00,0.00,0.00,0.00,6.86,0.00,2769.60,2232.80,0.00,0.00,0.00,9799.20,1434.20,0.00,2572.80,0.00,0.00,0.00,0.00,68.40,0.20,68.20,1.60,17185.60,4500152,0,10900756,70.78,20196,4324004,16248580,105.50,7505592,3104900,216800,6270444,159472,6472,18956,30220,0,0,0.00,0,0.00,5,795,3.20,2.83,3.09,2,68.40,1.60,17185.60,251.27,118.75,1654.60,14.63,100.08,1.40,1.40,0.15,0.11,0.00,0.00,0.00,0.00
