timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 22:24:46,42.44,0.00,3.45,0.76,0.05,0.00,0.20,0.00,0.00,53.09,20.00,3625.00,3402.80,0.00,0.00,0.00,140.80,11777.80,0.00,14671.60,0.00,0.00,0.00,0.00,13.40,0.00,13.40,0.00,281.60,13280776,0,2120132,13.77,24272,575316,3951808,25.66,1635244,330248,131464,1366124,42296,4720,7516,30220,0,0,0.00,0,0.00,0,574,1.74,1.32,0.59,0,13.40,0.00,281.60,21.01,0.06,4.78,2.51,3.36,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-19 22:24:51,39.18,0.00,2.64,0.10,0.05,0.00,0.10,0.00,0.00,57.93,14.80,2934.40,3320.40,0.00,0.00,0.00,2691.20,9567.20,0.00,4911.60,0.00,0.00,0.00,0.00,31.60,0.00,31.60,0.00,5382.40,12955572,0,2445336,15.88,24284,704456,4464528,28.99,1836844,449924,247188,1558116,46152,5008,8400,30220,0,0,0.00,0,0.00,1,619,1.68,1.32,0.59,0,31.60,0.00,5382.40,170.33,0.77,24.33,0.28,0.88,2.00,2.00,0.21,0.16,0.00,0.00,0.00,0.00
2017-09-19 22:24:56,45.28,0.00,2.28,4.57,0.00,0.00,0.00,0.00,0.00,47.87,19.60,2608.80,2710.80,0.00,0.00,0.00,49414.40,11564.60,0.00,3396.20,0.00,0.00,0.00,0.00,386.60,0.00,386.60,0.00,98828.80,12527452,0,2873456,18.66,24300,704672,16132524,104.75,2260108,446724,512,1982080,47428,5648,10060,30220,0,0,0.00,0,0.00,6,692,1.55,1.29,0.59,0,386.60,0.00,98828.80,255.64,30.67,79.33,0.60,23.04,1.80,1.80,0.18,0.14,0.00,0.00,0.00,0.00
2017-09-19 22:25:01,55.77,0.00,5.52,0.00,0.05,0.00,0.00,0.00,0.00,38.66,11.40,3295.60,3214.60,0.00,0.00,1.60,990.40,5347.60,0.00,19647.20,0.00,0.00,0.00,0.00,8.40,0.40,8.00,3.20,1980.80,9520900,0,5880008,38.18,24300,715412,16300032,105.84,5250604,445480,6368,4968672,48144,5912,16048,30220,0,0,0.00,0,0.00,2,725,1.50,1.29,0.59,0,8.40,3.20,1980.80,236.19,0.06,7.71,0.38,0.32,1.80,1.80,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-19 22:25:06,55.63,0.00,3.94,0.35,0.05,0.00,0.00,0.00,0.00,40.02,0.00,2205.00,1863.00,0.00,0.00,0.00,32.80,594.00,0.00,120073.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,65.60,8193396,0,7207512,46.80,24308,715436,16300032,105.84,6561464,445496,6476,6293840,48152,5880,18452,30220,0,0,0.00,0,0.00,2,721,1.54,1.30,0.60,0,0.60,0.00,65.60,109.33,0.03,46.67,24.00,1.44,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-19 22:25:11,54.50,0.00,2.53,0.00,0.00,0.00,0.00,0.00,0.00,42.97,0.00,2214.80,1963.40,0.00,0.00,0.00,4.00,279.60,0.00,60461.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,7080908,0,8320000,54.02,24316,715460,16300032,105.84,7661884,445504,6500,7402432,48100,5864,20796,30220,0,0,0.00,0,0.00,4,719,1.58,1.31,0.61,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.20,1.20,0.11,0.09,0.00,0.00,0.00,0.00
2017-09-19 22:25:16,54.25,0.00,2.18,0.00,0.00,0.00,0.00,0.00,0.00,43.57,0.00,2203.80,1846.80,0.00,0.00,0.00,3.20,260.20,0.00,66938.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,6108328,0,9292580,60.34,24324,715488,16300032,105.84,8640812,445528,6532,8375196,48104,5832,22712,30220,0,0,0.00,0,0.00,2,715,1.61,1.32,0.62,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,1.60,1.60,0.16,0.13,0.00,0.00,0.00,0.00
2017-09-19 22:25:21,54.08,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,43.59,0.20,2144.40,1762.00,0.00,0.00,0.00,35.20,267.80,0.00,59735.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,70.40,5108836,0,10292072,66.83,24332,715512,16300032,105.84,9624332,445548,6472,9369132,48116,5824,24568,30220,0,0,0.00,0,0.00,7,715,1.64,1.33,0.62,0,3.00,0.00,70.40,23.47,0.00,0.00,0.00,0.00,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:25:26,56.81,0.00,4.24,0.00,0.05,0.00,0.00,0.00,0.00,38.90,1.00,2576.40,2344.20,0.00,0.00,0.00,132.80,2613.20,0.00,108444.80,0.00,0.00,0.00,0.00,10.80,0.00,10.80,0.00,265.60,3829244,0,11571664,75.14,24340,715552,16300032,105.84,10943832,442272,6000,10650336,48120,5864,27152,30220,0,0,0.00,0,0.00,3,719,1.83,1.38,0.64,0,10.80,0.00,265.60,24.59,0.05,4.59,0.89,0.96,1.00,1.00,0.11,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:25:31,60.56,0.00,3.08,0.00,0.05,0.00,0.00,0.00,0.00,36.31,0.40,2566.40,2386.40,0.00,0.00,0.80,1212.80,2185.20,0.00,78358.00,0.00,0.00,0.00,0.00,13.80,0.20,13.60,1.60,2425.60,2736404,0,12664504,82.23,24352,715608,16410224,106.55,12029408,442284,440,11742060,48132,5872,29288,30220,0,0,0.00,0,0.00,3,720,1.93,1.41,0.65,0,13.80,1.60,2425.60,175.88,0.40,29.33,3.36,4.64,1.60,1.60,0.17,0.13,0.00,0.00,0.00,0.00
