timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 03:27:09,18.81,0.00,1.23,0.03,0.03,0.00,0.00,0.00,0.00,79.91,56.00,2335.20,2453.40,0.00,0.00,0.00,81.60,35197.40,0.00,33703.20,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,163.20,25100252,0,7847952,23.82,198956,5605172,4603128,13.97,2953208,4406408,464,1569744,244820,5504,8916,58044,0,0,0.00,0,0.00,1,643,6.44,11.01,10.08,0,2.60,0.00,163.20,62.77,0.00,0.00,0.00,0.00,6.00,6.00,0.57,0.84,0.00,0.00,0.00,0.00
2017-09-24 03:27:14,19.43,0.00,0.68,0.90,0.00,0.00,0.00,0.00,0.00,78.99,1.60,2102.40,2164.60,0.00,0.00,0.00,2331.20,4261.60,0.00,42905.00,0.00,0.00,0.00,0.00,214.00,0.00,214.00,0.00,4649.60,25756984,0,7191220,21.83,199856,4870596,4619528,14.02,3019836,3711288,1740,1660448,230148,5320,9444,58044,0,0,0.00,0,0.00,1,651,6.01,10.85,10.04,1,214.20,0.00,4662.40,21.77,0.16,0.75,0.67,14.40,0.60,0.60,0.04,0.16,0.00,0.00,0.00,0.00
2017-09-24 03:27:19,13.40,0.00,0.56,0.38,0.05,0.00,0.00,0.00,0.00,85.62,24.20,3235.80,3455.00,0.00,0.00,0.00,668.80,7331.80,0.00,6134.60,0.00,0.00,0.00,0.00,59.60,0.00,59.60,0.00,1350.40,25619340,0,7328864,22.24,200056,4901048,5276540,16.01,3132064,3738948,36080,1769568,230552,5288,9656,58044,0,0,0.00,0,0.00,1,673,5.53,10.67,9.98,0,59.40,0.00,1337.60,22.52,0.05,0.92,0.77,4.56,6.00,6.00,0.49,0.86,0.00,0.00,0.00,0.00
2017-09-24 03:27:24,17.66,0.00,0.45,0.03,0.00,0.00,0.00,0.00,0.00,81.87,14.60,1842.60,1925.60,0.00,0.00,0.00,62.40,6023.00,0.00,6019.20,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,124.80,25398108,0,7550096,22.92,200064,4896052,5495980,16.68,3356008,3734140,36388,1993760,230272,5968,10664,58044,0,0,0.00,0,0.00,1,731,5.08,10.49,9.93,0,1.80,0.00,124.80,69.33,0.01,3.56,2.22,0.40,3.20,3.20,0.35,0.39,0.00,0.00,0.00,0.00
2017-09-24 03:27:29,86.56,0.00,2.88,0.00,0.00,0.00,0.03,0.00,0.00,10.53,59.40,5933.60,3783.40,0.00,0.00,0.00,304.80,46426.80,0.00,20999.40,0.00,0.00,0.00,0.00,28.20,0.00,28.20,0.00,609.60,24309596,0,8638608,26.22,200072,4892556,7973208,24.20,4436244,3730116,37124,3074084,234240,7776,16056,58044,0,0,0.00,0,0.00,23,961,6.20,10.63,9.98,0,28.20,0.00,609.60,21.62,0.16,5.50,0.11,0.32,5.60,5.40,0.58,0.44,0.00,0.00,0.00,0.00
2017-09-24 03:27:34,96.97,0.00,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.55,23.20,10633.40,3374.20,0.00,0.00,3469.60,40.80,7994.60,0.00,3906.20,0.00,0.00,0.00,0.00,28.60,27.80,0.80,6939.20,81.60,23284792,0,9663412,29.33,200080,4907204,8105680,24.60,5433572,3742648,39328,4081800,235384,8272,18308,58044,0,0,0.00,0,0.00,24,1020,7.06,10.74,10.01,0,28.60,6939.20,81.60,245.48,0.12,4.06,0.36,1.04,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-24 03:27:39,98.67,0.00,1.23,0.00,0.00,0.00,0.05,0.00,0.00,0.05,0.00,41613.80,3602.80,0.00,0.00,3686.40,48.80,947.60,0.00,2737.40,0.00,0.00,0.00,0.00,31.60,29.80,1.80,7372.80,97.60,23116100,0,9832104,29.84,200084,4920144,8377684,25.43,5597688,3756688,39164,4236368,235504,8264,18676,58044,0,0,0.00,0,0.00,56,1019,11.70,11.64,10.31,0,31.60,7372.80,97.60,236.41,0.11,3.39,0.35,1.12,0.40,0.40,0.03,0.13,0.00,0.00,0.00,0.00
2017-09-24 03:27:44,98.92,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49585.20,3017.80,0.00,0.00,2048.00,7827.20,147.80,0.00,676.60,0.00,0.00,0.00,0.00,109.80,16.40,93.40,4096.00,15654.40,23088608,0,9859596,29.92,200088,4925428,8223492,24.96,5620944,3762108,244,4257860,235604,8200,18724,58044,0,0,0.00,0,0.00,65,1011,14.45,12.21,10.50,0,109.80,4096.00,15654.40,179.88,2.81,25.61,0.26,2.80,0.20,0.20,0.01,0.06,0.00,0.00,0.00,0.00
2017-09-24 03:27:49,98.65,0.00,1.18,0.00,0.00,0.00,0.08,0.00,0.00,0.10,0.40,36037.40,3444.20,0.00,0.00,4915.20,71.20,239.60,0.00,512.20,0.00,0.00,0.00,0.00,40.60,39.80,0.80,9830.40,142.40,23053180,0,9895024,30.03,200096,4944712,8223492,24.96,5639920,3781500,700,4276692,234992,8208,18792,58044,0,0,0.00,0,0.00,10,1012,14.33,12.22,10.51,0,40.60,9830.40,142.40,245.64,0.15,3.76,0.37,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-24 03:27:54,97.72,0.00,2.02,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.20,17464.20,4092.20,0.00,0.00,24576.00,16.00,451.00,0.00,772.00,0.00,0.00,0.00,0.00,198.40,197.80,0.60,49152.00,32.00,22927812,0,10020392,30.41,200100,5062508,8223492,24.96,5647328,3899564,788,4284384,235072,8216,18800,58044,0,0,0.00,0,0.00,13,1013,13.83,12.15,10.50,0,198.40,49152.00,32.00,247.90,0.75,3.77,0.37,7.28,1.00,1.20,0.06,0.36,0.00,0.00,0.00,0.00
2017-09-24 03:27:59,98.10,0.00,1.62,0.00,0.00,0.00,0.18,0.00,0.00,0.10,0.00,12425.20,3420.60,0.00,0.00,9420.00,12.00,216.20,0.00,539.40,0.00,0.00,0.00,0.00,76.80,76.40,0.40,18840.00,24.00,22885008,0,10063196,30.54,200108,5105632,8223492,24.96,5646356,3943232,1292,4283812,234940,8208,18800,58044,0,0,0.00,0,0.00,10,1012,13.52,12.12,10.50,0,76.80,18840.00,24.00,245.62,0.30,3.89,0.40,3.04,1.40,1.20,0.11,0.26,0.00,0.00,0.00,0.00
2017-09-24 03:28:04,89.38,0.00,3.82,0.00,0.03,0.00,0.00,0.00,0.00,6.78,72.80,5556.20,4049.20,0.00,0.00,0.00,139.20,41116.00,0.00,128907.40,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,278.40,24031592,0,8916612,27.06,200132,5297368,7954752,24.14,4508204,3936780,200548,2949444,233740,7624,15464,58044,0,0,0.00,0,0.00,13,946,13.72,12.18,10.53,0,2.00,0.00,278.40,139.20,0.01,2.80,0.40,0.08,5.80,5.80,0.60,0.60,0.00,0.00,0.00,0.00
2017-09-24 03:28:09,96.47,0.00,3.13,0.00,0.00,0.00,0.03,0.00,0.00,0.38,27.00,7901.80,3624.00,0.00,0.00,0.00,39.20,13550.60,0.00,6232.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,78.40,22941556,0,10006648,30.37,200144,5295164,8103148,24.59,5595568,3933796,202604,4038436,234540,8312,18268,58044,0,0,0.00,0,0.00,19,1025,14.22,12.31,10.58,0,0.80,0.00,78.40,98.00,0.00,3.00,1.00,0.08,0.40,0.40,0.02,0.09,0.00,0.00,0.00,0.00
