timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 15:59:19,18.54,0.00,1.24,0.03,0.05,0.00,0.03,0.00,0.00,80.12,22.40,4314.20,4429.20,0.00,0.00,0.00,61.60,14365.20,0.00,17117.60,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,123.20,30404424,0,2543780,7.72,41744,626344,5239900,15.90,1910928,344212,131748,1587192,65640,5152,8480,58044,0,0,0.00,0,0.00,1,633,1.00,1.75,2.29,0,3.60,0.00,123.20,34.22,0.00,0.67,0.67,0.24,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-23 15:59:24,17.10,0.00,1.06,0.00,0.03,0.00,0.03,0.00,0.00,81.79,17.60,3299.40,3726.80,0.00,0.00,0.00,14.40,11633.00,0.00,7142.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,28.80,30009472,0,2938732,8.92,41744,755204,5945708,18.05,2185240,462420,260612,1851136,65712,5600,9588,58044,0,0,0.00,0,0.00,1,691,1.00,1.73,2.29,0,0.80,0.00,28.80,36.00,0.00,0.00,0.00,0.00,2.40,2.40,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-23 15:59:29,38.04,0.00,1.59,0.35,0.05,0.00,0.00,0.00,0.00,59.96,47.80,4119.40,4493.40,0.00,0.00,0.00,16251.20,26381.20,0.00,9131.00,0.00,0.00,0.00,0.00,143.00,0.00,143.00,0.00,32502.40,28953220,0,3994984,12.13,41756,755532,34102596,103.50,3236112,458904,180036,2897856,68068,6800,13552,58044,0,0,0.00,0,0.00,1,858,1.08,1.74,2.28,0,143.00,0.00,32502.40,227.29,5.22,36.52,0.30,4.32,2.60,2.60,0.35,0.26,0.00,0.00,0.00,0.00
2017-09-23 15:59:34,39.84,0.00,1.84,0.86,0.03,0.00,0.00,0.00,0.00,57.43,13.40,4291.00,4605.00,0.00,0.00,0.00,37988.00,8124.60,0.00,26644.00,0.00,0.00,0.00,0.00,307.80,0.00,307.80,0.00,75976.00,26918036,0,6030168,18.30,41768,776780,34363636,104.30,5196364,464872,11944,4906236,68984,7304,17092,58044,0,0,0.00,0,0.00,6,899,1.16,1.74,2.28,0,307.80,0.00,75976.00,246.84,12.57,40.83,0.32,9.84,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-23 15:59:39,51.38,0.00,3.37,0.00,0.00,0.00,0.00,0.00,0.00,45.24,0.00,3193.60,2866.80,0.00,0.00,0.00,61.60,901.40,0.00,164109.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,123.20,22296220,0,10651984,32.33,41776,776808,34363636,104.30,9819720,464892,12132,9519328,68960,7280,25564,58044,0,0,0.00,0,0.00,4,895,1.38,1.78,2.29,0,0.80,0.00,123.20,154.00,0.00,4.00,2.00,0.16,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 15:59:44,51.93,0.00,3.29,0.03,0.03,0.00,0.00,0.00,0.00,44.73,0.00,2942.80,2628.40,0.00,0.00,0.00,4.00,865.40,0.00,277356.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,19463204,0,13485000,40.93,41784,776836,34363636,104.30,12607668,464900,12160,12346168,69032,7216,32076,58044,0,0,0.00,0,0.00,4,888,1.59,1.82,2.30,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 15:59:49,52.15,0.00,2.39,0.00,0.00,0.00,0.00,0.00,0.00,45.46,0.00,3075.40,2886.20,0.00,0.00,0.00,4.00,726.40,0.00,273778.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,17868276,0,15079928,45.77,41792,776860,34363636,104.30,14211540,464920,12200,13937728,68960,7200,35292,58044,0,0,0.00,0,0.00,4,886,1.79,1.85,2.31,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.13,0.00,0.00,0.00,0.00
2017-09-23 15:59:54,52.15,0.00,2.06,0.00,0.00,0.00,0.03,0.00,0.00,45.77,0.00,2914.60,2686.20,0.00,0.00,0.00,4.00,562.20,0.00,209544.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,16569076,0,16379128,49.71,41800,776888,34363636,104.30,15514256,464936,12232,15234268,69056,7192,37608,58044,0,0,0.00,0,0.00,4,885,2.52,2.01,2.36,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 15:59:59,29.43,0.00,1.23,0.05,0.03,0.00,0.00,0.00,0.00,69.26,1.40,3252.20,2742.80,0.00,0.00,0.00,320.80,5377.00,0.00,107934.00,0.00,0.00,0.00,0.00,9.40,0.00,9.40,0.00,641.60,16205636,0,16742568,50.81,41872,776908,34363636,104.30,15938600,464948,12228,15597088,69028,7232,38616,58044,0,0,0.00,0,0.00,1,890,2.40,1.99,2.35,0,9.40,0.00,641.60,68.26,0.02,1.79,0.94,0.88,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 16:00:04,46.72,0.00,2.07,0.00,0.03,0.00,0.00,0.00,0.00,51.18,4.80,4953.20,4554.60,0.00,0.00,0.00,272.80,6505.80,0.00,122532.80,0.00,0.00,0.00,0.00,17.80,0.00,17.80,0.00,545.60,15342888,0,17605316,53.43,41876,777048,34520412,104.77,16816316,461692,11976,16459228,69260,7416,40324,58044,0,0,0.00,0,0.00,4,913,3.17,2.16,2.40,0,17.80,0.00,545.60,30.65,0.06,3.33,0.09,0.16,2.60,2.60,0.31,0.22,0.00,0.00,0.00,0.00
