timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 03:55:08,17.67,0.00,1.00,0.03,0.00,0.00,0.00,0.00,0.00,81.30,29.00,1964.00,2066.80,0.00,0.00,0.00,100.00,19435.40,0.00,26445.20,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,200.00,28732232,0,4215972,12.80,202624,2128024,4512712,13.70,2891100,925176,396,1492052,156936,5144,8168,58044,0,0,0.00,0,0.00,0,631,6.94,8.32,7.98,0,3.20,0.00,200.00,62.50,0.00,0.50,0.50,0.16,3.40,3.40,0.27,0.63,0.00,0.00,0.00,0.00
2017-09-24 03:55:13,16.42,0.00,0.98,0.00,0.03,0.00,0.00,0.00,0.00,82.58,33.40,2034.40,2128.00,0.00,0.00,0.00,54.40,20480.40,0.00,24034.80,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,108.80,28685772,0,4262432,12.94,202624,2101408,4752860,14.43,2981744,899848,452,1577412,156144,5424,9288,58044,0,0,0.00,0,0.00,1,666,6.47,8.20,7.94,0,2.20,0.00,108.80,49.45,0.00,0.36,0.36,0.08,10.60,11.00,0.84,2.91,0.00,0.00,0.00,0.00
2017-09-24 03:55:18,11.04,0.00,3.62,1.17,0.08,0.00,0.15,0.00,0.00,83.93,13.20,7831.80,8062.80,0.00,0.00,0.00,39323.20,5426.60,0.00,21860.00,0.00,0.00,0.00,0.00,320.00,0.00,320.00,0.00,78646.40,27878448,0,5069756,15.39,202628,2691976,5536068,16.80,3499552,1182000,394640,1787036,161168,5816,10212,58044,0,0,0.00,0,0.00,2,696,6.03,8.08,7.90,0,320.00,0.00,78646.40,245.77,15.26,47.69,0.39,12.48,3.20,3.00,0.24,0.70,0.00,0.00,0.00,0.00
2017-09-24 03:55:23,24.82,0.00,1.13,0.03,0.03,0.00,0.00,0.00,0.00,74.00,23.80,2139.80,2557.20,0.00,0.00,0.00,61.60,18308.40,0.00,9988.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,123.20,27220340,0,5727864,17.38,202628,2692220,7524232,22.84,4155916,1176556,395152,2439656,162004,6392,12016,58044,0,0,0.00,0,0.00,5,788,5.71,7.98,7.87,0,1.00,0.00,123.20,123.20,0.00,3.20,0.80,0.08,6.20,6.20,0.56,1.17,0.00,0.00,0.00,0.00
2017-09-24 03:55:28,25.33,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,73.59,28.40,2425.80,2760.60,0.00,0.00,0.00,40.80,16986.40,0.00,9867.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,81.60,26437692,0,6510512,19.76,202628,2692448,9806440,29.76,4926504,1175860,395472,3217796,163856,7008,14900,58044,0,0,0.00,0,0.00,3,867,5.49,7.90,7.84,0,0.60,0.00,81.60,136.00,0.00,0.00,0.00,0.00,4.80,4.80,0.50,0.65,0.00,0.00,0.00,0.00
2017-09-24 03:55:33,32.46,0.00,4.60,5.25,0.05,0.00,0.03,0.00,0.00,57.62,11.40,17390.00,7025.60,0.00,0.00,0.00,70636.00,20052.60,0.00,31019.00,0.00,0.00,0.00,0.00,553.00,0.00,553.00,0.00,141272.00,24949644,0,7998560,24.28,202632,3397944,10275836,31.19,6054724,1527956,748140,3982484,177272,7216,16472,58044,0,0,0.00,0,0.00,4,894,5.37,7.83,7.82,0,553.00,0.00,141272.00,255.46,52.00,94.04,0.68,37.68,10.60,10.60,0.79,2.46,0.00,0.00,0.00,0.00
2017-09-24 03:55:38,92.87,0.00,3.94,0.00,0.00,0.00,0.10,0.00,0.00,3.09,3.80,4571.00,4073.60,0.00,0.00,0.00,84.80,4275.00,0.00,118349.00,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,169.60,20848956,0,12099248,36.72,202632,3398224,14370728,43.62,10076608,1527364,748264,8076856,178376,7416,23960,58044,0,0,0.00,0,0.00,16,913,5.98,7.92,7.85,0,1.80,0.00,169.60,94.22,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 03:55:43,96.30,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,23328.00,2674.20,0.00,0.00,0.00,30.40,995.20,0.00,51582.20,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,60.80,19364120,0,13584084,41.23,202632,3398252,17834752,54.13,11605388,1527360,748208,9558608,178448,7408,27596,58044,0,0,0.00,0,0.00,7,912,7.10,8.12,7.92,0,2.20,0.00,60.80,27.64,0.02,8.00,0.73,0.16,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 03:55:48,96.25,0.00,3.18,0.00,0.00,0.00,0.05,0.00,0.00,0.53,0.00,15681.00,3191.00,0.00,0.00,0.00,23.20,2343.80,0.00,160717.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,46.40,16648184,0,16300020,49.47,202636,3398280,19329680,58.67,14326036,1527372,748208,12268972,178568,7376,32760,58044,0,0,0.00,0,0.00,31,908,7.34,8.15,7.93,0,1.20,0.00,46.40,38.67,0.00,0.67,0.67,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 03:55:53,99.20,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39217.40,3203.80,0.00,0.00,0.00,79025.60,222.00,0.00,248.00,0.00,0.00,0.00,0.00,661.20,0.00,661.20,0.00,158051.20,16336956,0,16611248,50.42,202636,3398312,19329680,58.67,14626716,1527380,353072,12579880,178752,7376,33456,58044,0,0,0.00,0,0.00,32,908,9.39,8.56,8.06,0,661.20,0.00,158051.20,239.04,62.22,94.10,0.68,44.64,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
