timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 23:11:19,17.05,0.00,1.62,0.08,0.05,0.00,0.05,0.00,0.00,81.16,33.40,5340.40,5159.60,0.00,0.00,0.80,72.80,15570.00,0.00,19394.20,0.00,0.00,0.00,0.00,3.80,0.20,3.60,1.60,145.60,27839980,0,5108224,15.50,18052,2825604,5812344,17.64,3083872,1674208,260300,1914028,125336,5744,9316,57980,0,0,0.00,0,0.00,2,732,4.63,5.21,4.92,0,3.80,1.60,145.60,38.74,0.04,10.32,8.42,3.20,2.00,2.00,0.23,0.15,0.00,0.00,0.00,0.00
2017-09-19 23:11:24,28.93,0.00,1.23,0.35,0.03,0.00,0.00,0.00,0.00,69.46,24.00,2980.60,3186.80,0.00,0.00,0.00,56.00,16908.40,0.00,7474.00,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,112.00,27174100,0,5774104,17.52,18064,2826276,19912868,60.44,3744324,1663160,261020,2575852,125672,6600,11384,57980,0,0,0.00,0,0.00,4,823,4.34,5.14,4.90,0,2.20,0.00,112.00,50.91,0.06,25.45,12.73,2.80,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-19 23:11:29,22.38,0.00,1.01,0.03,0.03,0.00,0.00,0.00,0.00,76.56,28.40,3944.80,3674.60,0.00,0.00,0.00,32.80,14015.20,0.00,4460.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,65.60,26421040,0,6527164,19.81,18072,2826496,34039856,103.31,4505436,1662760,261288,3323660,126976,7392,14052,57980,0,0,0.00,0,0.00,2,924,4.23,5.10,4.89,0,1.00,0.00,65.60,65.60,0.00,3.20,1.60,0.16,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-19 23:11:34,50.16,0.00,6.21,0.40,0.05,0.00,0.00,0.00,0.00,43.17,10.60,4791.60,4726.60,0.00,0.00,0.00,2032.00,4913.80,0.00,178188.40,0.00,0.00,0.00,0.00,16.60,0.00,16.60,0.00,4064.00,18843364,0,14104840,42.81,18080,2847648,34291360,104.08,12005836,1668636,272624,10864048,127536,7720,28200,57980,0,0,0.00,0,0.00,4,951,3.98,5.03,4.87,0,16.60,0.00,4064.00,244.82,19.01,1144.92,27.57,45.76,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:11:39,58.82,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,35.92,0.00,3682.60,3237.80,0.00,0.00,0.00,6.40,1504.40,0.00,468168.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,12.80,15681324,0,17266880,52.41,18080,2847676,34291360,104.08,15112304,1668636,272620,14019632,127488,7680,34216,57980,0,0,0.00,0,0.00,4,945,4.62,5.15,4.90,0,1.60,0.00,12.80,8.00,0.02,9.50,1.50,0.24,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:11:44,55.78,0.00,2.54,0.03,0.03,0.00,0.00,0.00,0.00,41.62,0.00,4279.20,3322.40,0.00,0.00,0.00,165.60,557.00,0.00,177842.60,0.00,0.00,0.00,0.00,15.80,0.00,15.80,0.00,331.20,13982208,0,18965996,57.56,18088,2847704,34291360,104.08,16843040,1668648,271852,15715552,127540,7640,38124,57980,0,0,0.00,0,0.00,7,941,4.57,5.13,4.90,0,15.80,0.00,331.20,20.96,0.04,2.78,0.15,0.24,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:11:49,56.24,0.00,2.55,0.00,0.03,0.00,0.00,0.00,0.00,41.19,0.00,4215.80,3163.00,0.00,0.00,0.00,60.00,579.20,0.00,191181.60,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,120.00,12252296,0,20695908,62.81,18096,2847728,34291360,104.08,18582064,1668664,271696,17442252,127520,7640,41432,57980,0,0,0.00,0,0.00,4,941,4.76,5.16,4.91,0,2.00,0.00,120.00,60.00,0.03,16.40,16.40,3.28,2.00,2.00,0.20,0.14,0.00,0.00,0.00,0.00
2017-09-19 23:11:54,50.58,0.00,2.55,7.37,0.00,0.00,0.00,0.00,0.00,39.51,0.60,3630.20,3138.20,0.00,0.00,0.00,7137.60,572.80,0.00,172807.00,0.00,0.00,0.00,0.00,32.40,0.00,32.40,0.00,8035.20,10638620,0,22309584,67.71,18104,2847756,34291360,104.08,20229376,1668680,236356,19052720,127620,7648,44944,57980,0,0,0.00,0,0.00,1,944,5.34,5.28,4.95,1,32.40,0.00,8035.20,248.00,122.88,1798.54,26.54,86.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 23:11:59,21.50,0.00,3.75,51.26,0.03,0.00,0.00,0.00,0.00,23.46,0.20,3280.60,2619.40,0.00,0.00,0.00,5109.60,5139.20,0.00,225035.20,0.00,0.00,0.00,0.00,38.80,0.00,38.80,0.00,9067.20,8589656,0,24358548,73.93,18112,2847784,34291360,104.08,22275856,1668620,210964,21095032,127540,7672,49084,57980,0,0,0.00,0,0.00,2,945,5.64,5.34,4.97,1,38.80,0.00,9067.20,233.69,90.05,3755.61,25.77,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:12:04,16.59,0.00,2.37,25.28,0.03,0.00,0.00,0.00,0.00,55.73,0.00,3248.40,2446.20,0.00,0.00,0.00,1180.80,2384.00,0.00,188279.80,0.00,0.00,0.00,0.00,26.60,0.00,26.60,0.00,6809.60,7338768,0,25609436,77.73,18116,2847832,34291360,104.08,23505320,1665588,205404,22345940,127588,7672,51620,57980,0,0,0.00,0,0.00,0,945,6.23,5.47,5.01,4,26.60,0.00,6809.60,256.00,117.69,2281.41,37.59,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:12:09,27.82,0.00,1.94,23.69,0.00,0.00,0.03,0.00,0.00,46.53,0.00,3499.60,2844.80,0.00,0.00,0.00,9539.20,652.60,0.00,144744.80,0.00,0.00,0.00,0.00,60.40,0.00,60.40,0.00,14496.00,6375544,0,26572660,80.65,18136,2847864,34291360,104.08,24436012,1665444,158140,23307176,127488,7664,52400,57980,0,0,0.00,0,0.00,4,944,6.13,5.46,5.01,1,60.40,0.00,14496.00,240.00,109.06,2453.75,16.56,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 23:12:14,27.31,0.00,6.15,29.07,0.00,0.00,0.00,0.00,0.00,37.47,4.00,3846.80,3765.60,0.00,0.00,0.80,1788.80,2513.80,0.00,458639.40,0.00,0.00,0.00,0.00,36.20,0.20,36.00,1.60,9216.00,3149920,0,29798284,90.44,18144,2847924,34404532,104.42,27663352,1665420,149340,26526216,127488,7800,59696,57980,0,0,0.00,0,0.00,0,963,5.80,5.40,5.00,9,36.20,1.60,9216.00,254.63,110.70,2898.74,27.62,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 23:12:19,51.69,0.00,1.79,17.75,0.05,0.00,0.00,0.00,0.00,28.72,0.80,3862.20,3494.60,0.00,0.00,0.00,7548.80,800.60,0.00,103485.40,0.00,0.00,0.00,0.00,41.00,0.00,41.00,0.00,10489.60,2093252,0,30854952,93.65,18148,2847976,34518144,104.76,28679236,1665424,111744,27572792,127536,7816,61356,57980,0,0,0.00,0,0.00,32,962,5.81,5.41,5.00,2,41.00,0.00,10489.60,255.84,128.59,2662.99,24.39,100.00,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-19 23:12:24,23.18,0.00,6.86,38.91,0.03,0.00,0.00,0.00,0.00,31.02,0.20,4445.40,58613.80,0.00,0.00,0.00,1580.00,38945.60,0.00,220258.80,8017.20,12704.00,20721.20,100.00,42.20,0.00,42.20,0.00,9568.00,229812,0,32718392,99.30,17600,2434132,34648372,105.16,31014248,1296944,104196,29859556,124324,7792,66284,57980,0,0,0.00,0,0.00,0,960,5.83,5.42,5.01,7,42.20,0.00,9568.00,226.73,93.81,3419.89,23.70,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:12:29,63.90,0.00,0.38,2.80,0.03,0.00,0.03,0.00,0.00,32.87,0.20,4992.40,3825.00,0.00,0.00,0.00,8675.20,681.00,0.00,392.00,0.00,204.80,204.80,100.00,38.60,0.00,38.60,0.00,9841.60,213776,0,32734428,99.35,17604,2430088,34664924,105.21,31033164,1294896,61136,29880500,124324,7784,66324,57980,0,0,0.00,0,0.00,26,959,5.84,5.43,5.01,2,38.60,0.00,9841.60,254.96,143.03,2133.20,25.91,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:12:34,38.30,0.00,1.86,29.47,0.00,0.00,0.00,0.00,0.00,30.37,1.80,5871.40,17545.80,0.00,0.00,29.60,2940.80,15266.80,1.00,32310.20,9588.00,8134.40,17722.40,100.00,45.60,1.00,44.60,41.60,10569.60,222364,0,32725840,99.33,17272,2074400,34664924,105.21,31229496,1095640,46820,30233560,119092,7800,67224,57980,0,0,0.00,0,0.00,0,960,6.66,5.60,5.07,7,45.60,41.60,10569.60,232.70,127.34,3482.67,21.93,100.00,1.60,1.60,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-19 23:12:39,53.07,0.00,0.28,23.40,0.00,0.00,0.03,0.00,0.00,23.22,0.40,3955.00,3344.20,0.00,0.00,13.60,8116.00,277.40,0.40,222.00,0.00,0.00,0.00,0.00,47.40,1.40,46.00,44.80,11766.40,221876,0,32726328,99.33,17284,2074520,34664924,105.21,31229188,1095492,6516,30233092,119148,7752,67012,57980,0,0,0.00,0,0.00,3,955,6.76,5.64,5.09,2,47.40,44.80,11766.40,249.18,119.00,1769.43,21.10,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 23:12:44,61.12,0.00,1.36,10.89,0.05,0.00,0.00,0.00,0.00,26.58,0.40,7959.40,21821.60,0.00,0.00,0.00,1185.60,4728.20,0.00,7605.80,3284.80,1843.20,5128.00,100.00,38.80,0.00,38.80,0.00,9745.60,217568,0,32730636,99.34,17036,1972072,34724780,105.39,31291660,1037112,1144,30339488,117496,7760,67180,57980,0,0,0.00,0,0.00,4,957,7.74,5.87,5.16,0,38.80,0.00,9745.60,251.18,81.43,3782.19,21.67,84.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:12:49,66.94,0.00,0.53,0.03,0.00,0.00,0.03,0.00,0.00,32.48,0.20,5009.00,8765.60,0.00,0.00,0.00,28.80,1660.80,0.00,3969.00,3162.20,204.80,3367.00,100.00,0.60,0.00,0.60,0.00,57.60,247476,0,32700728,99.25,17020,1904832,34741168,105.44,31304092,996472,1256,30378864,117132,7768,67304,57980,0,0,0.00,0,0.00,6,957,7.44,5.83,5.16,0,0.60,0.00,57.60,96.00,0.00,2.67,2.67,0.16,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:12:54,61.04,0.00,0.38,0.00,0.03,0.00,0.00,0.00,0.00,38.55,0.00,4578.60,5807.00,0.00,0.00,0.00,28.00,65.80,0.00,2255.00,0.00,819.20,819.20,100.00,0.60,0.00,0.60,0.00,56.00,249548,0,32698656,99.24,16896,1888628,34741168,105.44,31310640,988268,1348,30393792,116876,7760,67332,57980,0,0,0.00,0,0.00,32,956,8.77,6.14,5.26,0,0.60,0.00,56.00,93.33,0.00,5.33,5.33,0.32,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-19 23:12:59,69.55,0.00,0.30,0.05,0.03,0.00,0.00,0.00,0.00,30.07,0.00,4349.80,3664.60,0.00,0.00,0.00,208.80,789.60,0.00,910.00,0.00,409.60,409.60,100.00,10.00,0.00,10.00,0.00,417.60,240412,0,32707792,99.27,16904,1880492,34760704,105.50,31323960,984140,500,30410924,116796,7760,67364,57980,0,0,0.00,0,0.00,12,956,10.63,6.57,5.40,0,10.00,0.00,417.60,41.76,0.02,2.40,0.56,0.56,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:13:04,62.63,0.00,0.20,0.00,0.00,0.00,0.03,0.00,0.00,37.14,0.00,4562.00,3473.20,0.00,0.00,0.00,45.60,50.80,0.00,122.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,91.20,239584,0,32708620,99.27,16904,1880540,34743752,105.45,31324324,984140,348,30411152,116796,7760,67364,57980,0,0,0.00,0,0.00,4,956,9.94,6.49,5.38,0,1.00,0.00,91.20,91.20,0.01,11.20,5.60,0.56,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-19 23:13:09,64.07,0.00,0.48,0.00,0.05,0.00,0.00,0.00,0.00,35.40,0.00,6416.80,4346.00,0.00,0.00,0.00,24.00,93.40,0.00,346.20,0.00,204.80,204.80,100.00,1.40,0.00,1.40,0.00,48.00,243680,0,32704524,99.26,16912,1875720,34743752,105.45,31323324,981172,432,30412096,116820,7760,67368,57980,0,0,0.00,0,0.00,7,956,9.86,6.53,5.40,0,1.40,0.00,48.00,34.29,0.00,2.29,2.29,0.32,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
