timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-21 19:07:10,19.03,0.00,1.00,0.03,0.05,0.00,0.00,0.00,0.00,79.89,27.20,1832.00,1995.80,0.00,0.00,0.00,56.00,20763.60,0.00,28403.60,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,112.00,29749008,0,3199196,9.71,61812,1011164,4566060,13.86,2159732,727492,200,1818192,80232,5432,8384,57980,0,0,0.00,0,0.00,1,658,1.22,6.18,7.18,0,3.20,0.00,112.00,35.00,0.00,0.25,0.25,0.08,1.00,1.00,0.11,0.07,0.00,0.00,0.00,0.00
2017-09-21 19:07:15,15.31,0.00,1.08,0.10,0.10,0.00,0.00,0.00,0.00,83.40,66.00,2687.00,2792.60,0.00,0.00,0.00,83.20,28556.20,0.00,24561.00,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,166.40,29662688,0,3285516,9.97,61820,1005500,5292012,16.06,2253564,721872,9160,1908008,79932,5504,10000,57980,0,0,0.00,0,0.00,2,704,1.12,6.08,7.14,0,5.60,0.00,166.40,29.71,0.01,2.00,1.43,0.80,7.00,7.00,0.82,0.58,0.00,0.00,0.00,0.00
2017-09-21 19:07:20,17.44,0.00,0.70,0.55,0.05,0.00,0.03,0.00,0.00,81.23,15.00,1935.80,2195.40,0.00,0.00,0.80,353.60,8962.20,0.00,8607.00,0.00,0.00,0.00,0.00,13.00,0.20,12.80,1.60,707.20,29422124,0,3526080,10.70,61848,1006216,5505128,16.71,2491436,722544,9704,2146040,80264,6248,11060,57980,0,0,0.00,0,0.00,1,769,1.11,5.99,7.11,0,13.00,1.60,707.20,54.52,0.24,18.40,4.18,5.44,2.80,2.80,0.32,0.22,0.00,0.00,0.00,0.00
2017-09-21 19:07:25,83.78,0.00,3.16,0.53,0.00,0.00,0.03,0.00,0.00,12.51,54.20,5441.60,3780.60,0.00,0.00,204.80,285.60,41317.60,0.20,18095.80,0.00,0.00,0.00,0.00,19.40,13.60,5.80,409.60,571.20,28404488,0,4543716,13.79,61920,1008860,7920532,24.04,3500360,723440,10888,3153044,83896,7944,16188,57980,0,0,0.00,0,0.00,18,988,2.54,6.21,7.17,0,19.40,409.60,571.20,50.56,0.15,7.51,3.26,6.32,5.20,5.20,0.56,0.43,0.00,0.00,0.00,0.00
2017-09-21 19:07:30,97.12,0.00,2.53,0.00,0.00,0.00,0.05,0.00,0.00,0.30,20.20,8938.20,3337.00,0.00,0.00,0.00,36.00,12970.40,0.00,8072.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,72.00,27350988,0,5597216,16.99,61936,1009856,8019564,24.34,4535152,724408,11892,4198340,85364,8544,18724,57980,0,0,0.00,0,0.00,20,1053,3.94,6.44,7.24,0,0.80,0.00,72.00,90.00,0.00,3.00,1.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 19:07:35,97.92,0.00,1.68,0.00,0.00,0.00,0.15,0.00,0.00,0.25,0.00,7584.60,3427.80,0.00,0.00,0.00,12.80,179.80,0.00,1179.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,27357140,0,5591064,16.97,61944,1009892,8019564,24.34,4537796,724432,11928,4190516,85144,8520,18780,57980,0,0,0.00,0,0.00,9,1051,4.27,6.46,7.25,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 19:07:40,98.62,0.00,1.30,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.60,2188.60,2655.00,0.00,0.00,0.00,76.00,87.80,0.00,568.20,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,152.00,27192656,0,5755548,17.47,61952,1190828,8019564,24.34,4707680,724516,192140,4181296,85020,8392,18776,57980,0,0,0.00,0,0.00,15,1033,4.57,6.49,7.25,0,3.00,0.00,152.00,50.67,0.07,22.13,9.07,2.72,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-21 19:07:45,44.98,0.00,1.87,0.00,0.05,0.00,0.00,0.00,0.00,53.10,50.40,4263.80,4401.60,0.00,0.00,0.00,1844.80,19295.60,0.00,108162.60,0.00,0.00,0.00,0.00,24.40,0.00,24.40,0.00,1444.80,28620324,0,4327880,13.14,61988,1247764,6705148,20.35,3284748,723528,241224,2700976,82484,7096,13372,57980,0,0,0.00,0,0.00,7,897,4.44,6.43,7.23,0,24.40,0.00,1444.80,59.21,3.64,26.59,2.89,7.04,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-21 19:07:50,58.85,0.00,1.99,17.96,0.03,0.00,0.03,0.00,0.00,21.15,33.20,3278.60,3379.00,0.00,0.00,0.00,6991.20,20545.00,0.00,21427.40,0.00,0.00,0.00,0.00,55.00,0.00,55.00,0.00,13723.20,28313460,0,4634744,14.07,62012,1300312,7349416,22.31,3520348,785404,259104,2951700,84164,7768,15456,57980,0,0,0.00,0,0.00,0,964,4.81,6.47,7.24,10,55.00,0.00,13723.20,249.51,90.25,1116.97,18.18,100.00,3.40,3.40,0.37,0.28,0.00,0.00,0.00,0.00
2017-09-21 19:07:55,61.83,0.00,1.78,27.35,0.05,0.00,0.00,0.00,0.00,8.99,19.60,4038.40,3890.20,0.00,0.00,0.00,4760.00,15975.20,0.00,8996.00,0.00,0.00,0.00,0.00,66.40,0.00,66.40,0.00,11696.00,27842972,0,5105232,15.49,62032,1358320,7995708,24.27,3928196,847156,293628,3356996,86680,8312,17092,57980,0,0,0.00,0,0.00,0,1026,5.30,6.55,7.26,11,66.40,0.00,11696.00,176.14,72.19,1505.53,15.06,100.00,3.00,3.00,0.33,0.25,0.00,0.00,0.00,0.00
