timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-21 18:30:17,19.05,0.00,0.93,0.00,0.08,0.00,0.00,0.00,0.00,79.95,27.20,1766.60,1929.00,0.00,0.00,0.00,38.40,18899.80,0.00,26173.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,76.80,30293932,0,2654272,8.06,54556,830420,4599736,13.96,1782896,578148,208,1478192,67228,5152,7880,57980,0,0,0.00,0,0.00,1,630,1.99,2.65,2.55,0,1.00,0.00,76.80,76.80,0.00,2.40,1.60,0.16,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-21 18:30:22,19.16,0.00,1.21,0.05,0.13,0.00,0.00,0.00,0.00,79.46,62.20,2707.00,2987.80,0.00,0.00,0.00,100.00,30670.60,0.00,22532.60,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,51.20,30128896,0,2819308,8.56,54564,835636,5302736,16.09,1934920,582960,5524,1636092,67144,5088,9760,57980,0,0,0.00,0,0.00,1,676,1.91,2.62,2.54,2,4.80,0.00,51.20,10.67,0.00,0.67,0.67,0.32,7.80,7.60,0.89,0.63,0.00,0.00,0.00,0.00
2017-09-21 18:30:27,15.73,0.00,0.45,0.05,0.03,0.00,0.00,0.00,0.00,83.74,13.80,1958.40,2129.20,0.00,0.00,0.00,24.80,6196.00,0.00,8333.20,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,198.40,29835268,0,3112936,9.45,54568,835932,5522776,16.76,2234748,583148,6064,1929492,67580,6008,10684,57980,0,0,0.00,0,0.00,1,737,2.00,2.63,2.54,0,3.20,0.00,198.40,62.00,0.01,3.25,1.00,0.32,3.00,3.00,0.36,0.25,0.00,0.00,0.00,0.00
2017-09-21 18:30:32,88.73,0.00,3.29,0.00,0.00,0.00,0.00,0.00,0.00,7.98,53.20,5583.80,3578.00,0.00,0.00,0.00,1400.80,42536.20,0.00,16273.80,0.00,0.00,0.00,0.00,39.20,0.00,39.20,0.00,2801.60,28806232,0,4141972,12.57,54584,836796,7972208,24.20,3242320,583624,240,2945024,71748,7696,16108,57980,0,0,0.00,0,0.00,30,951,3.84,3.00,2.66,0,39.20,0.00,2801.60,71.47,2.50,63.76,2.24,8.80,4.80,4.80,0.51,0.40,0.00,0.00,0.00,0.00
2017-09-21 18:30:37,97.02,0.00,2.40,0.00,0.00,0.00,0.13,0.00,0.00,0.45,18.80,9712.60,3422.20,0.00,0.00,0.00,109.60,6157.40,0.00,2927.80,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,219.20,27850332,0,5097872,15.47,54596,837792,8053624,24.44,4201644,584580,1864,3893828,73348,8200,18224,57980,0,0,0.00,0,0.00,11,1011,5.85,3.43,2.81,0,1.40,0.00,219.20,156.57,0.00,0.00,0.00,0.00,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-21 18:30:42,88.73,0.00,2.08,0.00,0.03,0.00,0.00,0.00,0.00,9.17,28.60,7201.40,3638.20,0.00,0.00,0.00,34.40,6288.00,0.00,101099.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,68.80,29639848,0,3308356,10.04,54616,953584,5856980,17.78,2423504,583440,118020,1999320,71464,6656,11260,57980,0,0,0.00,0,0.00,1,773,6.75,3.66,2.88,0,1.20,0.00,68.80,57.33,0.00,0.67,0.67,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 18:30:47,53.71,0.00,1.94,0.00,0.05,0.00,0.03,0.00,0.00,44.27,38.12,3379.44,3775.65,0.00,0.00,0.00,2989.22,24300.80,0.00,22877.45,0.00,0.00,0.00,0.00,5.19,0.00,5.19,0.00,1125.75,29247344,0,3700860,11.23,54632,959040,7043412,21.38,2802124,598780,109072,2387576,70380,7072,13504,57980,0,0,0.00,0,0.00,7,871,6.53,3.66,2.89,0,5.19,0.00,1125.75,216.92,9.75,232.62,18.00,9.34,2.20,2.20,0.24,0.18,0.00,0.00,0.00,0.00
2017-09-21 18:30:52,53.06,0.00,1.76,36.37,0.00,0.00,0.03,0.00,0.00,8.79,24.20,3321.40,2622.80,0.00,0.00,0.00,2994.40,18477.80,0.00,7526.60,0.00,0.00,0.00,0.00,37.00,0.00,37.00,0.00,8961.60,28745124,0,4203080,12.76,54680,988076,7981888,24.23,3283196,614256,123528,2854708,71928,7736,15848,57980,0,0,0.00,0,0.00,13,956,7.04,3.82,2.94,1,37.00,0.00,8961.60,242.21,59.56,1405.43,26.27,97.20,2.60,2.60,0.28,0.22,0.00,0.00,0.00,0.00
2017-09-21 18:30:57,79.15,0.00,1.98,13.48,0.00,0.00,0.03,0.00,0.00,5.36,24.20,5604.00,3776.40,0.00,0.00,0.00,6353.60,14097.40,0.00,10219.60,0.00,0.00,0.00,0.00,37.40,0.00,37.40,0.00,8848.00,28462656,0,4485548,13.61,54704,1039792,8064700,24.48,3477580,699688,144232,3082696,72708,8112,16700,57980,0,0,0.00,0,0.00,17,1008,8.48,4.17,3.06,1,37.40,0.00,8848.00,236.58,65.27,1545.24,26.76,100.08,4.40,4.40,0.48,0.36,0.00,0.00,0.00,0.00
2017-09-21 18:31:02,51.42,0.00,1.58,35.26,0.03,0.00,0.05,0.00,0.00,11.67,7.40,5382.40,2771.00,0.00,0.00,0.00,66.40,6167.00,0.00,6217.00,0.00,0.00,0.00,0.00,27.80,0.00,27.80,0.00,5881.60,28321164,0,4627040,14.04,54720,1124000,8129952,24.67,3569488,747236,228000,3138648,75152,8376,16836,57980,0,0,0.00,0,0.00,19,1036,9.00,4.35,3.13,0,27.80,0.00,5881.60,211.57,36.29,2153.93,22.30,62.00,0.40,0.40,0.02,0.02,0.00,0.00,0.00,0.00
2017-09-21 18:31:07,93.98,0.00,2.26,0.00,0.05,0.00,0.18,0.00,0.00,3.53,9.20,13482.00,4341.80,0.00,0.00,0.00,211.20,12928.80,0.00,29799.80,0.00,0.00,0.00,0.00,18.20,0.00,18.20,0.00,422.40,28504060,0,4444144,13.49,54728,1173788,7549120,22.91,3311700,822628,276684,2906680,75880,7912,15528,57980,0,0,0.00,0,0.00,9,975,9.56,4.54,3.19,0,18.20,0.00,422.40,23.21,0.17,9.27,2.15,3.92,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
2017-09-21 18:31:12,68.54,0.00,2.14,3.07,0.08,0.00,0.10,0.00,0.00,26.07,13.40,11585.40,5696.00,0.00,0.00,0.00,4080.80,1574.20,0.00,42779.60,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,1131.20,29129488,0,3818716,11.59,54740,1219932,6222252,18.88,2557192,951688,302780,2234796,77324,7216,12936,57980,0,0,0.00,0,0.00,0,824,9.52,4.62,3.23,3,7.00,0.00,1131.20,161.60,15.11,147.66,14.74,10.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 18:31:17,0.30,0.00,0.05,57.62,0.00,0.00,0.00,0.00,0.00,42.03,0.00,1170.80,741.20,0.00,0.00,0.00,796.00,14.00,0.00,19.60,0.00,0.00,0.00,0.00,31.60,0.00,31.60,0.00,7937.60,29129884,0,3818320,11.59,54748,1220368,6222252,18.88,2556636,952644,299640,2234192,76688,6688,12348,57980,0,0,0.00,0,0.00,0,822,9.48,4.69,3.26,8,31.60,0.00,7937.60,251.19,93.46,2937.29,31.65,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 18:31:22,0.75,0.00,0.15,37.94,0.05,0.00,0.00,0.00,0.00,61.11,3.40,1483.40,1211.80,0.00,0.00,0.00,7292.00,266.00,0.00,227.20,0.00,0.00,0.00,0.00,41.60,0.00,41.60,0.00,9312.00,29130336,0,3817868,11.59,54760,1220408,6222252,18.88,2555784,952692,263588,2233344,76632,6656,12348,57980,0,0,0.00,0,0.00,0,806,8.96,4.66,3.26,2,41.60,0.00,9312.00,223.85,86.01,2335.56,24.04,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 18:31:27,2.03,0.00,0.20,21.10,0.15,0.00,0.03,0.00,0.00,76.49,9.20,2233.00,2252.20,0.00,0.00,0.00,4166.40,523.20,0.00,16555.60,0.00,0.00,0.00,0.00,37.40,0.00,37.40,0.00,6179.20,29439252,0,3508952,10.65,54768,1220704,5569096,16.90,2251332,952916,243700,1928792,74744,5728,10776,57980,0,0,0.00,0,0.00,0,694,8.24,4.58,3.24,1,37.40,0.00,6179.20,165.22,46.24,1223.81,16.51,61.76,3.00,3.00,0.35,0.25,0.00,0.00,0.00,0.00
2017-09-21 18:31:32,0.10,0.00,0.03,22.89,0.03,0.00,0.00,0.00,0.00,76.96,0.20,987.60,654.80,0.00,0.00,0.00,1807.20,15.80,0.00,143.00,0.00,0.00,0.00,0.00,33.40,0.00,33.40,0.00,8520.00,29440144,0,3508060,10.65,54776,1220176,5569096,16.90,2250548,952512,234728,1928116,74736,5576,10780,57980,0,0,0.00,0,0.00,0,681,7.74,4.54,3.23,4,33.40,0.00,8520.00,255.09,124.65,2514.59,29.94,100.00,2.20,2.20,0.25,0.17,0.00,0.00,0.00,0.00
2017-09-21 18:31:37,0.15,0.00,0.05,39.25,0.00,0.00,0.00,0.00,0.00,60.55,3.00,1093.80,786.00,0.00,0.00,0.00,4954.40,234.80,0.00,19827.60,0.00,0.00,0.00,0.00,33.80,0.00,33.80,0.00,8499.20,29834612,0,3113592,9.45,54788,1220116,4677184,14.20,1858560,952460,210132,1536100,74296,5328,9440,57980,0,0,0.00,0,0.00,0,652,7.28,4.50,3.22,4,33.80,0.00,8499.20,251.46,98.36,2745.51,29.59,100.00,2.00,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-21 18:31:42,8.69,0.00,0.53,31.43,0.00,0.00,0.00,0.00,0.00,59.35,15.00,1454.80,1472.60,0.00,0.00,0.00,6080.80,7969.40,0.00,10578.00,0.00,0.00,0.00,0.00,40.60,0.00,40.60,0.00,9784.00,29754548,0,3193656,9.69,54800,1099648,5298060,16.08,2044512,832208,180640,1738708,74304,5536,10144,57980,0,0,0.00,0,0.00,5,678,6.94,4.47,3.22,2,40.60,0.00,9784.00,240.99,102.20,2479.31,24.65,100.08,2.00,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-21 18:31:47,6.38,0.00,0.10,50.55,0.03,0.00,0.00,0.00,0.00,42.95,3.20,1328.20,1287.40,0.00,0.00,0.00,3359.20,1683.80,0.00,2927.80,0.00,0.00,0.00,0.00,34.00,0.00,34.00,0.00,8632.00,29716292,0,3231912,9.81,54804,1099680,5298060,16.08,2098208,832212,163656,1778224,74184,5592,10328,57980,0,0,0.00,0,0.00,0,691,7.10,4.55,3.25,1,34.00,0.00,8632.00,253.88,88.69,3244.14,29.39,99.92,2.80,2.80,0.34,0.23,0.00,0.00,0.00,0.00
2017-09-21 18:31:52,3.21,0.00,0.13,36.41,0.03,0.00,0.00,0.00,0.00,60.23,9.00,1376.60,1240.60,0.00,0.00,0.00,5689.60,628.00,0.00,180.80,0.00,0.00,0.00,0.00,41.00,0.00,41.00,0.00,8878.40,29707800,0,3240404,9.83,54812,1099728,5331240,16.18,2109216,832236,135744,1787048,74240,5984,10496,57980,0,0,0.00,0,0.00,0,733,6.78,4.52,3.25,2,41.00,0.00,8878.40,216.55,115.93,2261.70,24.41,100.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-21 18:32:02,0.28,0.00,0.04,45.63,0.01,0.00,0.00,0.00,0.00,54.04,0.20,1061.90,694.40,0.00,0.00,0.00,2509.60,40.10,0.00,14.10,0.00,0.00,0.00,0.00,32.30,0.00,32.30,0.00,8104.80,29706236,0,3241968,9.84,54824,1099788,5331240,16.18,2110644,832256,110832,1788372,74180,5984,10504,57980,0,0,0.00,0,0.00,0,734,6.50,4.54,3.27,4,32.30,0.00,8104.80,250.92,93.68,3358.84,30.96,100.00,0.30,0.30,0.03,0.02,0.00,0.00,0.00,0.00
