timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 03:16:23,16.35,0.00,1.50,0.03,0.05,0.00,0.05,0.00,0.00,82.02,33.00,5864.00,5741.00,0.00,0.00,0.00,161.60,15955.60,0.00,19219.40,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,323.20,25581316,0,7366888,22.36,37388,4896684,5844500,17.74,3254256,3708216,260244,2028648,178264,5840,9652,57980,0,0,0.00,0,0.00,2,735,4.69,5.25,5.04,0,9.60,0.00,323.20,33.67,0.00,0.33,0.33,0.32,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-23 03:16:28,28.41,0.00,0.98,0.00,0.03,0.00,0.00,0.00,0.00,70.59,27.00,3092.60,3387.60,0.00,0.00,0.00,50.40,19090.60,0.00,7938.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,100.80,24893352,0,8054852,24.45,37400,4897140,28933188,87.81,3942368,3697056,260784,2708836,179152,6664,11860,57980,0,0,0.00,0,0.00,4,835,4.40,5.18,5.02,0,1.60,0.00,100.80,63.00,0.00,0.00,0.00,0.00,3.40,3.00,0.40,0.39,0.00,0.00,0.00,0.00
2017-09-23 03:16:33,49.81,0.00,2.48,0.03,0.03,0.00,0.03,0.00,0.00,47.63,35.40,5009.80,5522.20,0.00,0.00,0.00,9744.00,18740.60,0.00,9519.80,0.00,0.00,0.00,0.00,92.20,0.00,92.20,0.00,19488.00,23245712,0,9702492,29.45,37408,4918492,34355420,104.27,5532516,3699656,234064,4327484,182100,7736,15740,57980,0,0,0.00,0,0.00,5,953,4.52,5.19,5.02,0,92.20,0.00,19488.00,211.37,14.02,152.10,2.70,24.88,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-23 03:16:38,28.38,0.00,1.54,26.18,0.05,0.00,0.00,0.00,0.00,43.85,0.60,3392.40,3343.80,0.00,0.00,0.00,42656.00,565.40,0.00,6026.20,0.00,0.00,0.00,0.00,317.80,0.00,317.80,0.00,81356.80,20972688,0,11975516,36.35,37420,4918516,34355420,104.27,7836896,3699608,21108,6597076,182284,7736,20864,57980,0,0,0.00,0,0.00,0,951,4.48,5.17,5.02,5,317.80,0.00,81356.80,256.00,109.45,166.00,2.75,87.28,1.80,1.60,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-23 03:16:43,46.05,0.00,0.93,1.87,0.00,0.00,0.00,0.00,0.00,51.15,0.60,3346.60,3198.60,0.00,0.00,0.00,1903.20,308.60,0.00,1413.80,0.00,0.00,0.00,0.00,31.20,0.00,31.20,0.00,7761.60,19178716,0,13769488,41.79,37432,4918572,34355420,104.27,9541476,3699644,12012,8387576,182228,7696,24100,57980,0,0,0.00,0,0.00,4,948,4.12,5.08,4.99,0,31.20,0.00,7761.60,248.77,2.99,1913.08,1.56,4.88,2.00,2.20,0.35,0.49,0.00,0.00,0.00,0.00
2017-09-23 03:16:48,46.56,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,52.61,0.00,3249.00,2862.60,0.00,0.00,0.00,48.80,1411.20,0.00,707.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,97.60,18001296,0,14946908,45.36,37440,4918600,34355420,104.27,10802448,3699664,12220,9562500,182216,7680,26776,57980,0,0,0.00,0,0.00,6,946,4.11,5.07,4.98,0,0.60,0.00,97.60,162.67,0.00,2.67,1.33,0.08,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-23 03:16:53,49.63,0.00,0.28,0.00,0.03,0.00,0.00,0.00,0.00,50.06,0.00,3244.00,2974.00,0.00,0.00,0.00,49.60,722.20,0.00,5209.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,99.20,17641700,0,15306504,46.46,37448,4918648,34355420,104.27,11105636,3699664,12276,9920972,182220,7680,27468,57980,0,0,0.00,0,0.00,5,946,4.10,5.05,4.98,0,0.60,0.00,99.20,165.33,0.00,0.00,0.00,0.00,1.80,1.80,0.20,0.18,0.00,0.00,0.00,0.00
2017-09-23 03:16:58,42.55,0.00,0.35,0.00,0.03,0.00,0.00,0.00,0.00,57.07,0.00,3259.00,2905.20,0.00,0.00,0.00,0.00,70.20,0.00,1508.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17246300,0,15701904,47.66,37448,4918684,34355420,104.27,11528856,3699668,12476,10315508,182308,7680,28292,57980,0,0,0.00,0,0.00,5,946,4.10,5.03,4.97,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 03:17:03,50.03,0.00,0.30,0.00,0.03,0.00,0.03,0.00,0.00,49.62,4.00,4120.40,3359.00,0.00,0.00,0.00,35.20,378.00,0.00,2152.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,70.40,17185680,0,15762524,47.84,37456,4918752,34355420,104.27,11631896,3699652,12656,10375504,182532,7816,28420,57980,0,0,0.00,0,0.00,4,963,4.09,5.01,4.97,0,0.60,0.00,70.40,117.33,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 03:17:08,45.87,0.00,0.08,0.03,0.00,0.00,0.00,0.00,0.00,54.03,0.00,3194.00,2896.60,0.00,0.00,0.00,2560.00,30.00,0.00,25.60,0.00,0.00,0.00,0.00,36.20,0.00,36.20,0.00,5120.00,17166892,0,15781312,47.90,37464,4918800,34355420,104.27,11648388,3699652,236,10393944,182548,7816,28456,57980,0,0,0.00,0,0.00,4,963,4.08,5.00,4.96,0,36.20,0.00,5120.00,141.44,0.44,12.07,0.64,2.32,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
