timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 22:53:25,76.00,0.00,5.72,0.20,0.10,0.00,0.40,0.00,0.00,17.57,18.80,3823.60,2368.20,0.00,0.00,0.00,76.00,11943.80,0.00,10477.20,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,152.00,4625568,0,3550040,43.42,27632,1747700,3605044,44.10,2146216,1247492,131544,1620460,74000,4760,7856,18156,0,0,0.00,0,0.00,2,581,1.43,1.68,1.38,0,2.80,0.00,152.00,54.29,0.01,2.00,2.00,0.56,1.20,1.20,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-19 22:53:30,68.23,0.00,3.77,0.00,0.00,0.00,0.41,0.00,0.00,27.60,14.40,2678.00,2231.80,0.00,0.00,0.00,46.40,7007.20,0.00,2209.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,92.80,4330540,0,3845068,47.03,27644,1876724,4009048,49.04,2320376,1365620,260576,1781712,78024,5056,8588,18156,0,0,0.00,0,0.00,1,618,1.39,1.66,1.37,0,1.60,0.00,92.80,58.00,0.01,7.50,4.00,0.64,2.40,2.40,0.29,0.20,0.00,0.00,0.00,0.00
2017-09-19 22:53:35,70.51,0.00,2.53,0.00,0.00,0.00,0.00,0.00,0.00,26.97,13.20,2169.80,1579.60,0.00,0.00,0.00,17.60,8003.80,0.00,2497.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,35.20,3960128,0,4215480,51.56,27652,1876852,7497596,91.71,2691600,1362108,260724,2149252,78800,5424,9780,18156,0,0,0.00,0,0.00,2,664,1.36,1.65,1.37,0,0.40,0.00,35.20,88.00,0.00,2.00,2.00,0.08,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-19 22:53:40,64.46,0.00,2.44,0.00,0.10,0.00,0.00,0.00,0.00,32.99,1.60,2060.80,1589.40,0.00,0.00,0.00,522.40,2694.40,0.00,2826.60,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,1044.80,3589044,0,4586564,56.10,27660,1882356,7562036,92.50,3053736,1355568,263776,2513620,79000,5424,10508,18156,0,0,0.00,0,0.00,5,664,1.33,1.64,1.37,0,4.60,0.00,1044.80,227.13,0.02,5.39,0.35,0.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:53:45,51.01,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,47.97,0.00,1704.00,1107.80,0.00,0.00,0.00,3.20,45.20,0.00,31.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,3240280,0,4935328,60.37,27668,1882380,7562036,92.50,3409964,1355588,263800,2861644,79000,5408,11192,18156,0,0,0.00,0,0.00,4,662,1.31,1.63,1.37,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 22:53:50,57.94,0.00,1.72,0.10,0.10,0.00,0.00,0.00,0.00,40.14,2.00,1962.00,1359.40,0.00,0.00,0.00,136.80,313.20,0.00,11522.80,0.00,0.00,0.00,0.00,14.60,0.00,14.60,0.00,273.60,2903476,0,5272132,64.49,27676,1882408,7580100,92.72,3752368,1355496,263364,3197824,78900,5472,11860,18156,0,0,0.00,0,0.00,3,671,1.28,1.62,1.37,0,14.60,0.00,273.60,18.74,0.03,2.30,0.22,0.32,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 22:53:55,63.42,0.00,2.13,0.30,0.00,0.00,0.00,0.00,0.00,34.14,0.80,2004.40,1483.40,0.00,0.00,0.00,576.00,725.00,0.00,14684.80,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,1152.00,2576152,0,5599456,68.49,27684,1882440,7580100,92.72,4054120,1354936,260748,3523516,79012,5496,12520,18156,0,0,0.00,0,0.00,3,673,1.26,1.61,1.37,0,5.60,0.00,1152.00,205.71,0.52,92.29,6.71,3.76,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 22:54:00,52.98,0.00,0.51,7.08,0.00,0.00,0.00,0.00,0.00,39.43,0.00,1674.00,1132.80,0.00,0.00,0.00,23612.00,40.40,0.00,42.80,0.00,0.00,0.00,0.00,158.60,0.00,158.60,0.00,40601.60,2575816,0,5599792,68.49,27692,1882472,7580100,92.72,4054668,1354956,142808,3524036,79168,5488,12520,18156,0,0,0.00,0,0.00,3,672,1.24,1.60,1.36,1,158.60,0.00,40601.60,256.00,24.30,103.63,1.07,16.96,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:54:05,51.52,0.00,0.51,47.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1670.60,1088.00,0.00,0.00,0.00,16879.20,10.80,0.00,39.00,0.00,0.00,0.00,0.00,131.60,0.00,131.60,0.00,33126.40,2575692,0,5599916,68.50,27700,1882504,7580100,92.72,4054636,1354976,58592,3523988,79196,5480,12520,18156,0,0,0.00,0,0.00,1,671,1.54,1.66,1.38,1,131.60,0.00,33126.40,251.72,139.17,902.35,7.60,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 22:54:10,46.60,0.00,0.20,42.03,0.00,0.00,0.00,0.00,0.00,11.17,0.00,1674.40,1076.40,0.00,0.00,0.00,11656.80,11.60,0.00,39.00,0.00,0.00,0.00,0.00,100.40,0.00,100.40,0.00,25422.40,2575888,0,5599720,68.49,27712,1882536,7580100,92.72,4079120,1354996,456,3523864,79132,5464,12520,18156,0,0,0.00,0,0.00,1,669,1.66,1.68,1.39,1,100.40,0.00,25422.40,253.21,127.33,1250.64,9.96,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
