timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 22:28:23,62.99,0.00,3.24,10.01,0.00,0.00,0.00,0.00,0.00,23.76,18.40,1421.20,1362.20,0.00,0.00,0.00,8556.00,11605.40,0.00,12947.80,0.00,0.00,0.00,0.00,98.80,0.00,98.80,0.00,24888.00,3916888,0,4258720,52.09,33148,2539620,3617952,44.25,2218528,1859564,131688,1505236,100672,4888,7792,18156,0,0,0.00,0,0.00,4,597,1.77,2.12,1.96,0,98.80,0.00,24888.00,251.90,27.68,301.51,2.43,24.00,1.80,1.80,0.20,0.14,0.00,0.00,0.00,0.00
2017-09-22 22:28:28,68.45,0.00,6.37,0.91,0.10,0.00,0.51,0.00,0.00,23.66,14.40,4484.00,2940.00,0.00,0.00,0.00,62.40,7291.60,0.00,7460.40,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,124.80,3454804,0,4720804,57.74,33160,2797204,4093364,50.07,2434280,2099880,389252,1703844,105232,5160,8648,18156,0,0,0.00,0,0.00,3,631,1.71,2.10,1.95,0,2.80,0.00,124.80,44.57,0.07,24.29,18.00,5.04,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-22 22:28:33,61.56,0.00,2.84,0.00,0.00,0.00,0.00,0.00,0.00,35.60,9.60,2014.40,1503.20,0.00,0.00,0.00,20.00,8557.80,0.00,3067.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,40.00,3171348,0,5004260,61.21,33168,2797328,7467672,91.34,2718328,2097336,389396,1985168,105572,5496,9628,18156,0,0,0.00,0,0.00,6,673,1.57,2.07,1.94,0,0.80,0.00,40.00,50.00,0.00,1.00,1.00,0.08,1.80,1.80,0.20,0.14,0.00,0.00,0.00,0.00
2017-09-22 22:28:38,67.14,0.00,2.23,0.10,0.10,0.00,0.10,0.00,0.00,30.32,6.20,2310.00,1620.20,0.00,0.00,0.00,524.80,2488.60,0.00,3193.00,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,998.40,2420820,0,5754788,70.39,33172,2802832,7536824,92.19,3444736,2093204,392408,2726508,105844,5552,11108,18156,0,0,0.00,0,0.00,3,680,1.61,2.07,1.94,1,4.40,0.00,998.40,226.91,0.56,126.73,12.55,5.52,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:28:43,52.07,0.00,2.93,37.71,0.00,0.00,0.00,0.00,0.00,7.28,0.00,1704.40,1056.00,0.00,0.00,0.00,9657.60,136.60,0.00,26754.00,0.00,0.00,0.00,0.00,53.20,0.00,53.20,0.00,12046.40,1792000,0,6383608,78.08,33176,2802860,7536824,92.19,4092972,2093216,344248,3354244,105856,5528,12244,18156,0,0,0.00,0,0.00,2,676,1.64,2.07,1.94,1,53.20,0.00,12046.40,226.44,120.59,1376.06,15.64,83.20,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:28:48,54.21,0.00,1.62,31.57,0.00,0.00,0.00,0.00,0.00,12.59,0.00,1717.40,1227.40,0.00,0.00,0.00,7653.60,96.60,0.00,16255.00,0.00,0.00,0.00,0.00,61.60,0.00,61.60,0.00,15240.00,1455716,0,6719892,82.19,33184,2802880,7536824,92.19,4432812,2093224,306084,3690052,105944,5520,13008,18156,0,0,0.00,0,0.00,2,676,1.91,2.11,1.96,2,61.60,0.00,15240.00,247.40,114.17,2101.35,16.23,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:28:53,52.94,0.00,2.03,43.00,0.00,0.00,0.00,0.00,0.00,2.03,0.00,1716.40,1232.60,0.00,0.00,0.00,8488.80,80.20,0.00,11633.20,0.00,0.00,0.00,0.00,73.80,0.00,73.80,0.00,16422.40,1016568,0,7159040,87.57,33196,2802904,7536824,92.19,4846512,2093240,263736,4128224,105948,5504,13848,18156,0,0,0.00,0,0.00,5,674,2.00,2.13,1.97,2,73.80,0.00,16422.40,222.53,127.24,1804.35,13.55,100.00,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-22 22:28:58,52.64,0.00,0.91,39.96,0.00,0.00,0.00,0.00,0.00,6.49,0.00,1730.80,1263.40,0.00,0.00,0.00,5792.00,38.60,0.00,4998.60,0.00,0.00,0.00,0.00,51.00,0.00,51.00,0.00,12937.60,856992,0,7318616,89.52,33200,2802924,7536824,92.19,5029920,2093228,234948,4287020,105952,5504,14176,18156,0,0,0.00,0,0.00,2,674,2.08,2.14,1.97,3,51.00,0.00,12937.60,253.68,144.84,2346.21,19.61,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 22:29:03,52.08,0.00,0.20,36.68,0.00,0.00,0.00,0.00,0.00,11.04,0.40,1762.00,1379.40,0.00,0.00,0.00,8592.00,21.20,0.00,31.20,0.00,0.00,0.00,0.00,68.60,0.00,68.60,0.00,16497.60,857164,0,7318444,89.52,33204,2802956,7536824,92.19,5029936,2093252,192048,4287024,105900,5504,14176,18156,0,0,0.00,0,0.00,2,674,2.15,2.16,1.98,2,68.60,0.00,16497.60,240.49,122.55,1953.40,14.58,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 22:29:08,57.58,0.00,0.61,41.52,0.10,0.00,0.00,0.00,0.00,0.20,0.20,1758.20,1246.60,0.00,0.00,0.00,3137.60,1503.40,0.00,1708.40,0.00,0.00,0.00,0.00,47.60,0.00,47.60,0.00,12104.00,821100,0,7354508,89.96,33212,2802984,7536824,92.19,5046236,2093172,176536,4323688,105892,5504,14248,18156,0,0,0.00,0,0.00,3,674,2.46,2.22,2.00,3,47.60,0.00,12104.00,254.29,114.53,2897.18,21.01,100.00,1.40,1.40,0.14,0.10,0.00,0.00,0.00,0.00
