timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 22:57:21,67.51,0.00,3.94,2.12,0.30,0.00,0.00,0.00,0.00,26.14,27.94,1772.85,1642.71,0.00,0.00,1858.68,79.04,18394.81,6.99,17884.03,0.00,0.00,0.00,0.00,145.71,143.31,2.40,3717.37,158.08,3922928,0,4252680,52.02,27524,2405324,2904968,35.53,2351684,1666272,328,1585232,154404,4696,8600,18156,0,0,0.00,0,0.00,3,581,0.56,1.46,2.18,0,145.71,3717.37,158.08,26.60,0.13,0.90,0.35,5.11,2.40,2.40,0.29,0.20,0.00,0.00,0.00,0.00
2017-09-20 22:57:26,70.80,0.00,5.30,0.70,1.30,0.00,0.00,0.00,0.00,21.90,19.00,1359.60,1204.80,0.00,0.00,1292.80,6.40,14327.20,5.20,43260.40,0.00,0.00,0.00,0.00,48.40,48.20,0.20,2585.60,12.80,4423152,0,3752456,45.90,27524,1674620,3238040,39.61,2542256,976156,444,1816312,153380,4952,9252,18156,0,0,0.00,0,0.00,2,605,0.60,1.46,2.18,0,48.40,2585.60,12.80,53.69,0.07,1.40,0.41,2.00,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-20 22:57:31,24.37,0.00,8.59,20.73,0.00,0.00,0.00,0.00,0.00,46.31,0.20,1486.40,1558.00,0.00,0.00,6603.20,34577.60,194.00,0.00,757.00,0.00,0.00,0.00,0.00,601.80,357.80,244.00,13206.40,62243.20,4182044,0,3993564,48.85,27536,1898620,3238040,39.61,2754584,1004396,24116,1832824,153212,4960,9296,18156,0,0,0.00,0,0.00,0,606,0.63,1.45,2.17,1,601.80,13206.40,62243.20,125.37,53.09,79.98,0.79,47.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 22:57:36,30.65,0.00,11.71,22.10,0.92,0.00,0.51,0.00,0.00,34.11,12.40,6694.40,3906.80,0.00,0.00,783.20,18141.60,3399.20,0.60,17704.60,0.00,0.00,0.00,0.00,199.40,15.80,183.60,1566.40,43195.20,3627536,0,4548072,55.63,27548,2291924,3636492,44.48,3024448,1286652,327880,1993500,153356,5088,9772,18156,0,0,0.00,0,0.00,3,632,0.58,1.42,2.16,0,199.40,1566.40,43195.20,224.48,40.82,229.60,1.56,31.12,0.80,0.80,0.10,0.06,0.00,0.00,0.00,0.00
2017-09-20 22:57:41,69.15,0.00,2.92,3.23,0.60,0.00,0.00,0.00,0.00,24.09,3.80,1374.80,1378.20,0.00,0.00,1231.20,19633.60,7173.40,1.80,4475.40,0.00,0.00,0.00,0.00,154.80,22.80,132.00,2462.40,31894.40,3349648,0,4825960,59.03,27560,2293032,3998696,48.91,3307588,1281912,230476,2268908,153480,5264,10620,18156,0,0,0.00,0,0.00,1,646,0.61,1.42,2.15,1,154.80,2462.40,31894.40,221.94,12.77,51.14,0.61,9.44,2.00,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-20 22:57:46,71.53,0.00,3.04,18.03,0.30,0.00,0.00,0.00,0.00,7.09,8.40,1400.20,1546.40,0.00,0.00,776.80,44719.20,9188.40,0.00,4137.60,0.00,0.00,0.00,0.00,401.80,14.60,387.20,1553.60,96811.20,3097948,0,5077660,62.11,27572,2291920,4448664,54.41,3559412,1279832,7364,2519684,153936,5512,11524,18156,0,0,0.00,0,0.00,3,675,0.88,1.46,2.16,0,401.80,1553.60,96811.20,244.81,117.38,304.21,2.19,88.00,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-20 22:57:51,74.12,0.00,1.61,4.63,0.30,0.00,0.00,0.00,0.00,19.34,2.00,1667.00,1449.00,0.00,0.00,1170.40,1615.20,3126.00,0.00,1756.60,0.00,0.00,0.00,0.00,161.80,21.00,140.80,2340.80,3230.40,2994120,0,5181488,63.38,28956,2294888,4481292,54.81,3659800,1283724,7780,2619852,153832,5544,11744,18156,0,0,0.00,0,0.00,2,679,1.05,1.49,2.17,1,161.80,2340.80,3230.40,34.43,0.24,1.49,0.87,14.08,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-20 22:57:56,77.22,0.00,2.30,3.70,2.30,0.00,0.00,0.00,0.00,14.49,1.80,1781.00,1608.80,0.00,0.00,797.60,1519.20,2022.60,0.40,1088.00,0.00,0.00,0.00,0.00,144.80,14.80,130.00,1595.20,3038.40,2941188,0,5234420,64.02,30164,2295392,4513616,55.21,3711236,1284636,8176,2670268,153996,5584,11852,18156,0,0,0.00,0,0.00,3,680,1.13,1.49,2.17,0,144.80,1595.20,3038.40,32.00,0.16,1.14,0.71,10.32,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-20 22:58:01,83.71,0.00,5.46,2.68,1.99,0.00,0.20,0.00,0.00,5.96,0.60,5732.00,2209.60,0.00,0.00,17642.40,9489.60,11025.00,0.00,11800.20,0.00,0.00,0.00,0.00,204.60,147.60,57.00,34518.40,11760.00,2655852,0,5519756,67.51,30292,2466860,4539468,55.52,3825100,1456216,49496,2784240,153900,5576,12080,18156,0,0,0.00,0,0.00,0,683,1.28,1.52,2.17,1,204.60,34518.40,11760.00,226.19,10.55,10.94,0.83,17.04,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 22:58:06,66.00,0.00,3.62,7.34,0.10,0.00,0.10,0.00,0.00,22.84,2.80,1963.80,1689.40,0.00,0.00,5683.20,8308.00,1126.00,0.00,2833.40,0.00,0.00,0.00,0.00,152.40,58.80,93.60,12132.80,23835.20,2063100,0,6112508,74.77,30300,2578276,5260812,64.35,4385800,1476928,96316,3260388,153832,5648,12840,18156,0,0,0.00,0,0.00,2,692,1.26,1.51,2.16,0,152.40,12132.80,23835.20,236.01,27.13,232.61,1.15,17.52,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
