timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 15:37:50,70.88,0.00,2.91,0.00,0.20,0.00,0.00,0.00,0.00,26.00,23.40,1417.20,1279.20,0.00,0.00,0.00,28.80,16712.80,0.00,17937.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,57.60,2958384,0,5217224,63.81,26812,3757588,2534384,31.00,1611740,3400924,228,1228260,125784,4224,6744,18156,0,0,0.00,0,0.00,1,512,1.52,2.94,2.51,0,1.00,0.00,57.60,57.60,0.00,0.80,0.80,0.08,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-22 15:37:55,74.32,0.00,4.01,0.00,0.20,0.00,0.00,0.00,0.00,21.46,30.40,1594.20,1214.40,0.00,0.00,0.00,258.40,18896.00,0.00,13268.40,0.00,0.00,0.00,0.00,16.20,0.00,16.20,0.00,516.80,2853680,0,5321928,65.10,26820,3758576,2611920,31.95,1709936,3401864,64,1328524,127488,4248,7744,18156,0,0,0.00,0,0.00,6,545,1.56,2.92,2.51,0,16.20,0.00,516.80,31.90,0.04,2.72,0.15,0.24,2.60,2.60,0.31,0.22,0.00,0.00,0.00,0.00
2017-09-22 15:38:00,69.39,0.00,2.42,0.71,0.20,0.00,0.10,0.00,0.00,27.17,23.00,2020.20,1610.60,0.00,0.00,0.00,80.00,7083.40,0.00,2661.60,0.00,0.00,0.00,0.00,5.40,0.00,5.40,0.00,160.00,2665840,0,5509768,67.39,26832,3759576,3063964,37.48,1896428,3402640,1400,1512656,128404,4608,8476,18156,0,0,0.00,0,0.00,2,566,1.60,2.91,2.50,0,5.40,0.00,160.00,29.63,0.04,6.67,2.96,1.60,3.00,3.00,0.35,0.24,0.00,0.00,0.00,0.00
2017-09-22 15:38:05,57.37,0.00,2.12,0.00,0.10,0.00,0.00,0.00,0.00,40.40,22.40,1823.40,1378.60,0.00,0.00,0.00,44.00,6262.60,0.00,1103.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,88.00,2499904,0,5675704,69.42,26844,3759900,3663984,44.82,2059252,3402772,1856,1675428,129184,5112,9576,18156,0,0,0.00,0,0.00,3,662,1.47,2.86,2.49,0,1.80,0.00,88.00,48.89,0.00,0.89,0.89,0.16,2.40,2.40,0.28,0.19,0.00,0.00,0.00,0.00
2017-09-22 15:38:10,97.40,0.00,2.50,0.00,0.00,0.00,0.10,0.00,0.00,0.00,3.20,1681.80,955.20,0.00,0.00,0.00,38.40,6763.00,0.00,3523.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,76.80,2326760,0,5848848,71.54,26852,3760280,3744004,45.79,2231288,3403108,2288,1847348,129964,5448,10128,18156,0,0,0.00,0,0.00,3,669,1.83,2.91,2.51,0,0.60,0.00,76.80,128.00,0.03,44.00,22.67,1.36,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-22 15:38:15,96.40,0.00,3.20,0.00,0.00,0.00,0.30,0.00,0.00,0.10,4.00,3228.60,1519.00,0.00,0.00,0.00,461.60,1063.20,0.00,403.60,0.00,0.00,0.00,0.00,23.00,0.00,23.00,0.00,923.20,2041808,0,6133800,75.03,26864,3772868,3861268,47.23,2514820,3403160,12748,2118372,130948,5552,10728,18156,0,0,0.00,0,0.00,3,679,1.93,2.91,2.51,0,23.00,0.00,923.20,40.14,0.10,4.42,0.14,0.32,0.60,0.60,0.06,0.04,0.00,0.00,0.00,0.00
2017-09-22 15:38:20,94.39,0.00,5.51,0.00,0.00,0.00,0.10,0.00,0.00,0.00,1.60,1979.20,1122.00,0.00,0.00,0.00,33.60,323.00,0.00,471.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,67.20,1739392,0,6436216,78.72,26872,4066028,3861268,47.23,2812668,3399436,309244,2119400,138756,5536,10728,18156,0,0,0.00,0,0.00,2,683,1.93,2.90,2.51,0,0.60,0.00,67.20,112.00,0.00,0.00,0.00,0.00,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-22 15:38:25,82.23,0.00,8.03,1.81,0.00,0.00,0.00,0.00,0.00,7.93,15.20,2009.80,1179.00,0.00,0.00,0.00,31.20,6628.80,0.00,41028.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,62.40,2136952,0,6038656,73.86,26884,4024584,3669728,44.89,2422252,3394572,273308,1765316,137712,5424,9752,18156,0,0,0.00,0,0.00,7,664,1.94,2.88,2.50,0,1.20,0.00,62.40,52.00,0.04,33.33,16.67,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 15:38:30,96.50,0.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.10,7.20,1817.00,1034.40,0.00,0.00,0.00,36.80,7734.00,0.00,4979.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,73.60,1790536,0,6385072,78.10,26896,4019736,3881164,47.47,2771868,3390052,273636,2115244,138040,5520,10868,18156,0,0,0.00,0,0.00,6,688,2.10,2.90,2.51,0,0.80,0.00,73.60,92.00,0.00,3.00,2.00,0.16,1.40,1.40,0.14,0.11,0.00,0.00,0.00,0.00
2017-09-22 15:38:35,96.70,0.00,2.90,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.40,3041.00,1425.00,0.00,0.00,0.00,1844.00,373.80,0.00,784.20,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,3688.00,1684792,0,6490816,79.39,26908,4109128,3881164,47.47,2879660,3385268,358968,2129024,140312,5616,10776,18156,0,0,0.00,0,0.00,2,689,2.09,2.89,2.51,0,25.00,0.00,3688.00,147.52,16.43,657.38,14.27,35.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-22 15:38:40,93.50,0.00,6.20,0.00,0.10,0.00,0.20,0.00,0.00,0.00,1.60,1862.40,1246.80,0.00,0.00,0.00,4972.00,86.20,0.00,987.20,0.00,0.00,0.00,0.00,11.40,0.00,11.40,0.00,2776.00,1426548,0,6749060,82.55,26920,4372264,3881164,47.47,3135824,3380528,602812,2117352,147348,5656,10760,18156,0,0,0.00,0,0.00,2,691,2.25,2.91,2.52,1,11.40,0.00,2776.00,243.51,56.11,788.28,33.40,38.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
