timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 01:56:35,77.99,0.00,4.32,0.30,0.00,0.00,0.10,0.00,0.00,17.29,18.60,2330.20,1644.40,0.00,0.00,0.00,51.20,12668.00,0.00,10072.40,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,102.40,6286876,0,1888732,23.10,39288,407596,3402968,41.62,1630560,140156,66024,1323996,38240,4488,7464,18220,0,0,0.00,0,0.00,2,550,1.54,1.31,1.20,0,2.60,0.00,102.40,39.38,0.01,2.15,2.15,0.56,1.60,1.60,0.17,0.19,0.00,0.00,0.00,0.00
2017-09-24 01:56:40,67.21,0.00,6.21,0.10,0.10,0.00,0.20,0.00,0.00,26.17,12.77,3196.21,2215.17,0.00,0.00,0.00,83.03,6087.23,0.00,5246.71,0.00,0.00,0.00,0.00,3.59,0.00,3.59,0.00,166.07,5893652,0,2281956,27.91,39300,602208,3921388,47.96,1829244,327768,260588,1515544,43488,4712,8072,18220,0,0,0.00,0,0.00,4,577,1.50,1.30,1.20,0,3.59,0.00,166.07,46.22,0.00,1.33,1.11,0.40,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 01:56:45,65.05,0.00,2.42,0.00,0.00,0.00,0.00,0.00,0.00,32.53,9.40,1798.60,1322.00,0.00,0.00,0.00,12.00,7988.40,0.00,3161.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,24.00,5707144,0,2468464,30.19,39300,602340,7434444,90.93,2022524,319152,260768,1700068,44012,5088,8928,18220,0,0,0.00,0,0.00,5,620,1.70,1.35,1.22,0,1.00,0.00,24.00,24.00,0.01,8.00,1.60,0.16,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-24 01:56:50,79.35,0.00,3.34,0.00,0.00,0.00,0.00,0.00,0.00,17.31,9.60,2373.40,1731.60,0.00,0.00,0.00,524.80,6056.00,0.00,5001.60,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,1049.60,5095484,0,3080124,37.67,39308,607848,7533836,92.15,2613120,315156,263832,2303648,44628,5280,10224,18220,0,0,0.00,0,0.00,3,644,1.80,1.37,1.23,0,4.80,0.00,1049.60,218.67,0.04,9.00,0.50,0.24,2.00,2.00,0.23,0.23,0.00,0.00,0.00,0.00
2017-09-24 01:56:55,52.17,0.00,4.85,0.10,0.00,0.00,0.00,0.00,0.00,42.87,0.00,1724.60,1122.40,0.00,0.00,0.00,57.60,297.20,0.00,36568.00,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,115.20,3930556,0,4245052,51.92,39316,607876,7533836,92.15,3798552,315024,263772,3466396,44636,5256,12624,18220,0,0,0.00,0,0.00,3,641,1.74,1.37,1.23,0,2.20,0.00,115.20,52.36,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 01:57:00,52.73,0.00,0.40,0.00,0.10,0.00,0.00,0.00,0.00,46.76,0.00,1688.60,1054.80,0.00,0.00,0.00,98.40,28.80,0.00,545.20,0.00,0.00,0.00,0.00,15.40,0.00,15.40,0.00,196.80,3903996,0,4271612,52.25,39324,607896,7533836,92.15,3825268,315036,263384,3493088,44596,5232,12676,18220,0,0,0.00,0,0.00,3,640,1.68,1.36,1.23,0,15.40,0.00,196.80,12.78,0.04,2.60,0.10,0.16,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 01:57:05,52.22,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.58,0.00,1727.40,1120.80,0.00,0.00,0.00,50.40,22.80,0.00,41.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,100.80,3903848,0,4271760,52.25,39332,607920,7533836,92.15,3825272,315056,263224,3493076,44604,5216,12676,18220,0,0,0.00,0,0.00,3,637,1.63,1.36,1.22,0,1.20,0.00,100.80,84.00,0.00,0.67,0.67,0.08,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 01:57:10,52.69,0.00,0.51,10.25,0.00,0.00,0.00,0.00,0.00,36.55,0.00,1764.60,1367.00,0.00,0.00,0.00,26247.20,42.00,0.00,54.80,0.00,0.00,0.00,0.00,206.80,0.00,206.80,0.00,52494.40,3903512,0,4272096,52.25,39340,607944,7533836,92.15,3825680,315064,132140,3493468,44772,5200,12676,18220,0,0,0.00,0,0.00,2,636,1.66,1.37,1.23,0,206.80,0.00,52494.40,253.84,35.19,170.16,1.34,27.68,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 01:57:15,73.19,0.00,1.01,10.28,0.00,0.00,0.00,0.00,0.00,15.52,0.40,1898.00,1393.80,0.00,0.00,0.00,26007.20,2909.80,0.00,1830.60,0.00,0.00,0.00,0.00,213.00,0.00,213.00,0.00,52014.40,3865668,0,4309940,52.72,39360,607980,7533836,92.15,3863960,315100,3480,3531740,44812,5200,12756,18220,0,0,0.00,0,0.00,4,636,1.60,1.36,1.23,0,213.00,0.00,52014.40,244.20,33.81,158.73,1.28,27.36,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 01:57:20,60.71,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,38.99,0.40,1817.60,1117.20,0.00,0.00,0.00,82.40,480.20,0.00,1033.00,0.00,0.00,0.00,0.00,7.60,0.00,7.60,0.00,164.80,3858860,0,4316748,52.80,39416,608036,7549836,92.35,3865716,315168,3440,3537528,44788,5192,12844,18220,0,0,0.00,0,0.00,2,635,1.64,1.37,1.23,0,7.60,0.00,164.80,21.68,0.00,0.53,0.53,0.40,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
