timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 21:10:09,79.44,0.00,4.11,0.00,0.10,0.00,0.30,0.00,0.00,16.05,18.40,2374.00,1457.40,0.00,0.00,0.00,53.60,13997.80,0.00,9985.60,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,107.20,5436652,0,2738956,33.50,206540,1057632,3304716,40.42,2272460,263052,44576,1272000,123288,4464,7356,18220,0,0,0.00,0,0.00,4,547,1.39,1.41,1.59,0,2.60,0.00,107.20,41.23,0.01,3.08,0.62,0.16,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 21:10:14,58.23,0.00,6.00,0.20,0.00,0.00,0.30,0.00,0.00,35.26,12.00,3753.40,2084.80,0.00,0.00,0.00,82.40,4601.20,0.00,6287.60,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,164.80,5028364,0,3147244,38.50,206552,1273480,3951832,48.34,2470152,472576,260552,1462616,123684,4576,7900,18220,0,0,0.00,0,0.00,1,574,1.36,1.41,1.59,0,3.60,0.00,164.80,45.78,0.01,1.56,1.56,0.56,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 21:10:19,64.14,0.00,1.92,0.30,0.00,0.00,0.00,0.00,0.00,33.64,6.40,1693.20,1372.40,0.00,0.00,0.00,9114.40,5160.80,0.00,2380.80,0.00,0.00,0.00,0.00,92.40,0.00,92.40,0.00,18228.80,4884896,0,3290712,40.25,206560,1273732,4031572,49.31,2622120,462840,215348,1604768,123832,4888,8512,18220,0,0,0.00,0,0.00,2,600,1.65,1.47,1.60,0,92.40,0.00,18228.80,197.28,4.17,45.09,0.45,4.16,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-24 21:10:24,81.63,0.00,4.34,6.36,0.10,0.00,0.00,0.00,0.00,7.57,13.60,2461.20,2089.20,0.00,0.00,0.00,43585.60,9439.00,0.00,3378.20,0.00,0.00,0.00,0.00,344.20,0.00,344.20,0.00,87171.20,4410092,0,3765516,46.06,206576,1279176,7572248,92.62,3098584,458604,3412,2071192,124468,5216,9676,18220,0,0,0.00,0,0.00,5,644,1.68,1.47,1.61,0,344.20,0.00,87171.20,253.26,78.97,229.43,1.71,58.80,2.00,2.00,0.23,0.23,0.00,0.00,0.00,0.00
2017-09-24 21:10:29,62.27,0.00,2.62,0.10,0.00,0.00,0.00,0.00,0.00,35.01,0.20,1879.20,1258.40,0.00,0.00,0.00,12.80,454.80,0.00,5703.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,3704896,0,4470712,54.68,206580,1303620,7572248,92.62,3783060,478092,27828,2751196,124548,5248,10944,18220,0,0,0.00,0,0.00,2,641,1.62,1.47,1.60,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,0.80,0.80,0.10,0.06,0.00,0.00,0.00,0.00
2017-09-24 21:10:34,54.91,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,43.97,0.00,1685.40,970.20,0.00,0.00,0.00,4.00,37.60,0.00,3318.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,3567804,0,4607804,56.36,206584,1350116,7572248,92.62,3880932,516996,74340,2841256,124556,5224,11400,18220,0,0,0.00,0,0.00,1,639,1.57,1.46,1.60,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 21:10:39,51.92,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,47.37,0.00,1658.00,935.80,0.00,0.00,0.00,4.80,21.20,0.00,33.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,3520072,0,4655536,56.94,206584,1398000,7572248,92.62,3888940,556668,122224,2841340,124556,5216,11400,18220,0,0,0.00,0,0.00,1,638,1.53,1.45,1.60,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 21:10:44,55.11,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,44.08,0.00,1706.40,980.80,0.00,0.00,0.00,4.80,31.60,0.00,145.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,3465900,0,4709708,57.61,206588,1443920,7572248,92.62,3905060,594916,168148,2849648,124556,5192,11416,18220,0,0,0.00,0,0.00,1,634,1.49,1.44,1.59,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 21:10:49,90.69,0.00,3.20,0.20,0.00,0.00,0.00,0.00,0.00,5.91,0.80,1953.20,1207.20,0.00,0.00,0.00,304.80,12023.00,0.00,10891.20,0.00,0.00,0.00,0.00,7.40,0.00,7.40,0.00,609.60,3307124,0,4868484,59.55,206616,1443968,7572248,92.62,4058888,599492,168216,3007840,124548,5208,11780,18220,0,0,0.00,0,0.00,3,638,1.69,1.49,1.61,0,7.40,0.00,609.60,82.38,0.02,3.03,1.08,0.80,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 21:10:54,63.98,0.00,1.91,0.40,0.10,0.00,0.00,0.00,0.00,33.60,0.20,1690.20,1026.20,0.00,0.00,0.00,153.60,852.20,0.00,11148.40,0.00,0.00,0.00,0.00,15.00,0.00,15.00,0.00,307.20,3115112,0,5060496,61.90,206632,1444044,7588564,92.82,4290636,553092,167664,3199196,124548,5208,12108,18220,0,0,0.00,0,0.00,4,636,1.63,1.48,1.60,0,15.00,0.00,307.20,20.48,0.14,9.01,0.64,0.96,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
