timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 17:13:20,74.14,0.00,3.02,0.00,0.20,0.00,0.00,0.00,0.00,22.64,22.80,1370.00,1293.00,0.00,0.00,0.00,33.60,18176.20,0.00,20799.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,67.20,4355828,0,3819780,46.72,27772,2282088,2735604,33.46,1995780,1669888,144,1355856,74256,4496,7380,18156,0,0,0.00,0,0.00,2,546,0.35,1.18,1.68,0,1.20,0.00,67.20,56.00,0.00,2.00,1.33,0.16,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-20 17:13:25,70.98,0.00,2.41,0.00,0.10,0.00,0.00,0.00,0.00,26.51,9.00,1205.00,1113.20,0.00,0.00,0.00,6.40,9133.60,0.00,9842.60,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.00,12.80,4231676,0,3943932,48.24,27772,2282120,2857496,34.95,2119572,1669904,264,1479520,74256,4504,7684,18156,0,0,0.00,0,0.00,0,550,0.48,1.19,1.69,0,0.20,0.00,12.80,64.00,0.00,0.00,0.00,0.00,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
2017-09-20 17:13:30,60.75,0.00,12.11,0.10,0.30,0.00,0.00,0.00,0.00,26.74,39.20,1781.80,1466.60,0.00,0.00,0.00,6553.60,23589.40,0.00,14828.60,0.00,0.00,0.00,0.00,109.00,0.00,109.00,0.00,13107.20,3805412,0,4370196,53.45,27780,2473708,2965144,36.27,2318964,1856052,159180,1673528,112404,4584,9420,18156,0,0,0.00,0,0.00,3,560,0.92,1.27,1.71,0,109.00,0.00,13107.20,120.25,2.12,19.36,0.24,2.64,5.40,5.40,0.62,0.44,0.00,0.00,0.00,0.00
2017-09-20 17:13:35,52.24,0.00,6.53,8.88,0.71,0.00,0.20,0.00,0.00,31.43,70.00,4938.00,3204.20,0.00,0.00,6.40,26395.20,7367.00,0.00,5184.80,0.00,0.00,0.00,0.00,245.20,1.60,243.60,12.80,46235.20,3622040,0,4553568,55.70,27832,2577908,3204064,39.19,2399556,1953788,162528,1747916,116404,4648,9724,18156,0,0,0.00,0,0.00,2,592,1.01,1.28,1.71,1,245.20,12.80,46235.20,188.61,34.76,94.13,1.26,30.88,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-20 17:13:40,71.93,0.00,2.21,14.99,0.10,0.00,0.10,0.00,0.00,10.66,12.00,1481.40,1479.40,0.00,0.00,0.00,9632.00,5176.40,0.00,3533.40,0.00,0.00,0.00,0.00,102.00,0.00,102.00,0.00,21787.20,3415840,0,4759768,58.22,27856,2577976,3524872,43.11,2606004,1953840,119868,1954112,115684,4976,10324,18156,0,0,0.00,0,0.00,3,647,1.33,1.34,1.73,0,102.00,0.00,21787.20,213.60,136.90,920.53,9.80,100.00,4.20,3.80,0.44,0.29,0.00,0.00,0.00,0.00
2017-09-20 17:13:45,18.50,0.00,1.01,29.52,0.10,0.00,0.10,0.00,0.00,50.76,9.20,1476.60,1042.60,0.00,0.00,0.00,364.00,1819.80,0.00,857.20,0.00,0.00,0.00,0.00,25.20,0.00,25.20,0.00,4760.00,3393204,0,4782404,58.50,27876,2578156,3541824,43.32,2628176,1953964,120100,1976232,114124,5336,10716,18156,0,0,0.00,0,0.00,1,658,1.30,1.34,1.72,0,25.20,0.00,4760.00,188.89,42.06,3838.95,21.27,53.60,0.60,0.60,0.05,0.04,0.00,0.00,0.00,0.00
2017-09-20 17:13:50,41.30,0.00,8.20,0.10,0.61,0.00,0.00,0.00,0.00,49.80,22.40,2046.60,1484.20,0.00,0.00,0.80,43.20,8826.20,0.00,34796.80,0.00,0.00,0.00,0.00,4.80,0.20,4.60,1.60,86.40,3921496,0,4254112,52.03,27892,2335012,3402216,41.61,2374880,1718932,68544,1730968,76348,5000,10180,18156,0,0,0.00,0,0.00,3,610,1.28,1.33,1.72,0,4.80,1.60,86.40,18.33,0.01,1.50,1.50,0.72,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-20 17:13:55,74.29,0.00,3.12,0.00,0.10,0.00,0.00,0.00,0.00,22.48,15.60,1437.20,1277.00,0.00,0.00,0.00,1699.20,12197.80,0.00,33575.40,0.00,0.00,0.00,0.00,15.00,0.00,15.00,0.00,3398.40,4213276,0,3962332,48.47,27928,2282996,2858796,34.97,2135480,1670372,16540,1494824,75552,4608,7816,18156,0,0,0.00,0,0.00,1,563,1.41,1.36,1.73,0,15.00,0.00,3398.40,226.56,0.20,13.07,0.43,0.64,3.00,3.00,0.35,0.24,0.00,0.00,0.00,0.00
2017-09-20 17:14:00,57.44,0.00,10.87,0.00,0.30,0.00,0.00,0.00,0.00,31.39,40.20,1876.20,1519.00,0.00,0.00,0.00,54.40,24364.20,0.00,16043.00,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,108.80,3808168,0,4367440,53.42,27940,2474576,2942364,35.99,2314816,1856540,208056,1668836,112744,4680,9336,18156,0,0,0.00,0,0.00,1,571,1.30,1.34,1.72,0,2.20,0.00,108.80,49.45,0.00,0.36,0.36,0.08,5.20,5.20,0.61,0.44,0.00,0.00,0.00,0.00
2017-09-20 17:14:05,61.04,0.00,5.49,3.66,0.71,0.00,0.20,0.00,0.00,28.89,69.00,4992.20,3121.20,0.00,0.00,7.20,6224.80,7536.60,0.00,5190.80,0.00,0.00,0.00,0.00,109.00,1.80,107.20,14.40,12449.60,3609588,0,4566020,55.85,27992,2578596,3176960,38.86,2413896,1954288,296476,1761744,113548,4792,9720,18156,0,0,0.00,0,0.00,4,598,1.28,1.33,1.71,0,109.00,14.40,12449.60,114.35,2.16,19.77,0.82,8.96,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
