timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-26 18:00:34,76.81,0.00,4.64,0.10,0.00,0.00,0.10,0.00,0.00,18.35,18.40,2191.80,1571.00,0.00,0.00,0.00,45.60,11901.60,0.00,9536.20,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,91.20,6139892,0,2035716,24.90,69488,602768,3223332,39.43,1602592,288984,69992,1219708,64096,4488,7424,18284,0,0,0.00,0,0.00,5,549,1.35,1.14,1.30,0,2.40,0.00,91.20,38.00,0.00,1.00,1.00,0.24,1.20,1.20,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-26 18:00:39,55.38,0.00,6.19,0.00,0.10,0.00,0.30,0.00,0.00,38.03,12.00,3243.00,2310.80,0.00,0.00,0.00,80.00,5267.40,0.00,4492.40,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,160.00,5732776,0,2442832,29.88,69492,793256,3867228,47.30,1822860,474028,260440,1434136,64568,4624,8016,18284,0,0,0.00,0,0.00,3,576,1.24,1.12,1.29,0,3.80,0.00,160.00,42.11,0.00,0.63,0.63,0.24,1.40,1.40,0.14,0.20,0.00,0.00,0.00,0.00
2017-09-26 18:00:44,64.98,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.00,33.30,6.40,1762.40,1364.20,0.00,0.00,0.00,2723.20,4450.20,0.00,2189.80,0.00,0.00,0.00,0.00,35.00,0.00,35.00,0.00,5446.40,5579520,0,2596088,31.75,69492,793328,4039776,49.41,1984484,464388,247052,1586048,64796,4904,8580,18284,0,0,0.00,0,0.00,4,602,1.38,1.15,1.30,0,35.00,0.00,5446.40,155.61,0.69,19.57,0.48,1.68,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-26 18:00:49,83.00,0.00,3.95,6.07,0.00,0.00,0.00,0.00,0.00,6.98,12.20,2352.00,2031.60,0.00,0.00,0.00,49410.40,8046.20,0.00,2824.20,0.00,0.00,0.00,0.00,386.40,0.00,386.40,0.00,98820.80,5216992,0,2958616,36.19,69504,793748,7429592,90.88,2348300,461404,688,1946644,65456,5232,9728,18284,0,0,0.00,0,0.00,3,641,1.59,1.20,1.32,0,386.40,0.00,98820.80,255.75,95.26,246.54,1.82,70.16,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-26 18:00:54,60.20,0.00,3.35,0.00,0.00,0.00,0.00,0.00,0.00,36.45,1.40,1962.00,1303.20,0.00,0.00,0.00,532.80,764.20,0.00,17809.60,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,1065.60,4191120,0,3984488,48.74,69512,798956,7468768,91.35,3363836,459800,3544,2965404,65464,5256,11808,18284,0,0,0.00,0,0.00,1,643,1.54,1.20,1.32,0,4.60,0.00,1065.60,231.65,1.49,324.52,20.52,9.44,1.20,1.20,0.13,0.19,0.00,0.00,0.00,0.00
2017-09-26 18:00:59,52.85,0.00,3.77,0.00,0.00,0.00,0.00,0.00,0.00,43.38,0.00,1731.20,1062.80,0.00,0.00,0.00,16.80,200.40,0.00,41397.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,33.60,3353428,0,4822180,58.98,69520,798976,7468768,91.35,4209884,459816,3576,3801204,65480,5240,13440,18284,0,0,0.00,0,0.00,1,641,1.50,1.19,1.31,0,0.40,0.00,33.60,84.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-26 18:01:04,78.18,0.00,2.42,0.00,0.00,0.00,0.00,0.00,0.00,19.39,2.60,2120.60,1358.40,0.00,0.00,0.00,3.20,2793.20,0.00,20570.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,2900212,0,5275396,64.53,69524,799016,7489840,91.61,4662116,459640,3620,4253212,65480,5328,14296,18284,0,0,0.00,0,0.00,1,652,1.46,1.19,1.31,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-26 18:01:09,67.51,0.00,2.13,0.20,0.00,0.00,0.00,0.00,0.00,30.16,0.00,1766.00,1259.20,0.00,0.00,0.00,22.40,487.20,0.00,17232.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,44.80,2471588,0,5704020,69.77,69532,799044,7541204,92.24,5090148,459540,3708,4681148,65480,5312,15172,18284,0,0,0.00,0,0.00,3,649,1.42,1.19,1.31,0,0.40,0.00,44.80,112.00,0.00,8.00,8.00,0.32,1.20,1.20,0.13,0.19,0.00,0.00,0.00,0.00
2017-09-26 18:01:14,75.86,0.00,6.14,0.40,0.00,0.00,0.10,0.00,0.00,17.51,0.80,2003.20,1435.80,0.00,0.00,0.00,14214.40,4882.40,0.00,4217.20,0.00,0.00,0.00,0.00,142.80,0.00,142.80,0.00,28428.80,2040380,0,6135228,75.04,69604,1172832,7541204,92.24,5338744,633132,308180,4729760,73240,5320,15320,18284,0,0,0.00,0,0.00,2,651,1.55,1.22,1.32,0,142.80,0.00,28428.80,199.08,3.14,22.02,0.35,4.96,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-26 18:01:19,46.39,0.00,3.56,16.99,0.10,0.00,0.00,0.00,0.00,32.96,0.00,1762.20,1607.00,0.00,0.00,0.00,60834.40,72.40,0.00,89.40,0.00,0.00,0.00,0.00,477.20,0.00,477.20,0.00,113833.60,1752496,0,6423112,78.56,69616,1454072,7541204,92.24,5489280,763768,286304,4729800,80572,5304,15336,18284,0,0,0.00,0,0.00,3,649,1.51,1.21,1.32,2,477.40,0.00,113884.80,238.55,69.52,140.74,1.49,71.36,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
