timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-22 21:22:24,32.62,0.00,2.69,1.83,0.05,0.00,0.00,0.00,0.00,62.81,24.20,3806.40,3745.00,0.00,0.00,0.00,25821.60,12783.40,0.00,12579.40,0.00,0.00,0.00,0.00,210.80,0.00,210.80,0.00,51643.20,12987208,0,3445932,20.97,26896,1626456,4127532,25.12,2081156,1161108,269376,1588980,75172,4984,8112,31404,0,0,0.00,0,0.00,1,615,3.88,2.88,1.50,0,210.80,0.00,51643.20,244.99,9.65,45.80,0.44,9.28,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-22 21:22:29,33.99,0.00,1.56,0.91,0.05,0.00,0.10,0.00,0.00,63.39,15.00,2791.80,2803.80,0.00,0.00,0.00,63.20,10361.00,0.00,4117.20,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,126.40,12623784,0,3809356,23.18,26908,1746320,10433024,63.49,2329624,1269724,389260,1826164,78804,5328,8960,31404,0,0,0.00,0,0.00,2,670,3.73,2.86,1.50,0,2.40,0.00,126.40,52.67,0.04,18.00,9.00,2.16,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-22 21:22:34,56.04,0.00,2.68,0.00,0.05,0.00,0.00,0.00,0.00,41.23,21.40,3149.80,2980.40,0.00,0.00,0.00,1028.80,12184.40,0.00,6553.60,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,537.60,11895580,0,4537560,27.61,26916,1756700,16281848,99.08,3054440,1269044,394456,2540160,79976,5960,11120,31404,0,0,0.00,0,0.00,3,735,3.99,2.93,1.53,0,3.20,0.00,537.60,168.00,0.49,23.50,4.25,1.36,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-22 21:22:39,53.46,0.00,2.62,14.03,0.00,0.00,0.00,0.00,0.00,29.88,1.40,2388.80,2162.00,0.00,0.00,0.00,6542.40,1046.80,0.00,8052.20,0.00,0.00,0.00,0.00,38.00,0.00,38.00,0.00,8054.40,9965776,0,6467364,39.36,26924,1757268,16399012,99.79,4964524,1267820,362940,4464324,80644,6032,14844,31404,0,0,0.00,0,0.00,2,737,4.15,2.98,1.56,2,38.00,0.00,8054.40,211.96,43.37,406.17,9.35,35.52,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:22:44,51.26,0.00,2.53,27.53,0.05,0.00,0.00,0.00,0.00,18.64,0.00,2098.40,1771.00,0.00,0.00,0.00,14988.00,343.60,0.00,75345.20,0.00,0.00,0.00,0.00,123.40,0.00,123.40,0.00,28832.00,8559844,0,7873296,47.91,26932,1757296,16399012,99.79,6367832,1267832,287960,5867820,80620,6000,17852,31404,0,0,0.00,0,0.00,2,735,4.06,2.98,1.56,1,123.40,0.00,28832.00,233.65,137.97,1287.75,8.10,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-22 21:22:49,52.78,0.00,2.78,7.68,0.00,0.00,0.00,0.00,0.00,36.75,0.00,2175.40,1658.20,0.00,0.00,0.00,4340.00,350.20,0.00,110099.40,0.00,0.00,0.00,0.00,64.40,0.00,64.40,0.00,16374.40,7440440,0,8992700,54.72,26932,1757328,16399012,99.79,7449636,1267836,266252,6984408,80636,5984,20016,31404,0,0,0.00,0,0.00,3,734,3.89,2.97,1.57,0,64.40,0.00,16374.40,254.26,73.83,1261.47,10.30,66.32,0.80,0.80,0.10,0.06,0.00,0.00,0.00,0.00
2017-09-22 21:22:54,52.32,0.00,2.07,0.15,0.00,0.00,0.00,0.00,0.00,45.46,0.00,2091.60,1597.20,0.00,0.00,0.00,57.60,215.80,0.00,67140.60,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,115.20,6722480,0,9710660,59.09,26940,1757352,16399012,99.79,8172420,1267860,266072,7694896,80612,5968,21392,31404,0,0,0.00,0,0.00,5,732,3.98,3.00,1.59,0,2.40,0.00,115.20,48.00,0.03,12.67,8.00,1.92,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-22 21:22:59,53.68,0.00,1.71,12.10,0.00,0.00,0.00,0.00,0.00,32.51,0.00,2073.60,1779.60,0.00,0.00,0.00,12267.20,184.00,0.00,54608.20,0.00,0.00,0.00,0.00,71.40,0.00,71.40,0.00,18064.00,6081944,0,10351196,62.99,26948,1757376,16399012,99.79,8823776,1267880,205072,8340096,80664,5968,22320,31404,0,0,0.00,0,0.00,2,732,3.90,3.00,1.59,1,71.40,0.00,18064.00,253.00,89.07,807.33,8.82,62.96,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-22 21:23:04,52.55,0.00,1.97,26.07,0.00,0.00,0.00,0.00,0.00,19.40,0.60,2136.60,1795.40,0.00,0.00,0.00,11615.20,287.20,0.00,65085.40,0.00,0.00,0.00,0.00,93.40,0.00,93.40,0.00,23124.80,5178980,0,11254160,68.48,26964,1757408,16399012,99.79,9715336,1267892,146972,9241860,80592,5968,24136,31404,0,0,0.00,0,0.00,1,734,3.91,3.02,1.61,1,93.40,0.00,23124.80,247.59,130.86,1410.27,10.71,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-22 21:23:09,29.27,0.00,0.86,27.86,0.05,0.00,0.00,0.00,0.00,41.96,0.20,2235.60,1767.40,0.00,0.00,0.00,13124.80,727.40,0.00,28424.80,0.00,0.00,0.00,0.00,101.60,0.00,101.60,0.00,25550.40,4894904,0,11538236,70.21,26972,1757432,16399012,99.79,10042896,1267868,81708,9526356,80520,5976,24860,31404,0,0,0.00,0,0.00,7,734,4.24,3.10,1.64,1,101.60,0.00,25550.40,251.48,126.09,1269.38,9.84,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
