timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 22:44:14,32.25,0.00,3.05,0.05,0.05,0.00,0.20,0.00,0.00,64.39,28.80,4804.40,4453.80,0.00,0.00,0.00,84.00,13638.60,0.00,12116.80,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,168.00,12881952,0,3551188,21.61,26880,1746148,4503272,27.40,2070252,1272136,260436,1569864,79224,5040,8024,31404,0,0,0.00,0,0.00,1,628,2.31,2.09,1.31,0,3.60,0.00,168.00,46.67,0.00,1.11,1.11,0.40,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-19 22:44:19,34.58,0.00,1.41,0.10,0.00,0.00,0.00,0.00,0.00,63.91,11.80,2086.40,2156.60,0.00,0.00,0.00,46.40,11772.40,0.00,4754.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,92.80,12591580,0,3841560,23.38,26892,1746324,10355904,63.02,2366416,1260784,260700,1858208,79468,5512,9328,31404,0,0,0.00,0,0.00,1,676,2.20,2.07,1.31,0,0.80,0.00,92.80,116.00,0.00,6.00,6.00,0.48,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-19 22:44:24,59.67,0.00,2.54,0.00,0.05,0.00,0.00,0.00,0.00,37.73,22.20,3354.60,3095.40,0.00,0.00,0.00,1012.00,11880.40,0.00,6739.80,0.00,0.00,0.00,0.00,8.40,0.00,8.40,0.00,2024.00,11819420,0,4613720,28.08,26900,1757148,16306932,99.23,3132900,1259128,266588,2616476,80412,6088,11484,31404,0,0,0.00,0,0.00,8,747,2.51,2.14,1.33,0,8.40,0.00,2024.00,240.95,2.79,332.57,16.29,13.68,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-19 22:44:29,60.47,0.00,2.22,0.05,0.00,0.00,0.00,0.00,0.00,37.26,0.80,2594.20,2479.80,0.00,0.00,0.00,128.80,3321.60,0.00,14352.80,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00,257.60,9938920,0,6494220,39.52,26908,1757188,16306932,99.23,5017584,1258924,266224,4492492,80504,6088,15192,31404,0,0,0.00,0,0.00,3,747,2.47,2.13,1.34,0,13.00,0.00,257.60,19.82,0.02,1.91,0.06,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:44:34,59.58,0.00,2.95,0.00,0.05,0.00,0.00,0.00,0.00,37.42,3.80,3216.80,2894.20,0.00,0.00,0.00,53.60,1408.00,0.00,61600.40,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,107.20,8782308,0,7650832,46.56,26916,1758368,16394536,99.77,6161392,1258644,267500,5645380,80628,6200,17144,31404,0,0,0.00,0,0.00,2,761,2.43,2.13,1.34,0,2.20,0.00,107.20,48.73,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:44:39,57.32,0.00,1.82,0.30,0.05,0.00,0.00,0.00,0.00,40.50,0.40,2921.40,2669.60,0.00,0.00,0.00,91.20,4265.00,0.00,59017.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,182.40,8115952,0,8317188,50.61,26932,1759820,16410840,99.86,6835400,1259252,269352,6307984,80656,6200,18824,31404,0,0,0.00,0,0.00,2,761,2.40,2.13,1.34,0,1.20,0.00,182.40,152.00,0.03,21.33,5.33,0.64,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 22:44:44,50.10,0.00,0.61,3.91,0.05,0.00,0.00,0.00,0.00,45.33,0.00,3714.20,3184.00,0.00,0.00,0.00,5803.20,1387.00,0.00,3597.00,0.00,0.00,0.00,0.00,50.80,0.00,50.80,0.00,11606.40,7966648,0,8466492,51.52,26944,1759892,16410840,99.86,6975244,1259228,240944,6455912,80816,6192,19112,31404,0,0,0.00,0,0.00,3,760,2.60,2.18,1.36,0,50.80,0.00,11606.40,228.47,6.18,121.57,1.35,6.88,1.40,1.40,0.16,0.11,0.00,0.00,0.00,0.00
2017-09-19 22:44:49,50.28,0.00,1.94,12.43,0.00,0.00,0.05,0.00,0.00,35.30,0.00,3923.40,3424.80,0.00,0.00,0.00,15174.40,402.00,0.00,62829.80,0.00,0.00,0.00,0.00,109.00,0.00,109.00,0.00,23385.60,7403292,0,9029848,54.95,26960,1760008,16410840,99.86,7546112,1259256,165656,7018424,80932,6184,20284,31404,0,0,0.00,0,0.00,3,759,2.56,2.17,1.37,1,109.00,0.00,23385.60,214.55,88.02,573.75,5.64,61.44,1.60,1.60,0.18,0.13,0.00,0.00,0.00,0.00
2017-09-19 22:44:54,35.03,0.00,0.66,35.03,0.05,0.00,0.05,0.00,0.00,29.18,0.00,3783.00,3043.60,0.00,0.00,0.00,15657.60,431.40,0.00,1898.60,0.00,0.00,0.00,0.00,120.60,0.00,120.60,0.00,30852.80,7378568,0,9054572,55.10,27004,1760124,16410840,99.86,7554720,1259268,87820,7041240,80924,6184,20336,31404,0,0,0.00,0,0.00,2,759,2.59,2.19,1.37,2,120.60,0.00,30852.80,255.83,126.89,1128.96,8.29,100.00,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-19 22:44:59,40.98,0.00,0.97,34.32,0.05,0.00,0.00,0.00,0.00,23.69,0.00,3032.20,2529.00,0.00,0.00,0.00,11577.60,140.20,0.00,24189.00,0.00,0.00,0.00,0.00,117.00,0.00,117.00,0.00,29902.40,7216204,0,9216936,56.09,27024,1761264,16410840,99.86,7714056,1259764,31472,7203980,80924,6176,20536,31404,0,0,0.00,0,0.00,1,758,2.70,2.22,1.39,5,117.00,0.00,29902.40,255.58,124.30,1160.25,8.55,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
